image_id,building,condition,view,context,n_responses,n_workers,n_geometry,n_geometry_failed,n_quality,n_time,n_scope_known,n_scope_unknown,n_distinct_point_counts,n_structural_pairs,n_same_topology_pairs,reference_geometry_error,owner_valid_active_seconds,point_count_disagreement,within_topology_geometry_dispersion,scope_non_normal_rate,scope_entropy,geometry_failure_rate,stage_count,stages,reference_status,imputed_responses,scope_p_normal,scope_p_oos_open_boundary,scope_p_oos_geometry,scope_p_oos_split_level,scope_p_oos_insufficient,scope_p_unknown
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,manual,reviewed,pooled_unique_workers,6,6,6,0,6,5,6,0,3,15,6,0.181316303182,90,0.6,0.0177253478985,0,-0,0,1,C1,public_dataset_reference_not_quality_assumed,0,1,0,0,0,0,0
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,semi,reviewed,pooled_unique_workers,4,4,4,0,4,4,4,0,1,6,6,0,92,0,0,0,-0,0,1,C1,public_dataset_reference_not_quality_assumed,0,1,0,0,0,0,0
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,manual,reviewed,pooled_unique_workers,5,5,5,0,5,4,5,0,3,10,3,0.0790185295057,296,0.7,0.059708590451,0.4,1.37095059445,0,1,C1,public_dataset_reference_not_quality_assumed,0,0.6,0.2,0,0,0.2,0
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,semi,reviewed,pooled_unique_workers,4,4,4,0,4,4,4,0,3,6,1,0.0197431687581,349.5,0.833333333333,0,0.25,0.811278124459,0,1,C1,public_dataset_reference_not_quality_assumed,0,0.75,0.25,0,0,0,0
7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,7y3sRwLe3Va,manual,reviewed,pooled_unique_workers,5,5,5,0,5,5,5,0,2,10,6,0.14958282604,191,0.4,0.171666556658,0.4,0.970950594455,0,1,C1,public_dataset_reference_not_quality_assumed,0,0.6,0,0,0.4,0,0
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,7y3sRwLe3Va,manual,reviewed,pooled_unique_workers,5,5,5,0,5,5,5,0,1,10,10,0.0668537514732,48,0,0.0910591231823,0,-0,0,1,C1,public_dataset_reference_not_quality_assumed,0,1,0,0,0,0,0
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,7y3sRwLe3Va,manual,reviewed,pooled_unique_workers,5,5,5,0,5,4,5,0,2,10,6,0.0668997523701,139.5,0.4,0.0499534341062,0.2,0.721928094887,0,1,C1,public_dataset_reference_not_quality_assumed,0,0.8,0,0.2,0,0,0
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,reviewed,pooled_unique_workers,24,24,24,0,24,18,24,0,3,276,175,0.101249351375,123,0.365942028986,0.0907383953165,0,-0,0,1,P1,adjudicated_reference,0,1,0,0,0,0,0
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,reviewed,pooled_unique_workers,24,24,24,0,24,19,24,0,2,276,253,0.120791586108,110,0.0833333333333,0.117198373746,0.208333333333,1.02389957332,0,1,P1,adjudicated_reference,0,0.791666666667,0.125,0.0416666666667,0.0416666666667,0,0
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,manual,reviewed,pooled_unique_workers,5,5,5,0,5,4,5,0,2,10,6,0.266063052253,232,0.4,0.106489725455,0.2,0.721928094887,0,1,C1,public_dataset_reference_not_quality_assumed,0,0.8,0.2,0,0,0,0
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,semi,reviewed,pooled_unique_workers,4,4,4,0,4,4,4,0,1,6,6,0.000397072563064,24,0,0.126378464749,0.25,0.811278124459,0,1,C1,public_dataset_reference_not_quality_assumed,0,0.75,0,0.25,0,0,0
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,manual,reviewed,pooled_unique_workers,5,5,5,0,5,5,5,0,1,10,10,0.0404898119122,364,0,0.0481958237761,0,-0,0,1,C1,public_dataset_reference_not_quality_assumed,0,1,0,0,0,0,0
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,semi,reviewed,pooled_unique_workers,4,4,4,0,4,4,4,0,2,6,3,0.0513075779432,61.5,0.5,0.0428401304102,0.25,0.811278124459,0,1,C1,public_dataset_reference_not_quality_assumed,0,0.75,0.25,0,0,0,0
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,semi,reviewed,pooled_unique_workers,24,24,24,0,24,19,24,0,1,276,276,0.0163374999793,65,0,0.235693693691,0.208333333333,1.05535321924,0,1,P1,public_dataset_reference_not_quality_assumed,0,0.791666666667,0.0833333333333,0.0833333333333,0,0.0416666666667,0
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,reviewed,pooled_unique_workers,24,24,23,1,23,18,24,0,2,253,231,0.200336528656,102.5,0.0869565217391,0.209626699836,0.208333333333,0.940566239988,0.0416666666667,1,P1,adjudicated_reference,0,0.791666666667,0.125,0.0833333333333,0,0,0
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,manual,reviewed,pooled_unique_workers,6,6,6,0,6,5,6,0,2,15,10,0.238625419501,180,0.333333333333,0.26286352262,0.333333333333,1.25162916739,0,1,C1,public_dataset_reference_not_quality_assumed,0,0.666666666667,0.166666666667,0.166666666667,0,0,0
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,semi,reviewed,pooled_unique_workers,4,4,4,0,4,4,4,0,2,6,3,0.0828536306153,115,0.5,0.104944865922,0,-0,0,1,C1,public_dataset_reference_not_quality_assumed,0,1,0,0,0,0,0
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,reviewed,pooled_unique_workers,24,24,24,0,24,19,24,0,2,276,232,0.314744058749,117,0.159420289855,0.346355599574,0.291666666667,1.04343569632,0,1,P1,adjudicated_reference,0,0.708333333333,0.25,0.0416666666667,0,0,0
B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,B6ByNegPMKs,manual,reviewed,pooled_unique_workers,5,5,5,0,5,5,5,0,3,10,3,0.0907535700853,161,0.7,0.0812562313061,0.2,0.721928094887,0,1,C1,public_dataset_reference_not_quality_assumed,0,0.8,0.2,0,0,0,0
B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,B6ByNegPMKs,manual,reviewed,pooled_unique_workers,6,6,6,0,6,5,6,0,1,15,15,0.403809440406,150,0,0.262841002007,0.166666666667,0.650022421648,0,1,C1,public_dataset_reference_not_quality_assumed,0,0.833333333333,0.166666666667,0,0,0,0
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,reviewed,pooled_unique_workers,5,5,5,0,5,5,5,0,1,10,10,0.217624483965,29,0,0.171176560432,0,-0,0,1,C1,public_dataset_reference_not_quality_assumed,0,1,0,0,0,0,0
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,reviewed,pooled_unique_workers,20,20,19,1,19,20,20,0,2,171,153,0.142566264681,225.5,0.105263157895,0.108076976833,0.35,1.23616025437,0.05,1,C2-B,public_dataset_reference_not_quality_assumed,0,0.65,0.1,0.25,0,0,0
S9hNv5qa7GM_2ea5348654d24115bba3dcdb21fa655e,S9hNv5qa7GM,manual,reviewed,pooled_unique_workers,1,1,1,0,1,1,1,0,1,0,0,0.152559008432,179,,,0,-0,0,1,C2-A-RP,public_dataset_reference_not_quality_assumed,0,1,0,0,0,0,0
S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee,S9hNv5qa7GM,manual,reviewed,pooled_unique_workers,2,2,2,0,2,2,2,0,2,1,0,0.26795063,688.5,1,,0,-0,0,1,C2-B,public_dataset_reference_not_quality_assumed,0,1,0,0,0,0,0
S9hNv5qa7GM_53d54b73e58940019b731673e65c1902,S9hNv5qa7GM,manual,reviewed,pooled_unique_workers,4,4,3,1,3,4,4,0,2,3,1,0.30773024288,130.5,0.666666666667,0.0243538101763,0.25,0.811278124459,0.25,1,C2-A-RP,public_dataset_reference_not_quality_assumed,0,0.75,0.25,0,0,0,0
S9hNv5qa7GM_625eb179629b45f280c01d3f6ec74b4f,S9hNv5qa7GM,manual,reviewed,pooled_unique_workers,1,1,1,0,0,1,1,0,1,0,0,,148,,,0,-0,0,1,C2-B,missing,0,1,0,0,0,0,0
S9hNv5qa7GM_8b55e4f095374cfe8ddb0fda0f0dfa02,S9hNv5qa7GM,manual,reviewed,pooled_unique_workers,2,2,2,0,0,2,2,0,1,1,1,,104,0,0.0676319616488,0,-0,0,1,C2-B,missing,0,1,0,0,0,0,0
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,reviewed,pooled_unique_workers,20,20,20,0,20,20,20,0,1,190,190,0.0323313815376,162,0,0.0376011871379,0,-0,0,1,C2-B,public_dataset_reference_not_quality_assumed,0,1,0,0,0,0,0
S9hNv5qa7GM_dcced7b92f444b9a83bd7d54413fa486,S9hNv5qa7GM,manual,reviewed,pooled_unique_workers,2,2,2,0,2,2,2,0,1,1,1,0.0605096802881,55,0,0.0686243012273,0,-0,0,1,C2-B,public_dataset_reference_not_quality_assumed,0,1,0,0,0,0,0
S9hNv5qa7GM_eba5ca774e2a41dfa6e22fbff7fe66d2,S9hNv5qa7GM,manual,reviewed,pooled_unique_workers,1,1,1,0,1,1,1,0,1,0,0,0.123736689963,161,,,0,-0,0,1,C2-A-RP,public_dataset_reference_not_quality_assumed,0,1,0,0,0,0,0
S9hNv5qa7GM_ed36c0b595de42f0a4e13ba5d332814a,S9hNv5qa7GM,manual,reviewed,pooled_unique_workers,3,3,3,0,0,3,3,0,1,3,3,,179,0,0.0613472900077,0,-0,0,2,C2-A-RP;C2-B,missing,0,1,0,0,0,0,0
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,UwV83HsGsw3,manual,reviewed,pooled_unique_workers,5,5,4,1,4,4,5,0,4,6,0,0.295360047325,106.5,1,,0.6,1.52192809489,0.2,1,C1,public_dataset_reference_not_quality_assumed,0,0.4,0.4,0.2,0,0,0
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,UwV83HsGsw3,semi,reviewed,pooled_unique_workers,4,4,4,0,4,4,4,0,3,6,1,0.177133307265,170,0.833333333333,0.00902094649736,1,0.811278124459,0,1,C1,public_dataset_reference_not_quality_assumed,0,0,0.75,0.25,0,0,0
UwV83HsGsw3_16af52545aff47afb4d7b330a49091a2,UwV83HsGsw3,manual,reviewed,pooled_unique_workers,5,5,5,0,5,5,5,0,2,10,6,0.355316663593,60,0.4,0.0493877253044,0.2,0.721928094887,0,1,C1,public_dataset_reference_not_quality_assumed,0,0.8,0.2,0,0,0,0
UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282,UwV83HsGsw3,oos,reviewed,pooled_unique_workers,24,24,24,0,0,19,24,0,6,276,51,,212,0.815217391304,0.307511079507,0.75,1.2987949407,0,1,P1,reference_not_geometry_ready,0,0.25,0.625,0.125,0,0,0
UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,UwV83HsGsw3,oos,reviewed,pooled_unique_workers,24,24,23,1,0,19,24,0,8,253,43,,382,0.830039525692,0.122910279077,0.833333333333,2.05458516934,0.0416666666667,1,P1,reference_not_geometry_ready,0,0.166666666667,0.416666666667,0.25,0.0833333333333,0.0833333333333,0
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,manual,reviewed,pooled_unique_workers,24,24,24,0,24,19,24,0,4,276,93,0.183972719784,228,0.663043478261,0.13511365969,0.208333333333,0.888686552578,0,1,P1,adjudicated_reference,0,0.791666666667,0.166666666667,0,0,0.0416666666667,0
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,manual,reviewed,pooled_unique_workers,24,24,24,0,24,19,24,0,3,276,211,0.101272376545,319,0.235507246377,0.0841691693751,0.166666666667,0.785235442392,0,1,P1,adjudicated_reference,0,0.833333333333,0.125,0.0416666666667,0,0,0
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,UwV83HsGsw3,manual,reviewed,pooled_unique_workers,7,7,6,1,6,4,6,1,3,15,3,0.109768535015,59,0.8,0.0467829540047,0.5,1.45914791703,0.142857142857,1,C1,public_dataset_reference_not_quality_assumed,0,0.5,0.333333333333,0.166666666667,0,0,0.142857142857
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,UwV83HsGsw3,semi,reviewed,pooled_unique_workers,4,4,4,0,4,3,4,0,3,6,1,0.122641560655,317,0.833333333333,0.0339200933769,0,-0,0,1,C1,public_dataset_reference_not_quality_assumed,0,1,0,0,0,0,0
UwV83HsGsw3_b979526475874ad68ae33f02d407a1fc,UwV83HsGsw3,manual,reviewed,pooled_unique_workers,5,5,5,0,5,5,5,0,4,10,1,0.139108324282,435,0.9,0.0807933801821,0.6,1.92192809489,0,1,C1,public_dataset_reference_not_quality_assumed,0,0.4,0.2,0.2,0,0.2,0
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,manual,reviewed,pooled_unique_workers,23,23,23,0,23,18,23,0,2,253,231,0.0203115568748,137,0.0869565217391,0.0254288688354,0,-0,0,1,C1,public_dataset_reference_not_quality_assumed,0,1,0,0,0,0,0
UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,UwV83HsGsw3,manual,reviewed,pooled_unique_workers,5,5,5,0,5,5,5,0,2,10,4,0.162340125732,117,0.6,0.0440070008921,0.2,0.721928094887,0,1,C1,public_dataset_reference_not_quality_assumed,0,0.8,0.2,0,0,0,0
UwV83HsGsw3_fcd79f4b6a6642e99227caffb51bf407,UwV83HsGsw3,oos,reviewed,pooled_unique_workers,24,24,24,0,0,19,24,0,3,276,120,,199,0.565217391304,0.0866330221964,0.791666666667,1.59881679716,0,1,P1,reference_not_geometry_ready,0,0.208333333333,0.583333333333,0.0833333333333,0,0.125,0
VFuaQ6m2Qom_109e18c64a614dc49e41a33ae979f98a,VFuaQ6m2Qom,manual,reviewed,pooled_unique_workers,2,2,2,0,2,2,2,0,2,1,0,0.128078427614,136.5,1,,0.5,1,0,1,C2-B,public_dataset_reference_not_quality_assumed,0,0.5,0.5,0,0,0,0
VFuaQ6m2Qom_381ce3cd69b846c3b920be16d29ed48e,VFuaQ6m2Qom,manual,reviewed,pooled_unique_workers,2,2,2,0,2,2,2,0,2,1,0,0.0887386795313,411,1,,0,-0,0,1,C2-B,public_dataset_reference_not_quality_assumed,0,1,0,0,0,0,0
VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,VFuaQ6m2Qom,manual,reviewed,pooled_unique_workers,7,7,7,0,0,7,7,0,3,21,7,,141,0.666666666667,0.0564633984323,0.142857142857,0.591672778582,0,2,C2-A-RP;C2-B,missing,0,0.857142857143,0,0.142857142857,0,0,0
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom,manual,reviewed,pooled_unique_workers,20,20,19,1,0,20,20,0,5,171,48,,202.5,0.719298245614,0.0409992494907,0.05,0.286396957116,0.05,1,C2-B,missing,0,0.95,0,0.05,0,0,0
VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,VFuaQ6m2Qom,manual,reviewed,pooled_unique_workers,5,5,5,0,0,5,5,0,4,10,1,,296,0.9,0.0794784990697,0.2,0.721928094887,0,2,C2-A-RP;C2-B,missing,0,0.8,0.2,0,0,0,0
VLzqgDo317F_5d3591edd7c546acaf99db40281b3409,VLzqgDo317F,manual,reviewed,pooled_unique_workers,2,2,2,0,2,2,2,0,1,1,1,0.0644466929804,157,0,0.000921623958422,0,-0,0,1,C2-B,public_dataset_reference_not_quality_assumed,0,1,0,0,0,0,0
X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,X7HyMhZNoso,semi,reviewed,pooled_unique_workers,24,24,24,0,24,18,24,0,3,276,211,0.021622558525,149.5,0.235507246377,0.0201791916513,0.125,0.658351422456,0,1,P1,adjudicated_reference,0,0.875,0.0416666666667,0.0833333333333,0,0,0
X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,X7HyMhZNoso,manual,reviewed,pooled_unique_workers,5,5,5,0,5,5,5,0,2,10,6,0.0733765238276,138,0.4,0.0881660508633,0,-0,0,1,C1,public_dataset_reference_not_quality_assumed,0,1,0,0,0,0,0
X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,X7HyMhZNoso,manual,reviewed,pooled_unique_workers,24,24,24,0,24,19,24,0,1,276,276,0.0268498445427,65,0,0.0369651835105,0,-0,0,1,P1,adjudicated_reference,0,1,0,0,0,0,0
X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,X7HyMhZNoso,manual,reviewed,pooled_unique_workers,5,5,5,0,5,4,5,0,3,10,3,0.0832267391705,160.5,0.7,0.0597743087537,0.2,0.721928094887,0,1,C1,public_dataset_reference_not_quality_assumed,0,0.8,0.2,0,0,0,0
X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,X7HyMhZNoso,semi,reviewed,pooled_unique_workers,4,4,4,0,4,4,4,0,2,6,3,0.0670934023636,75.5,0.5,0.0696778568214,0,-0,0,1,C1,public_dataset_reference_not_quality_assumed,0,1,0,0,0,0,0
Z6MFQCViBuw_2008e72476f84104858e908beeac0193,Z6MFQCViBuw,manual,reviewed,pooled_unique_workers,5,5,5,0,5,5,5,0,1,10,10,0.0544723673056,151,0,0.0711220350012,0.2,0.721928094887,0,1,C1,public_dataset_reference_not_quality_assumed,0,0.8,0.2,0,0,0,0
Z6MFQCViBuw_2008e72476f84104858e908beeac0193,Z6MFQCViBuw,semi,reviewed,pooled_unique_workers,4,4,4,0,4,4,4,0,1,6,6,0,30,0,0.000842867407285,0,-0,0,1,C1,public_dataset_reference_not_quality_assumed,0,1,0,0,0,0,0
Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,Z6MFQCViBuw,manual,reviewed,pooled_unique_workers,5,5,5,0,5,4,5,0,1,10,10,0.0492618627381,54.5,0,0.0669165717656,0.2,0.721928094887,0,1,C1,public_dataset_reference_not_quality_assumed,0,0.8,0.2,0,0,0,0
Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,Z6MFQCViBuw,semi,reviewed,pooled_unique_workers,5,5,5,0,5,4,5,0,1,10,10,0,77,0,0.0764048005976,0,-0,0,1,C1,public_dataset_reference_not_quality_assumed,0,1,0,0,0,0,0
Z6MFQCViBuw_59aed460238643f48f593e9b9ba1c17d,Z6MFQCViBuw,manual,reviewed,pooled_unique_workers,5,5,5,0,5,5,5,0,1,10,10,0.0851672535211,60,0,0.0439571090047,0,-0,0,1,C1,public_dataset_reference_not_quality_assumed,0,1,0,0,0,0,0
Z6MFQCViBuw_fbef2c9afec642c88d01cf09c90aec12,Z6MFQCViBuw,semi,reviewed,pooled_unique_workers,24,24,24,0,24,19,24,0,2,276,196,0.0421203229952,73,0.289855072464,0.0569505314899,0,-0,0,1,P1,public_dataset_reference_not_quality_assumed,0,1,0,0,0,0,0
b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,b8cTxDM8gDG,manual,reviewed,pooled_unique_workers,24,24,24,0,24,19,24,0,4,276,75,0.254231237438,152,0.728260869565,0.270855280647,0.458333333333,1.8153689877,0,1,P1,public_dataset_reference_not_quality_assumed,0,0.541666666667,0.125,0.0833333333333,0.208333333333,0.0416666666667,0
b8cTxDM8gDG_51c90ec9afc4495ab3788c6badc303df,b8cTxDM8gDG,semi,reviewed,pooled_unique_workers,24,24,24,0,24,19,24,0,3,276,193,0.0463183057263,168,0.300724637681,0.049745027015,0,-0,0,1,P1,adjudicated_reference,0,1,0,0,0,0,0
b8cTxDM8gDG_f339391e9479496e8652c972953f0ce4,b8cTxDM8gDG,manual,reviewed,pooled_unique_workers,5,5,5,0,5,4,5,0,2,10,6,0.0403162681477,150.5,0.4,0.038521104419,0,-0,0,1,C1,public_dataset_reference_not_quality_assumed,0,1,0,0,0,0,0
b8cTxDM8gDG_f3748786c3704532abb2358581488f3f,b8cTxDM8gDG,manual,reviewed,pooled_unique_workers,6,6,6,0,6,5,6,0,1,15,15,0.316739964384,89,0,0.461393843429,0,-0,0,1,C1,public_dataset_reference_not_quality_assumed,0,1,0,0,0,0,0
b8cTxDM8gDG_f63819c407e64c2897b703080766cb60,b8cTxDM8gDG,oos,reviewed,pooled_unique_workers,24,24,23,1,0,19,24,0,1,253,253,,465,0,0.133012119916,0.583333333333,1.19642094719,0.0416666666667,1,P1,reference_not_geometry_ready,0,0.416666666667,0.541666666667,0.0416666666667,0,0,0
e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945,e9zR4mvMWw7,manual,reviewed,pooled_unique_workers,6,6,6,0,6,5,6,0,1,15,15,0.0517515220453,99,0,0.051944120064,0,-0,0,1,C1,public_dataset_reference_not_quality_assumed,0,1,0,0,0,0,0
e9zR4mvMWw7_12c84e77f6564013a032220e8f9037e8,e9zR4mvMWw7,semi,reviewed,pooled_unique_workers,24,24,24,0,24,19,24,0,2,276,213,0.0163022225877,63,0.228260869565,0.0278134388176,0,-0,0,1,P1,public_dataset_reference_not_quality_assumed,0,1,0,0,0,0,0
e9zR4mvMWw7_1d316dfbe35f41dd9203eaf88be5aae8,e9zR4mvMWw7,manual,reviewed,pooled_unique_workers,6,6,6,0,6,5,6,0,1,15,15,0.274994741153,46,0,0.215419741646,0.166666666667,0.650022421648,0,1,C1,public_dataset_reference_not_quality_assumed,0,0.833333333333,0.166666666667,0,0,0,0
e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,e9zR4mvMWw7,semi,reviewed,pooled_unique_workers,24,24,24,0,24,18,24,0,1,276,276,0.0116768415855,241,0,0.0296839502873,0.0416666666667,0.249882292833,0,1,P1,adjudicated_reference,0,0.958333333333,0.0416666666667,0,0,0,0
e9zR4mvMWw7_409f2a738bf54153b9b77c39e7a4ea45,e9zR4mvMWw7,semi,reviewed,pooled_unique_workers,24,24,24,0,24,18,24,0,1,276,276,0.0475732037857,166,0,0.0489622412945,0.25,1.12418541631,0,1,P1,adjudicated_reference,0,0.75,0.0416666666667,0.0416666666667,0.166666666667,0,0
e9zR4mvMWw7_4273c4dd97974531b5256f96204fee47,e9zR4mvMWw7,manual,reviewed,pooled_unique_workers,6,6,6,0,6,5,6,0,1,15,15,0.147921968683,55,0,0.111432966106,0.333333333333,1.25162916739,0,1,C1,public_dataset_reference_not_quality_assumed,0,0.666666666667,0,0.166666666667,0.166666666667,0,0
e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,e9zR4mvMWw7,manual,reviewed,pooled_unique_workers,24,24,24,0,24,19,24,0,3,276,93,0.144927929384,174,0.663043478261,0.0908732056508,0.291666666667,1.32488934225,0,1,P1,adjudicated_reference,0,0.708333333333,0.125,0.0833333333333,0.0833333333333,0,0
e9zR4mvMWw7_ac03b99e3f3642be80b4d24fde0af03a,e9zR4mvMWw7,semi,reviewed,pooled_unique_workers,24,24,24,0,24,19,24,0,2,276,232,0.0210862913711,59,0.159420289855,0.0412633863489,0,-0,0,1,P1,public_dataset_reference_not_quality_assumed,0,1,0,0,0,0,0
e9zR4mvMWw7_f7ab5b3ece274b48be57eb65bb6d4814,e9zR4mvMWw7,semi,reviewed,pooled_unique_workers,24,24,23,1,23,18,24,0,3,253,157,0.0611618265841,164,0.379446640316,0.0445746483692,0.166666666667,0.816689088315,0.0416666666667,1,P1,adjudicated_reference,0,0.833333333333,0.0833333333333,0.0833333333333,0,0,0
