condition,heldout_building,worker_id,coannotated_training_images,relative_log_pairs,known
manual,X7HyMhZNoso,W028,66,0.051042324316303234,True
manual,X7HyMhZNoso,W029,67,-0.14161057908249597,True
manual,X7HyMhZNoso,W030,67,-0.012914866972743683,True
manual,X7HyMhZNoso,W031,72,-0.006569161220399603,True
manual,X7HyMhZNoso,W032,68,0.047811836731414786,True
manual,X7HyMhZNoso,W033,68,0.0207537548054405,True
manual,X7HyMhZNoso,W034,86,-0.09138125218442446,True
manual,X7HyMhZNoso,W035,67,-0.021228545810115625,True
manual,X7HyMhZNoso,W036,69,-0.014606006529857522,True
manual,X7HyMhZNoso,W037,67,-0.02899408737755325,True
manual,Z6MFQCViBuw,W001,69,0.09881968036417979,True
manual,Z6MFQCViBuw,W002,62,0.08438824004296525,True
manual,Z6MFQCViBuw,W006,68,0.02322124504274394,True
manual,Z6MFQCViBuw,W008,69,-0.07495318282420542,True
manual,Z6MFQCViBuw,W010,68,-0.032393806470736954,True
manual,Z6MFQCViBuw,W011,68,0.05066544654298116,True
manual,Z6MFQCViBuw,W012,67,0.043712341207352,True
manual,Z6MFQCViBuw,W013,68,-0.013921301206616521,True
manual,Z6MFQCViBuw,W014,58,-0.023525140469743903,True
manual,Z6MFQCViBuw,W015,69,0.02914625140646789,True
manual,Z6MFQCViBuw,W017,67,0.08192202482224467,True
manual,Z6MFQCViBuw,W018,57,0.01604883041541214,True
manual,Z6MFQCViBuw,W021,30,0.021813309167346258,True
manual,Z6MFQCViBuw,W027,58,0.08576064282270514,True
manual,Z6MFQCViBuw,W028,67,0.05036175999208586,True
manual,Z6MFQCViBuw,W029,68,-0.13974728198930522,True
manual,Z6MFQCViBuw,W030,67,-0.012914866972743683,True
manual,Z6MFQCViBuw,W031,73,-0.0064880604645922,True
manual,Z6MFQCViBuw,W032,69,0.05245668441163231,True
manual,Z6MFQCViBuw,W033,69,0.022352290927784006,True
manual,Z6MFQCViBuw,W034,87,-0.09771563037785097,True
manual,Z6MFQCViBuw,W035,68,-0.020949222838929894,True
manual,Z6MFQCViBuw,W036,70,-0.014418750035884989,True
manual,Z6MFQCViBuw,W037,68,-0.03239787665484572,True
manual,b8cTxDM8gDG,W001,69,0.10171764856306564,True
manual,b8cTxDM8gDG,W002,62,0.08757600506173965,True
manual,b8cTxDM8gDG,W006,68,0.026157344402141434,True
manual,b8cTxDM8gDG,W008,69,-0.07732099525010094,True
manual,b8cTxDM8gDG,W010,67,-0.029850476539490654,True
manual,b8cTxDM8gDG,W011,68,0.04623818027164941,True
manual,b8cTxDM8gDG,W012,67,0.043712341207352,True
manual,b8cTxDM8gDG,W013,66,-0.01676135741211906,True
manual,b8cTxDM8gDG,W014,56,-0.02710907543432894,True
manual,b8cTxDM8gDG,W015,69,0.026778438980572382,True
manual,b8cTxDM8gDG,W017,67,0.08192202482224467,True
manual,b8cTxDM8gDG,W018,55,0.020100278227238075,True
manual,b8cTxDM8gDG,W021,29,0.017475248420681166,True
manual,b8cTxDM8gDG,W027,56,0.0919272809001992,True
manual,b8cTxDM8gDG,W028,65,0.051741534238444374,True
manual,b8cTxDM8gDG,W029,66,-0.1405087821604458,True
manual,b8cTxDM8gDG,W030,67,-0.017401163461026523,True
manual,b8cTxDM8gDG,W031,72,-0.0015008473690475478,True
manual,b8cTxDM8gDG,W032,69,0.05245668441163231,True
manual,b8cTxDM8gDG,W033,69,0.01998447850188849,True
manual,b8cTxDM8gDG,W034,86,-0.100694749390317,True
manual,b8cTxDM8gDG,W035,66,-0.023979222872332794,True
manual,b8cTxDM8gDG,W036,68,-0.01186209146690552,True
manual,b8cTxDM8gDG,W037,68,-0.029461777295448223,True
manual,e9zR4mvMWw7,W001,68,0.09772097146378801,True
manual,e9zR4mvMWw7,W002,62,0.08178364637448017,True
manual,e9zR4mvMWw7,W006,67,0.021099907552727795,True
manual,e9zR4mvMWw7,W008,69,-0.07732099525010094,True
manual,e9zR4mvMWw7,W010,67,-0.029850476539490654,True
manual,e9zR4mvMWw7,W011,67,0.048910031739634846,True
manual,e9zR4mvMWw7,W012,66,0.04430304852096486,True
manual,e9zR4mvMWw7,W013,66,-0.01429755259057913,True
manual,e9zR4mvMWw7,W014,56,-0.0242603011094234,True
manual,e9zR4mvMWw7,W015,69,0.026778438980572382,True
manual,e9zR4mvMWw7,W017,67,0.0794910707316586,True
manual,e9zR4mvMWw7,W018,55,0.013664324130283083,True
manual,e9zR4mvMWw7,W021,29,0.017475248420681166,True
manual,e9zR4mvMWw7,W027,56,0.08559188858600913,True
manual,e9zR4mvMWw7,W028,65,0.054798295215351366,True
manual,e9zR4mvMWw7,W029,66,-0.14352423555658375,True
manual,e9zR4mvMWw7,W030,66,-0.013089392202105083,True
manual,e9zR4mvMWw7,W031,71,-0.006652315159898331,True
manual,e9zR4mvMWw7,W032,69,0.05535465261051815,True
manual,e9zR4mvMWw7,W033,68,0.02024743216638702,True
manual,e9zR4mvMWw7,W034,86,-0.09875515836059408,True
manual,e9zR4mvMWw7,W035,66,-0.018499964654654897,True
manual,e9zR4mvMWw7,W036,68,-0.01186209146690552,True
manual,e9zR4mvMWw7,W037,68,-0.03239787665484572,True
manual,jh4fc5c5qoQ,W001,69,0.1005538542943684,True
manual,jh4fc5c5qoQ,W002,63,0.08319967328179671,True
manual,jh4fc5c5qoQ,W006,69,0.02291967043179921,True
manual,jh4fc5c5qoQ,W008,70,-0.07399224458286946,True
manual,jh4fc5c5qoQ,W010,68,-0.03415079847895436,True
manual,jh4fc5c5qoQ,W011,67,0.053396328227917685,True
manual,jh4fc5c5qoQ,W012,66,0.039204477829863936,True
manual,jh4fc5c5qoQ,W013,67,-0.014106918556038076,True
manual,jh4fc5c5qoQ,W014,58,-0.023525140469743903,True
manual,jh4fc5c5qoQ,W015,69,0.02914625140646789,True
manual,jh4fc5c5qoQ,W017,67,0.07565530976563485,True
manual,jh4fc5c5qoQ,W018,57,0.01604883041541214,True
manual,jh4fc5c5qoQ,W021,30,0.021813309167346258,True
manual,jh4fc5c5qoQ,W027,58,0.08576064282270514,True
manual,jh4fc5c5qoQ,W028,65,0.029524268040736736,True
manual,jh4fc5c5qoQ,W029,66,-0.12160720268587219,True
manual,jh4fc5c5qoQ,W030,68,-0.012744934512576002,True
manual,jh4fc5c5qoQ,W031,74,-0.006408937775999612,True
manual,jh4fc5c5qoQ,W032,70,0.05178416281661138,True
manual,jh4fc5c5qoQ,W033,70,0.022065723095376518,True
manual,jh4fc5c5qoQ,W034,88,-0.0966977592280817,True
manual,jh4fc5c5qoQ,W035,68,-0.020949222838929894,True
manual,jh4fc5c5qoQ,W036,70,-0.014418750035884989,True
manual,jh4fc5c5qoQ,W037,68,-0.026213618375296573,True
manual,jtcxE69GiFV,W001,68,0.08566451446544388,True
manual,jtcxE69GiFV,W002,59,0.07001166386094138,True
manual,jtcxE69GiFV,W006,65,0.03528417588308039,True
manual,jtcxE69GiFV,W008,67,-0.07154573292474203,True
manual,jtcxE69GiFV,W010,68,-0.032393806470736954,True
manual,jtcxE69GiFV,W011,69,0.050007453730734654,True
manual,jtcxE69GiFV,W012,67,0.043712341207352,True
manual,jtcxE69GiFV,W013,66,-0.01977681080825703,True
manual,jtcxE69GiFV,W014,58,-0.023525140469743903,True
manual,jtcxE69GiFV,W015,68,0.03486482192639726,True
manual,jtcxE69GiFV,W017,66,0.08302907921173446,True
manual,jtcxE69GiFV,W018,57,0.01604883041541214,True
manual,jtcxE69GiFV,W021,30,0.021813309167346258,True
manual,jtcxE69GiFV,W027,58,0.08576064282270514,True
manual,jtcxE69GiFV,W028,66,0.056521582533981145,True
manual,jtcxE69GiFV,W029,67,-0.12696241523358787,True
manual,jtcxE69GiFV,W030,68,-0.012744934512576002,True
manual,jtcxE69GiFV,W031,74,-0.006408937775999612,True
manual,jtcxE69GiFV,W032,70,0.05178416281661138,True
manual,jtcxE69GiFV,W033,69,0.022352290927784006,True
manual,jtcxE69GiFV,W034,86,-0.09875515836059408,True
manual,jtcxE69GiFV,W035,67,-0.021228545810115625,True
manual,jtcxE69GiFV,W036,67,-0.025807902920204778,True
manual,jtcxE69GiFV,W037,69,-0.03197712500997759,True
manual,pRbA3pwrgk9,W001,68,0.08806348231799592,True
manual,pRbA3pwrgk9,W002,62,0.08438824004296525,True
manual,pRbA3pwrgk9,W006,67,0.023530861643313857,True
manual,pRbA3pwrgk9,W008,68,-0.06769754727915965,True
manual,pRbA3pwrgk9,W010,68,-0.032393806470736954,True
manual,pRbA3pwrgk9,W011,66,0.03549060046564874,True
manual,pRbA3pwrgk9,W012,66,0.04142409990399931,True
manual,pRbA3pwrgk9,W013,66,-0.012873761838446343,True
manual,pRbA3pwrgk9,W014,58,-0.023525140469743903,True
manual,pRbA3pwrgk9,W015,68,0.028143432140002655,True
manual,pRbA3pwrgk9,W017,66,0.08302907921173446,True
manual,pRbA3pwrgk9,W018,57,0.01604883041541214,True
manual,pRbA3pwrgk9,W021,30,0.021813309167346258,True
manual,pRbA3pwrgk9,W027,58,0.08576064282270514,True
manual,pRbA3pwrgk9,W028,65,0.042246367381458816,True
manual,pRbA3pwrgk9,W029,65,-0.1454903209751671,True
manual,pRbA3pwrgk9,W030,67,-0.022156829380209617,True
manual,pRbA3pwrgk9,W031,72,-0.006569161220399603,True
manual,pRbA3pwrgk9,W032,67,0.04304312644639146,True
manual,pRbA3pwrgk9,W033,66,0.023258464884315787,True
manual,pRbA3pwrgk9,W034,85,-0.09981704178382626,True
manual,pRbA3pwrgk9,W035,65,-0.021810149804913314,True
manual,pRbA3pwrgk9,W036,68,-0.01773429018570051,True
manual,pRbA3pwrgk9,W037,67,-0.032829848343576995,True
manual,pa4otMbVnkk,W001,69,0.08981776892833634,True
manual,pa4otMbVnkk,W002,62,0.08438824004296525,True
manual,pa4otMbVnkk,W006,68,0.02322124504274394,True
manual,pa4otMbVnkk,W008,69,-0.07495318282420542,True
manual,pa4otMbVnkk,W010,69,-0.03197310768540271,True
manual,pa4otMbVnkk,W011,69,0.050007453730734654,True
manual,pa4otMbVnkk,W012,67,0.03987658024132824,True
manual,pa4otMbVnkk,W013,67,-0.014106918556038076,True
manual,pa4otMbVnkk,W014,58,-0.023525140469743903,True
manual,pa4otMbVnkk,W015,69,0.02914625140646789,True
manual,pa4otMbVnkk,W017,68,0.0808441034430046,True
manual,pa4otMbVnkk,W018,57,0.01604883041541214,True
manual,pa4otMbVnkk,W021,30,0.021813309167346258,True
manual,pa4otMbVnkk,W027,58,0.08576064282270514,True
manual,pa4otMbVnkk,W028,66,0.04008380788094743,True
manual,pa4otMbVnkk,W029,67,-0.14161057908249597,True
manual,pa4otMbVnkk,W030,67,-0.010996986489731811,True
manual,pa4otMbVnkk,W031,73,-0.00471224520254417,True
manual,pa4otMbVnkk,W032,69,0.0561928152226944,True
manual,pa4otMbVnkk,W033,70,0.022065723095376518,True
manual,pa4otMbVnkk,W034,87,-0.09406748732227233,True
manual,pa4otMbVnkk,W035,67,-0.016607564606382658,True
manual,pa4otMbVnkk,W036,69,-0.014606006529857522,True
manual,pa4otMbVnkk,W037,68,-0.03773294386679525,True
manual,q9vSo1VnCiC,W001,63,0.10214704850849454,True
manual,q9vSo1VnCiC,W002,57,0.08258738926576736,True
manual,q9vSo1VnCiC,W006,63,0.010070316883800872,True
manual,q9vSo1VnCiC,W008,64,-0.06710605621985566,True
manual,q9vSo1VnCiC,W010,63,-0.03250392411195423,True
manual,q9vSo1VnCiC,W011,63,0.04778068410323225,True
manual,q9vSo1VnCiC,W012,62,0.04584903884377783,True
manual,q9vSo1VnCiC,W013,62,-0.007120044339534758,True
manual,q9vSo1VnCiC,W014,52,-0.01655072471779458,True
manual,q9vSo1VnCiC,W015,65,0.02585734814190816,True
manual,q9vSo1VnCiC,W017,62,0.07375866106098009,True
manual,q9vSo1VnCiC,W018,51,0.023383834129203425,True
manual,q9vSo1VnCiC,W021,26,0.013889141306483103,True
manual,q9vSo1VnCiC,W027,52,0.09211118389456695,True
manual,q9vSo1VnCiC,W028,61,0.05474104346965854,True
manual,q9vSo1VnCiC,W029,62,-0.1469188742080855,True
manual,q9vSo1VnCiC,W030,62,-0.009030611233350904,True
manual,q9vSo1VnCiC,W031,68,-0.004955469416764064,True
manual,q9vSo1VnCiC,W032,64,0.0419114965408501,True
manual,q9vSo1VnCiC,W033,64,0.028538189270878637,True
manual,q9vSo1VnCiC,W034,79,-0.09614870395829646,True
manual,q9vSo1VnCiC,W035,62,-0.014750359254617845,True
manual,q9vSo1VnCiC,W036,64,-0.015620312538875405,True
manual,q9vSo1VnCiC,W037,62,-0.03792373623172842,True
manual,rPc6DW4iMge,W001,64,0.09708439138382807,True
manual,rPc6DW4iMge,W002,56,0.07621183415353762,True
manual,rPc6DW4iMge,W006,62,0.03291158748544609,True
manual,rPc6DW4iMge,W008,63,-0.06555773192549677,True
manual,rPc6DW4iMge,W010,62,-0.04066821589544911,True
manual,rPc6DW4iMge,W011,63,0.06399607208206357,True
manual,rPc6DW4iMge,W012,62,0.056736753873019206,True
manual,rPc6DW4iMge,W013,61,-0.007522063637248823,True
manual,rPc6DW4iMge,W014,51,-0.017180724919837468,True
manual,rPc6DW4iMge,W015,63,0.026585724145905574,True
manual,rPc6DW4iMge,W017,61,0.0748307624442989,True
manual,rPc6DW4iMge,W018,51,0.026338976284199653,True
manual,rPc6DW4iMge,W021,26,0.044766262615267734,True
manual,rPc6DW4iMge,W027,52,0.07974556148241066,True
manual,rPc6DW4iMge,W028,61,0.04957184138358995,True
manual,rPc6DW4iMge,W029,62,-0.13041626506299261,True
manual,rPc6DW4iMge,W030,61,-0.004435857746084429,True
manual,rPc6DW4iMge,W031,68,-0.007285575981561374,True
manual,rPc6DW4iMge,W032,63,0.054258997078202156,True
manual,rPc6DW4iMge,W033,64,0.011662818452300744,True
manual,rPc6DW4iMge,W034,79,-0.10132184071128955,True
manual,rPc6DW4iMge,W035,62,-0.026335076629136825,True
manual,rPc6DW4iMge,W036,64,-0.008525512208792203,True
manual,rPc6DW4iMge,W037,62,-0.03344471075917586,True
manual,uNb9QFRL6hY,W001,56,0.09418758788612173,True
manual,uNb9QFRL6hY,W002,50,0.08697135992404881,True
manual,uNb9QFRL6hY,W006,55,0.019198500140600226,True
manual,uNb9QFRL6hY,W008,56,-0.09469402312000438,True
manual,uNb9QFRL6hY,W010,55,-0.024953214717756377,True
manual,uNb9QFRL6hY,W011,55,0.052336022370324205,True
manual,uNb9QFRL6hY,W012,53,0.028122240589293992,True
manual,uNb9QFRL6hY,W013,54,-0.011051274369528514,True
manual,uNb9QFRL6hY,W014,44,-0.027713221064346014,True
manual,uNb9QFRL6hY,W015,56,0.028268292885640384,True
manual,uNb9QFRL6hY,W017,54,0.08230791550102821,True
manual,uNb9QFRL6hY,W018,43,0.002892206516281761,True
manual,uNb9QFRL6hY,W021,24,0.02173044861670735,True
manual,uNb9QFRL6hY,W027,43,0.0507395568931574,True
manual,uNb9QFRL6hY,W028,53,0.06145837905638922,True
manual,uNb9QFRL6hY,W029,54,-0.13501433219390432,True
manual,uNb9QFRL6hY,W030,53,-0.01597734414774503,True
manual,uNb9QFRL6hY,W031,59,-0.0058245461993663775,True
manual,uNb9QFRL6hY,W032,55,0.06636156445629982,True
manual,uNb9QFRL6hY,W033,55,0.02887017505644021,True
manual,uNb9QFRL6hY,W034,71,-0.09015538771563524,True
manual,uNb9QFRL6hY,W035,54,-0.02747923728089962,True
manual,uNb9QFRL6hY,W036,56,-0.010064702187645588,True
manual,uNb9QFRL6hY,W037,55,-0.04587662869101201,True
manual,wc2JMjhGNzB,W001,64,0.1065541249934655,True
manual,wc2JMjhGNzB,W002,57,0.07816151122804767,True
manual,wc2JMjhGNzB,W006,64,0.02197907036742479,True
manual,wc2JMjhGNzB,W008,64,-0.08269050880913573,True
manual,wc2JMjhGNzB,W010,64,-0.029828124473122528,True
manual,wc2JMjhGNzB,W011,63,0.053636666521676375,True
manual,wc2JMjhGNzB,W012,62,0.04773153145770103,True
manual,wc2JMjhGNzB,W013,63,-0.02466431087694086,True
manual,wc2JMjhGNzB,W014,53,-0.028675091230457396,True
manual,wc2JMjhGNzB,W015,64,0.033681031880342945,True
manual,wc2JMjhGNzB,W017,62,0.0810592604631802,True
manual,wc2JMjhGNzB,W018,52,0.022624638445216266,True
manual,wc2JMjhGNzB,W021,28,0.023025159676643273,True
manual,wc2JMjhGNzB,W027,53,0.08657966517130788,True
manual,wc2JMjhGNzB,W028,62,0.05546417878663236,True
