image_id,building,condition,k,repeat,method,cut,hidden_geometry_outside_candidate_support,hidden_counts_outside_support,n_hidden
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,8,0,selected_mixture,0.1,0.3333333333333333,0.06666666666666667,15
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,8,0,selected_mixture,0.2,0.13333333333333333,0.06666666666666667,15
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,8,1,seed_equal,0.05,0.8666666666666667,0.06666666666666667,15
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,8,1,seed_equal,0.1,0.26666666666666666,0.06666666666666667,15
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,8,1,seed_equal,0.2,0.13333333333333333,0.06666666666666667,15
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,8,1,selected_mixture,0.05,0.8666666666666667,0.06666666666666667,15
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,8,1,selected_mixture,0.1,0.26666666666666666,0.06666666666666667,15
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,8,1,selected_mixture,0.2,0.13333333333333333,0.06666666666666667,15
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,4,0,seed_equal,0.05,0.9,0.1,20
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,4,0,seed_equal,0.1,0.75,0.1,20
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,4,0,seed_equal,0.2,0.45,0.1,20
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,4,0,selected_mixture,0.05,0.9,0.1,20
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,4,0,selected_mixture,0.1,0.65,0.1,20
