condition,repeat,n_types,left_workers,size,best_disjoint_jaccard
manual,2,4,W034,1,0.5
manual,2,4,W037,1,1.0
manual,3,2,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W035|W036|W037,23,0.9166666666666666
manual,3,2,W034,1,0.043478260869565216
manual,3,3,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W028|W029|W030|W031|W032|W033|W035|W036|W037,22,0.9130434782608695
manual,3,3,W027,1,0.045454545454545456
manual,3,3,W034,1,1.0
manual,3,4,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W028|W029|W032|W033|W035|W036,19,0.8181818181818182
manual,3,4,W027,1,0.047619047619047616
manual,3,4,W030|W031|W037,3,0.3333333333333333
manual,3,4,W034,1,1.0
manual,4,2,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W034|W035|W036,23,1.0
manual,4,2,W037,1,1.0
manual,4,3,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W035|W036,22,1.0
manual,4,3,W034,1,1.0
manual,4,3,W037,1,1.0
manual,4,4,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W028|W029|W030|W031|W032|W033|W035|W036,21,0.9090909090909091
manual,4,4,W027,1,0.047619047619047616
manual,4,4,W034,1,1.0
manual,4,4,W037,1,1.0
manual,5,2,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W034|W035|W036,23,0.9166666666666666
manual,5,2,W037,1,0.043478260869565216
manual,5,3,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W035|W036,22,0.7916666666666666
manual,5,3,W034,1,0.047619047619047616
manual,5,3,W037,1,0.047619047619047616
manual,5,4,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W033|W035|W036,21,0.7619047619047619
manual,5,4,W032,1,0.5
manual,5,4,W034,1,0.2
manual,5,4,W037,1,0.2
manual,6,2,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W035|W036|W037,23,0.9166666666666666
manual,6,2,W034,1,0.043478260869565216
manual,6,3,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W035|W036,22,0.9545454545454546
manual,6,3,W034,1,0.5
manual,6,3,W037,1,1.0
manual,6,4,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W033|W035|W036,21,0.8181818181818182
manual,6,4,W032,1,0.05263157894736842
manual,6,4,W034,1,0.5
manual,6,4,W037,1,1.0
manual,7,2,W001|W027,2,0.08695652173913043
manual,7,2,W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W028|W029|W030|W031|W032|W033|W034|W035|W036|W037,22,0.875
manual,7,3,W001|W027,2,0.09090909090909091
manual,7,3,W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W028|W029|W030|W031|W032|W033|W034|W035|W036,21,0.8695652173913043
manual,7,3,W037,1,1.0
manual,7,4,W001|W027,2,0.09523809523809523
manual,7,4,W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W028|W029|W030|W031|W032|W033|W034|W036,20,0.782608695652174
manual,7,4,W035,1,0.047619047619047616
manual,7,4,W037,1,1.0
manual,8,2,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W030|W031|W032|W033|W035|W036,21,0.9130434782608695
manual,8,2,W029|W034|W037,3,0.3333333333333333
manual,8,3,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W028|W030|W031|W033|W035|W036,19,0.8636363636363636
manual,8,3,W027|W032,2,0.09090909090909091
manual,8,3,W029|W034|W037,3,0.3333333333333333
manual,8,4,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W028|W030|W031|W033|W035|W036,19,0.9047619047619048
manual,8,4,W027|W032,2,0.5
manual,8,4,W029|W037,2,0.5
manual,8,4,W034,1,1.0
manual,9,2,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W035|W036|W037,23,0.9166666666666666
manual,9,2,W034,1,0.043478260869565216
manual,9,3,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W035|W036,22,0.9545454545454546
manual,9,3,W034,1,0.5
manual,9,3,W037,1,1.0
manual,9,4,W001|W027,2,0.09523809523809523
manual,9,4,W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W028|W029|W030|W031|W032|W033|W035|W036,20,0.8636363636363636
manual,9,4,W034,1,1.0
manual,9,4,W037,1,1.0
manual,10,2,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W034|W035|W036,23,0.9166666666666666
manual,10,2,W037,1,0.043478260869565216
manual,10,3,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W036,21,0.9545454545454546
manual,10,3,W034|W035,2,0.5
manual,10,3,W037,1,1.0
manual,10,4,W001|W027,2,0.09523809523809523
manual,10,4,W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W028|W029|W030|W031|W032|W033|W036,19,0.8181818181818182
manual,10,4,W034|W035,2,0.5
manual,10,4,W037,1,1.0
manual,11,2,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W034|W035|W036,23,1.0
manual,11,2,W037,1,1.0
manual,11,3,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W036,21,0.9545454545454546
manual,11,3,W034|W035,2,0.5
manual,11,3,W037,1,1.0
manual,11,4,W001|W027,2,0.09523809523809523
manual,11,4,W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W028|W029|W030|W031|W032|W033|W036,19,0.8181818181818182
manual,11,4,W034|W035,2,0.5
manual,11,4,W037,1,1.0
manual,12,2,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W035|W036,22,0.9565217391304348
manual,12,2,W034|W037,2,0.5
manual,12,3,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W035|W036,22,1.0
manual,12,3,W034,1,1.0
manual,12,3,W037,1,1.0
manual,12,4,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W028|W029|W030|W031|W033|W035|W036,20,0.8636363636363636
manual,12,4,W027|W032,2,0.09523809523809523
manual,12,4,W034,1,1.0
manual,12,4,W037,1,1.0
manual,13,2,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W035|W036|W037,23,0.875
manual,13,2,W034,1,0.045454545454545456
manual,13,3,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W035|W036,22,0.8695652173913043
manual,13,3,W034,1,0.047619047619047616
manual,13,3,W037,1,0.5
manual,13,4,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W033|W035|W036,21,0.8181818181818182
manual,13,4,W032,1,0.5
manual,13,4,W034,1,0.05263157894736842
manual,13,4,W037,1,0.5
manual,14,2,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W035|W036|W037,23,0.9166666666666666
manual,14,2,W034,1,0.043478260869565216
manual,14,3,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W035|W036,22,1.0
manual,14,3,W034,1,1.0
manual,14,3,W037,1,1.0
manual,14,4,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W028|W029|W030|W031|W033|W035|W036,20,0.9523809523809523
manual,14,4,W027|W032,2,0.5
manual,14,4,W034,1,1.0
manual,14,4,W037,1,1.0
manual,15,2,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W031|W032|W033|W034|W035|W036,22,0.9565217391304348
manual,15,2,W030|W037,2,0.5
manual,15,3,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W031|W032|W033|W034|W035|W036,22,0.9130434782608695
manual,15,3,W030,1,0.045454545454545456
manual,15,3,W037,1,1.0
manual,15,4,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W031|W032|W033|W036,20,0.8636363636363636
manual,15,4,W030,1,0.047619047619047616
manual,15,4,W034|W035,2,0.5
manual,15,4,W037,1,1.0
manual,16,2,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W034|W035|W036,23,0.9166666666666666
manual,16,2,W037,1,0.043478260869565216
manual,16,3,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W035|W036,22,1.0
manual,16,3,W034,1,1.0
manual,16,3,W037,1,1.0
manual,16,4,W001,1,0.05
manual,16,4,W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W035|W036,21,0.8636363636363636
manual,16,4,W034,1,1.0
manual,16,4,W037,1,1.0
manual,17,2,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W035|W036|W037,23,0.9166666666666666
manual,17,2,W034,1,0.043478260869565216
manual,17,3,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W035|W036,22,1.0
manual,17,3,W034,1,1.0
manual,17,3,W037,1,1.0
manual,17,4,W001|W027,2,0.09523809523809523
manual,17,4,W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W028|W029|W030|W031|W032|W033|W035|W036,20,0.8636363636363636
manual,17,4,W034,1,1.0
manual,17,4,W037,1,1.0
manual,18,2,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W034|W035|W036,23,0.9166666666666666
manual,18,2,W037,1,0.043478260869565216
manual,18,3,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W035|W036,22,0.9130434782608695
manual,18,3,W034,1,1.0
manual,18,3,W037,1,0.045454545454545456
manual,18,4,W001,1,0.047619047619047616
manual,18,4,W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W035|W036,21,0.9090909090909091
manual,18,4,W034,1,1.0
manual,18,4,W037,1,1.0
manual,19,2,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W034|W035|W036,23,0.9166666666666666
manual,19,2,W037,1,0.043478260869565216
manual,19,3,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W035|W036,22,0.9130434782608695
manual,19,3,W034,1,1.0
manual,19,3,W037,1,0.045454545454545456
manual,19,4,W001|W027,2,0.1
manual,19,4,W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W028|W029|W030|W031|W032|W033|W035|W036,20,0.8181818181818182
manual,19,4,W034,1,1.0
manual,19,4,W037,1,0.5
semi,0,2,W001|W002|W008|W010|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W034|W035|W036|W037,22,1.0
semi,0,2,W006|W011,2,1.0
semi,0,3,W001|W037,2,0.25
semi,0,3,W002|W008|W010|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W034|W035|W036,20,0.8571428571428571
semi,0,3,W006|W011,2,1.0
semi,0,4,W001,1,0.058823529411764705
semi,0,4,W002|W008|W010|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W034|W035|W036,20,0.7619047619047619
semi,0,4,W006|W011,2,1.0
semi,0,4,W037,1,0.3333333333333333
semi,1,2,W001|W002|W008|W010|W011|W012|W013|W014|W015|W017|W018|W027|W028|W029|W030|W032|W033|W034|W036,19,0.8571428571428571
semi,1,2,W031|W037,2,0.1
semi,1,3,W001|W002|W008|W010|W012|W013|W014|W015|W017|W018|W027|W028|W029|W030|W032|W033|W034|W036,18,0.85
semi,1,3,W011,1,1.0
semi,1,3,W031|W037,2,0.10526315789473684
semi,1,4,W001|W002|W008|W010|W012|W013|W014|W015|W017|W018|W027|W028|W029|W030|W032|W033|W034|W036,18,0.85
semi,1,4,W011,1,1.0
semi,1,4,W031,1,0.05263157894736842
semi,1,4,W037,1,0.05263157894736842
semi,2,2,W001|W002|W006|W008|W010|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W034|W035|W036|W037,23,0.9565217391304348
semi,2,2,W011,1,0.5
semi,2,3,W001|W002|W006|W008|W010|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W032|W033|W034|W036|W037,21,0.8636363636363636
semi,2,3,W011,1,0.5
semi,2,3,W031|W035,2,0.3333333333333333
semi,2,4,W001|W002|W006|W008|W010|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W032|W033|W034|W036,20,0.8571428571428571
semi,2,4,W011,1,0.5
semi,2,4,W031|W035,2,0.3333333333333333
semi,2,4,W037,1,0.5
semi,3,2,W001|W002|W006|W008|W010|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W034|W035|W036|W037,23,0.9565217391304348
semi,3,2,W011,1,0.5
semi,3,3,W001|W002|W006|W008|W010|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W034|W036,21,0.8636363636363636
semi,3,3,W011,1,0.5
semi,3,3,W035|W037,2,0.3333333333333333
semi,3,4,W001|W002|W006|W008|W010|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W036,20,0.8095238095238095
semi,3,4,W011,1,0.5
semi,3,4,W034,1,0.05555555555555555
semi,3,4,W035|W037,2,0.3333333333333333
semi,4,2,W001|W002|W008|W010|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W034|W035|W036|W037,22,1.0
semi,4,2,W006|W011,2,1.0
semi,4,3,W001|W002|W008|W010|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W032|W033|W034|W036,19,0.8571428571428571
semi,4,3,W006|W011,2,1.0
semi,4,3,W031|W035|W037,3,0.25
semi,4,4,W001|W002|W008|W010|W012|W013|W014|W015|W017|W018|W027|W028|W029|W030|W032|W033|W034,17,0.7619047619047619
semi,4,4,W006|W011,2,1.0
semi,4,4,W021|W036,2,0.1
semi,4,4,W031|W035|W037,3,0.3333333333333333
semi,5,2,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W032|W033|W034|W036,21,0.7916666666666666
semi,5,2,W031|W035|W037,3,0.13636363636363635
semi,5,3,W001|W002|W006|W008|W010|W012|W013|W014|W015|W017|W018|W027|W028|W029|W030|W032|W033|W034|W036,19,0.7391304347826086
semi,5,3,W011|W021,2,0.3333333333333333
semi,5,3,W031|W035|W037,3,0.14285714285714285
semi,5,4,W001|W002|W006|W008|W010|W012|W013|W014|W015|W017|W018|W027|W028|W029|W030|W033|W034|W036,18,0.6818181818181818
semi,5,4,W011|W021,2,0.3333333333333333
semi,5,4,W031|W035|W037,3,0.25
semi,5,4,W032,1,0.05263157894736842
semi,6,2,W001|W002|W006|W008|W010|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W034|W035|W036|W037,23,0.9565217391304348
semi,6,2,W011,1,0.5
semi,6,3,W001|W002|W006|W008|W010|W012|W013|W014|W015|W017|W018|W021|W027|W029|W030|W031|W033|W034|W035|W036|W037,21,0.8260869565217391
semi,6,3,W011,1,0.5
semi,6,3,W028|W032,2,0.09523809523809523
semi,6,4,W001|W002|W006|W008|W010|W012|W013|W014|W015|W017|W018|W021|W027|W029|W030|W033|W034|W036|W037,19,0.6956521739130435
semi,6,4,W011,1,0.5
semi,6,4,W028|W032,2,0.1
semi,6,4,W031|W035,2,0.1
semi,7,2,W001|W002|W008|W010|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W034|W035|W036|W037,22,1.0
semi,7,2,W006|W011,2,1.0
semi,7,3,W001|W002|W008|W010|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W034|W035|W036,21,0.8636363636363636
semi,7,3,W006|W011,2,1.0
semi,7,3,W037,1,0.05
semi,7,4,W001|W002|W008|W010|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W032|W033|W034|W035|W036,20,0.7727272727272727
semi,7,4,W006|W011,2,1.0
semi,7,4,W031,1,0.05263157894736842
semi,7,4,W037,1,0.05263157894736842
semi,8,2,W001|W002|W008|W010|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W034|W035|W037,21,1.0
semi,8,2,W006|W011,2,1.0
semi,8,3,W001|W002|W008|W010|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W034|W035,20,0.9
semi,8,3,W006|W011,2,1.0
semi,8,3,W037,1,0.3333333333333333
semi,8,4,W001|W002|W008|W010|W012|W013|W014|W015|W017|W018|W021|W028|W029|W030|W031|W032|W033|W034|W035,19,0.8
semi,8,4,W006|W011,2,1.0
semi,8,4,W027,1,0.058823529411764705
semi,8,4,W037,1,0.3333333333333333
semi,9,2,W001|W002|W006|W008|W010|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W034|W035|W036|W037,23,0.9565217391304348
semi,9,2,W011,1,0.5
semi,9,3,W001|W002|W006|W008|W010|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W032|W033|W034|W036,20,0.8181818181818182
semi,9,3,W011,1,0.5
semi,9,3,W031|W035|W037,3,0.25
semi,9,4,W001|W002|W006|W008|W010|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W032|W033|W034|W036,20,0.8181818181818182
semi,9,4,W011,1,0.5
semi,9,4,W031,1,0.05
semi,9,4,W035|W037,2,0.5
semi,10,2,W001|W002|W008|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W034|W035|W036|W037,21,0.7916666666666666
semi,10,2,W006|W010|W011,3,0.13636363636363635
semi,10,3,W001|W002|W008|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W034|W035|W036|W037,21,0.7916666666666666
semi,10,3,W006|W011,2,0.09090909090909091
semi,10,3,W010,1,0.045454545454545456
semi,10,4,W001|W002|W008|W012|W013|W014|W015|W017|W018|W027|W028|W029|W030|W031|W032|W033|W034|W035|W036|W037,20,0.8181818181818182
semi,10,4,W006|W011,2,1.0
semi,10,4,W010,1,0.05
semi,10,4,W021,1,0.05
semi,11,2,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W032|W033|W034|W036,21,0.7916666666666666
semi,11,2,W031|W035|W037,3,0.13636363636363635
semi,11,3,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W032|W033|W034|W036,21,0.782608695652174
semi,11,3,W031|W035,2,0.1
semi,11,3,W037,1,0.5
semi,11,4,W001|W002|W006|W008|W010|W012|W013|W014|W015|W017|W018|W027|W028|W029|W030|W032|W033|W034,18,0.7619047619047619
semi,11,4,W011|W021|W036,3,0.25
semi,11,4,W031|W035,2,0.5
semi,11,4,W037,1,0.5
semi,12,2,W001|W002|W008|W010|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W034|W035|W036|W037,22,1.0
semi,12,2,W006|W011,2,1.0
semi,12,3,W001|W002|W008|W010|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W032|W033|W034|W036,19,0.8571428571428571
semi,12,3,W006|W011,2,1.0
semi,12,3,W031|W035|W037,3,0.25
semi,12,4,W001|W002|W008|W010|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W032|W033|W034|W036,19,0.9473684210526315
semi,12,4,W006|W011,2,1.0
semi,12,4,W031|W035,2,1.0
semi,12,4,W037,1,0.5
semi,13,2,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W032|W033|W034|W035|W036,22,0.8333333333333334
semi,13,2,W031|W037,2,0.09090909090909091
semi,13,3,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W032|W033|W034|W035|W036,22,0.8695652173913043
semi,13,3,W031,1,0.047619047619047616
semi,13,3,W037,1,1.0
semi,13,4,W001|W002|W008|W012|W013|W014|W015|W018|W021|W027|W028|W029|W030|W032|W033|W034|W035|W036,18,0.8095238095238095
semi,13,4,W006|W010|W011|W017,4,0.5
semi,13,4,W031,1,0.05
semi,13,4,W037,1,1.0
semi,14,2,W001|W002|W008|W010|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W034|W035|W036|W037,22,1.0
semi,14,2,W006|W011,2,1.0
semi,14,3,W001|W002|W008|W010|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W034|W035|W036,21,0.8636363636363636
semi,14,3,W006|W011,2,1.0
semi,14,3,W037,1,0.05
semi,14,4,W001,1,0.058823529411764705
semi,14,4,W002|W008|W010|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W034|W035|W036,20,0.7619047619047619
semi,14,4,W006|W011,2,1.0
semi,14,4,W037,1,0.3333333333333333
semi,15,2,W001|W002|W008|W010|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W034|W035|W036|W037,22,1.0
semi,15,2,W006|W011,2,1.0
semi,15,3,W001|W002|W008|W010|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W032|W033|W034|W036,19,0.9047619047619048
semi,15,3,W006|W011,2,1.0
semi,15,3,W031|W035|W037,3,0.3333333333333333
semi,15,4,W001|W002|W008|W010|W012|W013|W014|W015|W017|W018|W021|W027|W029|W030|W033|W034|W036,17,0.7619047619047619
semi,15,4,W006|W011,2,1.0
semi,15,4,W028|W032,2,0.1
semi,15,4,W031|W035|W037,3,0.3333333333333333
semi,16,2,W001|W002|W008|W010|W012|W013|W014|W015|W017|W018|W027|W028|W029|W030|W031|W032|W033|W034|W035|W036|W037,21,0.9130434782608695
semi,16,2,W006|W011|W021,3,0.3333333333333333
semi,16,3,W001|W002|W008|W010|W012|W013|W014|W015|W017|W018|W027|W028|W029|W030|W031|W032|W033|W034|W035|W036,20,0.8260869565217391
semi,16,3,W006|W011|W021,3,0.3333333333333333
semi,16,3,W037,1,0.045454545454545456
semi,16,4,W001|W002|W008|W010|W012|W013|W014|W015|W017|W018|W027|W028|W029|W030|W031|W033|W034|W035|W036,19,0.7727272727272727
semi,16,4,W006|W011|W021,3,0.3333333333333333
semi,16,4,W032,1,0.05
semi,16,4,W037,1,0.5
semi,17,2,W001|W002|W006|W008|W010|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W034|W035|W036|W037,23,0.9130434782608695
semi,17,2,W011,1,0.3333333333333333
semi,17,3,W001|W002|W006|W008|W010|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W032|W033|W034|W035|W036,21,0.8636363636363636
semi,17,3,W011,1,0.3333333333333333
semi,17,3,W031|W037,2,0.5
semi,17,4,W001|W002|W008|W012|W013|W014|W015|W018|W021|W027|W028|W029|W030|W032|W033|W034|W035|W036,18,0.8
semi,17,4,W006|W010|W017,3,0.2
semi,17,4,W011,1,0.3333333333333333
semi,17,4,W031|W037,2,0.5
semi,18,2,W001|W002|W006|W008|W010|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W034|W035|W036|W037,23,0.9130434782608695
semi,18,2,W011,1,0.3333333333333333
semi,18,3,W001|W002|W008|W012|W013|W014|W015|W018|W021|W027|W028|W029|W030|W031|W032|W033|W034|W035|W036|W037,20,0.7272727272727273
semi,18,3,W006|W010|W017,3,0.2
semi,18,3,W011,1,0.3333333333333333
semi,18,4,W001|W002|W008|W012|W013|W014|W015|W018|W021|W027|W028|W029|W030|W032|W033|W034|W035|W036|W037,19,0.7619047619047619
semi,18,4,W006|W010|W017,3,0.2
semi,18,4,W011,1,0.3333333333333333
semi,18,4,W031,1,0.5
semi,19,2,W001|W002|W008|W010|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W034|W035|W036|W037,22,1.0
semi,19,2,W006|W011,2,1.0
