condition,outer_building,k,family,selected,status,validation_images,inner_losses
manual,7y3sRwLe3Va,4,selected_context,seed_person_t025,training_inner_building_selected,68,"{""seed_equal"": 0.9311350036380728, ""seed_person_t025"": 0.9256074044934144, ""seed_context_t01"": 0.9348726059882215, ""seed_context_t025"": 0.9283072163789301, ""seed_context_t05"": 0.9289599682201777}"
manual,7y3sRwLe3Va,4,selected_type,seed_equal,training_inner_building_selected,68,"{""seed_equal"": 0.9311350036380728, ""seed_type2"": 0.9334899991605491, ""seed_type3"": 0.9363470182025531, ""seed_type4"": 0.9392556465382224}"
manual,7y3sRwLe3Va,4,selected_mixture,joint_model25,training_inner_building_selected,68,"{""seed_equal"": 0.9311350036380728, ""seed_model_uniform10"": 0.9022067363273876, ""seed_model_uniform25"": 0.8852112151958053, ""joint_model10"": 0.898972015869134, ""joint_model25"": 0.8814418579804882}"
manual,7y3sRwLe3Va,6,selected_person,seed_person_t025,training_inner_building_selected,45,"{""seed_equal"": 0.90013854915028, ""seed_person_t01"": 0.9077995403277571, ""seed_person_t025"": 0.8958423811142129, ""seed_person_t05"": 0.8966105230124872}"
manual,7y3sRwLe3Va,6,selected_context,seed_person_t025,training_inner_building_selected,45,"{""seed_equal"": 0.90013854915028, ""seed_person_t025"": 0.8958423811142129, ""seed_context_t01"": 0.8982230769631488, ""seed_context_t025"": 0.8963598426371222, ""seed_context_t05"": 0.8977163781727634}"
manual,7y3sRwLe3Va,6,selected_type,seed_equal,training_inner_building_selected,45,"{""seed_equal"": 0.90013854915028, ""seed_type2"": 0.9014440488128332, ""seed_type3"": 0.9032226971691998, ""seed_type4"": 0.9088585770052914}"
manual,7y3sRwLe3Va,6,selected_mixture,joint_model25,training_inner_building_selected,45,"{""seed_equal"": 0.90013854915028, ""seed_model_uniform10"": 0.8795508169136741, ""seed_model_uniform25"": 0.87162944433471, ""joint_model10"": 0.8756426956422868, ""joint_model25"": 0.8675842871390158}"
manual,7y3sRwLe3Va,8,selected_person,seed_person_t025,training_inner_building_selected,45,"{""seed_equal"": 0.8612873590690711, ""seed_person_t01"": 0.8596536324374608, ""seed_person_t025"": 0.854949285783543, ""seed_person_t05"": 0.8571408073364424}"
manual,7y3sRwLe3Va,8,selected_context,seed_person_t025,training_inner_building_selected,45,"{""seed_equal"": 0.8612873590690711, ""seed_person_t025"": 0.854949285783543, ""seed_context_t01"": 0.855302992048901, ""seed_context_t025"": 0.8565804125590164, ""seed_context_t05"": 0.8585398452593124}"
manual,7y3sRwLe3Va,8,selected_type,seed_equal,training_inner_building_selected,45,"{""seed_equal"": 0.8612873590690711, ""seed_type2"": 0.8616245277419459, ""seed_type3"": 0.8622415998539997, ""seed_type4"": 0.8639597573090002}"
manual,7y3sRwLe3Va,8,selected_mixture,joint_model10,training_inner_building_selected,45,"{""seed_equal"": 0.8612873590690711, ""seed_model_uniform10"": 0.8480192738513288, ""seed_model_uniform25"": 0.8495995555608723, ""joint_model10"": 0.843537788381121, ""joint_model25"": 0.8454177456365531}"
manual,B6ByNegPMKs,2,selected_person,seed_person_t05,training_inner_building_selected,124,"{""seed_equal"": 1.1329366304221309, ""seed_person_t01"": 1.1478299568998036, ""seed_person_t025"": 1.1282536873896432, ""seed_person_t05"": 1.1280588779455656}"
manual,B6ByNegPMKs,2,selected_context,seed_context_t025,training_inner_building_selected,124,"{""seed_equal"": 1.1329366304221309, ""seed_person_t025"": 1.1282536873896432, ""seed_context_t01"": 1.1344297172557218, ""seed_context_t025"": 1.1281230138850782, ""seed_context_t05"": 1.1294710582017309}"
manual,B6ByNegPMKs,2,selected_type,seed_equal,training_inner_building_selected,124,"{""seed_equal"": 1.1329366304221309, ""seed_type2"": 1.1354666679574785, ""seed_type3"": 1.1372834285953517, ""seed_type4"": 1.1458809350403623}"
manual,B6ByNegPMKs,2,selected_mixture,joint_model25,training_inner_building_selected,124,"{""seed_equal"": 1.1329366304221309, ""seed_model_uniform10"": 1.065084662016031, ""seed_model_uniform25"": 0.9985083881247818, ""joint_model10"": 1.0605787934100046, ""joint_model25"": 0.9941276248173802}"
manual,B6ByNegPMKs,4,selected_person,seed_person_t025,training_inner_building_selected,66,"{""seed_equal"": 0.9260234742974836, ""seed_person_t01"": 0.9367676289756631, ""seed_person_t025"": 0.9214749980323661, ""seed_person_t05"": 0.9219949331816689}"
manual,B6ByNegPMKs,4,selected_context,seed_person_t025,training_inner_building_selected,66,"{""seed_equal"": 0.9260234742974836, ""seed_person_t025"": 0.9214749980323661, ""seed_context_t01"": 0.9298105473354901, ""seed_context_t025"": 0.9232252504059527, ""seed_context_t05"": 0.9238628938646677}"
manual,B6ByNegPMKs,4,selected_type,seed_equal,training_inner_building_selected,66,"{""seed_equal"": 0.9260234742974836, ""seed_type2"": 0.928449833320641, ""seed_type3"": 0.9314290235260484, ""seed_type4"": 0.9355268665951368}"
manual,B6ByNegPMKs,4,selected_mixture,joint_model25,training_inner_building_selected,66,"{""seed_equal"": 0.9260234742974836, ""seed_model_uniform10"": 0.8968947923161004, ""seed_model_uniform25"": 0.8796678840336241, ""joint_model10"": 0.8935993935073379, ""joint_model25"": 0.8756546067753195}"
manual,B6ByNegPMKs,6,selected_person,seed_person_t025,training_inner_building_selected,43,"{""seed_equal"": 0.8841110587412645, ""seed_person_t01"": 0.8929928170154722, ""seed_person_t025"": 0.8803760596535443, ""seed_person_t05"": 0.8808808638323324}"
manual,B6ByNegPMKs,6,selected_context,seed_context_t025,training_inner_building_selected,43,"{""seed_equal"": 0.8841110587412645, ""seed_person_t025"": 0.8803760596535443, ""seed_context_t01"": 0.8824219442100479, ""seed_context_t025"": 0.8803655274939146, ""seed_context_t05"": 0.8817016037690394}"
manual,B6ByNegPMKs,6,selected_type,seed_equal,training_inner_building_selected,43,"{""seed_equal"": 0.8841110587412645, ""seed_type2"": 0.885508587584252, ""seed_type3"": 0.8872131306220171, ""seed_type4"": 0.8940344078143874}"
manual,B6ByNegPMKs,6,selected_mixture,joint_model25,training_inner_building_selected,43,"{""seed_equal"": 0.8841110587412645, ""seed_model_uniform10"": 0.8634527064131303, ""seed_model_uniform25"": 0.8551501209668212, ""joint_model10"": 0.8595493085611937, ""joint_model25"": 0.8510270079334992}"
manual,B6ByNegPMKs,8,selected_person,seed_person_t025,training_inner_building_selected,43,"{""seed_equal"": 0.8478147493821436, ""seed_person_t01"": 0.8481936724848436, ""seed_person_t025"": 0.842427915750223, ""seed_person_t05"": 0.8441778530840469}"
manual,B6ByNegPMKs,8,selected_context,seed_person_t025,training_inner_building_selected,43,"{""seed_equal"": 0.8478147493821436, ""seed_person_t025"": 0.842427915750223, ""seed_context_t01"": 0.8424841928109292, ""seed_context_t025"": 0.8433811343844334, ""seed_context_t05"": 0.8452127103208812}"
manual,B6ByNegPMKs,8,selected_type,seed_equal,training_inner_building_selected,43,"{""seed_equal"": 0.8478147493821436, ""seed_type2"": 0.848329553904169, ""seed_type3"": 0.8491140270481115, ""seed_type4"": 0.8519871518483874}"
manual,B6ByNegPMKs,8,selected_mixture,joint_model10,training_inner_building_selected,43,"{""seed_equal"": 0.8478147493821436, ""seed_model_uniform10"": 0.834647556489623, ""seed_model_uniform25"": 0.8360324833592983, ""joint_model10"": 0.8303276503265049, ""joint_model25"": 0.8318264540221597}"
manual,S9hNv5qa7GM,2,selected_person,seed_person_t05,training_inner_building_selected,131,"{""seed_equal"": 1.1404332284306906, ""seed_person_t01"": 1.1579558657236193, ""seed_person_t025"": 1.1358142332589776, ""seed_person_t05"": 1.13518872107889}"
manual,S9hNv5qa7GM,2,selected_context,seed_context_t025,training_inner_building_selected,131,"{""seed_equal"": 1.1404332284306906, ""seed_person_t025"": 1.1358142332589776, ""seed_context_t01"": 1.142638292522403, ""seed_context_t025"": 1.1353818271570635, ""seed_context_t05"": 1.1367303733133685}"
manual,S9hNv5qa7GM,2,selected_type,seed_equal,training_inner_building_selected,131,"{""seed_equal"": 1.1404332284306906, ""seed_type2"": 1.1441105332348815, ""seed_type3"": 1.1460916962954841, ""seed_type4"": 1.1557606460779402}"
manual,S9hNv5qa7GM,2,selected_mixture,joint_model25,training_inner_building_selected,131,"{""seed_equal"": 1.1404332284306906, ""seed_model_uniform10"": 1.0720939220427936, ""seed_model_uniform25"": 1.0049425307304745, ""joint_model10"": 1.0673490748568626, ""joint_model25"": 1.0004510199065775}"
manual,S9hNv5qa7GM,4,selected_person,seed_person_t025,training_inner_building_selected,69,"{""seed_equal"": 0.9302983906623844, ""seed_person_t01"": 0.939633424277611, ""seed_person_t025"": 0.9244733749233918, ""seed_person_t05"": 0.9254642298736068}"
manual,S9hNv5qa7GM,4,selected_context,seed_person_t025,training_inner_building_selected,69,"{""seed_equal"": 0.9302983906623844, ""seed_person_t025"": 0.9244733749233918, ""seed_context_t01"": 0.9339374370826031, ""seed_context_t025"": 0.9274255741651932, ""seed_context_t05"": 0.9280911844765015}"
manual,S9hNv5qa7GM,4,selected_type,seed_equal,training_inner_building_selected,69,"{""seed_equal"": 0.9302983906623844, ""seed_type2"": 0.9322757364786272, ""seed_type3"": 0.9350880553954674, ""seed_type4"": 0.9381670848349959}"
manual,S9hNv5qa7GM,4,selected_mixture,joint_model25,training_inner_building_selected,69,"{""seed_equal"": 0.9302983906623844, ""seed_model_uniform10"": 0.9011183318534198, ""seed_model_uniform25"": 0.8838701467440346, ""joint_model10"": 0.8977640521769875, ""joint_model25"": 0.8798980323162734}"
manual,S9hNv5qa7GM,6,selected_person,seed_person_t025,training_inner_building_selected,44,"{""seed_equal"": 0.8981616816942432, ""seed_person_t01"": 0.9066053700553206, ""seed_person_t025"": 0.8937218721886327, ""seed_person_t05"": 0.8944216913633362}"
manual,S9hNv5qa7GM,6,selected_context,seed_person_t025,training_inner_building_selected,44,"{""seed_equal"": 0.8981616816942432, ""seed_person_t025"": 0.8937218721886327, ""seed_context_t01"": 0.8959659483072762, ""seed_context_t025"": 0.8940894532920315, ""seed_context_t05"": 0.8955594786038905}"
manual,S9hNv5qa7GM,6,selected_type,seed_equal,training_inner_building_selected,44,"{""seed_equal"": 0.8981616816942432, ""seed_type2"": 0.8995222735694792, ""seed_type3"": 0.901071025829819, ""seed_type4"": 0.9076903269420119}"
manual,S9hNv5qa7GM,6,selected_mixture,joint_model25,training_inner_building_selected,44,"{""seed_equal"": 0.8981616816942432, ""seed_model_uniform10"": 0.8771716974196404, ""seed_model_uniform25"": 0.8682650120680034, ""joint_model10"": 0.8730387412468591, ""joint_model25"": 0.8641070690348964}"
manual,S9hNv5qa7GM,8,selected_person,seed_person_t025,training_inner_building_selected,44,"{""seed_equal"": 0.8585329534624825, ""seed_person_t01"": 0.8573238936147323, ""seed_person_t025"": 0.8521765488617422, ""seed_person_t05"": 0.8543205434431662}"
manual,S9hNv5qa7GM,8,selected_context,seed_person_t025,training_inner_building_selected,44,"{""seed_equal"": 0.8585329534624825, ""seed_person_t025"": 0.8521765488617422, ""seed_context_t01"": 0.8522293789935272, ""seed_context_t025"": 0.8536318501912209, ""seed_context_t05"": 0.8556770886893557}"
manual,S9hNv5qa7GM,8,selected_type,seed_equal,training_inner_building_selected,44,"{""seed_equal"": 0.8585329534624825, ""seed_type2"": 0.8588618239069966, ""seed_type3"": 0.8594917676506006, ""seed_type4"": 0.8623469669133234}"
manual,S9hNv5qa7GM,8,selected_mixture,joint_model10,training_inner_building_selected,44,"{""seed_equal"": 0.8585329534624825, ""seed_model_uniform10"": 0.845268684804756, ""seed_model_uniform25"": 0.8464097567036336, ""joint_model10"": 0.8406156286523409, ""joint_model25"": 0.8421071596677983}"
manual,UwV83HsGsw3,2,selected_person,seed_person_t05,training_inner_building_selected,125,"{""seed_equal"": 1.1190950103369235, ""seed_person_t01"": 1.135928632295975, ""seed_person_t025"": 1.1146959484195893, ""seed_person_t05"": 1.1141351113128257}"
manual,UwV83HsGsw3,2,selected_context,seed_context_t025,training_inner_building_selected,125,"{""seed_equal"": 1.1190950103369235, ""seed_person_t025"": 1.1146959484195893, ""seed_context_t01"": 1.1209971376050312, ""seed_context_t025"": 1.1145539457973, ""seed_context_t05"": 1.1157849474926094}"
manual,UwV83HsGsw3,2,selected_type,seed_equal,training_inner_building_selected,125,"{""seed_equal"": 1.1190950103369235, ""seed_type2"": 1.1246810654358144, ""seed_type3"": 1.1244539919681682, ""seed_type4"": 1.1342193489457395}"
manual,UwV83HsGsw3,2,selected_mixture,joint_model25,training_inner_building_selected,125,"{""seed_equal"": 1.1190950103369235, ""seed_model_uniform10"": 1.0531042464762597, ""seed_model_uniform25"": 0.9891564531000521, ""joint_model10"": 1.04887309528562, ""joint_model25"": 0.9851492297820037}"
manual,UwV83HsGsw3,4,selected_person,seed_person_t025,training_inner_building_selected,67,"{""seed_equal"": 0.9175048960910235, ""seed_person_t01"": 0.9250023034197448, ""seed_person_t025"": 0.9116611304466302, ""seed_person_t05"": 0.9128574134951312}"
manual,UwV83HsGsw3,4,selected_context,seed_person_t025,training_inner_building_selected,67,"{""seed_equal"": 0.9175048960910235, ""seed_person_t025"": 0.9116611304466302, ""seed_context_t01"": 0.9203486047804351, ""seed_context_t025"": 0.914889480390166, ""seed_context_t05"": 0.9155414615755625}"
manual,UwV83HsGsw3,4,selected_type,seed_equal,training_inner_building_selected,67,"{""seed_equal"": 0.9175048960910235, ""seed_type2"": 0.9201039121507713, ""seed_type3"": 0.9227970921624494, ""seed_type4"": 0.9259072491561399}"
manual,UwV83HsGsw3,4,selected_mixture,joint_model25,training_inner_building_selected,67,"{""seed_equal"": 0.9175048960910235, ""seed_model_uniform10"": 0.8890708777763073, ""seed_model_uniform25"": 0.8730900393291966, ""joint_model10"": 0.8859314979792939, ""joint_model25"": 0.8692938909905757}"
manual,UwV83HsGsw3,6,selected_person,seed_person_t025,training_inner_building_selected,43,"{""seed_equal"": 0.8867804563003698, ""seed_person_t01"": 0.8927838522688732, ""seed_person_t025"": 0.8821333157891453, ""seed_person_t05"": 0.883114624664826}"
manual,UwV83HsGsw3,6,selected_context,seed_person_t025,training_inner_building_selected,43,"{""seed_equal"": 0.8867804563003698, ""seed_person_t025"": 0.8821333157891453, ""seed_context_t01"": 0.8842038215503325, ""seed_context_t025"": 0.8830061987453666, ""seed_context_t05"": 0.8844134606233747}"
manual,UwV83HsGsw3,6,selected_type,seed_equal,training_inner_building_selected,43,"{""seed_equal"": 0.8867804563003698, ""seed_type2"": 0.8888302856704574, ""seed_type3"": 0.8896837804969508, ""seed_type4"": 0.8958701057713946}"
manual,UwV83HsGsw3,6,selected_mixture,joint_model25,training_inner_building_selected,43,"{""seed_equal"": 0.8867804563003698, ""seed_model_uniform10"": 0.866252077061161, ""seed_model_uniform25"": 0.8581531913391031, ""joint_model10"": 0.8623929244858032, ""joint_model25"": 0.854275135549788}"
manual,UwV83HsGsw3,8,selected_person,seed_person_t025,training_inner_building_selected,43,"{""seed_equal"": 0.848163723827475, ""seed_person_t01"": 0.8437966360592559, ""seed_person_t025"": 0.8411247177853283, ""seed_person_t05"": 0.8437301278415235}"
manual,UwV83HsGsw3,8,selected_context,seed_context_t01,training_inner_building_selected,43,"{""seed_equal"": 0.848163723827475, ""seed_person_t025"": 0.8411247177853283, ""seed_context_t01"": 0.840933614737262, ""seed_context_t025"": 0.8431609488708189, ""seed_context_t05"": 0.8453107133838547}"
manual,UwV83HsGsw3,8,selected_type,seed_equal,training_inner_building_selected,43,"{""seed_equal"": 0.848163723827475, ""seed_type2"": 0.8489828415448017, ""seed_type3"": 0.8490757366130907, ""seed_type4"": 0.8514898857919821}"
manual,UwV83HsGsw3,8,selected_mixture,joint_model10,training_inner_building_selected,43,"{""seed_equal"": 0.848163723827475, ""seed_model_uniform10"": 0.8352087693097886, ""seed_model_uniform25"": 0.8369434356879348, ""joint_model10"": 0.83050339381461, ""joint_model25"": 0.8327003261140419}"
manual,VFuaQ6m2Qom,2,selected_person,seed_person_t05,training_inner_building_selected,130,"{""seed_equal"": 1.1312749782574607, ""seed_person_t01"": 1.146850356838071, ""seed_person_t025"": 1.1267432071710934, ""seed_person_t05"": 1.1264138020409973}"
manual,VFuaQ6m2Qom,2,selected_context,seed_context_t025,training_inner_building_selected,130,"{""seed_equal"": 1.1312749782574607, ""seed_person_t025"": 1.1267432071710934, ""seed_context_t01"": 1.132834514264967, ""seed_context_t025"": 1.126715161513568, ""seed_context_t05"": 1.1279918957384754}"
manual,VFuaQ6m2Qom,2,selected_type,seed_equal,training_inner_building_selected,130,"{""seed_equal"": 1.1312749782574607, ""seed_type2"": 1.1345405767908499, ""seed_type3"": 1.1361376964760055, ""seed_type4"": 1.144919368544286}"
manual,VFuaQ6m2Qom,2,selected_mixture,joint_model25,training_inner_building_selected,130,"{""seed_equal"": 1.1312749782574607, ""seed_model_uniform10"": 1.0635792876592685, ""seed_model_uniform25"": 0.9972139551124494, ""joint_model10"": 1.059326683616808, ""joint_model25"": 0.9931658940920876}"
manual,VFuaQ6m2Qom,4,selected_person,seed_person_t025,training_inner_building_selected,69,"{""seed_equal"": 0.9226465777668224, ""seed_person_t01"": 0.9297473833774422, ""seed_person_t025"": 0.9167303579702079, ""seed_person_t05"": 0.9179687503708698}"
manual,VFuaQ6m2Qom,4,selected_context,seed_person_t025,training_inner_building_selected,69,"{""seed_equal"": 0.9226465777668224, ""seed_person_t025"": 0.9167303579702079, ""seed_context_t01"": 0.9246226746335791, ""seed_context_t025"": 0.9197630960264144, ""seed_context_t05"": 0.9205512259811883}"
manual,VFuaQ6m2Qom,4,selected_type,seed_equal,training_inner_building_selected,69,"{""seed_equal"": 0.9226465777668224, ""seed_type2"": 0.92412896302224, ""seed_type3"": 0.9282530287325089, ""seed_type4"": 0.9300326944931737}"
manual,VFuaQ6m2Qom,4,selected_mixture,joint_model25,training_inner_building_selected,69,"{""seed_equal"": 0.9226465777668224, ""seed_model_uniform10"": 0.8934442431889851, ""seed_model_uniform25"": 0.8760774476283905, ""joint_model10"": 0.8901171701510795, ""joint_model25"": 0.872159520731218}"
manual,VFuaQ6m2Qom,6,selected_person,seed_person_t025,training_inner_building_selected,45,"{""seed_equal"": 0.8866439523920241, ""seed_person_t01"": 0.892584512228859, ""seed_person_t025"": 0.8823327629603496, ""seed_person_t05"": 0.8831962273089725}"
manual,VFuaQ6m2Qom,6,selected_context,seed_person_t025,training_inner_building_selected,45,"{""seed_equal"": 0.8866439523920241, ""seed_person_t025"": 0.8823327629603496, ""seed_context_t01"": 0.8849298692115048, ""seed_context_t025"": 0.8832693233408978, ""seed_context_t05"": 0.8844757394271899}"
manual,VFuaQ6m2Qom,6,selected_type,seed_equal,training_inner_building_selected,45,"{""seed_equal"": 0.8866439523920241, ""seed_type2"": 0.8882129646004581, ""seed_type3"": 0.8896877382810657, ""seed_type4"": 0.8940096799344428}"
manual,VFuaQ6m2Qom,6,selected_mixture,joint_model25,training_inner_building_selected,45,"{""seed_equal"": 0.8866439523920241, ""seed_model_uniform10"": 0.8660059739489792, ""seed_model_uniform25"": 0.8576159586433164, ""joint_model10"": 0.862555411866261, ""joint_model25"": 0.8541181293757175}"
manual,VFuaQ6m2Qom,8,selected_person,seed_person_t025,training_inner_building_selected,45,"{""seed_equal"": 0.8488130786289522, ""seed_person_t01"": 0.8454410448538084, ""seed_person_t025"": 0.842148585778267, ""seed_person_t05"": 0.8445458222996806}"
manual,VFuaQ6m2Qom,8,selected_context,seed_person_t025,training_inner_building_selected,45,"{""seed_equal"": 0.8488130786289522, ""seed_person_t025"": 0.842148585778267, ""seed_context_t01"": 0.8422885224580022, ""seed_context_t025"": 0.8440961798309988, ""seed_context_t05"": 0.8461005670065682}"
manual,VFuaQ6m2Qom,8,selected_type,seed_equal,training_inner_building_selected,45,"{""seed_equal"": 0.8488130786289522, ""seed_type2"": 0.8490891455643907, ""seed_type3"": 0.8496508280340536, ""seed_type4"": 0.8510042328126508}"
manual,VFuaQ6m2Qom,8,selected_mixture,joint_model10,training_inner_building_selected,45,"{""seed_equal"": 0.8488130786289522, ""seed_model_uniform10"": 0.8355657175318701, ""seed_model_uniform25"": 0.8367453017210525, ""joint_model10"": 0.831132667005154, ""joint_model25"": 0.8327234970047772}"
manual,VLzqgDo317F,2,selected_person,seed_person_t05,training_inner_building_selected,133,"{""seed_equal"": 1.1357744183057112, ""seed_person_t01"": 1.1525244405619248, ""seed_person_t025"": 1.1313370461045038, ""seed_person_t05"": 1.1308368556563282}"
manual,VLzqgDo317F,2,selected_context,seed_person_t025,training_inner_building_selected,133,"{""seed_equal"": 1.1357744183057112, ""seed_person_t025"": 1.1313370461045038, ""seed_context_t01"": 1.1385798933518847, ""seed_context_t025"": 1.1313610632387479, ""seed_context_t05"": 1.1324807490807818}"
manual,VLzqgDo317F,2,selected_type,seed_equal,training_inner_building_selected,133,"{""seed_equal"": 1.1357744183057112, ""seed_type2"": 1.1394148897872713, ""seed_type3"": 1.1413591754779333, ""seed_type4"": 1.1498274897795469}"
manual,VLzqgDo317F,2,selected_mixture,joint_model25,training_inner_building_selected,133,"{""seed_equal"": 1.1357744183057112, ""seed_model_uniform10"": 1.0678805360176715, ""seed_model_uniform25"": 1.0012997974207902, ""joint_model10"": 1.0637322621806695, ""joint_model25"": 0.9972830697736504}"
manual,VLzqgDo317F,4,selected_person,seed_person_t025,training_inner_building_selected,71,"{""seed_equal"": 0.9245492499460293, ""seed_person_t01"": 0.9338375252338683, ""seed_person_t025"": 0.9191302120029727, ""seed_person_t05"": 0.9200346026955563}"
manual,VLzqgDo317F,4,selected_context,seed_person_t025,training_inner_building_selected,71,"{""seed_equal"": 0.9245492499460293, ""seed_person_t025"": 0.9191302120029727, ""seed_context_t01"": 0.9294833076907598, ""seed_context_t025"": 0.9222628107144909, ""seed_context_t05"": 0.9226347104185729}"
manual,VLzqgDo317F,4,selected_type,seed_equal,training_inner_building_selected,71,"{""seed_equal"": 0.9245492499460293, ""seed_type2"": 0.9259898778703085, ""seed_type3"": 0.929685620748939, ""seed_type4"": 0.930931594200644}"
