condition,k,cut,endpoint,method,baseline,metric,images,buildings,delta,ci_low,ci_high,building_macro_delta
manual,4,0.1,diagnostic_stable_multimode80,seed_context_t025,seed_equal,abs_error,46,15,-0.0016983695652173913,-0.00537109375,0.001694008886603994,-0.002422664141414142
manual,4,0.1,diagnostic_stable_multimode80,seed_person_t025,seed_equal,abs_error,46,15,0.002377717391304348,-0.002936921296296296,0.00720012019230769,-0.0012863005050505053
manual,4,0.1,diagnostic_stable_multimode80,seed_type4,seed_equal,abs_error,46,15,0.0006793478260869565,-0.0078125,0.00872093023255814,-0.00011837121212121202
manual,4,0.1,diagnostic_stable_multimode80,selected_mixture,seed_equal,abs_error,46,15,-0.109375,-0.17323985504399747,-0.05274057539682542,-0.12490530303030305
manual,4,0.1,half_count_tv,seed_context_t025,seed_equal,abs_error,46,15,-0.0007392196420729018,-0.0022454765718729424,0.000320221059804393,-0.0007218013468013423
manual,4,0.1,half_count_tv,seed_person_t025,seed_equal,abs_error,46,15,-0.0012566219257795358,-0.002417182641109313,-9.744732803305237e-05,-0.0009465272995102537
manual,4,0.1,half_count_tv,seed_type4,seed_equal,abs_error,46,15,-0.0007126290074659633,-0.003050048063046347,0.0013654786261294146,0.0006481601048362421
manual,4,0.1,half_count_tv,selected_mixture,seed_equal,abs_error,46,15,-0.034187664690382084,-0.046434078337487424,-0.023129099759050704,-0.03722253309611265
manual,4,0.1,half_output_mmd,seed_context_t025,seed_equal,abs_error,46,15,0.001368619261212402,5.001833666974821e-06,0.0034204911763797328,0.0019746951342428194
manual,4,0.1,half_output_mmd,seed_person_t025,seed_equal,abs_error,46,15,0.002599770518807547,0.0012027259300071843,0.00438192469214827,0.0027059904460506948
manual,4,0.1,half_output_mmd,seed_type4,seed_equal,abs_error,46,15,0.002882725454042485,0.0013961302165751744,0.004599382761371533,0.0026859241144389727
manual,4,0.1,half_output_mmd,selected_mixture,seed_equal,abs_error,46,15,-0.014138784108209148,-0.01703391225649236,-0.010398993493522248,-0.012597147486423576
manual,4,0.1,invalid_generated,seed_context_t025,seed_equal,abs_error,46,15,0.0,0.0,0.0,0.0
manual,4,0.1,invalid_generated,seed_person_t025,seed_equal,abs_error,46,15,0.0,0.0,0.0,0.0
manual,4,0.1,invalid_generated,seed_type4,seed_equal,abs_error,46,15,0.0,0.0,0.0,0.0
manual,4,0.1,invalid_generated,selected_mixture,seed_equal,abs_error,46,15,0.0,0.0,0.0,0.0
manual,4,0.1,late_half_new,seed_context_t025,seed_equal,abs_error,46,15,0.0,0.0,0.0,0.0
manual,4,0.1,late_half_new,seed_person_t025,seed_equal,abs_error,46,15,0.0,0.0,0.0,0.0
manual,4,0.1,late_half_new,seed_type4,seed_equal,abs_error,46,15,0.0,0.0,0.0,0.0
manual,4,0.1,late_half_new,selected_mixture,seed_equal,abs_error,46,15,-0.025853302042160742,-0.032864911377583975,-0.016068694760101025,-0.025731007996632995
