image_id,condition,k,orders,total_clusters_mean,total_clusters_p10,total_clusters_p90,supported_clusters_mean,supported_clusters_p10,supported_clusters_p90,singletons_mean,singletons_p10,singletons_p90,tv_all_mean,tv_all_p10,tv_all_p90,tv_core_mean,tv_core_p10,tv_core_p90,p_fixed10pct_accepts,p_count_band_accepts,expert_tag
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,manual,16,200,11.125,10,13,2.85,2,4,8.275,6,11,0.233020833333,0.20625,0.270833333333,0.154708277833,0.0952380952381,0.215714285714,0,0,
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,manual,20,200,13.07,12,14,3.845,3,5,9.225,7,11,0.129375,0.108333333333,0.158333333333,0.0982722277722,0.0659340659341,0.142857142857,0,0,
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,manual,4,200,1.02,1,1,1,1,1,0.02,0,0,0.08,0.05,0.2,0,0,0,0.98,1,简单
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,manual,6,200,1.055,1,1,1.01,1,1,0.045,0,0,0.0706666666668,0.05,0.116666666667,0,0,0,0.955,1,简单
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,manual,8,200,1.15,1,2,1.02,1,1,0.13,0,1,0.05975,0.05,0.075,0,0,0,0.87,1,简单
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,manual,10,200,1.235,1,2,1.03,1,1,0.205,0,1,0.05,0.05,0.05,0,0,0,1,1,简单
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,manual,12,200,1.32,1,2,1.03,1,1,0.29,0,1,0.0411666666666,0.0333333333333,0.05,0,0,0,1,1,简单
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,manual,16,200,1.595,1,2,1.065,1,1,0.53,0,1,0.0213125,0.0125,0.05,0,0,0,1,1,简单
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,manual,20,200,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,1,1,简单
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,manual,4,200,2.335,1,3,0.965,1,1,1.37,0,2,0.396458333333,0.291666666667,0.545833333334,0.259846491228,0.105263157895,0.394736842105,0.18,0.59,
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,manual,6,200,3.125,2,4,1.15,1,2,1.975,1,3,0.325208333333,0.25,0.416666666667,0.194447368421,0.105263157895,0.294736842105,0.075,0.325,
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,manual,8,200,3.875,3,5,1.345,1,2,2.53,1,4,0.26625,0.208333333333,0.375,0.149606829574,0.0375939849624,0.263157894737,0.02,0.18,
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,manual,10,200,4.45,3,6,1.575,1,2,2.875,1,4,0.227333333333,0.166666666667,0.291666666667,0.119741959064,0.0375939849624,0.181286549708,0.14,0.375,
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,manual,12,200,5.07,4,6,1.78,1,3,3.29,2,5,0.189375,0.125,0.25,0.101627003114,0.0421052631579,0.172248803828,0.075,0.25,
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,manual,16,200,6.095,5,7,2.365,2,3,3.73,2,5,0.136041666667,0.104166666667,0.16875,0.0760480966403,0.0319568151147,0.115379357484,0.02,0.165,
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,manual,20,200,7.12,6,8,2.82,2,4,4.3,3,6,0.078625,0.0583333333333,0.108333333333,0.0491360294118,0.030959752322,0.0756578947368,0.03,0.255,
VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,manual,4,200,2.435,2,3,1.15,1,2,1.285,0,2,0.194821428571,0.107142857143,0.321428571429,0.130416666667,0,0.333333333333,0.175,0.54,困难
VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,manual,6,200,2.86,2,3,1.725,1,2,1.135,0,2,0.0945238095239,0.0714285714286,0.142857142857,0.0756666666666,0,0.133333333333,0.14,0.725,困难
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,manual,4,200,2.775,2,4,0.985,0,2,1.79,0,4,0.379342105263,0.223684210526,0.539473684211,0.329558823529,0.161764705882,0.529411764706,0.125,0.335,困难
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,manual,6,200,3.545,3,4,1.52,1,2,2.025,1,3,0.304561403509,0.210526315789,0.412280701754,0.253676470588,0.136274509804,0.388235294118,0.07,0.305,困难
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,manual,8,200,4.125,3,5,1.98,1,3,2.145,1,3,0.227796052632,0.118421052632,0.315789473684,0.180716036415,0.0504201680672,0.294117647059,0.035,0.275,困难
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,manual,10,200,4.66,4,6,2.42,2,3,2.24,1,3.1,0.184105263158,0.115789473684,0.273684210526,0.149493464052,0.0441176470588,0.248366013072,0.255,0.585,困难
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,manual,12,200,5.03,4,6,2.805,2,4,2.225,1,4,0.156425438596,0.0921052631579,0.223684210526,0.130717023173,0.0641711229947,0.205882352941,0.245,0.61,困难
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,manual,16,200,5.675,5,6,3.485,3,4,2.19,1,3,0.0839309210527,0.0559210526316,0.118421052632,0.0755474439776,0.0497899159664,0.117647058824,0.19,0.65,困难
b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,manual,4,200,3.695,3,4,0.27,0,1,3.425,2,4,0.659583333333,0.541666666667,0.791666666667,0.540238095238,0.309523809524,0.785714285714,0,0.035,
b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,manual,6,200,5.215,4,6,0.67,0,2,4.545,2,6,0.563958333333,0.5,0.666666666667,0.426404761905,0.25,0.642857142857,0,0.005,
b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,manual,8,200,6.625,5,8,1.115,0,2,5.51,3,8,0.475416666667,0.416666666667,0.541666666667,0.340714285714,0.171428571429,0.5,0,0,
b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,manual,10,200,7.955,7,9,1.6,1,3,6.355,4,8,0.398416666667,0.325,0.468333333334,0.263319444444,0.142857142857,0.394047619047,0,0.005,
b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,manual,12,200,9.165,8,11,2.095,1,3,7.07,5,10,0.335208333333,0.291666666667,0.416666666667,0.220547619048,0.0995238095238,0.357142857143,0,0,
b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,manual,16,200,11.31,10,13,3.15,2,4,8.16,6,10,0.235208333333,0.1875,0.270833333333,0.15922005772,0.0873015873016,0.25,0,0,
b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,manual,20,200,13.27,12,14,4.015,3,5,9.255,7,11,0.132791666667,0.108333333333,0.158333333333,0.100972860473,0.0604395604396,0.142857142857,0,0,
e9zR4mvMWw7_12c84e77f6564013a032220e8f9037e8,semi,4,200,1.645,1,2,1.06,1,1,0.585,0,1,0.204791666667,0.125,0.291666666667,0.204791666667,0.125,0.291666666667,0.46,0.955,简单
e9zR4mvMWw7_12c84e77f6564013a032220e8f9037e8,semi,6,200,1.98,1,3,1.2,1,2,0.78,0,2,0.154791666667,0.0833333333333,0.25,0.154791666667,0.0833333333333,0.25,0.35,0.87,简单
e9zR4mvMWw7_12c84e77f6564013a032220e8f9037e8,semi,8,200,2.195,1,3,1.405,1,2,0.79,0,2,0.122083333333,0.0416666666667,0.208333333333,0.122083333333,0.0416666666667,0.208333333333,0.36,0.85,简单
e9zR4mvMWw7_12c84e77f6564013a032220e8f9037e8,semi,10,200,2.4,2,3,1.585,1,2,0.815,0,2,0.0935833333333,0.025,0.175,0.0935833333333,0.025,0.175,0.845,1,简单
e9zR4mvMWw7_12c84e77f6564013a032220e8f9037e8,semi,12,200,2.575,2,3,1.82,1,3,0.755,0,2,0.08,0.0416666666667,0.125,0.08,0.0416666666667,0.125,0.85,1,简单
e9zR4mvMWw7_12c84e77f6564013a032220e8f9037e8,semi,16,200,2.815,2,3,2.28,1.9,3,0.535,0,1,0.0621875,0.0208333333333,0.104166666667,0.0621875,0.0208333333333,0.104166666667,0.91,1,简单
e9zR4mvMWw7_12c84e77f6564013a032220e8f9037e8,semi,20,200,2.96,3,3,2.71,2,3,0.25,0,1,0.0424583333333,0.025,0.075,0.0424583333333,0.025,0.075,1,1,简单
e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,manual,4,200,3.06,2,4,0.835,0,1,2.225,1,4,0.465,0.333333333333,0.625,0.371820175439,0.19298245614,0.578947368421,0.075,0.17,
e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,manual,6,200,3.99,3,5,1.525,1,2,2.465,1,4,0.372916666667,0.208333333333,0.5,0.277368421053,0.0789473684211,0.431578947368,0.075,0.22,
e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,manual,8,200,4.67,3,6,2.125,1,3,2.545,1,4.1,0.3175,0.208333333333,0.416666666667,0.220998433584,0.0827067669173,0.369473684211,0.05,0.245,
e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,manual,10,200,5.35,4,7,2.625,2,4,2.725,1,4,0.271333333333,0.2,0.358333333333,0.186351086048,0.0967418546366,0.296052631579,0.175,0.43,
e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,manual,12,200,5.945,5,7,3.11,2,4,2.835,1,4,0.234791666667,0.166666666667,0.291666666667,0.157321637427,0.0736842105263,0.256578947368,0.14,0.395,
e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,manual,16,200,7.025,6,8,3.62,3,4,3.405,2,5,0.163333333333,0.125,0.208333333333,0.112275845865,0.0570175438596,0.177312599681,0.04,0.215,
e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,manual,20,200,8.05,7,9,3.895,3,4,4.155,3,5,0.0982916666666,0.0666666666667,0.125833333333,0.0753708290334,0.0361842105263,0.112280701754,0.02,0.235,
jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,4,200,1.395,1,2,1.13,1,2,0.265,0,1,0.09375,0,0.25,0.09375,0,0.25,0.735,1,中等
jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,200,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,1,1,中等
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,manual,4,200,3.735,3,4,0.255,0,1,3.48,2,4,0.723541666667,0.6625,0.795833333334,0.626666666667,0.333333333333,0.833333333333,0.005,0.015,
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,manual,6,200,5.435,5,6,0.53,0,1,4.905,4,6,0.603125,0.541666666667,0.666666666667,0.473583333333,0.333333333333,0.666666666667,0,0.01,
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,manual,8,200,6.875,6,8,1.04,0,2,5.835,4,8,0.519166666667,0.458333333333,0.583333333333,0.365357142857,0.166666666667,0.5,0,0.005,
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,manual,10,200,8.235,7,9,1.55,1,3,6.685,4,8,0.4355,0.375,0.5,0.286797619048,0.166666666667,0.5,0,0,
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,manual,12,200,9.61,8,11,2.02,1,3,7.59,5,10,0.353958333333,0.291666666667,0.416666666667,0.230922619048,0.119047619048,0.333333333333,0,0,
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,manual,16,200,12.2,11,14,2.925,2,4,9.275,7,12,0.261041666667,0.229166666667,0.291666666667,0.174150432901,0.111111111111,0.25,0,0,
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,manual,20,200,14.655,13,16,3.96,3,5,10.695,9,13,0.144208333333,0.125,0.158333333333,0.109481060606,0.0606060606061,0.166666666667,0,0,
rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,manual,4,200,2.905,2,4,0.825,0,1,2.08,1,4,0.49125,0.375,0.625,0.3075,0.145833333333,0.441666666667,0.075,0.285,
rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,manual,6,200,3.855,3,5,1.155,1,2,2.7,1,4,0.408958333333,0.333333333333,0.5,0.217166666667,0.0875,0.3125,0.015,0.14,
rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,manual,8,200,4.725,3,6,1.405,1,2,3.32,2,5,0.351666666667,0.291666666667,0.420833333334,0.179294642857,0.0446428571429,0.3125,0.005,0.07,
rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,manual,10,200,5.555,4,7,1.67,1,2,3.885,2,6,0.306333333333,0.25,0.366666666667,0.151691468254,0.0446428571429,0.258928571429,0.025,0.155,
rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,manual,12,200,6.415,5,8,1.865,1,3,4.55,3,6,0.26125,0.208333333333,0.333333333333,0.12686525974,0.0416666666667,0.1875,0.01,0.07,
rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,manual,16,200,8.09,7,9,2.24,2,3,5.85,4,7,0.175,0.125,0.208333333333,0.0904634046509,0.025,0.142045454545,0,0.005,
rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,manual,20,200,9.605,9,11,2.645,2,3,6.96,6,8,0.0968333333333,0.075,0.116666666667,0.0602463369964,0.0336538461538,0.104166666667,0,0,
rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,manual,4,200,1.425,1,2,1.025,1,1,0.4,0,1,0.190326086957,0.0760869565217,0.282608695652,0.155075757576,0.0681818181818,0.181818181818,0.655,0.945,简单
rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,manual,6,200,1.59,1,2,1.075,1,1,0.515,0,1,0.145797101449,0.0507246376812,0.217391304348,0.107696969697,0.0151515151515,0.181818181818,0.555,0.93,简单
rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,manual,8,200,1.855,1,3,1.19,1,2,0.665,0,1,0.127336956522,0.0760869565217,0.217391304348,0.10010551948,0.038961038961,0.181818181818,0.43,0.905,简单
rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,manual,10,200,2.045,1,3,1.285,1,2,0.76,0,2,0.102934782609,0.0434782608696,0.182608695652,0.0802929292929,0.0181818181818,0.181818181818,0.85,1,简单
rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,manual,12,200,2.225,1,3,1.435,1,2,0.79,0,2,0.0864311594203,0.0398550724638,0.159420289855,0.0631818181818,0,0.151515151515,0.86,1,简单
rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,manual,16,200,2.66,2,3,1.665,1,2,0.995,0,2,0.0576630434783,0.0326086956522,0.0951086956522,0.0441420454545,0.00568181818182,0.0848484848485,0.835,1,简单
rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,manual,20,200,2.86,2,3,1.94,2,2,0.92,0,1,0.0341086956522,0.0239130434783,0.0434782608696,0.0284509569378,0.0239234449761,0.0287081339713,1,1,简单
uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,manual,4,200,1.31,1,2,1.01,1,1,0.3,0,1,0.222010869565,0.163043478261,0.369565217391,0.197159090909,0.159090909091,0.25,0.715,0.985,中等
uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,manual,6,200,1.585,1,2,1.045,1,1,0.54,0,1,0.189275362319,0.130434782609,0.246376811594,0.153803030303,0.0909090909091,0.242424242424,0.525,0.935,中等
uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,manual,8,200,1.85,1,3,1.09,1,1,0.76,0,2,0.154130434783,0.0760869565217,0.217391304348,0.127694805195,0.0681818181818,0.193181818182,0.39,0.855,中等
uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,manual,10,200,2.135,1,3,1.185,1,2,0.95,0,2,0.12347826087,0.0434782608696,0.217391304348,0.100424242424,0.0181818181818,0.181818181818,0.755,0.98,中等
uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,manual,12,200,2.51,1,4,1.29,1,2,1.22,0,2,0.102753623188,0.0398550724638,0.159420289855,0.0795075757576,0,0.151515151515,0.645,0.93,中等
uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,manual,16,200,3.025,2,4,1.69,1,2,1.335,0,2,0.0778940217391,0.0489130434783,0.111413043478,0.0650965909091,0.0340909090909,0.0933333333334,0.56,0.945,中等
uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,manual,20,200,3.585,3,4,2.275,2,3,1.31,1,2,0.0421413043478,0.0326086956522,0.0739130434783,0.0378205741627,0.0287081339713,0.0444736842105,0.98,1,中等
uNb9QFRL6hY_3b9e548b46af4410b97e1d12781ec3c9,manual,4,200,3.58,3,4,0.395,0,1,3.185,2,4,0.656041666667,0.541666666667,0.75,0.562833333333,0.333333333333,0.74,0.02,0.035,
uNb9QFRL6hY_3b9e548b46af4410b97e1d12781ec3c9,manual,6,200,5.045,4,6,0.79,0,2,4.255,2,6,0.522708333333,0.416666666667,0.625,0.413666666667,0.166666666667,0.6,0.005,0.02,
uNb9QFRL6hY_3b9e548b46af4410b97e1d12781ec3c9,manual,8,200,6.35,5,7.1,1.275,0.9,2,5.075,3,6.2,0.452708333333,0.375,0.541666666667,0.325666666667,0.166666666667,0.533333333333,0,0.01,
uNb9QFRL6hY_3b9e548b46af4410b97e1d12781ec3c9,manual,10,200,7.505,6,9,1.795,1,3,5.71,3,8,0.386708333333,0.316666666667,0.459166666666,0.263313492063,0.133333333333,0.4,0.005,0.045,
uNb9QFRL6hY_3b9e548b46af4410b97e1d12781ec3c9,manual,12,200,8.67,7,10,2.235,1,3,6.435,4,9,0.316666666667,0.25,0.375,0.217553751804,0.123095238096,0.32380952381,0.005,0.02,
uNb9QFRL6hY_3b9e548b46af4410b97e1d12781ec3c9,manual,16,200,10.795,9,12,3.295,2,4,7.5,6,9,0.226458333333,0.1875,0.270833333333,0.164287670663,0.1,0.233333333333,0,0,
uNb9QFRL6hY_3b9e548b46af4410b97e1d12781ec3c9,manual,20,200,12.45,11,14,4.295,3.9,5,8.155,6.9,10,0.131791666667,0.108333333333,0.150833333333,0.106195471196,0.0602597402598,0.15,0,0,
uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,manual,4,200,3.67,3,4,0.305,0,1,3.365,2,4,0.654565217391,0.565217391304,0.782608695652,0.572,0.4,0.733333333333,0,0.025,
uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,manual,6,200,5.145,4,6,0.745,0,1,4.4,2,6,0.546195652174,0.478260869565,0.608695652174,0.437,0.266666666667,0.6,0,0.01,
uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,manual,8,200,6.55,5,8,1.175,0,2,5.375,3,8,0.448070652174,0.391304347826,0.521739130435,0.334005952381,0.179523809524,0.533333333333,0,0.005,
uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,manual,10,200,7.705,6,9,1.73,1,3,5.975,4,8,0.367608695652,0.278260869565,0.434782608696,0.260936507937,0.133333333333,0.4,0.005,0.01,
uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,manual,12,200,8.85,7.9,10,2.255,1,3,6.595,4,9,0.306032608696,0.238768115942,0.394927536232,0.220047799423,0.131666666666,0.335,0,0,
uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,manual,16,200,10.94,9,12,3.41,2,4,7.53,5,10,0.220529891304,0.189673913043,0.261413043478,0.161966242091,0.1,0.2,0,0.005,
uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,manual,20,200,12.765,12,14,4.77,4,6,7.995,6,10,0.1095,0.0913043478261,0.123913043478,0.0886163003664,0.047619047619,0.133333333333,0,0,
uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,manual,4,200,2.51,2,3,1.09,1,2,1.42,0,2,0.377880434783,0.267391304348,0.522826086957,0.32869047619,0.189285714286,0.513095238095,0.19,0.5,中等
uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,manual,6,200,3.105,2,4,1.69,1,2,1.415,0,3,0.295326086957,0.173913043478,0.399275362319,0.2465,0.0952380952381,0.371428571429,0.195,0.59,中等
uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,manual,8,200,3.58,3,5,2.09,1,3,1.49,0,3,0.234836956522,0.144021739131,0.320652173913,0.190416666667,0.0928571428572,0.286309523809,0.16,0.53,中等
uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,manual,10,200,4.005,3,5,2.335,2,3,1.67,0,3,0.198739130435,0.121304347826,0.295652173913,0.16291468254,0.0714285714286,0.266666666667,0.415,0.795,中等
uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,manual,12,200,4.43,3,5,2.635,2,3,1.795,0,3,0.171195652174,0.101449275362,0.235507246377,0.137235930736,0.0649350649351,0.228571428571,0.39,0.745,中等
uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,manual,16,200,5.16,4,6,3.2,2,4,1.96,1,3,0.118301630435,0.0733695652174,0.165760869565,0.0981904761905,0.0380952380952,0.163988095238,0.305,0.715,中等
uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,manual,20,200,5.68,5,6,3.715,3,4,1.965,1,3,0.0671847826087,0.0413043478261,0.0913043478261,0.05947786132,0.031746031746,0.0952380952381,0.815,1,中等
uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,manual,4,200,2.895,2,4,0.955,0,2,1.94,0,4,0.503369565217,0.369565217391,0.652173913043,0.398602941176,0.220588235294,0.588235294118,0.12,0.26,中等
uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,manual,6,200,3.695,3,5,1.58,1,2,2.115,1,4,0.429528985507,0.311594202899,0.528985507246,0.311553921569,0.164705882353,0.529411764706,0.065,0.35,中等
uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,manual,8,200,4.59,4,6,1.91,1,2,2.68,1,4,0.34589673913,0.271739130435,0.440217391304,0.232780112045,0.129411764706,0.362745098039,0.01,0.13,中等
