task_id,annotation_id,annotator_id,candidate_rank,candidate_pool_size,reliability_source,reliability_score,tier_rank,is_direct_log,risk_path,scene_path,used_scene_specific_reliability,selection_rule_trace,route_attribution_rule_version
543,143,1,1,1,scene_specific_lcb,1.0,3,False,m_tier,fallback::occlusion|over_parsing,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
545,145,1,1,1,scene_specific_lcb,1.0,3,False,m_tier,core_scene::occlusion|acceptable,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
548,148,1,1,1,global_lcb,1.0,1,False,t_tier,fallback::oos::oos_open_boundary,False,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
549,149,1,1,1,scene_specific_lcb,1.0,3,False,m_tier,core_scene::occlusion|acceptable,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
552,152,1,1,1,scene_specific_lcb,1.0,3,False,m_tier,core_scene::occlusion|acceptable,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
556,156,1,1,1,scene_specific_lcb,1.0,3,False,m_tier,core_scene::occlusion|acceptable,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
557,157,1,1,1,scene_specific_lcb,1.0,3,False,m_tier,core_scene::occlusion|acceptable,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
561,159,1,1,1,scene_specific_lcb,1.0,3,False,m_tier,core_scene::occlusion|acceptable,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
562,160,1,1,1,scene_specific_lcb,1.0,3,False,m_tier,core_scene::occlusion|acceptable,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
563,161,1,1,1,scene_specific_lcb,1.0,3,False,m_tier,core_scene::occlusion|acceptable,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
568,164,1,1,1,global_lcb,1.0,1,False,t_tier,fallback::oos::oos_split_level,False,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
569,165,1,1,1,scene_specific_lcb,1.0,3,False,m_tier,core_scene::occlusion|acceptable,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
570,166,1,1,1,scene_specific_lcb,1.0,3,False,m_tier,core_scene::occlusion|acceptable,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
571,167,1,1,1,scene_specific_lcb,1.0,3,False,m_tier,core_scene::occlusion|acceptable,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
572,168,1,1,1,scene_specific_lcb,1.0,2,False,type4_guarded,fallback::reflection|acceptable,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
573,169,1,1,1,scene_specific_lcb,1.0,3,False,m_tier,core_scene::occlusion|acceptable,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
579,172,1,1,1,scene_specific_lcb,1.0,3,False,m_tier,core_scene::occlusion|acceptable,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
581,173,1,1,1,scene_specific_lcb,1.0,3,False,m_tier,core_scene::occlusion|acceptable,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
583,174,1,1,1,scene_specific_lcb,1.0,3,False,m_tier,core_scene::occlusion|acceptable,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
584,175,1,1,1,scene_specific_lcb,1.0,2,False,type4_guarded,fallback::reflection|acceptable,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
585,176,1,1,1,scene_specific_lcb,1.0,3,False,m_tier,core_scene::occlusion|acceptable,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
586,177,1,1,1,scene_specific_lcb,1.0,3,False,m_tier,core_scene::occlusion|acceptable,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
590,179,1,1,1,scene_specific_lcb,1.0,3,False,m_tier,fallback::occlusion|over_parsing,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
591,180,1,1,1,scene_specific_lcb,1.0,3,False,m_tier,fallback::reflection|acceptable,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
599,183,1,1,1,scene_specific_lcb,1.0,3,False,m_tier,core_scene::occlusion|acceptable,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
601,184,1,1,1,scene_specific_lcb,1.0,3,False,m_tier,core_scene::occlusion|acceptable,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
605,186,1,1,1,scene_specific_lcb,1.0,3,False,m_tier,core_scene::occlusion|acceptable,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
608,189,1,1,1,scene_specific_lcb,1.0,3,False,m_tier,core_scene::occlusion|acceptable,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
613,192,1,1,1,scene_specific_lcb,1.0,3,False,m_tier,core_scene::occlusion|acceptable,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
615,193,1,1,1,scene_specific_lcb,1.0,3,False,m_tier,core_scene::occlusion|acceptable,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
617,195,1,1,1,scene_specific_lcb,1.0,3,False,m_tier,core_scene::occlusion|acceptable,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
619,196,1,1,1,scene_specific_lcb,1.0,3,False,m_tier,core_scene::occlusion|acceptable,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
623,198,1,1,1,scene_specific_lcb,1.0,3,False,m_tier,core_scene::occlusion|acceptable,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
624,199,1,1,1,scene_specific_lcb,1.0,3,False,m_tier,fallback::reflection|acceptable,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
632,204,1,1,1,scene_specific_lcb,1.0,3,False,m_tier,core_scene::occlusion|acceptable,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
633,205,1,1,1,scene_specific_lcb,1.0,3,False,m_tier,core_scene::occlusion|acceptable,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
636,207,1,1,1,scene_specific_lcb,1.0,3,False,m_tier,core_scene::occlusion|acceptable,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
638,208,1,1,1,scene_specific_lcb,1.0,3,False,m_tier,core_scene::occlusion|acceptable,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
640,209,1,1,1,scene_specific_lcb,1.0,3,False,m_tier,core_scene::occlusion|acceptable,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
641,210,1,1,1,scene_specific_lcb,1.0,3,False,m_tier,core_scene::occlusion|acceptable,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
645,213,1,1,1,scene_specific_lcb,1.0,3,False,m_tier,core_scene::occlusion|acceptable,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
653,215,1,1,1,scene_specific_lcb,1.0,3,False,m_tier,core_scene::occlusion|acceptable,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
654,216,1,1,1,scene_specific_lcb,1.0,3,False,m_tier,core_scene::occlusion|acceptable,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
655,217,1,1,1,scene_specific_lcb,1.0,3,False,m_tier,core_scene::occlusion|acceptable,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
658,219,1,1,1,scene_specific_lcb,1.0,3,False,m_tier,core_scene::occlusion|acceptable,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
660,220,1,1,1,scene_specific_lcb,1.0,3,False,m_tier,core_scene::occlusion|acceptable,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
