stage,worker_id_left,worker_id_right,shared_task_count,source_artifact,source_sha256
P1,2,21,57,post_block2_submission_master.csv,bound_after_materialization
P1,2,26,0,post_block2_submission_master.csv,bound_after_materialization
P1,2,27,0,post_block2_submission_master.csv,bound_after_materialization
P1,2,28,0,post_block2_submission_master.csv,bound_after_materialization
P1,2,29,0,post_block2_submission_master.csv,bound_after_materialization
P1,2,30,0,post_block2_submission_master.csv,bound_after_materialization
P1,2,31,0,post_block2_submission_master.csv,bound_after_materialization
P1,2,32,0,post_block2_submission_master.csv,bound_after_materialization
P1,2,33,0,post_block2_submission_master.csv,bound_after_materialization
P1,2,34,0,post_block2_submission_master.csv,bound_after_materialization
P1,2,35,0,post_block2_submission_master.csv,bound_after_materialization
P1,2,36,0,post_block2_submission_master.csv,bound_after_materialization
P1,2,37,0,post_block2_submission_master.csv,bound_after_materialization
P1,2,6,57,post_block2_submission_master.csv,bound_after_materialization
P1,2,8,57,post_block2_submission_master.csv,bound_after_materialization
P1,21,26,0,post_block2_submission_master.csv,bound_after_materialization
P1,21,27,0,post_block2_submission_master.csv,bound_after_materialization
P1,21,28,0,post_block2_submission_master.csv,bound_after_materialization
P1,21,29,0,post_block2_submission_master.csv,bound_after_materialization
P1,21,30,0,post_block2_submission_master.csv,bound_after_materialization
P1,21,31,0,post_block2_submission_master.csv,bound_after_materialization
P1,21,32,0,post_block2_submission_master.csv,bound_after_materialization
P1,21,33,0,post_block2_submission_master.csv,bound_after_materialization
P1,21,34,0,post_block2_submission_master.csv,bound_after_materialization
P1,21,35,0,post_block2_submission_master.csv,bound_after_materialization
P1,21,36,0,post_block2_submission_master.csv,bound_after_materialization
P1,21,37,0,post_block2_submission_master.csv,bound_after_materialization
P1,21,6,57,post_block2_submission_master.csv,bound_after_materialization
P1,21,8,57,post_block2_submission_master.csv,bound_after_materialization
P1,26,27,56,post_block2_submission_master.csv,bound_after_materialization
P1,26,28,56,post_block2_submission_master.csv,bound_after_materialization
P1,26,29,56,post_block2_submission_master.csv,bound_after_materialization
