analysis_kind,population_or_scenario,analysis_stratum,k_total,metric,estimate_task_equal,ci95_lower_building_bootstrap,ci95_upper_building_bootstrap,task_count,task_count_with_metric,building_count
mixture_k6_exact,primary_A_vs_non_A|3A+3B,pooled_reference_sensitivity_41,6,delivery_adjusted_quality,0.7142109460068952,0.6602332592132115,0.7917835131309351,41,41,11
mixture_k6_exact,primary_A_vs_non_A|3A+3B,pooled_reference_sensitivity_41,6,pooled_full_output_recovery_rate,0.9996512746512747,0.9991032776747062,1.0,41,18,11
mixture_k6_exact,primary_A_vs_non_A|4A+2B,C1_primary_12,6,resolved_rate,0.6913179413179413,0.5711688311688311,0.9248376623376624,12,12,5
mixture_k6_exact,primary_A_vs_non_A|4A+2B,C1_primary_12,6,supported_multimodal_rate,0.2626102292768959,0.0685966810966811,0.35961700336700336,12,12,5
mixture_k6_exact,primary_A_vs_non_A|4A+2B,C1_primary_12,6,resolved_only_quality,0.9335953372000936,0.8959444921900107,0.9780193340269547,12,12,5
mixture_k6_exact,primary_A_vs_non_A|4A+2B,C1_primary_12,6,delivery_adjusted_quality,0.6564170388604998,0.5200758328687125,0.9055492010567778,12,12,5
mixture_k6_exact,primary_A_vs_non_A|4A+2B,C1_primary_12,6,pooled_full_output_recovery_rate,0.9966810966810967,0.9900432900432902,1.0,12,3,5
mixture_k6_exact,primary_A_vs_non_A|4A+2B,P1_reference_sensitivity_29,6,resolved_rate,0.8370522963626412,0.7807408532901143,0.9112640115440115,29,29,11
mixture_k6_exact,primary_A_vs_non_A|4A+2B,P1_reference_sensitivity_29,6,supported_multimodal_rate,0.12402779851055713,0.05700329004329005,0.1911972424173381,29,29,11
mixture_k6_exact,primary_A_vs_non_A|4A+2B,P1_reference_sensitivity_29,6,resolved_only_quality,0.904530325717795,0.8738569235641583,0.9301432976011912,29,29,11
mixture_k6_exact,primary_A_vs_non_A|4A+2B,P1_reference_sensitivity_29,6,delivery_adjusted_quality,0.7654292759915903,0.7100496068777749,0.8353537671318272,29,29,11
mixture_k6_exact,primary_A_vs_non_A|4A+2B,P1_reference_sensitivity_29,6,pooled_full_output_recovery_rate,1.0,1.0,1.0,29,15,11
mixture_k6_exact,primary_A_vs_non_A|4A+2B,pooled_reference_sensitivity_41,6,resolved_rate,0.7943983387885827,0.7322961710182965,0.8812496650175221,41,41,11
mixture_k6_exact,primary_A_vs_non_A|4A+2B,pooled_reference_sensitivity_41,6,supported_multimodal_rate,0.1645885099543636,0.07931321876776422,0.23994031109112465,41,41,11
mixture_k6_exact,primary_A_vs_non_A|4A+2B,pooled_reference_sensitivity_41,6,resolved_only_quality,0.9130371583467605,0.8894297716080447,0.9278424175466806,41,41,11
mixture_k6_exact,primary_A_vs_non_A|4A+2B,pooled_reference_sensitivity_41,6,delivery_adjusted_quality,0.7335232553678566,0.6746526822804636,0.8112133481867927,41,41,11
mixture_k6_exact,primary_A_vs_non_A|4A+2B,pooled_reference_sensitivity_41,6,pooled_full_output_recovery_rate,0.9994468494468495,0.9986422668240849,1.0,41,18,11
mixture_k6_exact,sensitivity_A_vs_C|2A+4B,C1_primary_12,6,resolved_rate,0.6361111111111111,0.4271604938271605,0.85625,12,12,5
mixture_k6_exact,sensitivity_A_vs_C|2A+4B,C1_primary_12,6,supported_multimodal_rate,0.25277777777777777,0.08402777777777778,0.3726495726495726,12,12,5
mixture_k6_exact,sensitivity_A_vs_C|2A+4B,C1_primary_12,6,resolved_only_quality,0.9196418212652727,0.8922052515933951,0.969347774191226,12,12,5
mixture_k6_exact,sensitivity_A_vs_C|2A+4B,C1_primary_12,6,delivery_adjusted_quality,0.5985603137664235,0.4056377188558087,0.8351550998969713,12,12,5
mixture_k6_exact,sensitivity_A_vs_C|2A+4B,C1_primary_12,6,pooled_full_output_recovery_rate,1.0,1.0,1.0,12,3,5
mixture_k6_exact,sensitivity_A_vs_C|2A+4B,P1_reference_sensitivity_29,6,resolved_rate,0.8010837438423646,0.6732951376580409,0.9045714285714286,29,29,11
mixture_k6_exact,sensitivity_A_vs_C|2A+4B,P1_reference_sensitivity_29,6,supported_multimodal_rate,0.1529392446633826,0.0663775783040489,0.2837272486772487,29,29,11
mixture_k6_exact,sensitivity_A_vs_C|2A+4B,P1_reference_sensitivity_29,6,resolved_only_quality,0.8992299355193043,0.8728190536633618,0.921048763605781,29,29,11
mixture_k6_exact,sensitivity_A_vs_C|2A+4B,P1_reference_sensitivity_29,6,delivery_adjusted_quality,0.7270165519645321,0.6116537216740501,0.8241735785974348,29,29,11
mixture_k6_exact,sensitivity_A_vs_C|2A+4B,P1_reference_sensitivity_29,6,pooled_full_output_recovery_rate,1.0,1.0,1.0,29,15,11
mixture_k6_exact,sensitivity_A_vs_C|2A+4B,pooled_reference_sensitivity_41,6,resolved_rate,0.7527990708478514,0.6751457282913166,0.8374043028408991,41,41,11
mixture_k6_exact,sensitivity_A_vs_C|2A+4B,pooled_reference_sensitivity_41,6,supported_multimodal_rate,0.1821602787456446,0.11722414210827715,0.2603550127121555,41,41,11
mixture_k6_exact,sensitivity_A_vs_C|2A+4B,pooled_reference_sensitivity_41,6,resolved_only_quality,0.905204145981539,0.8856003797781625,0.9200891616891633,41,41,11
mixture_k6_exact,sensitivity_A_vs_C|2A+4B,pooled_reference_sensitivity_41,6,delivery_adjusted_quality,0.689419604199232,0.6191602066931213,0.7694921826632612,41,41,11
mixture_k6_exact,sensitivity_A_vs_C|2A+4B,pooled_reference_sensitivity_41,6,pooled_full_output_recovery_rate,1.0,1.0,1.0,41,18,11
mixture_k6_exact,sensitivity_A_vs_C|3A+3B,C1_primary_12,6,resolved_rate,0.68125,0.5257326007326006,0.877023384353742,12,12,5
mixture_k6_exact,sensitivity_A_vs_C|3A+3B,C1_primary_12,6,supported_multimodal_rate,0.2365079365079365,0.0787202380952381,0.32316849816849813,12,12,5
mixture_k6_exact,sensitivity_A_vs_C|3A+3B,C1_primary_12,6,resolved_only_quality,0.9284623444472815,0.8949708035448679,0.9751076346440353,12,12,5
mixture_k6_exact,sensitivity_A_vs_C|3A+3B,C1_primary_12,6,delivery_adjusted_quality,0.643389588988209,0.4793499692560498,0.8722178197253561,12,12,5
mixture_k6_exact,sensitivity_A_vs_C|3A+3B,C1_primary_12,6,pooled_full_output_recovery_rate,0.9964285714285714,0.9892857142857143,1.0,12,3,5
mixture_k6_exact,sensitivity_A_vs_C|3A+3B,P1_reference_sensitivity_29,6,resolved_rate,0.7975615763546798,0.7083746907854052,0.8795522913466461,29,29,11
mixture_k6_exact,sensitivity_A_vs_C|3A+3B,P1_reference_sensitivity_29,6,supported_multimodal_rate,0.15729064039408866,0.07934065934065934,0.25036474867724867,29,29,11
mixture_k6_exact,sensitivity_A_vs_C|3A+3B,P1_reference_sensitivity_29,6,resolved_only_quality,0.9025751298749716,0.8777131085619813,0.9254359199642068,29,29,11
mixture_k6_exact,sensitivity_A_vs_C|3A+3B,P1_reference_sensitivity_29,6,delivery_adjusted_quality,0.728685801170936,0.643023043356958,0.8166574764463392,29,29,11
mixture_k6_exact,sensitivity_A_vs_C|3A+3B,P1_reference_sensitivity_29,6,pooled_full_output_recovery_rate,1.0,1.0,1.0,29,15,11
mixture_k6_exact,sensitivity_A_vs_C|3A+3B,pooled_reference_sensitivity_41,6,resolved_rate,0.7635191637630662,0.7045883422133422,0.8368303498123388,41,41,11
mixture_k6_exact,sensitivity_A_vs_C|3A+3B,pooled_reference_sensitivity_41,6,supported_multimodal_rate,0.18047619047619048,0.10704982993197278,0.24603967100406055,41,41,11
mixture_k6_exact,sensitivity_A_vs_C|3A+3B,pooled_reference_sensitivity_41,6,resolved_only_quality,0.9101518756034525,0.8892876236910536,0.9243821222154995,41,41,11
mixture_k6_exact,sensitivity_A_vs_C|3A+3B,pooled_reference_sensitivity_41,6,delivery_adjusted_quality,0.7037210561418451,0.6488861115304645,0.7741124153437816,41,41,11
mixture_k6_exact,sensitivity_A_vs_C|3A+3B,pooled_reference_sensitivity_41,6,pooled_full_output_recovery_rate,0.9994047619047619,0.998469387755102,1.0,41,18,11
mixture_k6_exact,sensitivity_A_vs_C|4A+2B,C1_primary_12,6,resolved_rate,0.7040343915343915,0.5858906525573192,0.920436507936508,12,12,5
mixture_k6_exact,sensitivity_A_vs_C|4A+2B,C1_primary_12,6,supported_multimodal_rate,0.24265873015873016,0.06746031746031747,0.3302579365079365,12,12,5
