group_code,image_id,building_id,mode,config,horizon,kind,possible,conservative,identified,status,unknown_node_fraction,stable_k8_lower,stable_k8_upper,role
G237,yqstnuAEVhm_a93ea1ea5702412c9ef9c82a436c4599,yqstnuAEVhm,without_workers,q_0.950,20,anchor_stage,2,2,2,identified,0.0666666666667,1,1,observed_source_not_new_target_validation
G237,yqstnuAEVhm_a93ea1ea5702412c9ef9c82a436c4599,yqstnuAEVhm,without_workers,q_0.950,24,anchor_stage,2,2,2,identified,0.0526315789474,1,1,observed_source_not_new_target_validation
G165,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,rPc6DW4iMge,with_workers,ospa30_t6,19,anchor_stage,7,7,7,identified,0.0421428571429,0.93,0.93,observed_source_not_new_target_validation
G165,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,rPc6DW4iMge,with_workers,ospa30_t6,20,anchor_stage,7,7,7,identified,0.0393333333333,0.93,0.93,observed_source_not_new_target_validation
G165,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,rPc6DW4iMge,with_workers,q_0.950,19,anchor_stage,7,7,7,identified,0.0421428571429,0.93,0.93,observed_source_not_new_target_validation
G165,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,rPc6DW4iMge,with_workers,q_0.950,20,anchor_stage,7,7,7,identified,0.0393333333333,0.93,0.93,observed_source_not_new_target_validation
G165,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,rPc6DW4iMge,without_workers,ospa30_t6,19,anchor_stage,7,7,7,identified,0.0421428571429,0.93,0.93,observed_source_not_new_target_validation
G165,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,rPc6DW4iMge,without_workers,ospa30_t6,20,anchor_stage,7,7,7,identified,0.0393333333333,0.93,0.93,observed_source_not_new_target_validation
G165,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,rPc6DW4iMge,without_workers,q_0.950,19,anchor_stage,7,7,7,identified,0.0421428571429,0.93,0.93,observed_source_not_new_target_validation
G165,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,rPc6DW4iMge,without_workers,q_0.950,20,anchor_stage,7,7,7,identified,0.0393333333333,0.93,0.93,observed_source_not_new_target_validation
G200,uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384,uNb9QFRL6hY,with_workers,ospa30_t6,19,anchor_stage,10,10,10,identified,0.0228571428571,0.75,0.75,observed_source_not_new_target_validation
G200,uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384,uNb9QFRL6hY,with_workers,ospa30_t6,20,anchor_stage,10,10,10,identified,0.0213333333333,0.75,0.75,observed_source_not_new_target_validation
G200,uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384,uNb9QFRL6hY,with_workers,ospa30_t6,24,anchor_stage,11,11,11,identified,0.0168421052632,0.725,0.725,observed_source_not_new_target_validation
G200,uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384,uNb9QFRL6hY,with_workers,q_0.950,19,anchor_stage,10,10,10,identified,0.0228571428571,0.75,0.75,observed_source_not_new_target_validation
G200,uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384,uNb9QFRL6hY,with_workers,q_0.950,20,anchor_stage,10,10,10,identified,0.0213333333333,0.75,0.75,observed_source_not_new_target_validation
G200,uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384,uNb9QFRL6hY,with_workers,q_0.950,24,anchor_stage,11,11,11,identified,0.0168421052632,0.725,0.725,observed_source_not_new_target_validation
G200,uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384,uNb9QFRL6hY,without_workers,ospa30_t6,19,anchor_stage,7,7,7,identified,0.0471428571429,0.975,0.975,observed_source_not_new_target_validation
G200,uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384,uNb9QFRL6hY,without_workers,ospa30_t6,20,anchor_stage,7,7,7,identified,0.044,0.975,0.975,observed_source_not_new_target_validation
G200,uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384,uNb9QFRL6hY,without_workers,ospa30_t6,24,anchor_stage,8,8,8,identified,0.0347368421053,0.975,0.975,observed_source_not_new_target_validation
G200,uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384,uNb9QFRL6hY,without_workers,q_0.950,19,anchor_stage,7,7,7,identified,0.0471428571429,0.975,0.975,observed_source_not_new_target_validation
G200,uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384,uNb9QFRL6hY,without_workers,q_0.950,20,anchor_stage,7,7,7,identified,0.044,0.975,0.975,observed_source_not_new_target_validation
G200,uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384,uNb9QFRL6hY,without_workers,q_0.950,24,anchor_stage,8,8,8,identified,0.0347368421053,0.975,0.975,observed_source_not_new_target_validation
G036,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,with_workers,ospa30_t6,19,anchor_stage,13,,,unknown,0.273214285714,0.055,0.36,observed_source_not_new_target_validation
G036,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,with_workers,ospa30_t6,20,anchor_stage,13,,,unknown,0.272666666667,0.055,0.325,observed_source_not_new_target_validation
G036,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,with_workers,ospa30_t6,24,anchor_stage,15,,,unknown,0.238421052632,0.005,0.16,observed_source_not_new_target_validation
G036,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,with_workers,q_0.950,19,anchor_stage,8,,,unknown,0.650357142857,0.115,0.825,observed_source_not_new_target_validation
G036,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,with_workers,q_0.950,20,anchor_stage,8,,,unknown,0.670333333333,0.105,0.825,observed_source_not_new_target_validation
G036,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,with_workers,q_0.950,24,anchor_stage,8,,,unknown,0.783157894737,0.035,0.825,observed_source_not_new_target_validation
G036,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,without_workers,ospa30_t6,19,anchor_stage,12,,,unknown,0.308214285714,0.14,0.495,observed_source_not_new_target_validation
G036,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,without_workers,ospa30_t6,20,anchor_stage,12,,,unknown,0.307333333333,0.14,0.48,observed_source_not_new_target_validation
G036,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,without_workers,ospa30_t6,24,anchor_stage,14,,,unknown,0.249736842105,0.08,0.28,observed_source_not_new_target_validation
G036,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,without_workers,q_0.950,19,anchor_stage,6,,,unknown,0.741428571429,0.165,0.965,observed_source_not_new_target_validation
G036,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,without_workers,q_0.950,20,anchor_stage,6,,,unknown,0.771333333333,0.135,0.965,observed_source_not_new_target_validation
G036,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,without_workers,q_0.950,24,anchor_stage,6,,,unknown,0.912631578947,0,0.965,observed_source_not_new_target_validation
G057,VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom,with_workers,ospa30_t6,19,anchor_stage,,,,not_reached,0,0,0,observed_source_not_new_target_validation
G057,VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom,with_workers,q_0.950,19,anchor_stage,,,,not_reached,0,0,0,observed_source_not_new_target_validation
G057,VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom,without_workers,ospa30_t6,19,anchor_stage,,,,not_reached,0,0,0,observed_source_not_new_target_validation
G057,VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom,without_workers,q_0.950,19,anchor_stage,,,,not_reached,0,0,0,observed_source_not_new_target_validation
G197,uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,uNb9QFRL6hY,with_workers,ospa30_t6,19,anchor_stage,,,,not_reached,0.253214285714,0,0.25,observed_source_not_new_target_validation
G197,uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,uNb9QFRL6hY,with_workers,ospa30_t6,20,anchor_stage,,,,not_reached,0.244,0,0.22,observed_source_not_new_target_validation
G197,uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,uNb9QFRL6hY,with_workers,ospa30_t6,24,anchor_stage,,,,not_reached,0.161842105263,0,0.075,observed_source_not_new_target_validation
G197,uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,uNb9QFRL6hY,with_workers,q_0.950,19,anchor_stage,,,,not_reached,0.39,0,0.4,observed_source_not_new_target_validation
G197,uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,uNb9QFRL6hY,with_workers,q_0.950,20,anchor_stage,15,,,unknown,0.414333333333,0,0.4,observed_source_not_new_target_validation
G197,uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,uNb9QFRL6hY,with_workers,q_0.950,24,anchor_stage,16,,,unknown,0.508157894737,0,0.4,observed_source_not_new_target_validation
G197,uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,uNb9QFRL6hY,without_workers,ospa30_t6,19,anchor_stage,,,,not_reached,0.228571428571,0,0.215,observed_source_not_new_target_validation
G197,uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,uNb9QFRL6hY,without_workers,ospa30_t6,20,anchor_stage,,,,not_reached,0.218333333333,0,0.175,observed_source_not_new_target_validation
G197,uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,uNb9QFRL6hY,without_workers,ospa30_t6,24,anchor_stage,,,,not_reached,0.13,0,0.06,observed_source_not_new_target_validation
G197,uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,uNb9QFRL6hY,without_workers,q_0.950,19,anchor_stage,14,,,unknown,0.434642857143,0,0.47,observed_source_not_new_target_validation
G197,uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,uNb9QFRL6hY,without_workers,q_0.950,20,anchor_stage,14,,,unknown,0.458333333333,0,0.47,observed_source_not_new_target_validation
G197,uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,uNb9QFRL6hY,without_workers,q_0.950,24,anchor_stage,15,,,unknown,0.562368421053,0,0.47,observed_source_not_new_target_validation
G202,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,wc2JMjhGNzB,with_workers,ospa30_t6,19,anchor_stage,,,,not_reached,0,0,0,observed_source_not_new_target_validation
G202,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,wc2JMjhGNzB,with_workers,ospa30_t6,20,anchor_stage,,,,not_reached,0,0,0,observed_source_not_new_target_validation
G202,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,wc2JMjhGNzB,with_workers,q_0.950,19,anchor_stage,,,,not_reached,0.109285714286,0,0.095,observed_source_not_new_target_validation
G202,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,wc2JMjhGNzB,with_workers,q_0.950,20,anchor_stage,,,,not_reached,0.118666666667,0,0.095,observed_source_not_new_target_validation
G202,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,wc2JMjhGNzB,without_workers,ospa30_t6,19,anchor_stage,,,,not_reached,0,0,0,observed_source_not_new_target_validation
G202,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,wc2JMjhGNzB,without_workers,ospa30_t6,20,anchor_stage,,,,not_reached,0,0,0,observed_source_not_new_target_validation
G202,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,wc2JMjhGNzB,without_workers,q_0.950,19,anchor_stage,,,,not_reached,0.109285714286,0,0.095,observed_source_not_new_target_validation
G202,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,wc2JMjhGNzB,without_workers,q_0.950,20,anchor_stage,,,,not_reached,0.118666666667,0,0.095,observed_source_not_new_target_validation
