image_id,building,condition,cut,scene,replay,rule,state,onset,tail_first_k,late_new_geometry,late_support_promotions,tail_max_TV
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,0.1,工作与学习,72,G10_geometry,current_changes,23.0,21,0,1,0.0719696969697
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,0.1,工作与学习,74,G10_geometry,current_changes,23.0,21,0,1,0.0535714285714
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,0.1,工作与学习,76,G10_geometry,current_changes,23.0,21,1,0,0.0595238095238
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,0.1,工作与学习,81,G10_geometry,current_changes,22.0,21,0,1,0.0654761904762
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,0.1,工作与学习,83,G10_geometry,current_changes,23.0,21,1,0,0.0595238095238
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,0.1,工作与学习,84,G10_geometry,current_changes,23.0,21,0,1,0.0535714285714
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,0.1,工作与学习,86,G10_geometry,current_changes,22.0,21,0,1,0.0535714285714
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,0.1,工作与学习,90,G10_geometry,current_changes,23.0,21,0,2,0.0714285714286
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,0.1,工作与学习,91,G10_geometry,current_changes,23.0,21,2,0,0.0833333333333
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,0.1,工作与学习,92,G10_geometry,current_changes,22.0,21,1,0,0.0714285714286
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,0.1,工作与学习,94,G10_geometry,current_changes,23.0,21,0,1,0.0654761904762
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,0.1,工作与学习,98,G10_geometry,current_changes,22.0,21,0,1,0.0535714285714
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,manual,0.1,起居与休闲,0,G10_geometry,current_changes,3.0,2,0,0,0.0
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,manual,0.1,起居与休闲,1,G10_geometry,current_changes,3.0,2,0,0,0.0
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,manual,0.1,起居与休闲,4,G10_geometry,current_changes,3.0,2,0,0,0.0
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,manual,0.1,起居与休闲,7,G10_geometry,current_changes,3.0,2,0,0,0.0
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,manual,0.1,起居与休闲,12,G10_geometry,current_changes,3.0,2,0,0,0.0
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,manual,0.1,起居与休闲,14,G10_geometry,current_changes,3.0,2,0,0,0.0
