base_task_id,building_id,manual_context_count,manual_eligible_context_count,manual_active_seconds_mean,manual_active_seconds_median,manual_observed_active_seconds_count,manual_observed_active_seconds_mean,manual_observed_active_seconds_median,manual_time_exclusion_reasons,semi_context_count,semi_eligible_context_count,semi_active_seconds_mean,semi_active_seconds_median,semi_observed_active_seconds_count,semi_observed_active_seconds_mean,semi_observed_active_seconds_median,semi_time_exclusion_reasons,delta_active_seconds_mean,delta_observed_active_seconds_mean,delta_active_seconds_median,delta_observed_active_seconds_median
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,6,5,164.6,180.0,5,164.6,180.0,administratively_excluded_worker;no_active_log_session,4,4,184.0,115.0,4,184.0,115.0,,19.40000000000001,19.40000000000001,-65.0,-65.0
B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,B6ByNegPMKs,5,5,184.0,161.0,5,184.0,161.0,,0,0,,,0,,,,,,,
B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,B6ByNegPMKs,6,5,153.2,150.0,5,153.2,150.0,administratively_excluded_worker;no_active_log_session,0,0,,,0,,,,,,,
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,5,5,61.0,29.0,5,61.0,29.0,,0,0,,,0,,,,,,,
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,UwV83HsGsw3,5,4,137.25,106.5,4,137.25,106.5,no_active_log_session,4,4,237.25,170.0,4,237.25,170.0,,100.0,100.0,63.5,63.5
UwV83HsGsw3_16af52545aff47afb4d7b330a49091a2,UwV83HsGsw3,5,5,218.4,60.0,5,218.4,60.0,,0,0,,,0,,,,,,,
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,UwV83HsGsw3,7,4,95.5,59.0,4,95.5,59.0,administratively_excluded_worker;no_active_log_session;nonformal_assignment_provenance;outside_assignment;formal_assignment_not_expected;canonical_submission_not_legal;canonical_parse_error;page_gate_or_submission_bridge_missing,4,3,312.3333333333333,317.0,3,312.3333333333333,317.0,no_active_log_session,216.8333333333333,216.8333333333333,258.0,258.0
UwV83HsGsw3_b979526475874ad68ae33f02d407a1fc,UwV83HsGsw3,5,5,389.4,435.0,5,389.4,435.0,,0,0,,,0,,,,,,,
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,23,21,241.8095238095238,160.0,21,241.8095238095238,160.0,administratively_excluded_worker;no_active_log_session;no_active_log_session,0,0,,,0,,,,,,,
UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,UwV83HsGsw3,5,5,132.6,117.0,5,132.6,117.0,,0,0,,,0,,,,,,,
X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,X7HyMhZNoso,5,5,117.0,138.0,5,117.0,138.0,,0,0,,,0,,,,,,,
X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,X7HyMhZNoso,5,4,173.5,160.5,4,173.5,160.5,no_active_log_session,4,4,85.75,75.5,4,85.75,75.5,,-87.75,-87.75,-85.0,-85.0
Z6MFQCViBuw_2008e72476f84104858e908beeac0193,Z6MFQCViBuw,5,5,155.8,151.0,5,155.8,151.0,,4,4,32.5,30.0,4,32.5,30.0,,-123.3,-123.3,-121.0,-121.0
Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,Z6MFQCViBuw,5,4,62.25,54.5,4,62.25,54.5,no_active_log_session,5,4,70.75,77.0,4,70.75,77.0,nonformal_assignment_provenance;outside_assignment;formal_assignment_not_expected;canonical_submission_not_legal,8.5,8.5,22.5,22.5
Z6MFQCViBuw_59aed460238643f48f593e9b9ba1c17d,Z6MFQCViBuw,5,5,115.4,60.0,5,115.4,60.0,,0,0,,,0,,,,,,,
b8cTxDM8gDG_f339391e9479496e8652c972953f0ce4,b8cTxDM8gDG,5,5,246.8,189.0,5,246.8,189.0,,0,0,,,0,,,,,,,
b8cTxDM8gDG_f3748786c3704532abb2358581488f3f,b8cTxDM8gDG,6,5,122.0,89.0,5,122.0,89.0,administratively_excluded_worker;no_active_log_session,0,0,,,0,,,,,,,
e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945,e9zR4mvMWw7,6,5,228.0,99.0,5,228.0,99.0,nonformal_assignment_provenance;outside_assignment;formal_assignment_not_expected;canonical_submission_not_legal;no_active_log_session,0,0,,,0,,,,,,,
e9zR4mvMWw7_1d316dfbe35f41dd9203eaf88be5aae8,e9zR4mvMWw7,6,5,54.6,46.0,5,54.6,46.0,administratively_excluded_worker;no_active_log_session,0,0,,,0,,,,,,,
e9zR4mvMWw7_4273c4dd97974531b5256f96204fee47,e9zR4mvMWw7,6,5,94.0,55.0,5,94.0,55.0,nonformal_assignment_provenance;outside_assignment;formal_assignment_not_expected;canonical_submission_not_legal;no_active_log_session,0,0,,,0,,,,,,,
q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,q9vSo1VnCiC,5,5,244.2,228.0,5,244.2,228.0,,4,3,334.3333333333333,289.0,3,334.3333333333333,289.0,no_active_log_session,90.13333333333333,90.13333333333333,61.0,61.0
q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9,q9vSo1VnCiC,5,4,299.75,280.5,4,299.75,280.5,no_active_log_session,0,0,,,0,,,,,,,
q9vSo1VnCiC_3e7f67e8969f434b9a4aec0c68668b20,q9vSo1VnCiC,5,4,300.5,274.0,4,300.5,274.0,no_active_log_session,0,0,,,0,,,,,,,
q9vSo1VnCiC_830eb252ae01401a8fe55f9538e627dd,q9vSo1VnCiC,5,5,73.6,54.0,5,73.6,54.0,,0,0,,,0,,,,,,,
q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,q9vSo1VnCiC,6,5,78.8,80.0,5,78.8,80.0,administratively_excluded_worker;no_active_log_session,4,4,98.5,92.0,4,98.5,92.0,,19.700000000000003,19.700000000000003,12.0,12.0
q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,q9vSo1VnCiC,5,5,112.8,95.0,5,112.8,95.0,,5,4,110.25,108.5,4,110.25,108.5,administratively_excluded_worker;no_active_log_session,-2.549999999999997,-2.549999999999997,13.5,13.5
q9vSo1VnCiC_c4b0b6a41c2a4db3927f5fa9cafb6345,q9vSo1VnCiC,6,5,202.0,91.0,5,202.0,91.0,administratively_excluded_worker;no_active_log_session,0,0,,,0,,,,,,,
q9vSo1VnCiC_dc320b1236f741a98303db9f89bc68a2,q9vSo1VnCiC,5,4,92.5,100.5,4,92.5,100.5,no_active_log_session,0,0,,,0,,,,,,,
q9vSo1VnCiC_dc873df7717c43888a1cff13713fe146,q9vSo1VnCiC,5,5,230.6,182.0,5,230.6,182.0,,0,0,,,0,,,,,,,
q9vSo1VnCiC_f7452776f0604b508bb2b0263238deb0,q9vSo1VnCiC,5,5,116.6,93.0,5,116.6,93.0,,0,0,,,0,,,,,,,
rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,rPc6DW4iMge,23,21,192.23809523809524,123.0,21,192.23809523809524,123.0,administratively_excluded_worker;no_active_log_session;no_active_log_session,0,0,,,0,,,,,,,
rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,rPc6DW4iMge,5,4,266.75,226.0,4,266.75,226.0,no_active_log_session,0,0,,,0,,,,,,,
rPc6DW4iMge_4350d36797324601adba7351d09602d2,rPc6DW4iMge,5,4,85.0,96.0,4,85.0,96.0,no_active_log_session,0,0,,,0,,,,,,,
rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,rPc6DW4iMge,23,21,114.42857142857144,116.0,21,114.42857142857144,116.0,administratively_excluded_worker;no_active_log_session;no_active_log_session,0,0,,,0,,,,,,,
rPc6DW4iMge_a72230c911234d18b08568b9d8b02dd2,rPc6DW4iMge,6,5,47.2,42.0,5,47.2,42.0,administratively_excluded_worker;no_active_log_session,0,0,,,0,,,,,,,
uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,uNb9QFRL6hY,23,21,121.95238095238096,79.0,21,121.95238095238096,79.0,administratively_excluded_worker;no_active_log_session;no_active_log_session,0,0,,,0,,,,,,,
uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,uNb9QFRL6hY,23,21,430.6190476190476,204.0,21,430.6190476190476,204.0,administratively_excluded_worker;no_active_log_session;no_active_log_session,0,0,,,0,,,,,,,
uNb9QFRL6hY_5b62816d9cf94f17ae166291822ea9ab,uNb9QFRL6hY,5,5,106.2,102.0,5,106.2,102.0,,0,0,,,0,,,,,,,
uNb9QFRL6hY_6115ed700b5144cfa3443346381cb7cd,uNb9QFRL6hY,5,5,482.8,106.0,5,482.8,106.0,,0,0,,,0,,,,,,,
uNb9QFRL6hY_6a500a9a43a340eb817c58bb084327fe,uNb9QFRL6hY,5,5,272.0,140.0,5,272.0,140.0,,0,0,,,0,,,,,,,
uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,uNb9QFRL6hY,6,5,56.6,53.0,5,56.6,53.0,administratively_excluded_worker;no_active_log_session,4,4,61.0,47.5,4,61.0,47.5,,4.399999999999999,4.399999999999999,-5.5,-5.5
uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,uNb9QFRL6hY,5,5,118.0,124.0,5,118.0,124.0,,4,3,173.0,213.0,3,173.0,213.0,no_active_log_session,55.0,55.0,89.0,89.0
uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,uNb9QFRL6hY,5,5,213.2,211.0,5,213.2,211.0,,5,4,148.75,128.5,4,148.75,128.5,nonformal_assignment_provenance;outside_assignment;formal_assignment_not_expected;canonical_submission_not_legal,-64.44999999999999,-64.44999999999999,-82.5,-82.5
uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,uNb9QFRL6hY,23,20,153.7,70.5,20,153.7,70.5,administratively_excluded_worker;no_active_log_session;cross_worker_only_session;mixed_or_missing_script_version;no_positive_cumulative_active_time;no_active_log_session,0,0,,,0,,,,,,,
uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,uNb9QFRL6hY,23,21,190.6190476190476,104.0,21,190.6190476190476,104.0,administratively_excluded_worker;no_active_log_session;no_active_log_session,0,0,,,0,,,,,,,
uNb9QFRL6hY_a372582c11864f31a9dd174e4a0ae6ad,uNb9QFRL6hY,6,5,236.2,226.0,5,236.2,226.0,administratively_excluded_worker;no_active_log_session,0,0,,,0,,,,,,,
uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,uNb9QFRL6hY,6,5,38.6,34.0,5,38.6,34.0,administratively_excluded_worker;no_active_log_session,4,4,93.0,93.0,4,93.0,93.0,,54.4,54.4,59.0,59.0
uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,uNb9QFRL6hY,23,21,178.42857142857142,194.0,21,178.42857142857142,194.0,administratively_excluded_worker;no_active_log_session;no_active_log_session,0,0,,,0,,,,,,,
uNb9QFRL6hY_c6410f47ad754d6cbd890ba7dff8b449,uNb9QFRL6hY,5,5,189.8,181.0,5,189.8,181.0,,0,0,,,0,,,,,,,
uNb9QFRL6hY_ca08ebfb2da647f68db41630637e400b,uNb9QFRL6hY,5,5,193.2,207.0,5,193.2,207.0,,0,0,,,0,,,,,,,
uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,uNb9QFRL6hY,5,4,149.5,134.5,4,149.5,134.5,no_active_log_session,5,3,87.0,87.0,3,87.0,87.0,administratively_excluded_worker;no_active_log_session;page_gate_or_submission_bridge_missing,-62.5,-62.5,-47.5,-47.5
uNb9QFRL6hY_ce88ee8b7ee84fca92c13ab16599d90e,uNb9QFRL6hY,5,5,158.0,152.0,5,158.0,152.0,,4,4,217.25,189.0,4,217.25,189.0,,59.25,59.25,37.0,37.0
uNb9QFRL6hY_f4eb9862530a4f909b46f51d1887d05f,uNb9QFRL6hY,5,4,73.75,71.5,4,73.75,71.5,no_active_log_session,0,0,,,0,,,,,,,
uNb9QFRL6hY_f7944295a76541b186e6a557ebdbba14,uNb9QFRL6hY,5,5,285.8,89.0,5,285.8,89.0,,0,0,,,0,,,,,,,
uNb9QFRL6hY_fd8d4da92ec14b668ed3d2986616bd14,uNb9QFRL6hY,5,4,183.5,136.5,4,183.5,136.5,no_active_log_session,0,0,,,0,,,,,,,
wc2JMjhGNzB_03c1aca95e254bf4b0db303a28d79aee,wc2JMjhGNzB,5,4,137.0,146.0,4,137.0,146.0,no_active_log_session,0,0,,,0,,,,,,,
wc2JMjhGNzB_1d8917d25abb4a77a0da9583dc82c17c,wc2JMjhGNzB,5,5,398.0,200.0,5,398.0,200.0,,0,0,,,0,,,,,,,
wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd,wc2JMjhGNzB,6,5,287.4,258.0,5,287.4,258.0,administratively_excluded_worker;no_active_log_session,0,0,,,0,,,,,,,
wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,wc2JMjhGNzB,6,5,183.6,227.0,5,183.6,227.0,nonformal_assignment_provenance;outside_assignment;formal_assignment_not_expected;canonical_submission_not_legal;no_active_log_session,4,3,47.0,59.0,3,47.0,59.0,no_active_log_session,-136.6,-136.6,-168.0,-168.0
wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,wc2JMjhGNzB,7,5,103.6,86.0,5,103.6,86.0,nonformal_assignment_provenance;outside_assignment;formal_assignment_not_expected;canonical_submission_not_legal;no_active_log_session,5,3,83.33333333333333,72.0,3,83.33333333333333,72.0,administratively_excluded_worker;no_active_log_session;page_gate_or_submission_bridge_missing,-20.266666666666666,-20.266666666666666,-14.0,-14.0
wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,wc2JMjhGNzB,23,21,274.7619047619048,129.0,21,274.7619047619048,129.0,administratively_excluded_worker;no_active_log_session;no_active_log_session,0,0,,,0,,,,,,,
wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,wc2JMjhGNzB,5,5,141.0,137.0,5,141.0,137.0,,4,4,1452.25,99.0,4,1452.25,99.0,,1311.25,1311.25,-38.0,-38.0
wc2JMjhGNzB_dda6efcba51c40de8552408953719515,wc2JMjhGNzB,23,20,165.1,102.5,20,165.1,102.5,administratively_excluded_worker;no_active_log_session;cross_worker_only_session;mixed_or_missing_script_version;no_positive_cumulative_active_time;no_active_log_session,0,0,,,0,,,,,,,
wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,wc2JMjhGNzB,5,4,119.0,88.5,4,119.0,88.5,no_active_log_session,4,4,78.5,77.5,4,78.5,77.5,,-40.5,-40.5,-11.0,-11.0
x8F5xyUWy9e_1be9a97aada84e4795f64583ac0e3b76,x8F5xyUWy9e,5,5,251.4,240.0,5,251.4,240.0,,0,0,,,0,,,,,,,
x8F5xyUWy9e_3a127fd2c5f34d978cba253145dae7d6,x8F5xyUWy9e,5,5,156.0,165.0,5,156.0,165.0,,0,0,,,0,,,,,,,
x8F5xyUWy9e_9926b38bd87e44e292d9c375050dd17d,x8F5xyUWy9e,5,5,110.8,74.0,5,110.8,74.0,,0,0,,,0,,,,,,,
yqstnuAEVhm_08e2145b15fc4d2497c084af41dc7089,yqstnuAEVhm,5,5,117.8,116.0,5,117.8,116.0,,5,4,79.25,75.0,4,79.25,75.0,administratively_excluded_worker;no_active_log_session,-38.55,-38.55,-41.0,-41.0
yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,yqstnuAEVhm,23,21,152.95238095238096,98.0,21,152.95238095238096,98.0,administratively_excluded_worker;no_active_log_session;no_active_log_session,0,0,,,0,,,,,,,
yqstnuAEVhm_2f8c1f8ea7364f67b1c5fe2be2750257,yqstnuAEVhm,6,5,75.0,74.0,5,75.0,74.0,administratively_excluded_worker;no_active_log_session,0,0,,,0,,,,,,,
yqstnuAEVhm_30f3ce4575234a7ba5ff97797f059ae1,yqstnuAEVhm,6,5,78.6,86.0,5,78.6,86.0,administratively_excluded_worker;no_active_log_session,0,0,,,0,,,,,,,
yqstnuAEVhm_4642492bb42d40debb1a3bad0ea7a24f,yqstnuAEVhm,5,5,109.8,80.0,5,109.8,80.0,,0,0,,,0,,,,,,,
yqstnuAEVhm_48447297e8444171a5db34ccf38bc229,yqstnuAEVhm,6,5,120.2,108.0,5,120.2,108.0,administratively_excluded_worker;no_active_log_session,0,0,,,0,,,,,,,
yqstnuAEVhm_9cb726b170554b9bacd039d4db246040,yqstnuAEVhm,5,5,143.4,118.0,5,143.4,118.0,,0,0,,,0,,,,,,,
yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,yqstnuAEVhm,23,21,300.1428571428572,185.0,21,300.1428571428572,185.0,administratively_excluded_worker;no_active_log_session;no_active_log_session,0,0,,,0,,,,,,,
yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,yqstnuAEVhm,5,4,125.5,120.5,4,125.5,120.5,no_active_log_session,4,4,90.5,67.5,4,90.5,67.5,,-35.0,-35.0,-53.0,-53.0
yqstnuAEVhm_c93bf298b1cb41a1b368a6ce8bcff53d,yqstnuAEVhm,5,5,732.0,316.0,5,732.0,316.0,,0,0,,,0,,,,,,,
