stage,stage_zh,scenario,base_task_id,building_id,similarity_threshold,valid_k,support_band,partition_status,partition_status_zh,cluster_count,largest_cluster_support,second_cluster_support,largest_cluster_share,second_cluster_share,cluster_margin_all,cluster_margin_top2,task_crowd_structure_status,task_crowd_structure_status_zh,structure_reason,supported_multimodal,strong_persistent_split,severe_persistent_split,not_evaluable_partition,interpretation
PreScreen,原始码：PreScreen,c1_eligible_combined,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,0.95,23,high_support_k_ge_20,unique,唯一分区,1.0,23,0,1.0,0.0,1.0,1.0,unimodal,单峰,unique_complete_link_partition,False,False,False,False,finite_full_support_development_diagnostic
PreScreen,原始码：PreScreen,c1_eligible_combined,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,0.95,23,high_support_k_ge_20,unique,唯一分区,3.0,15,7,0.6521739130434783,0.3043478260869565,0.3478260869565217,0.3636363636363636,supported_multimodal,有支持的多峰,unique_complete_link_partition,True,True,True,False,finite_full_support_development_diagnostic
PreScreen,原始码：PreScreen,c1_eligible_combined,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,0.95,22,high_support_k_ge_20,unique,唯一分区,2.0,21,1,0.9545454545454546,0.0454545454545454,0.9090909090909092,0.9090909090909092,dominant_with_dissent,主模式伴少数异议,unique_complete_link_partition,False,False,False,False,finite_full_support_development_diagnostic
PreScreen,原始码：PreScreen,c1_eligible_combined,B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,0.95,23,high_support_k_ge_20,unique,唯一分区,2.0,21,2,0.9130434782608696,0.0869565217391304,0.8260869565217391,0.8260869565217391,supported_multimodal,有支持的多峰,unique_complete_link_partition,True,False,False,False,finite_full_support_development_diagnostic
PreScreen,原始码：PreScreen,c1_eligible_combined,UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,0.95,23,high_support_k_ge_20,unique,唯一分区,8.0,8,4,0.3478260869565217,0.1739130434782608,0.1739130434782608,0.3333333333333333,supported_multimodal,有支持的多峰,unique_complete_link_partition,True,True,True,False,finite_full_support_development_diagnostic
PreScreen,原始码：PreScreen,c1_eligible_combined,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,0.95,23,high_support_k_ge_20,unique,唯一分区,6.0,17,2,0.7391304347826086,0.0869565217391304,0.6521739130434783,0.7894736842105263,supported_multimodal,有支持的多峰,unique_complete_link_partition,True,True,False,False,finite_full_support_development_diagnostic
PreScreen,原始码：PreScreen,c1_eligible_combined,X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,X7HyMhZNoso,0.95,23,high_support_k_ge_20,unique,唯一分区,1.0,23,0,1.0,0.0,1.0,1.0,unimodal,单峰,unique_complete_link_partition,False,False,False,False,finite_full_support_development_diagnostic
PreScreen,原始码：PreScreen,c1_eligible_combined,e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,e9zR4mvMWw7,0.95,23,high_support_k_ge_20,unique,唯一分区,5.0,10,7,0.4347826086956521,0.3043478260869565,0.1304347826086956,0.1764705882352941,supported_multimodal,有支持的多峰,unique_complete_link_partition,True,True,True,False,finite_full_support_development_diagnostic
PreScreen,原始码：PreScreen,c1_eligible_combined,q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e,q9vSo1VnCiC,0.95,23,high_support_k_ge_20,unique,唯一分区,1.0,23,0,1.0,0.0,1.0,1.0,unimodal,单峰,unique_complete_link_partition,False,False,False,False,finite_full_support_development_diagnostic
PreScreen,原始码：PreScreen,c1_eligible_combined,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC,0.95,23,high_support_k_ge_20,not_evaluable,不可评价,,0,0,0.0,0.0,,,not_evaluable,不可评价,non_unique_complete_link_partition,False,False,False,True,finite_full_support_development_diagnostic
PreScreen,原始码：PreScreen,c1_eligible_combined,q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a,q9vSo1VnCiC,0.95,23,high_support_k_ge_20,unique,唯一分区,1.0,23,0,1.0,0.0,1.0,1.0,unimodal,单峰,unique_complete_link_partition,False,False,False,False,finite_full_support_development_diagnostic
PreScreen,原始码：PreScreen,c1_eligible_combined,q9vSo1VnCiC_e74e843601574864a14517f990c748a0,q9vSo1VnCiC,0.95,23,high_support_k_ge_20,unique,唯一分区,4.0,19,2,0.8260869565217391,0.0869565217391304,0.7391304347826086,0.8095238095238095,supported_multimodal,有支持的多峰,unique_complete_link_partition,True,False,False,False,finite_full_support_development_diagnostic
PreScreen,原始码：PreScreen,c1_eligible_combined,rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,rPc6DW4iMge,0.95,23,high_support_k_ge_20,unique,唯一分区,8.0,10,4,0.4347826086956521,0.1739130434782608,0.2608695652173913,0.4285714285714285,supported_multimodal,有支持的多峰,unique_complete_link_partition,True,True,True,False,finite_full_support_development_diagnostic
PreScreen,原始码：PreScreen,c1_eligible_combined,rPc6DW4iMge_1f14902595544e389c9c910c444e79e7,rPc6DW4iMge,0.95,23,high_support_k_ge_20,unique,唯一分区,3.0,19,3,0.8260869565217391,0.1304347826086956,0.6956521739130435,0.7272727272727273,supported_multimodal,有支持的多峰,unique_complete_link_partition,True,False,False,False,finite_full_support_development_diagnostic
PreScreen,原始码：PreScreen,c1_eligible_combined,rPc6DW4iMge_cc15fb105d86466faafdd633f89148de,rPc6DW4iMge,0.95,23,high_support_k_ge_20,unique,唯一分区,2.0,21,2,0.9130434782608696,0.0869565217391304,0.8260869565217391,0.8260869565217391,supported_multimodal,有支持的多峰,unique_complete_link_partition,True,False,False,False,finite_full_support_development_diagnostic
PreScreen,原始码：PreScreen,c1_eligible_combined,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,rPc6DW4iMge,0.95,21,high_support_k_ge_20,unique,唯一分区,11.0,7,3,0.3333333333333333,0.1428571428571428,0.1904761904761904,0.4,supported_multimodal,有支持的多峰,unique_complete_link_partition,True,True,True,False,finite_full_support_development_diagnostic
PreScreen,原始码：PreScreen,c1_eligible_combined,uNb9QFRL6hY_07a43087f1e54e3f828851d8e457a283,uNb9QFRL6hY,0.95,23,high_support_k_ge_20,unique,唯一分区,4.0,15,6,0.6521739130434783,0.2608695652173913,0.391304347826087,0.4285714285714285,supported_multimodal,有支持的多峰,unique_complete_link_partition,True,True,True,False,finite_full_support_development_diagnostic
PreScreen,原始码：PreScreen,c1_eligible_combined,uNb9QFRL6hY_3b9e548b46af4410b97e1d12781ec3c9,uNb9QFRL6hY,0.95,23,high_support_k_ge_20,not_evaluable,不可评价,,0,0,0.0,0.0,,,not_evaluable,不可评价,non_unique_complete_link_partition,False,False,False,True,finite_full_support_development_diagnostic
PreScreen,原始码：PreScreen,c1_eligible_combined,uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,uNb9QFRL6hY,0.95,22,high_support_k_ge_20,unique,唯一分区,5.0,12,7,0.5454545454545454,0.3181818181818182,0.2272727272727272,0.2631578947368421,supported_multimodal,有支持的多峰,unique_complete_link_partition,True,True,True,False,finite_full_support_development_diagnostic
PreScreen,原始码：PreScreen,c1_eligible_combined,uNb9QFRL6hY_bcce4f23c12744c782c0b49b24a0331a,uNb9QFRL6hY,0.95,23,high_support_k_ge_20,unique,唯一分区,3.0,21,1,0.9130434782608696,0.0434782608695652,0.8695652173913043,0.9090909090909092,dominant_with_dissent,主模式伴少数异议,unique_complete_link_partition,False,False,False,False,finite_full_support_development_diagnostic
PreScreen,原始码：PreScreen,c1_eligible_combined,uNb9QFRL6hY_c1ebb8b34eb846ba9b5ce23b30b299a7,uNb9QFRL6hY,0.95,23,high_support_k_ge_20,unique,唯一分区,3.0,21,1,0.9130434782608696,0.0434782608695652,0.8695652173913043,0.9090909090909092,dominant_with_dissent,主模式伴少数异议,unique_complete_link_partition,False,False,False,False,finite_full_support_development_diagnostic
PreScreen,原始码：PreScreen,c1_eligible_combined,uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384,uNb9QFRL6hY,0.95,23,high_support_k_ge_20,unique,唯一分区,2.0,22,1,0.9565217391304348,0.0434782608695652,0.9130434782608696,0.9130434782608696,dominant_with_dissent,主模式伴少数异议,unique_complete_link_partition,False,False,False,False,finite_full_support_development_diagnostic
PreScreen,原始码：PreScreen,c1_eligible_combined,wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31,wc2JMjhGNzB,0.95,23,high_support_k_ge_20,unique,唯一分区,1.0,23,0,1.0,0.0,1.0,1.0,unimodal,单峰,unique_complete_link_partition,False,False,False,False,finite_full_support_development_diagnostic
PreScreen,原始码：PreScreen,c1_eligible_combined,wc2JMjhGNzB_dc4a9f470b834de1983c7e605ff06b2e,wc2JMjhGNzB,0.95,23,high_support_k_ge_20,unique,唯一分区,2.0,22,1,0.9565217391304348,0.0434782608695652,0.9130434782608696,0.9130434782608696,dominant_with_dissent,主模式伴少数异议,unique_complete_link_partition,False,False,False,False,finite_full_support_development_diagnostic
PreScreen,原始码：PreScreen,c1_eligible_combined,x8F5xyUWy9e_a51a0e2811f342a599ae4cdb9b84ff23,x8F5xyUWy9e,0.95,23,high_support_k_ge_20,unique,唯一分区,4.0,20,1,0.8695652173913043,0.0434782608695652,0.8260869565217391,0.9047619047619048,dominant_with_dissent,主模式伴少数异议,unique_complete_link_partition,False,False,False,False,finite_full_support_development_diagnostic
PreScreen,原始码：PreScreen,c1_eligible_combined,yqstnuAEVhm_a93ea1ea5702412c9ef9c82a436c4599,yqstnuAEVhm,0.95,23,high_support_k_ge_20,unique,唯一分区,1.0,23,0,1.0,0.0,1.0,1.0,unimodal,单峰,unique_complete_link_partition,False,False,False,False,finite_full_support_development_diagnostic
PreScreen,原始码：PreScreen,c1_eligible_combined,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,yqstnuAEVhm,0.95,22,high_support_k_ge_20,unique,唯一分区,9.0,7,4,0.3181818181818182,0.1818181818181818,0.1363636363636363,0.2727272727272727,supported_multimodal,有支持的多峰,unique_complete_link_partition,True,True,True,False,finite_full_support_development_diagnostic
PreScreen,原始码：PreScreen,c1_eligible_combined,yqstnuAEVhm_e650c19e3eb34cc0b98374e5a23d1f65,yqstnuAEVhm,0.95,23,high_support_k_ge_20,unique,唯一分区,10.0,9,3,0.391304347826087,0.1304347826086956,0.2608695652173913,0.5,supported_multimodal,有支持的多峰,unique_complete_link_partition,True,True,True,False,finite_full_support_development_diagnostic
PreScreen,原始码：PreScreen,c1_eligible_combined,yqstnuAEVhm_e9b4d8e951cb4712b3905c8f4c4dabb5,yqstnuAEVhm,0.95,23,high_support_k_ge_20,unique,唯一分区,1.0,23,0,1.0,0.0,1.0,1.0,unimodal,单峰,unique_complete_link_partition,False,False,False,False,finite_full_support_development_diagnostic
