base_task_id,building_id,delta_shannon_entropy,manual_shannon_entropy,semi_shannon_entropy,semi_review_row_count,initial_quality_mean,initial_quality_median,edit_rate,edit_rmse_mean,delta_u_mean,negative_metric_change_rate_001,improving_rate_001,issue_report_rate,delta_iou_to_gt
q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,q9vSo1VnCiC,0.5623351446188083,0.0,0.5623351446188083,4,1.0,1.0,0.0,,-0.0884558007056302,1.0,0.0,1.0,0.0086857762251255
q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,q9vSo1VnCiC,-0.3819085009768876,0.3819085009768876,0.0,5,,,0.4,29.11971434736053,,0.0,0.0,0.8,0.0236575396281271
uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,uNb9QFRL6hY,0.5623351446188083,0.0,0.5623351446188083,4,,,0.5,6.071290025802473,,0.0,0.0,0.5,
uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,uNb9QFRL6hY,0.1124670289237616,0.4498681156950466,0.5623351446188083,4,1.0,1.0,0.0,0.0,-0.0117908040620094,0.25,0.0,0.0,0.0628587874149264
uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,uNb9QFRL6hY,0.5004024235381879,0.0,0.5004024235381879,5,1.0,1.0,0.2,5.398480604250853,-0.0302691269376872,1.0,0.0,0.6,0.0426730316551692
uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,uNb9QFRL6hY,0.0,0.0,0.0,4,1.0,1.0,1.0,23.23696106180495,-0.0903163765541979,0.75,0.0,0.75,0.0309475245967754
uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,uNb9QFRL6hY,0.0,0.5004024235381879,0.5004024235381879,5,1.0,1.0,0.4,6.062121420492346,-0.0531010610516404,0.6,0.0,0.4,0.0671260615487765
uNb9QFRL6hY_ce88ee8b7ee84fca92c13ab16599d90e,uNb9QFRL6hY,-0.408070908165115,0.9704060527839232,0.5623351446188083,4,,,0.0,,,0.0,0.0,0.75,
wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,wc2JMjhGNzB,-1.2476649250079013,1.2476649250079013,0.0,4,1.0,1.0,0.5,2.6694656608590708,-0.0259197316288007,0.5,0.0,0.25,0.0372664321116482
wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,wc2JMjhGNzB,-0.058366191008214,0.5587686145464019,0.5004024235381879,5,1.0,1.0,0.4,3.4590571853459338,-0.0086079482009113,0.2,0.0,0.4,0.0185929258984615
wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,wc2JMjhGNzB,0.5623351446188083,0.0,0.5623351446188083,4,1.0,1.0,0.0,0.0,-0.0543608240159101,0.75,0.0,0.5,0.021599540416096
wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,wc2JMjhGNzB,-0.848766520351474,0.848766520351474,0.0,4,1.0,1.0,0.25,4.782003106537834,-0.0186014251141827,0.25,0.0,0.0,0.0344621842332563
yqstnuAEVhm_08e2145b15fc4d2497c084af41dc7089,yqstnuAEVhm,0.5004024235381879,0.0,0.5004024235381879,5,1.0,1.0,0.4,1.4095627616931887,-0.0355566658497,0.2,0.0,0.6,0.1230807774027038
yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,yqstnuAEVhm,-0.6408223661834905,0.6408223661834905,0.0,4,1.0,1.0,0.25,2.780906484585032,-0.0176880466472303,0.25,0.0,0.25,0.135767081884227
