reason_left,reason_left_zh,reason_right,reason_right_zh,overlap_record_count,jaccard
formal_assignment_ineligible,正式分配资格不足,active_time_not_computable,Active time 不可计算,9,0.020833333333333332
formal_assignment_ineligible,正式分配资格不足,independence_ineligible,独立性条件不足,9,0.21951219512195122
scope_oos_or_ineligible,范围外或 Scope 不满足,historical_retained_worker,历史状态工人但仍保留,5,0.022026431718061675
geometry_not_computable,几何不可计算,manual_only_no_semi_candidate,只有 Manual、没有 Semi 候选,4,0.0066555740432612314
independence_ineligible,独立性条件不足,quality_not_computable,GT/质量指标不可计算,3,0.001646542261251372
outside_assignment,任务分配之外的提交,manual_only_no_semi_candidate,只有 Manual、没有 Semi 候选,3,0.005504587155963303
formal_assignment_ineligible,正式分配资格不足,manual_only_no_semi_candidate,只有 Manual、没有 Semi 候选,3,0.005504587155963303
scope_oos_or_ineligible,范围外或 Scope 不满足,geometry_not_computable,几何不可计算,2,0.017094017094017096
scope_oos_or_ineligible,范围外或 Scope 不满足,active_time_not_computable,Active time 不可计算,2,0.004140786749482402
independence_ineligible,独立性条件不足,geometry_not_computable,几何不可计算,2,0.01904761904761905
geometry_not_computable,几何不可计算,historical_retained_worker,历史状态工人但仍保留,1,0.004098360655737705
independence_ineligible,独立性条件不足,scope_oos_or_ineligible,范围外或 Scope 不满足,1,0.010752688172043012
formal_assignment_ineligible,正式分配资格不足,quality_not_computable,GT/质量指标不可计算,1,0.0005580357142857143
formal_assignment_ineligible,正式分配资格不足,geometry_not_computable,几何不可计算,1,0.013513513513513514
outside_assignment,任务分配之外的提交,quality_not_computable,GT/质量指标不可计算,1,0.0005580357142857143
outside_assignment,任务分配之外的提交,geometry_not_computable,几何不可计算,1,0.013513513513513514
administrative_exclusion,行政退出/行政排除,geometry_not_computable,几何不可计算,1,0.006493506493506494
administrative_exclusion,行政退出/行政排除,scope_oos_or_ineligible,范围外或 Scope 不满足,1,0.0070921985815602835
geometry_not_computable,几何不可计算,noncanonical_or_raw_only_role,非 canonical 或仅 raw 可审计记录,0,0.0
active_time_not_computable,Active time 不可计算,historical_retained_worker,历史状态工人但仍保留,0,0.0
active_time_not_computable,Active time 不可计算,noncanonical_or_raw_only_role,非 canonical 或仅 raw 可审计记录,0,0.0
manual_only_no_semi_candidate,只有 Manual、没有 Semi 候选,noncanonical_or_raw_only_role,非 canonical 或仅 raw 可审计记录,0,0.0
quality_not_computable,GT/质量指标不可计算,noncanonical_or_raw_only_role,非 canonical 或仅 raw 可审计记录,0,0.0
administrative_exclusion,行政退出/行政排除,outside_assignment,任务分配之外的提交,0,0.0
scope_oos_or_ineligible,范围外或 Scope 不满足,noncanonical_or_raw_only_role,非 canonical 或仅 raw 可审计记录,0,0.0
independence_ineligible,独立性条件不足,noncanonical_or_raw_only_role,非 canonical 或仅 raw 可审计记录,0,0.0
independence_ineligible,独立性条件不足,historical_retained_worker,历史状态工人但仍保留,0,0.0
administrative_exclusion,行政退出/行政排除,formal_assignment_ineligible,正式分配资格不足,0,0.0
formal_assignment_ineligible,正式分配资格不足,noncanonical_or_raw_only_role,非 canonical 或仅 raw 可审计记录,0,0.0
formal_assignment_ineligible,正式分配资格不足,historical_retained_worker,历史状态工人但仍保留,0,0.0
formal_assignment_ineligible,正式分配资格不足,scope_oos_or_ineligible,范围外或 Scope 不满足,0,0.0
outside_assignment,任务分配之外的提交,noncanonical_or_raw_only_role,非 canonical 或仅 raw 可审计记录,0,0.0
outside_assignment,任务分配之外的提交,historical_retained_worker,历史状态工人但仍保留,0,0.0
outside_assignment,任务分配之外的提交,scope_oos_or_ineligible,范围外或 Scope 不满足,0,0.0
administrative_exclusion,行政退出/行政排除,noncanonical_or_raw_only_role,非 canonical 或仅 raw 可审计记录,0,0.0
administrative_exclusion,行政退出/行政排除,historical_retained_worker,历史状态工人但仍保留,0,0.0
historical_retained_worker,历史状态工人但仍保留,noncanonical_or_raw_only_role,非 canonical 或仅 raw 可审计记录,0,0.0
