fact_type,project_id,task_id,annotator_id,session_id,event_count,raw_event_count,sandbox_event_n,timestamp_ms_n,observed_start_timestamp_ms,observed_end_timestamp_ms,observed_span_seconds,max_gap_seconds,gap_gt_60,max_events_per_60_seconds,multi_session_fact,formal_event_n,outside_or_stage_mismatch_n,observed_outside_or_stage_mismatch_n,clock_offset_median_seconds,clock_offset_p95_seconds,clock_offset_audit_only,observed_behavior_event_fields,coverage_field,field_name,observed_n,coverage_rate,description
session_sequence,20,2596,19,1782741314562-5a25303aad8aa,3.0,3.0,0.0,3.0,1782744302101.0,1782744376564.0,74.463,66.495,True,2.0,False,0.0,3.0,3.0,28800.096763134003,28800.100234127043,True,,,,,,
session_sequence,20,2599,6,1776697081658-f83dea5ec589f,2.0,2.0,0.0,2.0,1776776972022.0,1776776980469.0,8.447,8.447,False,2.0,False,0.0,2.0,2.0,28799.631041288376,28799.66840252876,True,,,,,,
session_sequence,20,2604,19,1782741314562-5a25303aad8aa,6.0,6.0,0.0,6.0,1782744398338.0,1782744738583.0,340.245,289.019,True,5.0,False,0.0,6.0,6.0,28800.103976488113,28800.107981860638,True,,,,,,
session_sequence,20,2635,2,1781670422519-578115b5f355c,43.0,43.0,0.0,43.0,1781689028966.0,1781690071967.0,1043.001,607.998,True,28.0,False,0.0,43.0,43.0,28801.517086029053,28801.544436264037,True,,,,,,
session_sequence,20,2640,19,1782741314562-5a25303aad8aa,15.0,15.0,0.0,15.0,1782744742338.0,1782745565761.0,823.423,443.41,True,10.0,False,0.0,15.0,15.0,28800.112103939056,28800.119192385675,True,,,,,,
session_sequence,20,2640,2,1782741317604-c7e70e3a0f3c2,21.0,21.0,0.0,21.0,1782744834382.0,1782744926373.0,91.991,46.992,False,15.0,False,0.0,21.0,21.0,28800.090455055237,28800.102811813354,True,,,,,,
session_sequence,20,2655,6,1776697081658-f83dea5ec589f,1.0,1.0,0.0,1.0,1776777172071.0,1776777172071.0,0.0,0.0,False,1.0,False,0.0,1.0,1.0,28799.577457904816,28799.577457904816,True,,,,,,
session_sequence,20,2656,19,1782741314562-5a25303aad8aa,2.0,2.0,0.0,2.0,1782745069953.0,1782745119690.0,49.737,49.737,False,2.0,False,0.0,2.0,2.0,28800.10026204586,28800.107612264157,True,,,,,,
session_sequence,20,2661,19,1782741314562-5a25303aad8aa,6.0,6.0,0.0,6.0,1782745124176.0,1782745200635.0,76.459,37.142,False,5.0,False,0.0,6.0,6.0,28800.113203406334,28800.12072855234,True,,,,,,
session_sequence,20,2696,19,1782741314562-5a25303aad8aa,3.0,3.0,0.0,3.0,1782745203529.0,1782745255567.0,52.038,42.997,False,3.0,False,0.0,3.0,3.0,28800.104799985886,28800.10931339264,True,,,,,,
session_sequence,20,2702,19,1782741314562-5a25303aad8aa,24.0,24.0,0.0,24.0,1782745259872.0,1782745620568.0,360.696,61.499,True,8.0,False,0.0,24.0,24.0,28800.114655017853,28800.13799110651,True,,,,,,
session_sequence,20,2702,2,1781670422519-578115b5f355c,59.0,59.0,0.0,59.0,1781684738976.0,1781689020967.0,4281.991,2344.998,True,19.0,False,0.0,59.0,59.0,28801.505002975464,28801.525576901437,True,,,,,,
session_sequence,20,2716,6,1776697081658-f83dea5ec589f,7.0,7.0,0.0,7.0,1776777002017.0,1776777163095.0,161.078,30.004,False,3.0,False,0.0,7.0,7.0,28799.59294104576,28799.784092092515,True,,,,,,
session_sequence,20,3053,2,1781663921883-95c7f3b1857e5,37.0,37.0,0.0,37.0,1781684688812.0,1781688577816.0,3889.004,2327.997,True,29.0,False,0.0,37.0,37.0,28801.43981695175,28801.52733182907,True,,,,,,
session_sequence,20,3070,2,1782741317604-c7e70e3a0f3c2,7.0,7.0,0.0,7.0,1782744817371.0,1782744824371.0,7.0,2.004,False,7.0,False,0.0,7.0,7.0,28800.089642763138,28800.098273158073,True,,,,,,
session_sequence,22,2943,10,1777793331816-5eba634d7e5118,12.0,12.0,0.0,12.0,1777793601822.0,1777793875113.0,273.291,30.278,False,4.0,False,0.0,12.0,12.0,28799.562772989273,28799.581052935122,True,,,,,,
session_sequence,22,2943,11,1777604243182-d3a006cda4f8a8,45.0,45.0,0.0,45.0,1777608800467.0,1777610915677.0,2115.21,475.458,True,4.0,True,0.0,45.0,45.0,28800.63568520546,28800.813103580476,True,,,,,,
session_sequence,22,2943,11,1778474512406-de9b4e1d9b448,3.0,3.0,0.0,3.0,1778474576386.0,1778474622296.0,45.91,29.923,False,3.0,True,0.0,3.0,3.0,28799.21609520912,28799.32408502102,True,,,,,,
session_sequence,22,2943,11,1779249061211-c6a7556d235e88,16.0,16.0,0.0,16.0,1779249516486.0,1779249875599.0,359.113,30.029,False,4.0,True,0.0,16.0,16.0,28799.857782959938,28800.080821454525,True,,,,,,
session_sequence,22,2943,13,1777658291604-1aabae3e2c64e8,2.0,2.0,0.0,2.0,1777658321607.0,1777658323043.0,1.436,1.436,False,2.0,True,0.0,2.0,2.0,28799.43072092533,28799.433410966398,True,,,,,,
session_sequence,22,2943,13,1777909061960-8bf1e6b3d1d87,10.0,10.0,0.0,10.0,1777913021911.0,1777913240912.0,219.001,30.04,False,4.0,True,0.0,10.0,10.0,28801.651668429375,28802.256859076024,True,,,,,,
session_sequence,22,2943,15,1778488478227-a2c0cf887a9d1,11.0,11.0,0.0,11.0,1778489498231.0,1778489763248.0,265.017,30.008,False,4.0,False,0.0,11.0,11.0,28800.000285863876,28800.001832962036,True,,,,,,
session_sequence,22,2943,18,1779280181066-c81ed43fa6f7f,2.0,2.0,0.0,2.0,1779280318556.0,1779280326549.0,7.993,7.993,False,2.0,False,0.0,2.0,2.0,28800.467104434967,28800.502087950706,True,,,,,,
session_sequence,22,2943,19,1782741317604-c7e70e3a0f3c2,2.0,2.0,0.0,2.0,1782741377610.0,1782741393844.0,16.234,16.234,False,2.0,False,0.0,2.0,2.0,28825.237329125404,28832.543017065524,True,,,,,,
session_sequence,22,2943,2,1777561313472-36d7e8d8950ae8,9.0,9.0,0.0,9.0,1777561845803.0,1777562116798.0,270.995,132.063,True,4.0,False,0.0,9.0,9.0,28800.363410949707,28800.365253448486,True,,,,,,
session_sequence,22,2943,21,1780579791443-45523745804d48,25.0,25.0,0.0,25.0,1780580541447.0,1780582657108.0,2115.661,1479.974,True,3.0,True,0.0,25.0,25.0,28800.284494161606,28800.343632745742,True,,,,,,
session_sequence,22,2943,21,1780584429316-854db956664b88,7.0,7.0,0.0,7.0,1780584459325.0,1780584522541.0,63.216,31.998,False,6.0,True,0.0,7.0,7.0,28800.65271806717,28800.66392073631,True,,,,,,
session_sequence,22,2943,6,1776697081658-f83dea5ec589f,1058.0,1058.0,0.0,1058.0,1776778592019.0,1778138927489.0,1360335.47,255887.585,True,5.0,True,0.0,1058.0,1058.0,28800.16581249237,28802.0186609149,True,,,,,,
session_sequence,22,2943,6,1779353129956-830c050e9588e,19.0,19.0,0.0,19.0,1779429051481.0,1779429742477.0,690.996,187.419,True,4.0,True,0.0,19.0,19.0,28800.03880596161,28800.080267524718,True,,,,,,
session_sequence,22,2943,7,1776697104198-db9a2f5fa1ddf,31.0,31.0,0.0,31.0,1776698241927.0,1776699267988.0,1026.061,86.001,True,3.0,False,0.0,31.0,31.0,28790.27491903305,28790.32011795044,True,,,,,,
session_sequence,22,2943,8,1778067194941-a188d3dd7c72e,13.0,13.0,0.0,13.0,1778067374521.0,1778067648497.0,273.976,30.105,False,4.0,True,0.0,13.0,13.0,28799.983819007874,28800.02053861618,True,,,,,,
session_sequence,22,2943,8,1779373046621-2426612e209688,14.0,14.0,0.0,14.0,1779373710652.0,1779608262313.0,234551.661,234045.76,True,3.0,True,0.0,14.0,14.0,28799.704035520554,28808.04427497387,True,,,,,,
session_sequence,22,2943,8,1781172839466-8ba4c21d05d83,20.0,20.0,0.0,20.0,1781172991356.0,1781173535556.0,544.2,47.003,False,3.0,True,0.0,20.0,20.0,28800.191010832787,28800.24928648472,True,,,,,,
session_sequence,22,2944,10,1777793331816-5eba634d7e5118,12.0,12.0,0.0,12.0,1777793900115.0,1777794301449.0,401.334,118.986,True,4.0,False,0.0,12.0,12.0,28799.556978940964,28799.566718387603,True,,,,,,
