predictor,outcome,predictor_duplicate_alias,task_count,building_count,rank_effect_spearman,effect_rank_transformed,effect,cluster_bootstrap_rank_ci_lower,cluster_bootstrap_rank_ci_upper,ci_lower,ci_upper,wild_cluster_exact_or_mc_p,p_value,inference_unit,q_bh_global_unique,q_bh_within_outcome_unique,q_bh_global_unique_predictors,q_bh_within_outcome_unique_predictors
horizontal_gradient_mean_wrap,delta_gini_simpson,False,25,9,0.11780716606472202,0.11780716606472202,0.11780716606472202,-0.14483523706091087,0.49673243070027695,-0.14483523706091087,0.49673243070027695,0.453125,0.453125,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",0.738671875,0.5859375,0.738671875,0.5859375
horizontal_gradient_mean_wrap,delta_largest_mode_share,False,25,9,-0.14402170230370318,-0.14402170230370318,-0.14402170230370318,-0.514375014765741,0.1455751026474782,-0.514375014765741,0.1455751026474782,0.3828125,0.3828125,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",0.738671875,0.546875,0.738671875,0.546875
horizontal_gradient_mean_wrap,delta_supported_multimodality,False,25,9,0.5170739203377834,0.5170739203377834,0.5170739203377834,0.29965967090575757,0.7169721957019023,0.29965967090575757,0.7169721957019023,0.0390625,0.0390625,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",0.60546875,0.13671875,0.60546875,0.13671875
horizontal_gradient_mean_wrap,delta_pairwise_metric_dissimilarity_all,False,25,9,0.06307692307692309,0.06307692307692309,0.06307692307692309,-0.3832487554537672,0.5671751056416339,-0.3832487554537672,0.5671751056416339,0.80078125,0.80078125,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",0.9007675438596491,0.9140625,0.9007675438596491,0.9140625
horizontal_gradient_mean_wrap,delta_quality_iou,False,22,9,-0.30095990965556185,-0.30095990965556185,-0.30095990965556185,-0.6122931826640604,0.1193798710519809,-0.6122931826640604,0.1193798710519809,0.1796875,0.1796875,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",0.738671875,0.34453125,0.738671875,0.34453125
horizontal_gradient_mean_wrap,edit_rate,False,25,9,-0.2153245607307213,-0.2153245607307213,-0.2153245607307213,-0.5681533828809583,0.334571980783668,-0.5681533828809583,0.334571980783668,0.41015625,0.41015625,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",0.738671875,0.6453125,0.738671875,0.6453125
horizontal_gradient_mean_wrap,edit_rmse_mean,False,21,9,-0.17980551414864399,-0.17980551414864399,-0.17980551414864399,-0.6481929988794354,0.49935517177561384,-0.6481929988794354,0.49935517177561384,0.69140625,0.69140625,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",0.8383413461538461,0.8296875,0.8383413461538461,0.8296875
horizontal_gradient_mean_wrap,delta_metric_mean,False,21,9,0.12467532467532469,0.12467532467532469,0.12467532467532469,-0.46052379960645606,0.6314103756984686,-0.46052379960645606,0.6314103756984686,0.68359375,0.68359375,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",0.8383413461538461,0.8795572916666666,0.8383413461538461,0.8795572916666666
seam_gradient_mean,delta_shannon_entropy,False,25,9,-0.07491855372262679,-0.07491855372262679,-0.07491855372262679,-0.35778693219879437,0.2309990730677697,-0.35778693219879437,0.2309990730677697,0.59375,0.59375,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",0.8002717391304348,0.59375,0.8002717391304348,0.59375
seam_gradient_mean,delta_gini_simpson,False,25,9,-0.0764780946911966,-0.0764780946911966,-0.0764780946911966,-0.35145638453175976,0.22734835410899978,-0.35145638453175976,0.22734835410899978,0.5859375,0.5859375,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",0.8002717391304348,0.5859375,0.8002717391304348,0.5859375
seam_gradient_mean,delta_largest_mode_share,False,25,9,0.049168699442393285,0.049168699442393285,0.049168699442393285,-0.2597009201775313,0.34566055021878933,-0.2597009201775313,0.34566055021878933,0.7421875,0.7421875,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",0.8655960648148148,0.7421875,0.8655960648148148,0.7421875
seam_gradient_mean,delta_supported_multimodality,False,25,9,0.2760138176162061,0.2760138176162061,0.2760138176162061,-0.060498498498807916,0.6107672627234204,-0.060498498498807916,0.6107672627234204,0.25390625,0.25390625,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",0.738671875,0.35546875,0.738671875,0.35546875
seam_gradient_mean,delta_pairwise_metric_dissimilarity_all,False,25,9,0.09384615384615384,0.09384615384615384,0.09384615384615384,-0.1295000228587103,0.2650306748466258,-0.1295000228587103,0.2650306748466258,0.26171875,0.26171875,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",0.738671875,0.833984375,0.738671875,0.833984375
seam_gradient_mean,delta_quality_iou,False,22,9,0.04121964991530209,0.04121964991530209,0.04121964991530209,-0.22208232606157813,0.4440033002013368,-0.22208232606157813,0.4440033002013368,0.8203125,0.8203125,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",0.9007675438596491,0.91015625,0.9007675438596491,0.91015625
seam_gradient_mean,edit_rate,False,25,9,-0.4793867771370418,-0.4793867771370418,-0.4793867771370418,-0.7102521147962293,-0.1500023959629995,-0.7102521147962293,-0.1500023959629995,0.0390625,0.0390625,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",0.60546875,0.2734375,0.60546875,0.2734375
seam_gradient_mean,edit_rmse_mean,False,21,9,-0.27426855600209826,-0.27426855600209826,-0.27426855600209826,-0.6002476507482252,0.19112482615552692,-0.6002476507482252,0.19112482615552692,0.3359375,0.3359375,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",0.738671875,0.8296875,0.738671875,0.8296875
seam_gradient_mean,delta_metric_mean,False,21,9,0.348051948051948,0.348051948051948,0.348051948051948,-0.10517098618677523,0.7304964539007093,-0.10517098618677523,0.7304964539007093,0.2109375,0.2109375,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",0.738671875,0.8795572916666666,0.738671875,0.8795572916666666
vertical_edge_mean,delta_shannon_entropy,True,25,9,0.12241846149522007,0.12241846149522007,0.12241846149522007,-0.16754122836634225,0.4749418136536914,-0.16754122836634225,0.4749418136536914,0.453125,0.453125,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",,,,
vertical_edge_mean,delta_gini_simpson,True,25,9,0.11780716606472202,0.11780716606472202,0.11780716606472202,-0.13757747106666482,0.49733411582804943,-0.13757747106666482,0.49733411582804943,0.453125,0.453125,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",,,,
vertical_edge_mean,delta_largest_mode_share,True,25,9,-0.14402170230370318,-0.14402170230370318,-0.14402170230370318,-0.5086333146145855,0.14611890322861032,-0.5086333146145855,0.14611890322861032,0.3828125,0.3828125,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",,,,
vertical_edge_mean,delta_supported_multimodality,True,25,9,0.5170739203377834,0.5170739203377834,0.5170739203377834,0.2987252164666254,0.7117330483765663,0.2987252164666254,0.7117330483765663,0.0390625,0.0390625,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",,,,
vertical_edge_mean,delta_pairwise_metric_dissimilarity_all,True,25,9,0.06307692307692309,0.06307692307692309,0.06307692307692309,-0.39204382346441613,0.5630182982917211,-0.39204382346441613,0.5630182982917211,0.80078125,0.80078125,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",,,,
vertical_edge_mean,delta_quality_iou,True,22,9,-0.30095990965556185,-0.30095990965556185,-0.30095990965556185,-0.6152966114556878,0.10668397311062233,-0.6152966114556878,0.10668397311062233,0.1796875,0.1796875,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",,,,
vertical_edge_mean,edit_rate,True,25,9,-0.2153245607307213,-0.2153245607307213,-0.2153245607307213,-0.5746622943919109,0.32501889396801925,-0.5746622943919109,0.32501889396801925,0.41015625,0.41015625,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",,,,
vertical_edge_mean,edit_rmse_mean,True,21,9,-0.17980551414864399,-0.17980551414864399,-0.17980551414864399,-0.6546401415911254,0.4877286764256793,-0.6546401415911254,0.4877286764256793,0.69140625,0.69140625,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",,,,
vertical_edge_mean,delta_metric_mean,True,21,9,0.12467532467532469,0.12467532467532469,0.12467532467532469,-0.4641307951690109,0.634731069775343,-0.4641307951690109,0.634731069775343,0.68359375,0.68359375,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",,,,
boundary_gradient_mean,delta_shannon_entropy,False,25,9,0.13091437995861074,0.13091437995861074,0.13091437995861074,-0.266673324066661,0.4691229794938067,-0.266673324066661,0.4691229794938067,0.52734375,0.52734375,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",0.7784598214285714,0.59375,0.7784598214285714,0.59375
boundary_gradient_mean,delta_gini_simpson,False,25,9,0.1282359971589761,0.1282359971589761,0.1282359971589761,-0.2563221406088945,0.47800092325803994,-0.2563221406088945,0.47800092325803994,0.5234375,0.5234375,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",0.7784598214285714,0.5859375,0.7784598214285714,0.5859375
boundary_gradient_mean,delta_largest_mode_share,False,25,9,-0.14557032275858173,-0.14557032275858173,-0.14557032275858173,-0.5060484390713594,0.27980475468280164,-0.5060484390713594,0.27980475468280164,0.4765625,0.4765625,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",0.738671875,0.5559895833333334,0.738671875,0.5559895833333334
boundary_gradient_mean,delta_supported_multimodality,False,25,9,0.43390818489883926,0.43390818489883926,0.43390818489883926,0.11248891971966302,0.6776018242108619,0.11248891971966302,0.6776018242108619,0.0625,0.0625,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",0.738671875,0.14583333333333334,0.738671875,0.14583333333333334
boundary_gradient_mean,delta_pairwise_metric_dissimilarity_all,False,25,9,0.04384615384615385,0.04384615384615385,0.04384615384615385,-0.5298109369648579,0.5984055804683607,-0.5298109369648579,0.5984055804683607,0.9140625,0.9140625,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",0.92578125,0.9140625,0.92578125,0.9140625
boundary_gradient_mean,delta_quality_iou,False,22,9,-0.2941840767927725,-0.2941840767927725,-0.2941840767927725,-0.5997932233544502,0.17779781910523537,-0.5997932233544502,0.17779781910523537,0.23828125,0.23828125,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",0.738671875,0.34453125,0.738671875,0.34453125
boundary_gradient_mean,edit_rate,False,25,9,-0.17737310754070545,-0.17737310754070545,-0.17737310754070545,-0.6299323357872085,0.4196548814681568,-0.6299323357872085,0.4196548814681568,0.609375,0.609375,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",0.8038563829787234,0.7109375,0.8038563829787234,0.7109375
boundary_gradient_mean,edit_rmse_mean,False,21,9,-0.27882884078123055,-0.27882884078123055,-0.27882884078123055,-0.6533748423421432,0.3196858822147299,-0.6533748423421432,0.3196858822147299,0.45703125,0.45703125,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",0.738671875,0.8296875,0.738671875,0.8296875
boundary_gradient_mean,delta_metric_mean,False,21,9,-0.01948051948051948,-0.01948051948051948,-0.01948051948051948,-0.5894868421052633,0.49116526742557626,-0.5894868421052633,0.49116526742557626,0.92578125,0.92578125,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",0.92578125,0.92578125,0.92578125,0.92578125
edge_density_proxy,delta_shannon_entropy,False,25,9,0.149064751221309,0.149064751221309,0.149064751221309,-0.19430732709532697,0.5001654157148825,-0.19430732709532697,0.5001654157148825,0.42578125,0.42578125,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",0.738671875,0.59375,0.738671875,0.59375
edge_density_proxy,delta_gini_simpson,False,25,9,0.14561738231606625,0.14561738231606625,0.14561738231606625,-0.16119095284651155,0.4979182340023935,-0.16119095284651155,0.4979182340023935,0.421875,0.421875,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",0.738671875,0.5859375,0.738671875,0.5859375
edge_density_proxy,delta_largest_mode_share,False,25,9,-0.17034825003663817,-0.17034825003663817,-0.17034825003663817,-0.5204012437913266,0.17768971371773554,-0.5204012437913266,0.17768971371773554,0.390625,0.390625,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",0.738671875,0.546875,0.738671875,0.546875
