base_task_id,building_id,condition,condition_zh,partition_status,partition_status_zh,task_crowd_structure_status,task_crowd_structure_status_zh,cluster_count,largest_cluster_support,second_cluster_support,supported_cluster_count,singleton_cluster_count,largest_cluster_median_iou,best_cluster_rank,best_cluster_support,best_cluster_median_iou,crowd_gt_gap_best_minus_largest,crowd_gt_relationship,task_final_scope,geometry_reference_status,display_thresholds,comparison_cluster_rank,comparison_cluster_support,largest_cluster_n_pairs_median,comparison_cluster_n_pairs_median,n_pair_difference,top_boundary_difference_px,bottom_boundary_difference_px,room_height_difference_px,wall_x_circular_rmse_px,seam_pair_count_difference,observed_meta_codes,observable_geometric_difference_codes,manual_review_priority,image_reference,interpretation_boundary_zh
yqstnuAEVhm_30f3ce4575234a7ba5ff97797f059ae1,yqstnuAEVhm,manual,纯人工,unique,唯一分区,supported_multimodal,有支持的多峰,2.0,3,2,2.0,0.0,0.8259252357882063,2.0,2.0,0.9431015202496758,0.1171762844614694,supported_multimodal_nonlargest_supported_cluster_better_gt_alignment,in_scope,reference_ready_public_gt,high_alignment>=0.90;low_alignment<0.80;gap>=0.05;descriptive_only,2.0,2.0,8.0,4.0,4.0,16.169217405870995,12.063060054698042,28.232277460569023,,0.0,in_scope;occlusion,different_wall_count_or_topology;ceiling_boundary_interpretation;room_height_or_vertical_extent;visibility_or_appearance_evidence,True,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/yqstnuAEVhm_30f3ce4575234a7ba5ff97797f059ae1.jpg,这是最大簇与最佳 GT 对齐簇（或次簇）的可观察几何差异，不把算法归类直接当作真实因果原因。
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,semi,模型预标注辅助,unique,唯一分区,dominant_with_dissent,主模式伴少数异议,2.0,3,1,1.0,1.0,0.9125201918328744,2.0,1.0,1.0,0.0874798081671256,dominant_with_singleton_dissent_singleton_better_gt_alignment,in_scope,reference_ready_public_gt,high_alignment>=0.90;low_alignment<0.80;gap>=0.05;descriptive_only,2.0,1.0,4.0,6.0,2.0,4.25465944272446,2.0769504643963046,6.3316099071207645,,0.0,acceptable;corner_issue;in_scope;low_texture;occlusion;reflection_transparency;seam;topology_issue,different_wall_count_or_topology;scope_or_adjacent_space_extent;panorama_seam_boundary;visibility_or_appearance_evidence,True,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37.jpg,这是最大簇与最佳 GT 对齐簇（或次簇）的可观察几何差异，不把算法归类直接当作真实因果原因。
UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,UwV83HsGsw3,manual,纯人工,unique,唯一分区,supported_multimodal,有支持的多峰,2.0,3,2,2.0,0.0,0.8264746565439073,2.0,2.0,0.9118590498623944,0.085384393318487,supported_multimodal_nonlargest_supported_cluster_better_gt_alignment,in_scope,reference_ready_public_gt,high_alignment>=0.90;low_alignment<0.80;gap>=0.05;descriptive_only,2.0,2.0,4.0,6.0,2.0,37.13922805970657,38.00375342550609,75.14298148521266,,0.0,in_scope;low_texture;occlusion;oos_open_or_ambiguous_boundary;seam;trivial,different_wall_count_or_topology;scope_or_adjacent_space_extent;panorama_seam_boundary;floor_boundary_interpretation;room_height_or_vertical_extent;visibility_or_appearance_evidence,True,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980.jpg,这是最大簇与最佳 GT 对齐簇（或次簇）的可观察几何差异，不把算法归类直接当作真实因果原因。
wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,wc2JMjhGNzB,semi,模型预标注辅助,unique,唯一分区,dominant_with_dissent,主模式伴少数异议,2.0,3,1,1.0,1.0,0.9225406807050068,2.0,1.0,1.0,0.0774593192949931,dominant_with_singleton_dissent_singleton_better_gt_alignment,in_scope,reference_ready_public_gt,high_alignment>=0.90;low_alignment<0.80;gap>=0.05;descriptive_only,2.0,1.0,4.0,8.0,4.0,5.65742718446603,15.193008130081296,17.310203252032494,,0.0,acceptable;corner_issue;in_scope;low_texture;occlusion;other_issue;topology_issue;trivial,different_wall_count_or_topology;scope_or_adjacent_space_extent;floor_boundary_interpretation;room_height_or_vertical_extent;visibility_or_appearance_evidence,True,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc.jpg,这是最大簇与最佳 GT 对齐簇（或次簇）的可观察几何差异，不把算法归类直接当作真实因果原因。
uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,uNb9QFRL6hY,manual,纯人工,unique,唯一分区,supported_multimodal,有支持的多峰,4.0,11,8,3.0,1.0,0.8765440371685764,2.0,8.0,0.9461603520917192,0.0696163149231428,supported_multimodal_nonlargest_supported_cluster_better_gt_alignment,in_scope,reference_ready_public_gt,high_alignment>=0.90;low_alignment<0.80;gap>=0.05;descriptive_only,2.0,8.0,4.0,6.0,2.0,3.2210812372759676,1.2506833971753508,3.0754753475216177,,0.0,in_scope;low_texture;occlusion;oos_open_or_ambiguous_boundary;reflection_transparency;trivial,different_wall_count_or_topology;scope_or_adjacent_space_extent;visibility_or_appearance_evidence,True,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97.jpg,这是最大簇与最佳 GT 对齐簇（或次簇）的可观察几何差异，不把算法归类直接当作真实因果原因。
X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,X7HyMhZNoso,semi,模型预标注辅助,unique,唯一分区,dominant_with_dissent,主模式伴少数异议,2.0,3,1,1.0,1.0,0.932906597636372,2.0,1.0,0.9930218068535824,0.0601152092172104,dominant_with_singleton_dissent_singleton_better_gt_alignment,in_scope,reference_ready_public_gt,high_alignment>=0.90;low_alignment<0.80;gap>=0.05;descriptive_only,2.0,1.0,8.0,4.0,4.0,4.55928198068392,7.974459459459467,11.467111686189696,,0.0,acceptable;in_scope;occlusion;reflection_transparency;trivial;underextension,different_wall_count_or_topology;scope_or_adjacent_space_extent;visibility_or_appearance_evidence,True,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9.jpg,这是最大簇与最佳 GT 对齐簇（或次簇）的可观察几何差异，不把算法归类直接当作真实因果原因。
uNb9QFRL6hY_6a500a9a43a340eb817c58bb084327fe,uNb9QFRL6hY,manual,纯人工,unique,唯一分区,supported_multimodal,有支持的多峰,3.0,2,2,2.0,1.0,0.7663663094180172,2.0,2.0,0.823365172267094,0.0569988628490768,supported_multimodal_nonlargest_supported_cluster_better_gt_alignment,in_scope,reference_ready_public_gt,high_alignment>=0.90;low_alignment<0.80;gap>=0.05;descriptive_only,2.0,2.0,4.0,8.0,4.0,1.0801035037828228,12.409332193047476,13.489435696830299,,0.0,in_scope;low_texture;occlusion;oos_geometry;oos_open_or_ambiguous_boundary;oos_split_or_multi_level;seam;trivial,different_wall_count_or_topology;scope_or_adjacent_space_extent;panorama_seam_boundary;floor_boundary_interpretation;visibility_or_appearance_evidence,True,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/uNb9QFRL6hY_6a500a9a43a340eb817c58bb084327fe.jpg,这是最大簇与最佳 GT 对齐簇（或次簇）的可观察几何差异，不把算法归类直接当作真实因果原因。
X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,X7HyMhZNoso,manual,纯人工,unique,唯一分区,dominant_with_dissent,主模式伴少数异议,3.0,3,1,1.0,2.0,0.912594599089948,3.0,1.0,0.9653447369080116,0.0527501378180635,dominant_with_singleton_dissent_singleton_better_gt_alignment,in_scope,reference_ready_public_gt,high_alignment>=0.90;low_alignment<0.80;gap>=0.05;descriptive_only,3.0,1.0,8.0,4.0,4.0,2.7439774733661295,11.01526291318578,13.92613781921861,,0.0,in_scope;occlusion;oos_open_or_ambiguous_boundary;trivial,different_wall_count_or_topology;scope_or_adjacent_space_extent;floor_boundary_interpretation;visibility_or_appearance_evidence,True,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9.jpg,这是最大簇与最佳 GT 对齐簇（或次簇）的可观察几何差异，不把算法归类直接当作真实因果原因。
q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,q9vSo1VnCiC,semi,模型预标注辅助,unique,唯一分区,dominant_with_dissent,主模式伴少数异议,2.0,3,1,1.0,1.0,0.8968127463468964,2.0,1.0,0.9453867281543522,0.0485739818074557,dominant_with_singleton_dissent_no_clear_gt_order,in_scope,reference_ready_public_gt,high_alignment>=0.90;low_alignment<0.80;gap>=0.05;descriptive_only,2.0,1.0,4.0,7.0,3.0,6.51040650406506,2.1952032520325133,8.705609756097573,,0.0,corner_issue;in_scope;low_texture;occlusion;oos_open_or_ambiguous_boundary;overextension;topology_issue;underextension,different_wall_count_or_topology;scope_or_adjacent_space_extent;visibility_or_appearance_evidence,True,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5.jpg,这是最大簇与最佳 GT 对齐簇（或次簇）的可观察几何差异，不把算法归类直接当作真实因果原因。
q9vSo1VnCiC_c4b0b6a41c2a4db3927f5fa9cafb6345,q9vSo1VnCiC,manual,纯人工,unique,唯一分区,dominant_with_dissent,主模式伴少数异议,2.0,4,1,1.0,1.0,0.6714601351444152,2.0,1.0,0.713259986400014,0.0417998512555988,dominant_with_singleton_dissent_no_clear_gt_order,in_scope,reference_ready_public_gt,high_alignment>=0.90;low_alignment<0.80;gap>=0.05;descriptive_only,2.0,1.0,4.0,4.0,0.0,39.31003078905681,52.103751426376505,90.71963187006574,106.18748521974238,1.0,in_scope;occlusion;oos_geometry;seam;trivial,scope_or_adjacent_space_extent;panorama_seam_boundary;floor_boundary_interpretation;room_height_or_vertical_extent;horizontal_wall_boundary_placement;visibility_or_appearance_evidence,True,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/q9vSo1VnCiC_c4b0b6a41c2a4db3927f5fa9cafb6345.jpg,这是最大簇与最佳 GT 对齐簇（或次簇）的可观察几何差异，不把算法归类直接当作真实因果原因。
uNb9QFRL6hY_a372582c11864f31a9dd174e4a0ae6ad,uNb9QFRL6hY,manual,纯人工,unique,唯一分区,dominant_with_dissent,主模式伴少数异议,3.0,3,1,1.0,2.0,0.7226790687827888,3.0,1.0,0.7633515805461507,0.0406725117633619,dominant_with_singleton_dissent_no_clear_gt_order,in_scope,reference_ready_public_gt,high_alignment>=0.90;low_alignment<0.80;gap>=0.05;descriptive_only,3.0,1.0,4.0,4.0,0.0,6.739221515939704,32.68017789160518,39.41939940754489,44.54325272777858,0.0,in_scope;occlusion;oos_open_or_ambiguous_boundary,scope_or_adjacent_space_extent;floor_boundary_interpretation;room_height_or_vertical_extent;horizontal_wall_boundary_placement;visibility_or_appearance_evidence,True,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/uNb9QFRL6hY_a372582c11864f31a9dd174e4a0ae6ad.jpg,这是最大簇与最佳 GT 对齐簇（或次簇）的可观察几何差异，不把算法归类直接当作真实因果原因。
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,semi,模型预标注辅助,unique,唯一分区,dominant_with_dissent,主模式伴少数异议,3.0,2,1,1.0,2.0,0.9802568312419374,3.0,1.0,0.9962883914017332,0.0160315601597957,dominant_with_singleton_dissent_no_clear_gt_order,in_scope,reference_ready_public_gt,high_alignment>=0.90;low_alignment<0.80;gap>=0.05;descriptive_only,3.0,1.0,8.0,10.0,2.0,1.849999999999966,2.144999999999982,3.9949999999999477,,0.0,corner_issue;in_scope;low_texture;occlusion;oos_open_or_ambiguous_boundary;seam;topology_issue,different_wall_count_or_topology;scope_or_adjacent_space_extent;panorama_seam_boundary;visibility_or_appearance_evidence,True,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3.jpg,这是最大簇与最佳 GT 对齐簇（或次簇）的可观察几何差异，不把算法归类直接当作真实因果原因。
uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,uNb9QFRL6hY,manual,纯人工,unique,唯一分区,dominant_with_dissent,主模式伴少数异议,2.0,4,1,1.0,1.0,0.9231919567740742,2.0,1.0,0.9358954931747294,0.0127035364006552,dominant_with_singleton_dissent_no_clear_gt_order,in_scope,reference_ready_public_gt,high_alignment>=0.90;low_alignment<0.80;gap>=0.05;descriptive_only,2.0,1.0,4.0,5.0,1.0,8.483774568851715,9.71818187503186,19.276315584839224,,1.0,in_scope;occlusion;reflection_transparency;trivial,different_wall_count_or_topology;panorama_seam_boundary;room_height_or_vertical_extent;visibility_or_appearance_evidence,True,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62.jpg,这是最大簇与最佳 GT 对齐簇（或次簇）的可观察几何差异，不把算法归类直接当作真实因果原因。
uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,uNb9QFRL6hY,manual,纯人工,unique,唯一分区,dominant_with_dissent,主模式伴少数异议,2.0,4,1,1.0,1.0,0.8775261240319077,2.0,1.0,0.8887873976932501,0.0112612736613424,dominant_with_singleton_dissent_no_clear_gt_order,in_scope,reference_ready_public_gt,high_alignment>=0.90;low_alignment<0.80;gap>=0.05;descriptive_only,2.0,1.0,4.0,2.0,2.0,5.676032576288861,5.727038500396191,1.1748547800056883,,1.0,in_scope;occlusion;trivial,different_wall_count_or_topology;panorama_seam_boundary;visibility_or_appearance_evidence,True,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d.jpg,这是最大簇与最佳 GT 对齐簇（或次簇）的可观察几何差异，不把算法归类直接当作真实因果原因。
uNb9QFRL6hY_c6410f47ad754d6cbd890ba7dff8b449,uNb9QFRL6hY,manual,纯人工,unique,唯一分区,dominant_with_dissent,主模式伴少数异议,4.0,2,1,1.0,3.0,0.8036389959673511,4.0,1.0,0.8143816528850107,0.0107426569176596,dominant_with_singleton_dissent_no_clear_gt_order,in_scope,reference_ready_public_gt,high_alignment>=0.90;low_alignment<0.80;gap>=0.05;descriptive_only,4.0,1.0,6.0,10.0,4.0,1.1479638632259537,1.472752357067975,0.32478849384202135,,0.0,in_scope;occlusion;reflection_transparency;trivial,different_wall_count_or_topology;visibility_or_appearance_evidence,True,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/uNb9QFRL6hY_c6410f47ad754d6cbd890ba7dff8b449.jpg,这是最大簇与最佳 GT 对齐簇（或次簇）的可观察几何差异，不把算法归类直接当作真实因果原因。
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,纯人工,unique,唯一分区,dominant_with_dissent,主模式伴少数异议,2.0,4,1,1.0,1.0,0.8311110434571953,2.0,1.0,0.8405263323574779,0.0094152889002825,dominant_with_singleton_dissent_no_clear_gt_order,in_scope,reference_ready_public_gt,high_alignment>=0.90;low_alignment<0.80;gap>=0.05;descriptive_only,2.0,1.0,4.0,6.0,2.0,11.618923331469546,9.321583695011384,20.353029100583555,,0.0,in_scope;occlusion;oos_geometry;oos_open_or_ambiguous_boundary;seam,different_wall_count_or_topology;scope_or_adjacent_space_extent;panorama_seam_boundary;ceiling_boundary_interpretation;room_height_or_vertical_extent;visibility_or_appearance_evidence,True,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211.jpg,这是最大簇与最佳 GT 对齐簇（或次簇）的可观察几何差异，不把算法归类直接当作真实因果原因。
uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,uNb9QFRL6hY,semi,模型预标注辅助,unique,唯一分区,dominant_with_dissent,主模式伴少数异议,2.0,3,1,1.0,1.0,0.9760367591461642,2.0,1.0,0.9847077676438524,0.0086710084976882,dominant_with_singleton_dissent_no_clear_gt_order,in_scope,reference_ready_public_gt,high_alignment>=0.90;low_alignment<0.80;gap>=0.05;descriptive_only,2.0,1.0,4.0,6.0,2.0,12.044999999999987,13.690000000000055,25.735000000000042,,1.0,acceptable;corner_issue;in_scope;occlusion;overextension;seam;trivial,different_wall_count_or_topology;scope_or_adjacent_space_extent;panorama_seam_boundary;floor_boundary_interpretation;room_height_or_vertical_extent;visibility_or_appearance_evidence,True,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13.jpg,这是最大簇与最佳 GT 对齐簇（或次簇）的可观察几何差异，不把算法归类直接当作真实因果原因。
