feature,family,file,dimension,available_images,requested_images,pool_kind,scaling,full_vector_recoverable_from
dinov3__block11__faces_global,dinov3,dinov3__block11__faces_global.npz,1536,205,205,prespecified_layer_and_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
dinov3__block11__panorama_local16,dinov3,dinov3__block11__panorama_local16.npz,24576,205,205,prespecified_layer_and_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
dinov3__block11__faces_local16,dinov3,dinov3__block11__faces_local16.npz,24576,205,205,prespecified_layer_and_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
dinov3__block11__panorama_mean,dinov3,dinov3__block11__panorama_mean.npz,768,205,205,additional_numeric_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
dinov3__block11__faces_concat,dinov3,dinov3__block11__faces_concat.npz,9216,205,205,additional_numeric_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
dinov3__block11__faces_local96,dinov3,dinov3__block11__faces_local96.npz,147456,205,205,additional_numeric_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
dinov3__block12__panorama_global,dinov3,dinov3__block12__panorama_global.npz,1536,205,205,prespecified_layer_and_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
dinov3__block12__faces_global,dinov3,dinov3__block12__faces_global.npz,1536,205,205,prespecified_layer_and_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
dinov3__block12__panorama_local16,dinov3,dinov3__block12__panorama_local16.npz,24576,205,205,prespecified_layer_and_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
dinov3__block12__faces_local16,dinov3,dinov3__block12__faces_local16.npz,24576,205,205,prespecified_layer_and_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
dinov3__block12__panorama_mean,dinov3,dinov3__block12__panorama_mean.npz,768,205,205,additional_numeric_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
dinov3__block12__faces_concat,dinov3,dinov3__block12__faces_concat.npz,9216,205,205,additional_numeric_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
dinov3__block12__faces_local96,dinov3,dinov3__block12__faces_local96.npz,147456,205,205,additional_numeric_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
dinov3__cls__panorama,dinov3,dinov3__cls__panorama.npz,768,205,205,prespecified_layer_and_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
dinov3__cls__faces,dinov3,dinov3__cls__faces.npz,768,205,205,prespecified_layer_and_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
da3__layer5__faces_global,da3,da3__layer5__faces_global.npz,1536,205,205,prespecified_layer_and_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
da3__layer5__faces_local16,da3,da3__layer5__faces_local16.npz,24576,205,205,prespecified_layer_and_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
da3__layer5__faces_concat,da3,da3__layer5__faces_concat.npz,9216,205,205,additional_numeric_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
da3__layer7__faces_global,da3,da3__layer7__faces_global.npz,1536,205,205,prespecified_layer_and_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
da3__layer7__faces_local16,da3,da3__layer7__faces_local16.npz,24576,205,205,prespecified_layer_and_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
da3__layer7__faces_concat,da3,da3__layer7__faces_concat.npz,9216,205,205,additional_numeric_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
da3__layer9__faces_global,da3,da3__layer9__faces_global.npz,1536,205,205,prespecified_layer_and_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
da3__layer9__faces_local16,da3,da3__layer9__faces_local16.npz,24576,205,205,prespecified_layer_and_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
da3__layer9__faces_concat,da3,da3__layer9__faces_concat.npz,9216,205,205,additional_numeric_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
da3__layer11__faces_global,da3,da3__layer11__faces_global.npz,1536,205,205,prespecified_layer_and_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
da3__layer11__faces_local16,da3,da3__layer11__faces_local16.npz,24576,205,205,prespecified_layer_and_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
da3__layer11__faces_concat,da3,da3__layer11__faces_concat.npz,9216,205,205,additional_numeric_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
