family,condition,target,baseline,images,buildings,loss,baseline_loss,delta,lo,hi
da3,semi,late_quarter_new,feedback_counts,42,12,0.16859114545052095,0.1752000797523689,-0.006608934301847954,-0.018877093445351694,0.0036398959838049834
da3,semi,late_quarter_new,feedback_all,42,12,0.16859114545052095,0.16761605627939438,0.0009750891711265707,-0.0005582183361325616,0.002526381639834069
dinov3,manual,candidate_v2,constant,61,15,0.7793586987447492,0.6598838137050655,0.1194748850396836,0.03785921633913491,0.23900020427337113
dinov3,manual,candidate_v2,feedback_counts,60,15,0.7656617574976617,0.6196211072191667,0.14604065027849503,0.0605801462161185,0.2713456570874517
dinov3,manual,candidate_v2,feedback_all,60,15,0.7656617574976617,0.6228995662874334,0.14276219121022832,0.07664080920386232,0.23499160620757983
dinov3,manual,core10_p_by_19,constant,133,20,0.318031622852741,0.2995676691729323,0.018463953679808718,-0.01656744970034223,0.06298229327064078
dinov3,manual,core10_p_by_19,feedback_counts,131,20,0.3175838848245386,0.300696145983455,0.016887738841083588,-0.01864072226380599,0.06251478244641065
dinov3,manual,core10_p_by_19,feedback_all,131,20,0.3175838848245386,0.2992496904693897,0.01833419435514893,-0.016679358524743337,0.06253823859282347
dinov3,manual,full_p_by_8,constant,133,20,0.36522618392085116,0.3356766917293233,0.02954949219152781,-0.04462710180860372,0.09790450703896984
dinov3,manual,full_p_by_8,feedback_counts,131,20,0.3667857122750321,0.3465688719461275,0.020216840328904577,-0.016753532951146666,0.06814895831730515
dinov3,manual,full_p_by_8,feedback_all,131,20,0.3667857122750321,0.33798092527624546,0.028804786998786563,-0.014693975920011605,0.08554723302586908
dinov3,manual,late_quarter_new,constant,133,20,0.1825572709624804,0.19960526315783306,-0.017047992195352708,-0.034236893142461935,-0.001314954376065674
dinov3,manual,late_quarter_new,feedback_counts,131,20,0.1821578536192358,0.17526413629604734,0.006893717323188474,-0.009750560718101072,0.020571552915298857
dinov3,manual,late_quarter_new,feedback_all,131,20,0.1821578536192358,0.15411173114333523,0.028046122475900537,0.009381163688779164,0.04337604023615903
dinov3,semi,candidate_v2,constant,14,7,0.7090585333295475,0.6407763866972143,0.06828214663233324,-0.10815018854225068,0.23974633007307478
dinov3,semi,candidate_v2,feedback_counts,14,7,0.7090585333295475,0.6635677655900716,0.04549076773947607,-0.1624098864516945,0.22732814554600256
dinov3,semi,candidate_v2,feedback_all,14,7,0.7090585333295475,0.7955856951665,-0.08652716183695254,-0.5270841147864846,0.17320737664757468
dinov3,semi,core10_p_by_19,constant,42,12,0.2980548537277576,0.27107142857142863,0.02698342515632905,0.0027812599807519834,0.05074018934149142
dinov3,semi,core10_p_by_19,feedback_counts,42,12,0.2980548537277576,0.2695149333947572,0.028539920333000485,0.00668137124291031,0.05438382746304572
dinov3,semi,core10_p_by_19,feedback_all,42,12,0.2980548537277576,0.279938236479713,0.01811661724804464,-0.016942947071862655,0.05013016502244606
dinov3,semi,full_p_by_8,constant,42,12,0.35782486738503333,0.23761904761904762,0.1202058197659857,0.044216373225161636,0.20418523140106734
dinov3,semi,full_p_by_8,feedback_counts,42,12,0.35782486738503333,0.32070927466949045,0.037115592715542864,-0.02353797604752603,0.09575087999651777
dinov3,semi,full_p_by_8,feedback_all,42,12,0.35782486738503333,0.3489841040714048,0.008840763313628573,-0.09020405884539667,0.08369322062332206
dinov3,semi,late_quarter_new,constant,42,12,0.2387468851222881,0.17043650793644524,0.06831037718584286,0.027557314093253394,0.14525571637193418
dinov3,semi,late_quarter_new,feedback_counts,42,12,0.2387468851222881,0.1752000797523689,0.06354680536991919,0.017930543431707132,0.13936009719149883
dinov3,semi,late_quarter_new,feedback_all,42,12,0.2387468851222881,0.16761605627939438,0.07113082884289372,0.029328630864978413,0.14123611005251901
hohonet,manual,candidate_v2,constant,61,15,0.7503031865177214,0.6598838137050655,0.09041937281265576,0.017600078617496236,0.17657168046362046
hohonet,manual,candidate_v2,feedback_counts,60,15,0.7548571161147334,0.6196211072191667,0.1352360088955667,0.03815090899823363,0.25413010020908317
hohonet,manual,candidate_v2,feedback_all,60,15,0.7548571161147334,0.6228995662874334,0.13195754982729999,0.062054347509075146,0.20966712749997587
hohonet,manual,core10_p_by_19,constant,133,20,0.3177059915256678,0.2995676691729323,0.01813832235273547,-0.008828008440822226,0.046228427982826045
hohonet,manual,core10_p_by_19,feedback_counts,131,20,0.3177537824541457,0.300696145983455,0.017057636470690685,-0.008868760822777797,0.04289855812905706
hohonet,manual,core10_p_by_19,feedback_all,131,20,0.3177537824541457,0.2992496904693897,0.018504091984756024,-0.005616001012064559,0.04471183248594384
hohonet,manual,full_p_by_8,constant,133,20,0.3428586801784286,0.3356766917293233,0.007181988449105342,-0.08609742842027392,0.07680567935844468
hohonet,manual,full_p_by_8,feedback_counts,131,20,0.343636214516168,0.3465688719461275,-0.0029326574299594686,-0.025252610399807893,0.014026952447255983
hohonet,manual,full_p_by_8,feedback_all,131,20,0.343636214516168,0.33798092527624546,0.005655289239922518,-0.018868265203736342,0.02892011166101827
hohonet,manual,late_quarter_new,constant,133,20,0.19708249205577255,0.19960526315783306,-0.0025227711020605246,-0.020172529843957374,0.017471771668771945
hohonet,manual,late_quarter_new,feedback_counts,131,20,0.19682440680936603,0.17526413629604734,0.021560270513318703,0.010850662215254516,0.03750832245420697
hohonet,manual,late_quarter_new,feedback_all,131,20,0.19682440680936603,0.15411173114333523,0.042712675666030764,0.026568807419674625,0.06399668913713666
hohonet,semi,candidate_v2,constant,14,7,0.883141824986743,0.6407763866972143,0.24236543828952858,0.06900984030688949,0.48894897484655003
hohonet,semi,candidate_v2,feedback_counts,14,7,0.883141824986743,0.6635677655900716,0.2195740593966715,0.03100835060231118,0.4539479151106923
hohonet,semi,candidate_v2,feedback_all,14,7,0.883141824986743,0.7955856951665,0.0875561298202429,-0.11501286174487273,0.2636962428761008
hohonet,semi,core10_p_by_19,constant,42,12,0.2732824385616081,0.27107142857142863,0.0022110099901795238,-0.02365019289330454,0.032549486030626816
hohonet,semi,core10_p_by_19,feedback_counts,42,12,0.2732824385616081,0.2695149333947572,0.003767505166850959,-0.0241575419106191,0.03888332475509115
hohonet,semi,core10_p_by_19,feedback_all,42,12,0.2732824385616081,0.279938236479713,-0.006655797918104876,-0.021392089642070365,0.014419762332623846
