cohort,config,design,same_lower,same_upper,outside_lower,outside_upper,old_benefit_lower,old_benefit_upper,shared_target_benefit_lower,shared_target_benefit_upper,target_unknown_width,source_unknown_width,buildings,buildings_positive_bound,buildings_negative_bound,buildings_unresolved
with_workers,q_0.950,leave_one_target,0.149673340083,0.652274340467,0.143900827545,0.607343765639,-0.508373512922,0.457670425556,-0.40307402137,0.348803887061,0.332202593289,0.332202593289,10,0,0,10
with_workers,q_0.950,one_source_image,0.194210809369,0.708325941711,0.184291657242,0.648268506203,-0.524034284469,0.454057696834,-0.433963723502,0.365403370879,0.332202593289,0.332202593289,10,0,0,10
with_workers,q_0.975,leave_one_target,0.0811853078366,0.769769783527,0.0747912220703,0.733984300366,-0.694978561457,0.65279899253,-0.589146283592,0.534060649379,0.491825158894,0.491825158894,10,0,0,10
with_workers,q_0.975,one_source_image,0.110183908747,0.826892873822,0.100900618382,0.769617279392,-0.725992255439,0.659433370645,-0.632619807354,0.574936170732,0.491825158894,0.491825158894,10,0,0,10
without_workers,ospa30_t6,leave_one_target,0.176163057674,0.68061388874,0.167383854349,0.622590098381,-0.513230034391,0.446427040707,-0.411333553337,0.33787406224,0.326163441283,0.326163441283,10,0,0,10
without_workers,ospa30_t6,one_source_image,0.223918648039,0.739303920787,0.20556043625,0.671056087694,-0.533743484537,0.447137439656,-0.448063475986,0.361227974327,0.326163441283,0.326163441283,10,0,0,10
without_workers,q_0.800,leave_one_target,0.227121509824,0.574906610183,0.22887715218,0.537956680573,-0.346029458002,0.310835170749,-0.269639338947,0.226000586101,0.224449222935,0.224449222935,10,0,0,10
without_workers,q_0.800,one_source_image,0.273665055501,0.620792608787,0.266805834496,0.576324139895,-0.353986774292,0.302659084394,-0.290097263687,0.234590742884,0.224449222935,0.224449222935,10,0,0,10
without_workers,q_0.850,leave_one_target,0.226765817247,0.57819781357,0.228912714804,0.540120277375,-0.349285098766,0.313354460128,-0.273199716187,0.229652665944,0.226000096647,0.226000096647,10,0,0,10
without_workers,q_0.850,one_source_image,0.273013842241,0.624413369654,0.267100222569,0.579023832938,-0.357313147086,0.306009990698,-0.292871384591,0.238654592907,0.226000096647,0.226000096647,10,0,0,10
without_workers,q_0.900,leave_one_target,0.207334312664,0.597265324519,0.213798097876,0.565815700674,-0.383467226643,0.35848138801,-0.300286260415,0.278271483716,0.260414653873,0.260414653873,10,0,0,10
without_workers,q_0.900,one_source_image,0.253622359114,0.645561350085,0.249986567423,0.606578725293,-0.395574782662,0.35295636618,-0.322196783094,0.286603321968,0.260414653873,0.260414653873,10,0,0,10
without_workers,q_0.925,leave_one_target,0.187535720224,0.635675337557,0.189354262011,0.586566278267,-0.446321075546,0.399030558044,-0.350362701955,0.301575970333,0.285660222656,0.285660222656,10,0,0,10
without_workers,q_0.925,one_source_image,0.235122901505,0.686623542814,0.229650084974,0.6333128487,-0.45697345784,0.398189947195,-0.378607594205,0.319591306189,0.285660222656,0.285660222656,10,0,0,10
without_workers,q_0.950,leave_one_target,0.164710667824,0.650895615245,0.165107755977,0.597596517179,-0.485787859268,0.432885849356,-0.377136404122,0.322541322841,0.318191126919,0.318191126919,10,0,0,10
without_workers,q_0.950,one_source_image,0.212108594868,0.703006445406,0.21027047619,0.639109001284,-0.492735969216,0.427000406416,-0.40189419347,0.339103956694,0.318191126919,0.318191126919,10,0,0,10
without_workers,q_0.975,leave_one_target,0.0942017351013,0.766834846363,0.0922464122766,0.727559253287,-0.674588434086,0.633357518185,-0.565795282533,0.516564189071,0.476457486445,0.476457486445,10,0,0,10
without_workers,q_0.975,one_source_image,0.126141107373,0.825560328443,0.122308483465,0.767573209402,-0.703251844978,0.641432102029,-0.608349667635,0.556632551094,0.476457486445,0.476457486445,10,0,0,10
