cohort,building,config,fold_id,max_abs_error
with_workers,rPc6DW4iMge,ospa30_t6,32,1.11022302463e-16
with_workers,rPc6DW4iMge,ospa30_t6,47,1.11022302463e-16
with_workers,rPc6DW4iMge,ospa30_t6,55,1.11022302463e-16
with_workers,rPc6DW4iMge,ospa30_t6,59,6.93889390391e-17
with_workers,rPc6DW4iMge,ospa30_t6,61,1.11022302463e-16
with_workers,rPc6DW4iMge,ospa30_t6,62,5.55111512313e-17
with_workers,uNb9QFRL6hY,q_0.975,1,3.33066907388e-16
with_workers,uNb9QFRL6hY,q_0.975,2,1.11022302463e-16
with_workers,uNb9QFRL6hY,q_0.975,4,1.11022302463e-16
with_workers,uNb9QFRL6hY,q_0.975,8,1.11022302463e-16
with_workers,uNb9QFRL6hY,q_0.975,16,1.11022302463e-16
with_workers,uNb9QFRL6hY,q_0.975,32,1.11022302463e-16
with_workers,uNb9QFRL6hY,q_0.975,64,2.22044604925e-16
with_workers,uNb9QFRL6hY,q_0.975,128,4.16333634234e-17
with_workers,uNb9QFRL6hY,q_0.975,256,9.71445146547e-17
with_workers,uNb9QFRL6hY,q_0.975,512,1.11022302463e-16
with_workers,uNb9QFRL6hY,q_0.975,1024,1.11022302463e-16
with_workers,uNb9QFRL6hY,q_0.975,2047,8.32667268469e-17
with_workers,uNb9QFRL6hY,q_0.975,2048,9.71445146547e-17
with_workers,uNb9QFRL6hY,q_0.975,3071,1.11022302463e-16
with_workers,uNb9QFRL6hY,q_0.975,3583,0
with_workers,uNb9QFRL6hY,q_0.975,3839,1.11022302463e-16
with_workers,uNb9QFRL6hY,q_0.975,3967,0
with_workers,uNb9QFRL6hY,q_0.975,4031,2.22044604925e-16
with_workers,uNb9QFRL6hY,q_0.975,4063,0
with_workers,uNb9QFRL6hY,q_0.975,4079,8.32667268469e-17
with_workers,uNb9QFRL6hY,q_0.975,4087,1.11022302463e-16
with_workers,uNb9QFRL6hY,q_0.975,4091,1.11022302463e-16
with_workers,uNb9QFRL6hY,q_0.975,4093,5.55111512313e-17
with_workers,uNb9QFRL6hY,q_0.975,4094,1.11022302463e-16
with_workers,uNb9QFRL6hY,q_0.950,1,8.32667268469e-17
with_workers,uNb9QFRL6hY,q_0.950,2,1.11022302463e-16
with_workers,uNb9QFRL6hY,q_0.950,4,1.11022302463e-16
with_workers,uNb9QFRL6hY,q_0.950,8,2.22044604925e-16
with_workers,uNb9QFRL6hY,q_0.950,16,1.11022302463e-16
with_workers,uNb9QFRL6hY,q_0.950,32,1.11022302463e-16
with_workers,uNb9QFRL6hY,q_0.950,64,1.11022302463e-16
with_workers,uNb9QFRL6hY,q_0.950,128,1.11022302463e-16
with_workers,uNb9QFRL6hY,q_0.950,256,1.38777878078e-16
with_workers,uNb9QFRL6hY,q_0.950,512,1.11022302463e-16
with_workers,uNb9QFRL6hY,q_0.950,1024,1.11022302463e-16
with_workers,uNb9QFRL6hY,q_0.950,2047,1.11022302463e-16
with_workers,uNb9QFRL6hY,q_0.950,2048,1.11022302463e-16
with_workers,uNb9QFRL6hY,q_0.950,3071,1.11022302463e-16
with_workers,uNb9QFRL6hY,q_0.950,3583,1.66533453694e-16
with_workers,uNb9QFRL6hY,q_0.950,3839,1.11022302463e-16
with_workers,uNb9QFRL6hY,q_0.950,3967,1.11022302463e-16
with_workers,uNb9QFRL6hY,q_0.950,4031,1.11022302463e-16
with_workers,uNb9QFRL6hY,q_0.950,4063,3.32850066953e-17
with_workers,uNb9QFRL6hY,q_0.950,4079,6.93889390391e-17
with_workers,uNb9QFRL6hY,q_0.950,4087,2.22044604925e-16
with_workers,uNb9QFRL6hY,q_0.950,4091,1.11022302463e-16
with_workers,uNb9QFRL6hY,q_0.950,4093,2.22044604925e-16
with_workers,uNb9QFRL6hY,q_0.950,4094,1.11022302463e-16
