building_id,base_loss,linear_loss,quadratic_loss,layer_loss,semi_loss,cohort,pool,cap,outcome
uNb9QFRL6hY,13.9548491666,14.2348501433,14.1255186463,12.6667160044,9.92585353499,all26,without_synthetic,30,edit
wc2JMjhGNzB,12.3089911179,12.3920410097,12.2579004745,10.3573712482,10.4335147783,all26,without_synthetic,30,edit
yqstnuAEVhm,22.6067104587,24.0583832921,22.0312492408,17.9904699939,14.4457802484,all26,without_synthetic,30,edit
7y3sRwLe3Va,0,0.0158838905657,0.0102282615611,1.38826741783,2.24441288906,all26,without_synthetic,30,final_via_edit_labels
B6ByNegPMKs,15.0694795964,12.5130028531,12.4933870821,11.7401417202,10.321544582,all26,without_synthetic,30,final_via_edit_labels
UwV83HsGsw3,7.72648090661,5.79467929812,6.05985563002,4.22634525079,7.04602707245,all26,without_synthetic,30,final_via_edit_labels
X7HyMhZNoso,13.0982814106,12.9292922177,13.0012726062,13.3240436646,9.94867957171,all26,without_synthetic,30,final_via_edit_labels
Z6MFQCViBuw,0.995762888532,0.797440074598,0.817251406295,0.256408359267,1.10321529513,all26,without_synthetic,30,final_via_edit_labels
b8cTxDM8gDG,6.23791818995,7.89327974344,7.87055911483,7.98976748883,8.17166924461,all26,without_synthetic,30,final_via_edit_labels
e9zR4mvMWw7,10.5341627644,9.11567254545,9.10186878182,8.76456579162,9.31179895989,all26,without_synthetic,30,final_via_edit_labels
q9vSo1VnCiC,48.2732282698,51.8335515671,51.9870458421,57.4874131639,54.7666557071,all26,without_synthetic,30,final_via_edit_labels
rPc6DW4iMge,13.3498422129,10.8376838744,10.8462143688,8.13914999411,5.98229384765,all26,without_synthetic,30,final_via_edit_labels
uNb9QFRL6hY,13.1800013045,12.8303709072,12.963382946,12.5176504066,10.5196113712,all26,without_synthetic,30,final_via_edit_labels
wc2JMjhGNzB,11.7740615327,11.2101058979,11.1968037288,11.2731196352,11.8110355337,all26,without_synthetic,30,final_via_edit_labels
yqstnuAEVhm,22.6067104587,20.1389077149,20.5970810265,19.3269327994,16.374297442,all26,without_synthetic,30,final_via_edit_labels
7y3sRwLe3Va,22.4858462897,24.6200187399,20.3865562138,25.2484632056,21.3985614726,all26,without_synthetic,60,edit
B6ByNegPMKs,56.1898644025,53.2683620466,51.8697736528,47.8958498663,39.5435706279,all26,without_synthetic,60,edit
UwV83HsGsw3,32.4954264477,36.7719429439,27.6477371612,31.0293735599,29.6634465515,all26,without_synthetic,60,edit
X7HyMhZNoso,44.2290655757,48.0440857774,49.0132545371,43.2694477181,42.7024284657,all26,without_synthetic,60,edit
Z6MFQCViBuw,0.995762888532,1.42370356434,0.773292217891,0.523316388308,2.18779672879,all26,without_synthetic,60,edit
b8cTxDM8gDG,19.2089683043,18.8586819558,20.0278453197,17.1619593119,17.3635160234,all26,without_synthetic,60,edit
e9zR4mvMWw7,44.9977096578,43.0878628503,41.2675895726,36.7424405649,35.9425961308,all26,without_synthetic,60,edit
q9vSo1VnCiC,156.921080781,155.490577344,162.16989453,117.539519187,114.587789298,all26,without_synthetic,60,edit
rPc6DW4iMge,76.5129038203,68.3564369374,65.7957211246,49.185643879,46.2809700917,all26,without_synthetic,60,edit
uNb9QFRL6hY,45.6191539467,46.650977207,46.4574107729,34.922605628,34.6651530178,all26,without_synthetic,60,edit
wc2JMjhGNzB,43.3717067225,43.5437676139,43.9990017815,40.5213518278,40.70163621,all26,without_synthetic,60,edit
yqstnuAEVhm,84.497492637,91.3158432329,81.7203509289,77.1455240675,62.4618092396,all26,without_synthetic,60,edit
7y3sRwLe3Va,0,0.0876000578333,0.0263460743972,7.39052201628,8.72781980263,all26,without_synthetic,60,final_via_edit_labels
B6ByNegPMKs,59.1119301695,49.0362467974,48.5545770315,49.5347356599,39.337029089,all26,without_synthetic,60,final_via_edit_labels
UwV83HsGsw3,32.4954264477,25.9932328401,28.8010399109,22.5597679113,34.3504314853,all26,without_synthetic,60,final_via_edit_labels
X7HyMhZNoso,42.0026403878,42.5064566283,42.726920848,44.4687695898,34.0530249964,all26,without_synthetic,60,final_via_edit_labels
Z6MFQCViBuw,0.995762888532,0.648728410135,0.708615621104,0.169812436402,4.60561788174,all26,without_synthetic,60,final_via_edit_labels
b8cTxDM8gDG,23.0587242863,29.6439127223,29.7026103111,33.1152077186,34.8029745592,all26,without_synthetic,60,final_via_edit_labels
e9zR4mvMWw7,43.970889067,39.3286983912,38.9779219225,36.5823182485,37.9967826985,all26,without_synthetic,60,final_via_edit_labels
q9vSo1VnCiC,182.734788205,192.595943462,190.562819365,219.719618768,206.932796546,all26,without_synthetic,60,final_via_edit_labels
rPc6DW4iMge,56.5020863675,46.5857025898,46.5954287417,32.421515518,26.8752476963,all26,without_synthetic,60,final_via_edit_labels
uNb9QFRL6hY,43.7878475726,42.4344114234,43.3525906814,40.157841882,36.402658405,all26,without_synthetic,60,final_via_edit_labels
wc2JMjhGNzB,46.7079383162,44.6815947149,44.5280531367,43.7304539662,46.8011317123,all26,without_synthetic,60,final_via_edit_labels
yqstnuAEVhm,84.497492637,74.5010273466,78.0620737669,73.3113171703,68.8945731727,all26,without_synthetic,60,final_via_edit_labels
7y3sRwLe3Va,9.09488912764,7.76406305778,7.18486673836,6.38506867041,6.25118030124,current20,all_initializations,30,edit
B6ByNegPMKs,9.4249153551,8.63799421209,8.75982513084,7.60682644224,7.55016723119,current20,all_initializations,30,edit
UwV83HsGsw3,1.26007616153,1.64960208095,2.63514624795,0.961998335187,0.905517745886,current20,all_initializations,30,edit
X7HyMhZNoso,17.3710324681,16.4213367997,14.7954386094,15.9909813821,13.2611973247,current20,all_initializations,30,edit
Z6MFQCViBuw,8.07880938045,7.12004281931,6.69675950238,3.4038649071,3.51619547021,current20,all_initializations,30,edit
b8cTxDM8gDG,3.03487005485,2.21182453315,1.60400537828,1.32066986362,1.13479689017,current20,all_initializations,30,edit
e9zR4mvMWw7,7.41829966804,7.299396013,7.35079442998,4.16713258093,4.50606574639,current20,all_initializations,30,edit
q9vSo1VnCiC,17.0356090291,16.8159058178,16.1494904034,9.14137713378,8.89280603522,current20,all_initializations,30,edit
rPc6DW4iMge,15.3837483329,15.1035123772,15.7547062974,6.63956614893,8.11962739104,current20,all_initializations,30,edit
uNb9QFRL6hY,13.4554999168,12.5188235867,11.5167853428,10.6917890165,10.0586228031,current20,all_initializations,30,edit
wc2JMjhGNzB,11.3634641051,11.0193556097,11.0287722368,9.48791643282,9.10405234909,current20,all_initializations,30,edit
yqstnuAEVhm,23.7482435399,19.599375032,16.3526602229,19.6725394048,16.5707860355,current20,all_initializations,30,edit
7y3sRwLe3Va,9.65962664022,9.08281833535,9.05415982018,9.07029086797,11.2175087432,current20,all_initializations,30,final_via_edit_labels
B6ByNegPMKs,11.3777845344,10.2845971716,10.1876627845,9.84629148884,9.00871387426,current20,all_initializations,30,final_via_edit_labels
UwV83HsGsw3,1.26007616153,1.48498182135,1.75484384288,0.994367168729,2.27061492036,current20,all_initializations,30,final_via_edit_labels
X7HyMhZNoso,15.4787411133,14.9163464191,14.5714152215,16.0653030392,11.6579803739,current20,all_initializations,30,final_via_edit_labels
Z6MFQCViBuw,3.7024427099,4.02602310536,4.26188058631,2.92224414869,3.41159393129,current20,all_initializations,30,final_via_edit_labels
b8cTxDM8gDG,3.34232057327,2.64547606635,2.41752147065,2.24705909728,1.71931766279,current20,all_initializations,30,final_via_edit_labels
e9zR4mvMWw7,5.37199214614,5.64541206863,6.00233219048,4.52165932632,5.19685215602,current20,all_initializations,30,final_via_edit_labels
q9vSo1VnCiC,16.4415934246,16.8569994555,16.7572576329,17.8289217038,17.3860149969,current20,all_initializations,30,final_via_edit_labels
rPc6DW4iMge,11.1504928696,10.3866411546,10.144341918,7.74111918444,5.35307728252,current20,all_initializations,30,final_via_edit_labels
uNb9QFRL6hY,13.5191850081,13.234160456,13.1194270395,12.8315061782,11.1535309911,current20,all_initializations,30,final_via_edit_labels
wc2JMjhGNzB,11.1462514174,11.1152774905,11.3376194412,11.2002296268,11.3087306405,current20,all_initializations,30,final_via_edit_labels
yqstnuAEVhm,23.7482435399,21.3139226545,20.4126814497,21.1273888878,17.9857788898,current20,all_initializations,30,final_via_edit_labels
7y3sRwLe3Va,32.6239136024,28.9440733251,27.5873153511,24.7360214677,25.2376700723,current20,all_initializations,60,edit
B6ByNegPMKs,28.3947524405,28.2202256367,29.1359852611,26.7157661059,26.3472274026,current20,all_initializations,60,edit
UwV83HsGsw3,7.11686282968,8.68883581965,12.2476519551,6.21597103115,6.22261730073,current20,all_initializations,60,edit
X7HyMhZNoso,52.0670933709,51.0128067683,46.4719636969,52.2587896935,46.4043542203,current20,all_initializations,60,edit
Z6MFQCViBuw,22.5332305322,20.2932075333,19.4566533957,11.9553039424,12.626391161,current20,all_initializations,60,edit
b8cTxDM8gDG,8.81892281252,5.84722012001,3.4808606414,7.55014479598,6.71873442298,current20,all_initializations,60,edit
e9zR4mvMWw7,24.7685043402,24.4908453825,24.7146737277,15.3526242913,16.6896096199,current20,all_initializations,60,edit
q9vSo1VnCiC,57.981018223,56.9185890633,54.8569411303,32.9901790155,33.4090297099,current20,all_initializations,60,edit
rPc6DW4iMge,53.7906365845,54.8912021711,58.1899508047,33.1844596379,33.9124860773,current20,all_initializations,60,edit
uNb9QFRL6hY,43.6447701026,40.9963148722,37.5903907065,34.0898005311,34.6192852661,current20,all_initializations,60,edit
wc2JMjhGNzB,39.5425368534,39.6307388147,39.7505315267,36.830152313,36.0827327011,current20,all_initializations,60,edit
yqstnuAEVhm,89.4887427857,75.5753194266,64.5184063135,81.0464600227,73.062820449,current20,all_initializations,60,edit
7y3sRwLe3Va,32.6081100957,31.098077435,30.9989703644,30.1776941054,35.8491866429,current20,all_initializations,60,final_via_edit_labels
B6ByNegPMKs,41.6830358545,39.5823880937,39.4335317069,36.2000174454,32.5003115516,current20,all_initializations,60,final_via_edit_labels
UwV83HsGsw3,7.11686282968,7.96637334396,8.95445402431,7.74183459495,14.9586246639,current20,all_initializations,60,final_via_edit_labels
X7HyMhZNoso,49.5878269255,48.8897600323,48.084271684,53.2531775532,40.621070654,current20,all_initializations,60,final_via_edit_labels
Z6MFQCViBuw,14.8694157574,16.3249989676,16.9930964904,12.2850834634,13.6972326524,current20,all_initializations,60,final_via_edit_labels
b8cTxDM8gDG,10.1816866806,8.29131266544,7.63007114883,9.20481489969,8.12123134971,current20,all_initializations,60,final_via_edit_labels
e9zR4mvMWw7,21.6594677154,23.0785642296,24.0271004704,18.1214954522,20.0148297018,current20,all_initializations,60,final_via_edit_labels
q9vSo1VnCiC,64.0878166822,65.8678646664,65.6841484234,72.8536842699,70.1569188417,current20,all_initializations,60,final_via_edit_labels
rPc6DW4iMge,44.4349201487,42.9028589924,42.2990214304,27.7774578097,22.8547645327,current20,all_initializations,60,final_via_edit_labels
uNb9QFRL6hY,43.6938170957,42.7161978816,42.4179364208,40.9067666428,37.4361632882,current20,all_initializations,60,final_via_edit_labels
wc2JMjhGNzB,43.3232726424,43.3073406823,44.0710602939,42.5057929416,44.2392402983,current20,all_initializations,60,final_via_edit_labels
yqstnuAEVhm,89.4887427857,82.24263632,79.9913372161,85.0969026106,78.2075551519,current20,all_initializations,60,final_via_edit_labels
7y3sRwLe3Va,5.94046063665,4.59349888571,4.20066633364,6.77152997724,4.64614446812,current20,without_synthetic,30,edit
B6ByNegPMKs,13.6943678485,13.0598177752,13.493549507,11.1964314882,11.1153073623,current20,without_synthetic,30,edit
UwV83HsGsw3,1.26007616153,1.63514020295,2.67759558855,1.06676889336,1.15217070363,current20,without_synthetic,30,edit
X7HyMhZNoso,17.3710324681,16.4351000182,14.7966708878,15.8657654708,12.5204600144,current20,without_synthetic,30,edit
Z6MFQCViBuw,1.11969045037,0.795939005295,0.703142702685,1.23542063678,0.435086686902,current20,without_synthetic,30,edit
b8cTxDM8gDG,3.03487005485,2.2232357851,1.60860684813,1.33232042797,1.40427796345,current20,without_synthetic,30,edit
e9zR4mvMWw7,8.54308004076,8.36030684759,8.44839493825,7.80263558933,6.67427947945,current20,without_synthetic,30,edit
q9vSo1VnCiC,36.8453806342,38.0170248673,36.606692025,24.2306591682,22.6822709649,current20,without_synthetic,30,edit
rPc6DW4iMge,15.3837483329,15.0868874639,15.8124898578,12.841624663,9.31478838938,current20,without_synthetic,30,edit
uNb9QFRL6hY,13.4554999168,12.5867704449,11.6011208293,10.8306810548,10.1336770665,current20,without_synthetic,30,edit
wc2JMjhGNzB,11.3634641051,11.0221793704,11.1039560464,9.42075192661,9.34969695209,current20,without_synthetic,30,edit
yqstnuAEVhm,23.7482435399,19.8419506403,16.4817649645,19.257885497,15.5874160409,current20,without_synthetic,30,edit
7y3sRwLe3Va,0,0.0283450803046,0.0442728734188,0.881118640242,2.25445101277,current20,without_synthetic,30,final_via_edit_labels
B6ByNegPMKs,11.3777845344,10.1102203042,9.97594398568,9.85141844386,8.98534742188,current20,without_synthetic,30,final_via_edit_labels
UwV83HsGsw3,1.26007616153,1.55100766868,2.08295270672,1.04050309456,2.84689289666,current20,without_synthetic,30,final_via_edit_labels
X7HyMhZNoso,15.4787411133,14.8593954416,14.1019442325,15.5814881199,10.2511814497,current20,without_synthetic,30,final_via_edit_labels
Z6MFQCViBuw,1.11969045037,0.828133600842,0.764503056323,0.336196226554,1.13664991055,current20,without_synthetic,30,final_via_edit_labels
b8cTxDM8gDG,3.34232057327,2.54712500948,2.14184475684,2.15435373323,2.0161379248,current20,without_synthetic,30,final_via_edit_labels
e9zR4mvMWw7,6.53053236986,6.71275384096,7.15356161691,7.24159397631,7.32407637555,current20,without_synthetic,30,final_via_edit_labels
q9vSo1VnCiC,41.6243029372,42.8755358346,42.0808694301,49.2029512296,47.4656373314,current20,without_synthetic,30,final_via_edit_labels
rPc6DW4iMge,11.1504928696,10.2380166324,9.79295141756,9.59314485365,5.29632327415,current20,without_synthetic,30,final_via_edit_labels
uNb9QFRL6hY,13.5191850081,13.2274926021,12.9201626548,12.7465540615,10.8251882604,current20,without_synthetic,30,final_via_edit_labels
wc2JMjhGNzB,11.1462514174,11.24856745,11.8173954841,11.215735792,11.8048996653,current20,without_synthetic,30,final_via_edit_labels
yqstnuAEVhm,23.7482435399,20.716649994,19.0116331845,20.0154419556,16.1023634177,current20,without_synthetic,30,final_via_edit_labels
7y3sRwLe3Va,22.4858462897,18.4848620285,18.0148709853,30.3247221473,21.4731407372,current20,without_synthetic,60,edit
B6ByNegPMKs,44.9028095052,45.2408765699,46.7482558132,44.5986077482,39.3412751026,current20,without_synthetic,60,edit
UwV83HsGsw3,7.11686282968,8.62868776469,12.552367076,6.26568706395,6.93270227172,current20,without_synthetic,60,edit
X7HyMhZNoso,52.0670933709,50.9961560139,46.2404255238,52.8130767406,43.9887115687,current20,without_synthetic,60,edit
Z6MFQCViBuw,1.11969045037,0.689115055552,0.516908836535,0.373753004188,1.92095751707,current20,without_synthetic,60,edit
b8cTxDM8gDG,8.81892281252,5.98055366224,3.52168897319,7.82870646735,7.24479010623,current20,without_synthetic,60,edit
e9zR4mvMWw7,28.9743092607,28.6285361823,29.306808476,28.7065684658,25.0912138859,current20,without_synthetic,60,edit
q9vSo1VnCiC,137.475883124,137.854044706,132.418043866,98.8852096247,87.5886548133,current20,without_synthetic,60,edit
rPc6DW4iMge,53.7906365845,54.7891975825,58.6023148685,39.5111424806,38.5571398086,current20,without_synthetic,60,edit
uNb9QFRL6hY,43.6447701026,41.447706022,38.0725552995,34.6157560595,35.2593010802,current20,without_synthetic,60,edit
wc2JMjhGNzB,39.5425368534,39.7081114971,40.1405874441,38.2353170792,36.838441058,current20,without_synthetic,60,edit
yqstnuAEVhm,89.4887427857,76.7256320477,64.8712852958,77.6432276374,68.413759801,current20,without_synthetic,60,edit
7y3sRwLe3Va,0,0.0912672851803,0.111156321929,4.57243020895,8.76383013984,current20,without_synthetic,60,final_via_edit_labels
B6ByNegPMKs,41.6830358545,39.0254899805,38.8788232739,39.6317743523,32.889277968,current20,without_synthetic,60,final_via_edit_labels
UwV83HsGsw3,7.11686282968,8.33617815399,10.3667181755,7.98717962137,17.7370118869,current20,without_synthetic,60,final_via_edit_labels
X7HyMhZNoso,49.5878269255,48.8536307447,46.7266232554,51.6394889932,34.8289261153,current20,without_synthetic,60,final_via_edit_labels
Z6MFQCViBuw,1.11969045037,0.699815423942,0.593388760534,0.462876040033,4.80279767241,current20,without_synthetic,60,final_via_edit_labels
b8cTxDM8gDG,10.1816866806,7.74314932425,6.33968853686,7.976734578,8.24578144497,current20,without_synthetic,60,final_via_edit_labels
e9zR4mvMWw7,26.4190472776,27.9088937223,29.0557398312,29.2310535924,28.5591479273,current20,without_synthetic,60,final_via_edit_labels
q9vSo1VnCiC,167.022095897,171.84096775,169.757786351,173.582900872,196.008433629,current20,without_synthetic,60,final_via_edit_labels
rPc6DW4iMge,44.4349201487,42.3405818767,41.0833916347,41.1658906916,23.4585200851,current20,without_synthetic,60,final_via_edit_labels
uNb9QFRL6hY,43.6938170957,42.4965459825,41.5109908306,41.6668959196,36.3245843137,current20,without_synthetic,60,final_via_edit_labels
wc2JMjhGNzB,43.3232726424,43.7565996334,45.717517864,43.143641832,46.0700881467,current20,without_synthetic,60,final_via_edit_labels
yqstnuAEVhm,89.4887427857,79.315350382,74.1377324804,82.6969916666,70.2584455777,current20,without_synthetic,60,final_via_edit_labels
