heldout_building,worker_id,reference_effect,operational_coarse
Z6MFQCViBuw,29,1.01591690025,B
Z6MFQCViBuw,30,0.954227947567,B
Z6MFQCViBuw,31,0.0312855501221,A
Z6MFQCViBuw,32,0.379799630356,B
Z6MFQCViBuw,33,-0.611855730888,A
Z6MFQCViBuw,34,1.7597649081,B
Z6MFQCViBuw,35,0.85178027077,B
Z6MFQCViBuw,36,0.361564089343,B
Z6MFQCViBuw,37,2.40457266433,B
Z6MFQCViBuw,6,-0.250284889846,A
Z6MFQCViBuw,8,-0.453787089015,A
b8cTxDM8gDG,1,-0.119614597581,A
b8cTxDM8gDG,10,0.0420367022313,B
b8cTxDM8gDG,11,-0.706760221013,A
b8cTxDM8gDG,12,0.520085678692,B
b8cTxDM8gDG,13,0.305442606911,B
b8cTxDM8gDG,15,-1.16723692713,A
b8cTxDM8gDG,17,-1.24035632396,A
b8cTxDM8gDG,2,-3.90860996622,A
b8cTxDM8gDG,28,-0.112492525709,A
b8cTxDM8gDG,29,1.07474042877,B
b8cTxDM8gDG,30,0.943461376286,B
b8cTxDM8gDG,31,-0.0814716954533,A
b8cTxDM8gDG,32,0.373664526932,B
b8cTxDM8gDG,33,-0.613125122028,A
b8cTxDM8gDG,34,1.75770281113,B
b8cTxDM8gDG,35,0.866683844492,B
b8cTxDM8gDG,36,0.406456880014,B
b8cTxDM8gDG,37,2.3776679252,B
b8cTxDM8gDG,6,-0.253819662475,A
b8cTxDM8gDG,8,-0.464455739091,A
e9zR4mvMWw7,1,-0.126968906204,A
e9zR4mvMWw7,10,-0.0871908480531,B
e9zR4mvMWw7,11,-0.668532154539,A
e9zR4mvMWw7,12,0.521594737979,B
e9zR4mvMWw7,13,0.351156108087,B
e9zR4mvMWw7,15,-1.09860581126,A
e9zR4mvMWw7,17,-1.1997496163,A
e9zR4mvMWw7,2,-3.84132504804,A
e9zR4mvMWw7,28,-0.226997919436,A
e9zR4mvMWw7,29,1.04493918578,B
e9zR4mvMWw7,30,0.965257603307,B
e9zR4mvMWw7,31,-0.118865972427,A
e9zR4mvMWw7,32,0.32311365357,B
e9zR4mvMWw7,33,-0.575555406232,A
e9zR4mvMWw7,34,1.80055161524,B
e9zR4mvMWw7,35,0.788607463077,B
e9zR4mvMWw7,36,0.305402651999,B
e9zR4mvMWw7,37,2.43070033022,B
e9zR4mvMWw7,6,-0.198576273744,A
e9zR4mvMWw7,8,-0.388955393027,A
jh4fc5c5qoQ,1,-0.157629376742,A
jh4fc5c5qoQ,10,0.0992885337364,B
jh4fc5c5qoQ,11,-0.682387410636,A
jh4fc5c5qoQ,12,0.436643098046,B
