dataset_group,project_version,task_id,title,image_url,condition,annotator_id,active_time,iou,iou_manual,iou_corner,rmse_px,layout_2d_iou,layout_3d_iou,layout_depth_rmse,layout_delta1,layout_used,layout_gate_reason,reliability_used,reliability_gate_reason,pointwise_rmse_px,pointwise_rmse_used,pointwise_best_shift,pointwise_gate_reason,boundary_mse,boundary_rmse_px,pred_n_points,pred_n_pairs,pred_pair_coverage,pred_odd_points,ann_n_points,ann_n_pairs,ann_pair_coverage,ann_odd_points,pairing_warning,pairing_failure_reason,boundary_method_used,consensus_uid,iou_to_consensus,consensus_uid_loo,iou_to_consensus_loo,iou_to_others_median,quality,scope,difficulty,model_issue,tool_issue,scope_missing,is_oos,is_occlusion,is_fail,is_residual,is_normal,n_corners,has_manual_poly,task_scope_n_total,task_scope_n_in_scope,task_scope_n_oos,task_scope_n_unknown,task_scope_oos_rate,task_scope_unknown_rate,task_scope_majority,task_scope_is_mixed,task_scope_has_unknown,analysis_role
Manual_Test,v1.0,506,B6ByNegPMKs_3ed1f9b2f3c341d68c6d42895f56f7f9.png,http://106.53.106.49:8000/data/mp3d_layout/test/img/B6ByNegPMKs_3ed1f9b2f3c341d68c6d42895f56f7f9.png,semi,1,11.652,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,True,,True,,0.0,True,0,,0.0,0.0,8,4,1.0,False,8,4,1.0,False,False,,connect,1,1.0,2,1.0,1.0,normal,normal,,,,False,False,False,False,False,True,8,True,3,3,0,0,0.0,0.0,in_scope,False,False,performance
Manual_Test,v1.0,506,B6ByNegPMKs_3ed1f9b2f3c341d68c6d42895f56f7f9.png,http://106.53.106.49:8000/data/mp3d_layout/test/img/B6ByNegPMKs_3ed1f9b2f3c341d68c6d42895f56f7f9.png,semi,3,41.337,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,True,,True,,0.0,True,0,,0.0,0.0,8,4,1.0,False,8,4,1.0,False,False,,connect,1,1.0,1,1.0,1.0,normal;occlusion,normal,occlusion,,,False,False,True,False,False,True,8,True,3,3,0,0,0.0,0.0,in_scope,False,False,performance
Manual_Test,v1.0,506,B6ByNegPMKs_3ed1f9b2f3c341d68c6d42895f56f7f9.png,http://106.53.106.49:8000/data/mp3d_layout/test/img/B6ByNegPMKs_3ed1f9b2f3c341d68c6d42895f56f7f9.png,semi,2,13.029,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,True,,True,,0.0,True,0,,0.0,0.0,8,4,1.0,False,8,4,1.0,False,False,,connect,1,1.0,1,1.0,1.0,normal;occlusion,normal,occlusion,,,False,False,True,False,False,True,8,True,3,3,0,0,0.0,0.0,in_scope,False,False,performance
Manual_Test,v1.0,508,Z6MFQCViBuw_80cd596c480c4f72a7457433b862d179.png,http://106.53.106.49:8000/data/mp3d_layout/test/img/Z6MFQCViBuw_80cd596c480c4f72a7457433b862d179.png,semi,1,35.232,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,True,,True,,0.0,True,0,,0.0,0.0,8,4,1.0,False,8,4,1.0,False,False,,connect,1,1.0,2,1.0,1.0,normal,normal,,,,False,False,False,False,False,True,8,True,3,3,0,0,0.0,0.0,in_scope,False,False,performance
Manual_Test,v1.0,508,Z6MFQCViBuw_80cd596c480c4f72a7457433b862d179.png,http://106.53.106.49:8000/data/mp3d_layout/test/img/Z6MFQCViBuw_80cd596c480c4f72a7457433b862d179.png,semi,3,3.696,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,True,,True,,0.0,True,0,,0.0,0.0,8,4,1.0,False,8,4,1.0,False,False,,connect,1,1.0,1,1.0,1.0,normal,normal,,,,False,False,False,False,False,True,8,True,3,3,0,0,0.0,0.0,in_scope,False,False,performance
Manual_Test,v1.0,508,Z6MFQCViBuw_80cd596c480c4f72a7457433b862d179.png,http://106.53.106.49:8000/data/mp3d_layout/test/img/Z6MFQCViBuw_80cd596c480c4f72a7457433b862d179.png,semi,2,2.834,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,True,,True,,0.0,True,0,,0.0,0.0,8,4,1.0,False,8,4,1.0,False,False,,connect,1,1.0,1,1.0,1.0,normal,normal,,,,False,False,False,False,False,True,8,True,3,3,0,0,0.0,0.0,in_scope,False,False,performance
SemiAuto_Test,v1.0,459,b8cTxDM8gDG_f63819c407e64c2897b703080766cb60.png,http://106.53.106.49:8000/data/mp3d_layout/test/img/b8cTxDM8gDG_f63819c407e64c2897b703080766cb60.png,semi,2,188.28199999999998,1.0,1.0,1.0,0.0,,,,,False,scope_missing,False,scope_missing,0.0,True,0,,0.0,0.0,8,4,1.0,False,8,4,1.0,False,False,,connect,,,,,,normal,,,,,True,,False,False,False,,8,True,1,0,0,1,0.0,1.0,unknown,False,True,performance
SemiAuto_Test,v1.0,461,rPc6DW4iMge_7316bf706e0d46368334c0c989210e09.png,http://106.53.106.49:8000/data/mp3d_layout/test/img/rPc6DW4iMge_7316bf706e0d46368334c0c989210e09.png,semi,2,7.509,1.0,1.0,1.0,0.0,,,,,False,scope_missing,False,scope_missing,0.0,True,0,,0.0,0.0,8,4,1.0,False,8,4,1.0,False,False,,connect,,,,,,normal,,,,,True,,False,False,False,,8,True,1,0,0,1,0.0,1.0,unknown,False,True,performance
SemiAuto_Test,v1.0,462,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596.png,http://106.53.106.49:8000/data/mp3d_layout/test/img/UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596.png,semi,2,2121.889,0.8862438676752229,,0.8862438676752229,9.109371777684927,,,,,False,scope_missing,False,scope_missing,,False,,n_pairs_mismatch,101.96075439453125,10.097561804442261,12,6,1.0,False,8,4,1.0,False,False,,connect,,,,,,complex,,,,,True,,False,False,False,,8,False,1,0,0,1,0.0,1.0,unknown,False,True,performance
SemiAuto_Test,v1.0,463,uNb9QFRL6hY_01ea3de3141a4adaa917cebb3db3c086.png,http://106.53.106.49:8000/data/mp3d_layout/test/img/uNb9QFRL6hY_01ea3de3141a4adaa917cebb3db3c086.png,semi,2,80.294,1.0,1.0,1.0,0.0,,,,,False,scope_missing,False,scope_missing,0.0,True,0,,0.0,0.0,12,6,1.0,False,12,6,1.0,False,False,,connect,,,,,,normal,,,,,True,,False,False,False,,12,True,1,0,0,1,0.0,1.0,unknown,False,True,performance
