analysis_role,block3_generated,boundary,condition_number,convergence,design_columns,fold,formal_policy_frozen,formal_profile_frozen,formula,mae,mae_change_vs_P0,mae_change_vs_P1,mixed_model_status,model_name,model_rank,model_variant,n_test,n_train,new_building_categories,new_stage_categories,new_worker_categories,optimizer,prediction_interval_coverage,prediction_unseen_worker_fallback_rows,random_effect_eigenvalues_json,risk_channel_correlation_train,rmse,rmse_change_vs_P0,rmse_change_vs_P1,scientific_conclusion_prohibited,singular,spearman,status,test_buildings,test_tasks,test_workers,train_buildings,train_tasks,train_workers,transform_json,validation_kind,warnings
exploratory_diagnostic_pre_stage3,False,False,27.42318108371033,True,41,2t7WUuJeko7,False,False,quality ~ C(worker_id) + risk_z + d_cal_A_resid_z + C(worker_id):d_cal_A_resid_z,0.06759053574827363,-0.04827703045498215,-0.005036165376342799,,P3_d_cal_A_residualized_sensitivity,41,train_only_residualized_channel_sensitivity,7,218,1,0,0,ols,1.0,0,,0.923154782041713,0.07275332591204638,-0.04762110318029422,-0.00443050615216356,True,False,-0.642857142857143,estimated,1,3,4,8,64,20,"{""channel_residualization"": {""channel"": ""d_cal_A"", ""fit_source"": ""train_fold_only"", ""intercept"": -2.2033083979318824, ""residual_mean"": -6.111319401606367e-18, ""residual_scale"": 0.46022660538847554, ""risk_slope"": 0.6309685393166642}, ""fields"": {""d_cal_A"": {""mean"": 1.25624758482054, ""scale"": 1.1971709733848432}, ""risk"": {""mean"": 5.48292944446819, ""scale"": 1.7515518447221605}}, ""scaling_source"": ""train_fold_only""}",leave_one_building_out,
exploratory_diagnostic_pre_stage3,False,False,37.22050554133483,True,40,2t7WUuJeko7,False,False,quality ~ C(worker_id) + risk_z + C(worker_id):risk_z,0.05984756029579709,-0.05602000590745869,-0.012779140828819341,,worker_x_risk_diagnostic,40,diagnostic,7,218,1,0,0,ols,1.0,0,,,0.0641078924832412,-0.0562665366090994,-0.01307593958096874,True,False,-0.14285714285714288,estimated,1,3,4,8,64,20,"{""channel_residualization"": {}, ""fields"": {""risk"": {""mean"": 5.48292944446819, ""scale"": 1.7515518447221605}}, ""scaling_source"": ""train_fold_only""}",leave_one_building_out,
exploratory_diagnostic_pre_stage3,False,False,27.019686120763616,True,41,2t7WUuJeko7,False,False,quality ~ C(worker_id) + risk_z + C(worker_id):C(task_stratum),0.053648683101467455,-0.06221888310178832,-0.018978018023148975,,worker_x_stratum_diagnostic,41,risk_bucket_diagnostic_not_independent_condition,7,218,1,0,0,ols,1.0,0,,,0.05635440251273565,-0.06402002657960496,-0.020829429551474286,True,False,0.0,estimated,1,3,4,8,64,20,"{""channel_residualization"": {}, ""fields"": {""risk"": {""mean"": 5.48292944446819, ""scale"": 1.7515518447221605}}, ""scaling_source"": ""train_fold_only""}",leave_one_building_out,
exploratory_diagnostic_pre_stage3,False,False,21.655678422907293,True,20,S9hNv5qa7GM,False,False,quality ~ C(worker_id),0.08091118754591704,0.0,0.016994049208155337,,P0,20,core,54,171,1,0,0,ols,1.0,0,,,0.09833067141660148,0.0,0.01578597943354619,True,False,0.11946868073209586,estimated,1,10,20,8,57,20,"{""channel_residualization"": {}, ""fields"": {""risk"": {""mean"": 5.620133445130038, ""scale"": 1.5020780606337063}}, ""scaling_source"": ""train_fold_only""}",leave_one_building_out,
exploratory_diagnostic_pre_stage3,False,False,21.68195691948426,True,21,S9hNv5qa7GM,False,False,quality ~ C(worker_id) + risk_z,0.0639171383377617,-0.016994049208155337,0.0,,P1,21,core,54,171,1,0,0,ols,1.0,0,,,0.0825446919830553,-0.01578597943354619,0.0,True,False,0.28584497518008617,estimated,1,10,20,8,57,20,"{""channel_residualization"": {}, ""fields"": {""risk"": {""mean"": 5.620133445130038, ""scale"": 1.5020780606337063}}, ""scaling_source"": ""train_fold_only""}",leave_one_building_out,
exploratory_diagnostic_pre_stage3,False,False,1.0000000000000007,True,2,S9hNv5qa7GM,False,False,quality ~ risk_z,0.062185887670366674,-0.01872529987555037,-0.0017312506673950318,estimated,P2,2,core,54,171,1,0,0,lbfgs,0.9814814814814815,0,"[2.238305421993313e-05, 0.00022058906254490625]",,0.07979971132503058,-0.018530960091570903,-0.002744980658024712,True,False,0.3449274810514202,estimated,1,10,20,8,57,20,"{""channel_residualization"": {}, ""fields"": {""risk"": {""mean"": 5.620133445130038, ""scale"": 1.5020780606337063}}, ""scaling_source"": ""train_fold_only""}",leave_one_building_out,The MLE may be on the boundary of the parameter space.
exploratory_diagnostic_pre_stage3,False,False,36.504396212933614,True,41,S9hNv5qa7GM,False,False,quality ~ C(worker_id) + risk_z + d_model_feat_z + C(worker_id):d_model_feat_z,0.08550745102318208,0.004596263477265036,0.021590312685420374,,P3_d_model_feat,41,raw_channel_exploratory,54,171,1,0,0,ols,1.0,0,,0.9220108826811211,0.14051059051372441,0.04217991909712293,0.05796589853066912,True,False,0.13661400067281354,estimated,1,10,20,8,57,20,"{""channel_residualization"": {""channel"": ""d_model_feat"", ""fit_source"": ""train_fold_only"", ""intercept"": -0.28149877435203424, ""residual_mean"": 1.1271036086253052e-15, ""residual_scale"": 0.30117794013366095, ""risk_slope"": 0.4774982445047143}, ""fields"": {""d_model_feat"": {""mean"": 2.402105079579792, ""scale"": 0.7779079949425057}, ""risk"": {""mean"": 5.620133445130038, ""scale"": 1.5020780606337063}}, ""scaling_source"": ""train_fold_only""}",leave_one_building_out,
exploratory_diagnostic_pre_stage3,False,False,22.24031395182721,True,41,S9hNv5qa7GM,False,False,quality ~ C(worker_id) + risk_z + d_model_feat_resid_z + C(worker_id):d_model_feat_resid_z,0.07549124606716369,-0.005419941478753354,0.011574107729401983,,P3_d_model_feat_residualized_sensitivity,41,train_only_residualized_channel_sensitivity,54,171,1,0,0,ols,0.9814814814814815,0,,0.9220108826811211,0.09916772290129555,0.000837051484694068,0.01662303091824026,True,False,0.1278850369021455,estimated,1,10,20,8,57,20,"{""channel_residualization"": {""channel"": ""d_model_feat"", ""fit_source"": ""train_fold_only"", ""intercept"": -0.28149877435203424, ""residual_mean"": 1.1271036086253052e-15, ""residual_scale"": 0.30117794013366095, ""risk_slope"": 0.4774982445047143}, ""fields"": {""d_model_feat"": {""mean"": 2.402105079579792, ""scale"": 0.7779079949425057}, ""risk"": {""mean"": 5.620133445130038, ""scale"": 1.5020780606337063}}, ""scaling_source"": ""train_fold_only""}",leave_one_building_out,
exploratory_diagnostic_pre_stage3,False,False,39.37697226091986,True,41,S9hNv5qa7GM,False,False,quality ~ C(worker_id) + risk_z + d_model_feat_local_max_z + C(worker_id):d_model_feat_local_max_z,0.07065528370408493,-0.010255903841832115,0.006738145366323223,,P3_d_model_feat_local_max,41,raw_channel_exploratory,54,171,1,0,0,ols,1.0,0,,0.9544749015382713,0.08925983808472346,-0.009070833331878025,0.006715146101668165,True,False,0.14671520328952548,estimated,1,10,20,8,57,20,"{""channel_residualization"": {""channel"": ""d_model_feat_local_max"", ""fit_source"": ""train_fold_only"", ""intercept"": 0.6232585932318832, ""residual_mean"": 2.1451326744804193e-15, ""residual_scale"": 0.315227452698755, ""risk_slope"": 0.6715147349383894}, ""fields"": {""d_model_feat_local_max"": {""mean"": 4.39726101395676, ""scale"": 1.0567774481210601}, ""risk"": {""mean"": 5.620133445130038, ""scale"": 1.5020780606337063}}, ""scaling_source"": ""train_fold_only""}",leave_one_building_out,
exploratory_diagnostic_pre_stage3,False,False,22.720738140324396,True,41,S9hNv5qa7GM,False,False,quality ~ C(worker_id) + risk_z + d_model_feat_local_max_resid_z + C(worker_id):d_model_feat_local_max_resid_z,0.07342322548761045,-0.0074879620583065964,0.009506087149848741,,P3_d_model_feat_local_max_residualized_sensitivity,41,train_only_residualized_channel_sensitivity,54,171,1,0,0,ols,1.0,0,,0.9544749015382713,0.1024030265504264,0.004072355133824909,0.0198583345673711,True,False,-0.017114867829825135,estimated,1,10,20,8,57,20,"{""channel_residualization"": {""channel"": ""d_model_feat_local_max"", ""fit_source"": ""train_fold_only"", ""intercept"": 0.6232585932318832, ""residual_mean"": 2.1451326744804193e-15, ""residual_scale"": 0.315227452698755, ""risk_slope"": 0.6715147349383894}, ""fields"": {""d_model_feat_local_max"": {""mean"": 4.39726101395676, ""scale"": 1.0567774481210601}, ""risk"": {""mean"": 5.620133445130038, ""scale"": 1.5020780606337063}}, ""scaling_source"": ""train_fold_only""}",leave_one_building_out,
exploratory_diagnostic_pre_stage3,False,False,32.1417511582624,True,41,S9hNv5qa7GM,False,False,quality ~ C(worker_id) + risk_z + g_model_struct_z + C(worker_id):g_model_struct_z,0.06793988848613626,-0.012971299059780783,0.004022750148374554,,P3_g_model_struct,41,raw_channel_exploratory,54,171,1,0,0,ols,1.0,0,,0.3462760219184732,0.08933192472213529,-0.008998746694466195,0.006787232739079996,True,False,0.27810707279822755,estimated,1,10,20,8,57,20,"{""channel_residualization"": {""channel"": ""g_model_struct"", ""fit_source"": ""train_fold_only"", ""intercept"": 0.5935897805172725, ""residual_mean"": 2.077610338479825e-16, ""residual_scale"": 0.9137819633090014, ""risk_slope"": 0.22454750580441124}, ""fields"": {""g_model_struct"": {""mean"": 1.8555767279091755, ""scale"": 0.9740434240007418}, ""risk"": {""mean"": 5.620133445130038, ""scale"": 1.5020780606337063}}, ""scaling_source"": ""train_fold_only""}",leave_one_building_out,
exploratory_diagnostic_pre_stage3,False,False,28.013413453217595,True,41,S9hNv5qa7GM,False,False,quality ~ C(worker_id) + risk_z + g_model_struct_resid_z + C(worker_id):g_model_struct_resid_z,0.0776098027713813,-0.0033013847745357455,0.013692664433619592,,P3_g_model_struct_residualized_sensitivity,41,train_only_residualized_channel_sensitivity,54,171,1,0,0,ols,1.0,0,,0.3462760219184732,0.10478993459017798,0.006459263173576493,0.022245242607122684,True,False,0.2769254226808009,estimated,1,10,20,8,57,20,"{""channel_residualization"": {""channel"": ""g_model_struct"", ""fit_source"": ""train_fold_only"", ""intercept"": 0.5935897805172725, ""residual_mean"": 2.077610338479825e-16, ""residual_scale"": 0.9137819633090014, ""risk_slope"": 0.22454750580441124}, ""fields"": {""g_model_struct"": {""mean"": 1.8555767279091755, ""scale"": 0.9740434240007418}, ""risk"": {""mean"": 5.620133445130038, ""scale"": 1.5020780606337063}}, ""scaling_source"": ""train_fold_only""}",leave_one_building_out,
exploratory_diagnostic_pre_stage3,False,False,60.496444803415415,True,41,S9hNv5qa7GM,False,False,quality ~ C(worker_id) + risk_z + d_cal_A_z + C(worker_id):d_cal_A_z,0.0742081465765906,-0.006703040969326446,0.010291008238828891,,P3_d_cal_A,41,raw_channel_exploratory,54,171,1,0,0,ols,0.9814814814814815,0,,0.8748307363774448,0.10767231170371089,0.009341640287109404,0.025127619720655595,True,False,0.054012845690116294,estimated,1,10,20,8,57,20,"{""channel_residualization"": {""channel"": ""d_cal_A"", ""fit_source"": ""train_fold_only"", ""intercept"": -1.8942806130453411, ""residual_mean"": 1.4789988597053255e-15, ""residual_scale"": 0.47181205067844934, ""risk_slope"": 0.5672450025175367}, ""fields"": {""d_cal_A"": {""mean"": 1.293711997186341, ""scale"": 0.9739555754681314}, ""risk"": {""mean"": 5.620133445130038, ""scale"": 1.5020780606337063}}, ""scaling_source"": ""train_fold_only""}",leave_one_building_out,
exploratory_diagnostic_pre_stage3,False,False,28.534654236494887,True,41,S9hNv5qa7GM,False,False,quality ~ C(worker_id) + risk_z + d_cal_A_resid_z + C(worker_id):d_cal_A_resid_z,0.07839085136877291,-0.0025203361771441307,0.014473713031011207,,P3_d_cal_A_residualized_sensitivity,41,train_only_residualized_channel_sensitivity,54,171,1,0,0,ols,0.9814814814814815,0,,0.8748307363774448,0.11239607233575237,0.014065400919150886,0.029851380352697077,True,False,0.08382092284584738,estimated,1,10,20,8,57,20,"{""channel_residualization"": {""channel"": ""d_cal_A"", ""fit_source"": ""train_fold_only"", ""intercept"": -1.8942806130453411, ""residual_mean"": 1.4789988597053255e-15, ""residual_scale"": 0.47181205067844934, ""risk_slope"": 0.5672450025175367}, ""fields"": {""d_cal_A"": {""mean"": 1.293711997186341, ""scale"": 0.9739555754681314}, ""risk"": {""mean"": 5.620133445130038, ""scale"": 1.5020780606337063}}, ""scaling_source"": ""train_fold_only""}",leave_one_building_out,
exploratory_diagnostic_pre_stage3,False,False,31.43442442222067,True,40,S9hNv5qa7GM,False,False,quality ~ C(worker_id) + risk_z + C(worker_id):risk_z,0.0781778941969648,-0.00273329334895224,0.014260755859203098,,worker_x_risk_diagnostic,40,diagnostic,54,171,1,0,0,ols,1.0,0,,,0.11720733889759936,0.01887666748099788,0.03466264691454407,True,False,0.30669538209080854,estimated,1,10,20,8,57,20,"{""channel_residualization"": {}, ""fields"": {""risk"": {""mean"": 5.620133445130038, ""scale"": 1.5020780606337063}}, ""scaling_source"": ""train_fold_only""}",leave_one_building_out,
exploratory_diagnostic_pre_stage3,False,False,31.651329275910392,True,41,S9hNv5qa7GM,False,False,quality ~ C(worker_id) + risk_z + C(worker_id):C(task_stratum),0.06005902617053223,-0.020852161375384815,-0.003858112167229477,,worker_x_stratum_diagnostic,41,risk_bucket_diagnostic_not_independent_condition,54,171,1,0,0,ols,1.0,0,,,0.07586212810264346,-0.02246854331395802,-0.006682563880411829,True,False,0.28268120228504057,estimated,1,10,20,8,57,20,"{""channel_residualization"": {}, ""fields"": {""risk"": {""mean"": 5.620133445130038, ""scale"": 1.5020780606337063}}, ""scaling_source"": ""train_fold_only""}",leave_one_building_out,
exploratory_diagnostic_pre_stage3,False,False,20.508031202080623,True,20,VFuaQ6m2Qom,False,False,quality ~ C(worker_id),0.06974437852212045,0.0,-0.0191208484232233,,P0,20,core,34,191,1,0,0,ols,1.0,0,,,0.08305854206584865,0.0,-0.015143484587404374,True,False,0.26548314713574034,estimated,1,5,19,8,62,20,"{""channel_residualization"": {}, ""fields"": {""risk"": {""mean"": 5.321806778036385, ""scale"": 1.8525408187292352}}, ""scaling_source"": ""train_fold_only""}",leave_one_building_out,
exploratory_diagnostic_pre_stage3,False,False,20.536291113010996,True,21,VFuaQ6m2Qom,False,False,quality ~ C(worker_id) + risk_z,0.08886522694534375,0.0191208484232233,0.0,,P1,21,core,34,191,1,0,0,ols,1.0,0,,,0.09820202665325302,0.015143484587404374,0.0,True,False,0.33340973433694376,estimated,1,5,19,8,62,20,"{""channel_residualization"": {}, ""fields"": {""risk"": {""mean"": 5.321806778036385, ""scale"": 1.8525408187292352}}, ""scaling_source"": ""train_fold_only""}",leave_one_building_out,
exploratory_diagnostic_pre_stage3,False,False,1.0000000000000004,False,2,VFuaQ6m2Qom,False,False,quality ~ risk_z,0.09144467967679724,0.02170030115467679,0.002579452731453491,estimated,P2,2,core,34,191,1,0,0,lbfgs,1.0,0,"[1.359880399863381e-05, 0.0012388529105909181]",,0.0999161651430856,0.016857623077236955,0.0017141384898325812,True,False,0.1920696773884227,estimated,1,5,19,8,62,20,"{""channel_residualization"": {}, ""fields"": {""risk"": {""mean"": 5.321806778036385, ""scale"": 1.8525408187292352}}, ""scaling_source"": ""train_fold_only""}",leave_one_building_out,"Maximum Likelihood optimization failed to converge. Check mle_retvals;MixedLM optimization failed, trying a different optimizer may help.;Gradient optimization failed, |grad| = 2.880182;The MLE may be on the boundary of the parameter space.;The Hessian matrix at the estimated parameter values is not positive definite."
exploratory_diagnostic_pre_stage3,False,False,49.14928584332475,True,41,VFuaQ6m2Qom,False,False,quality ~ C(worker_id) + risk_z + d_model_feat_z + C(worker_id):d_model_feat_z,0.1862103423968102,0.11646596387468974,0.09734511545146644,,P3_d_model_feat,41,raw_channel_exploratory,34,191,1,0,0,ols,0.7058823529411765,0,,0.9613967811502653,0.20243639324344145,0.11937785117759281,0.10423436659018843,True,False,0.3584689444337626,estimated,1,5,19,8,62,20,"{""channel_residualization"": {""channel"": ""d_model_feat"", ""fit_source"": ""train_fold_only"", ""intercept"": -0.45495969096049743, ""residual_mean"": 1.174162570545977e-15, ""residual_scale"": 0.28234978229381086, ""risk_slope"": 0.5325100963672315}, ""fields"": {""d_model_feat"": {""mean"": 2.3789561492594453, ""scale"": 1.026107752020389}, ""risk"": {""mean"": 5.321806778036385, ""scale"": 1.8525408187292352}}, ""scaling_source"": ""train_fold_only""}",leave_one_building_out,
exploratory_diagnostic_pre_stage3,False,False,20.683401631085996,True,41,VFuaQ6m2Qom,False,False,quality ~ C(worker_id) + risk_z + d_model_feat_resid_z + C(worker_id):d_model_feat_resid_z,0.175886205006204,0.10614182648408355,0.08702097806086025,,P3_d_model_feat_residualized_sensitivity,41,train_only_residualized_channel_sensitivity,34,191,1,0,0,ols,0.8235294117647058,0,,0.9613967811502653,0.21132829791788887,0.12826975585204023,0.11312627126463586,True,False,0.10909924395810167,estimated,1,5,19,8,62,20,"{""channel_residualization"": {""channel"": ""d_model_feat"", ""fit_source"": ""train_fold_only"", ""intercept"": -0.45495969096049743, ""residual_mean"": 1.174162570545977e-15, ""residual_scale"": 0.28234978229381086, ""risk_slope"": 0.5325100963672315}, ""fields"": {""d_model_feat"": {""mean"": 2.3789561492594453, ""scale"": 1.026107752020389}, ""risk"": {""mean"": 5.321806778036385, ""scale"": 1.8525408187292352}}, ""scaling_source"": ""train_fold_only""}",leave_one_building_out,
exploratory_diagnostic_pre_stage3,False,False,42.763069684383474,True,41,VFuaQ6m2Qom,False,False,quality ~ C(worker_id) + risk_z + d_model_feat_local_max_z + C(worker_id):d_model_feat_local_max_z,0.05053444087134382,-0.01920993765077663,-0.03833078607399993,,P3_d_model_feat_local_max,41,raw_channel_exploratory,34,191,1,0,0,ols,1.0,0,,0.9715726575120449,0.07159954207419082,-0.011458999991657823,-0.026602484579062197,True,False,0.4764305919626905,estimated,1,5,19,8,62,20,"{""channel_residualization"": {""channel"": ""d_model_feat_local_max"", ""fit_source"": ""train_fold_only"", ""intercept"": 0.9435638200419584, ""residual_mean"": 9.602557260108684e-16, ""residual_scale"": 0.28124978363209807, ""risk_slope"": 0.6230532575495787}, ""fields"": {""d_model_feat_local_max"": {""mean"": 4.259332869146958, ""scale"": 1.1880033705441182}, ""risk"": {""mean"": 5.321806778036385, ""scale"": 1.8525408187292352}}, ""scaling_source"": ""train_fold_only""}",leave_one_building_out,
