analysis_role,analysis_subrole,block3_generated,formal_policy_frozen,formal_profile_frozen,prevalence,routing_role,rows,scientific_conclusion_prohibited,selected_n,stage,tag_family,tag_value
diagnostic_pre_stage3,descriptive_measurement_audit,False,False,False,1.0,not_eligible_for_first_route,114,True,114,P1,model_issue,corner_duplicate
diagnostic_pre_stage3,descriptive_measurement_audit,False,False,False,1.0,not_eligible_for_first_route,3,True,3,P1,model_issue,fail
diagnostic_pre_stage3,descriptive_measurement_audit,False,False,False,1.0,not_eligible_for_first_route,64,True,64,P1,model_issue,over_parsing
diagnostic_pre_stage3,descriptive_measurement_audit,False,False,False,1.0,not_eligible_for_first_route,59,True,59,P1,model_issue,overextend_adjacent
diagnostic_pre_stage3,descriptive_measurement_audit,False,False,False,1.0,not_eligible_for_first_route,4,True,4,P1,model_issue,topology_failure
diagnostic_pre_stage3,descriptive_measurement_audit,False,False,False,1.0,not_eligible_for_first_route,10,True,10,P1,model_issue,underextend
diagnostic_pre_stage3,descriptive_measurement_audit,False,False,False,1.0,not_eligible_for_first_route,1146,True,1146,P1,scope,normal
diagnostic_pre_stage3,descriptive_measurement_audit,False,False,False,1.0,not_eligible_for_first_route,65,True,65,P1,scope,oos_geometry
diagnostic_pre_stage3,descriptive_measurement_audit,False,False,False,1.0,not_eligible_for_first_route,18,True,18,P1,scope,oos_insufficient
diagnostic_pre_stage3,descriptive_measurement_audit,False,False,False,1.0,not_eligible_for_first_route,180,True,180,P1,scope,oos_open_boundary
diagnostic_pre_stage3,descriptive_measurement_audit,False,False,False,1.0,not_eligible_for_first_route,72,True,72,P1,scope,oos_split_level
