analysis_role,block3_generated,evidence_rows,formal_policy_frozen,formal_profile_frozen,risk_eligible_rows,scientific_conclusion_prohibited,stage,substage_block,worker_id,workers
diagnostic_pre_stage3,False,57,False,False,0,True,P1,PreScreen,15,1
diagnostic_pre_stage3,False,57,False,False,0,True,P1,PreScreen,17,1
diagnostic_pre_stage3,False,57,False,False,0,True,P1,PreScreen,18,1
diagnostic_pre_stage3,False,57,False,False,0,True,P1,PreScreen,19,1
diagnostic_pre_stage3,False,57,False,False,0,True,P1,PreScreen,2,1
diagnostic_pre_stage3,False,57,False,False,0,True,P1,PreScreen,21,1
diagnostic_pre_stage3,False,56,False,False,0,True,P1,PreScreen,26,1
diagnostic_pre_stage3,False,57,False,False,0,True,P1,PreScreen,27,1
diagnostic_pre_stage3,False,57,False,False,0,True,P1,PreScreen,28,1
diagnostic_pre_stage3,False,57,False,False,0,True,P1,PreScreen,29,1
diagnostic_pre_stage3,False,57,False,False,0,True,P1,PreScreen,30,1
diagnostic_pre_stage3,False,57,False,False,0,True,P1,PreScreen,31,1
diagnostic_pre_stage3,False,57,False,False,0,True,P1,PreScreen,32,1
diagnostic_pre_stage3,False,57,False,False,0,True,P1,PreScreen,33,1
diagnostic_pre_stage3,False,57,False,False,0,True,P1,PreScreen,34,1
diagnostic_pre_stage3,False,57,False,False,0,True,P1,PreScreen,35,1
diagnostic_pre_stage3,False,57,False,False,0,True,P1,PreScreen,36,1
diagnostic_pre_stage3,False,57,False,False,0,True,P1,PreScreen,37,1
diagnostic_pre_stage3,False,57,False,False,0,True,P1,PreScreen,6,1
diagnostic_pre_stage3,False,57,False,False,0,True,P1,PreScreen,8,1
