condition,k,method,stratum,images,buildings,kernel,count_brier,uncovered_count,field
semi,8,selected_person,circulation,2,2,0.6077116464256247,1.444447458290427e-32,0.0,main_function_primary
semi,8,selected_person,dining,1,1,0.8475550599633861,0.6699604616644792,0.1555555555555555,main_function_primary
semi,8,selected_person,empty,1,1,0.2949388717108612,1.2711137632955757e-32,0.0,main_function_primary
semi,8,selected_person,living,1,1,0.4868622583858515,1.1041998347820151e-32,0.0,main_function_primary
semi,8,selected_person,sleep,8,5,0.5719521380582571,0.19876269419504913,0.06467013888888888,main_function_primary
semi,8,selected_person,special,1,1,0.7969459578745132,0.3498912131516847,0.0833333333333333,main_function_primary
semi,8,selected_person,storage,2,2,0.6207803836950834,0.23437296407108374,0.1041666666666666,main_function_primary
semi,8,selected_person,unknown,1,1,1.0186262064430396,0.8488580529891712,0.2023809523809523,main_function_primary
semi,8,selected_person,work,1,1,0.8483569542717375,0.4532908208842963,0.09375,main_function_primary
semi,8,selected_type,circulation,2,2,0.6172845031566092,1.0271626370065257e-33,0.0,main_function_primary
semi,8,selected_type,dining,1,1,0.8752843264491652,0.7124011677528109,0.1555555555555555,main_function_primary
semi,8,selected_type,empty,1,1,0.2978132850097961,1.0271626370065257e-33,0.0,main_function_primary
semi,8,selected_type,living,1,1,0.5013191218501584,2.465190328815662e-32,0.0,main_function_primary
semi,8,selected_type,sleep,8,5,0.5703720340577363,0.19329633545527955,0.06467013888888888,main_function_primary
semi,8,selected_type,special,1,1,0.799438504759531,0.3539048001856773,0.0833333333333333,main_function_primary
semi,8,selected_type,storage,2,2,0.6311217555412993,0.23407754358599953,0.1041666666666666,main_function_primary
semi,8,selected_type,unknown,1,1,1.0248287399802447,0.859068920729147,0.2023809523809523,main_function_primary
semi,8,selected_type,work,1,1,0.8390491382721151,0.4180681311479839,0.09375,main_function_primary
manual,0,cold_context_personal,partial,130,22,1.300401376347832,0.828172151242181,0.44480460233892727,floor_boundary
manual,0,cold_context_personal,present,36,14,1.2209037337373227,0.7269122002438997,0.3259618702553485,floor_boundary
manual,0,cold_context_population,partial,130,22,1.300700046127434,0.8286129867626688,0.44480460233892727,floor_boundary
manual,0,cold_context_population,present,36,14,1.2204986144653915,0.7261010768024738,0.3259618702553485,floor_boundary
manual,0,cold_personal,partial,130,22,1.3011191589842854,0.8276787405546221,0.44480460233892727,floor_boundary
manual,0,cold_personal,present,36,14,1.2214555703713479,0.727235967188652,0.3259618702553485,floor_boundary
manual,0,cold_population,partial,130,22,1.3016212763165202,0.828441799636073,0.44480460233892727,floor_boundary
manual,0,cold_population,present,36,14,1.2211115508751016,0.7264910844298919,0.3259618702553485,floor_boundary
manual,0,cold_type2,partial,130,22,1.3016104903241033,0.8284515687673966,0.44480460233892727,floor_boundary
manual,0,cold_type2,present,36,14,1.2210791522120763,0.7264633924424726,0.3259618702553485,floor_boundary
manual,0,cold_type3,partial,130,22,1.3015406175515851,0.8283986366705406,0.44480460233892727,floor_boundary
manual,0,cold_type3,present,36,14,1.2211554295964797,0.7263183143167407,0.3259618702553485,floor_boundary
manual,0,cold_type4,partial,130,22,1.301544450592992,0.8283890497421424,0.44480460233892727,floor_boundary
manual,0,cold_type4,present,36,14,1.221199001389131,0.7260885401034307,0.3259618702553485,floor_boundary
manual,0,cold_uniform,partial,130,22,1.308266471523516,0.8328852103909312,0.44480460233892727,floor_boundary
manual,0,cold_uniform,present,36,14,1.230268745019038,0.7346254121616441,0.3259618702553485,floor_boundary
manual,2,joint_model10,partial,99,20,1.0753860581306984,0.6011134797516324,0.22673102298770748,floor_boundary
manual,2,joint_model10,present,34,12,0.9560542819306029,0.3972112510165362,0.12746795687972157,floor_boundary
manual,2,joint_model25,partial,99,20,1.007884799090599,0.569947701013641,0.22673102298770748,floor_boundary
manual,2,joint_model25,present,34,12,0.9037756088892186,0.39135636556103526,0.12746795687972157,floor_boundary
manual,2,seed_context_t01,partial,99,20,1.153494283419686,0.640839138080114,0.30812886525899,floor_boundary
manual,2,seed_context_t01,present,34,12,1.018308819393287,0.405638477511241,0.17432306255835667,floor_boundary
manual,2,seed_context_t025,partial,99,20,1.1442413370845288,0.6391328366294231,0.30812886525899,floor_boundary
manual,2,seed_context_t025,present,34,12,1.0119692756554926,0.41455836989498174,0.17432306255835667,floor_boundary
manual,2,seed_context_t05,partial,99,20,1.145527953915236,0.6413878102536296,0.30812886525899,floor_boundary
manual,2,seed_context_t05,present,34,12,1.0147157311990047,0.4206306847730816,0.17432306255835667,floor_boundary
manual,2,seed_equal,partial,99,20,1.1496888611542222,0.6454994516937477,0.30812886525899,floor_boundary
manual,2,seed_equal,present,34,12,1.0205674382093601,0.42848866819455056,0.17432306255835667,floor_boundary
manual,2,seed_model_uniform10,partial,99,20,1.0807325179288885,0.6070377865461051,0.22673102298770748,floor_boundary
manual,2,seed_model_uniform10,present,34,12,0.9640609979930843,0.4096620617944147,0.12746795687972157,floor_boundary
manual,2,seed_model_uniform25,partial,99,20,1.0132199531001713,0.5753448679492202,0.22673102298770748,floor_boundary
manual,2,seed_model_uniform25,present,34,12,0.9111855578539513,0.4019797502334267,0.12746795687972157,floor_boundary
manual,2,seed_person_t01,partial,99,20,1.1644945464548266,0.6442257244839256,0.30812886525899,floor_boundary
manual,2,seed_person_t01,present,34,12,1.0216679751456856,0.39797872834649134,0.17432306255835667,floor_boundary
manual,2,seed_person_t025,partial,99,20,1.1438939341128695,0.6374526371298974,0.30812886525899,floor_boundary
manual,2,seed_person_t025,present,34,12,1.007478103749107,0.40788479578001946,0.17432306255835667,floor_boundary
manual,2,seed_person_t05,partial,99,20,1.1439448399305223,0.6397049427243392,0.30812886525899,floor_boundary
manual,2,seed_person_t05,present,34,12,1.0108472626292204,0.4164863489195386,0.17432306255835667,floor_boundary
manual,2,seed_type2,partial,99,20,1.1554569888426893,0.6487424755148462,0.30812886525899,floor_boundary
manual,2,seed_type2,present,34,12,1.0190956425430797,0.4242670104405399,0.17432306255835667,floor_boundary
manual,2,seed_type3,partial,99,20,1.1582065352616864,0.6457163014749824,0.30812886525899,floor_boundary
manual,2,seed_type3,present,34,12,1.0108285076738224,0.4041056468041762,0.17432306255835667,floor_boundary
manual,2,seed_type4,partial,99,20,1.1635281089930278,0.6432142776075842,0.30812886525899,floor_boundary
manual,2,seed_type4,present,34,12,1.0138254120304107,0.40024053985230457,0.17432306255835667,floor_boundary
manual,2,selected_context,partial,99,20,1.144942345536065,0.6393172212163484,0.30812886525899,floor_boundary
manual,2,selected_context,present,34,12,1.0121971082388626,0.4143866546852837,0.17432306255835667,floor_boundary
manual,2,selected_mixture,partial,99,20,1.007884799090599,0.569947701013641,0.22673102298770748,floor_boundary
manual,2,selected_mixture,present,34,12,0.9037756088892186,0.39135636556103526,0.12746795687972157,floor_boundary
manual,2,selected_person,partial,99,20,1.1439448399305223,0.6397049427243392,0.30812886525899,floor_boundary
manual,2,selected_person,present,34,12,1.0108472626292204,0.4164863489195386,0.17432306255835667,floor_boundary
manual,2,selected_type,partial,99,20,1.1496888611542222,0.6454994516937477,0.30812886525899,floor_boundary
manual,2,selected_type,present,34,12,1.0205674382093601,0.42848866819455056,0.17432306255835667,floor_boundary
manual,4,joint_model10,partial,51,15,0.9313556119350505,0.5110367298302388,0.15358999350227417,floor_boundary
manual,4,joint_model10,present,20,11,0.7203048947108803,0.19625096593991773,0.06094298245614033,floor_boundary
manual,4,joint_model25,partial,51,15,0.9091437640742959,0.5023796127554838,0.15358999350227417,floor_boundary
manual,4,joint_model25,present,20,11,0.7135959634834934,0.2087845830188612,0.06094298245614033,floor_boundary
manual,4,seed_context_t01,partial,51,15,0.9635236831015511,0.5277883803475033,0.21518556740434963,floor_boundary
manual,4,seed_context_t01,present,20,11,0.741658149138372,0.19426119251470245,0.06565789473684208,floor_boundary
manual,4,seed_context_t025,partial,51,15,0.9645507784763745,0.5319768148061104,0.21518556740434963,floor_boundary
manual,4,seed_context_t025,present,20,11,0.7421144841965778,0.19952321365399533,0.06565789473684208,floor_boundary
manual,4,seed_context_t05,partial,51,15,0.9688362263025875,0.5357314770123102,0.21518556740434963,floor_boundary
manual,4,seed_context_t05,present,20,11,0.7451400347670669,0.20261459588162634,0.06565789473684208,floor_boundary
manual,4,seed_equal,partial,51,15,0.9750885840194723,0.5407321408095402,0.21518556740434963,floor_boundary
manual,4,seed_equal,present,20,11,0.749941493223225,0.20652412280701754,0.06565789473684208,floor_boundary
manual,4,seed_model_uniform10,partial,51,15,0.9416998149685495,0.5197188061384398,0.15358999350227417,floor_boundary
manual,4,seed_model_uniform10,present,20,11,0.7280056769185255,0.20273501461988302,0.06094298245614033,floor_boundary
manual,4,seed_model_uniform25,partial,51,15,0.9191026226948095,0.5108244168768872,0.15358999350227417,floor_boundary
manual,4,seed_model_uniform25,present,20,11,0.7210904055375184,0.2146034356725146,0.06094298245614033,floor_boundary
manual,4,seed_person_t01,partial,51,15,0.9663361048861235,0.5235692610858296,0.21518556740434963,floor_boundary
manual,4,seed_person_t01,present,20,11,0.7472226869894408,0.1920438169630642,0.06565789473684208,floor_boundary
manual,4,seed_person_t025,partial,51,15,0.9611695011331157,0.5274222058393588,0.21518556740434963,floor_boundary
manual,4,seed_person_t025,present,20,11,0.7374574363254405,0.1961467765693073,0.06565789473684208,floor_boundary
manual,4,seed_person_t05,partial,51,15,0.9661849800308079,0.5328464535541295,0.21518556740434963,floor_boundary
manual,4,seed_person_t05,present,20,11,0.7413825814056946,0.20026449263479,0.06565789473684208,floor_boundary
manual,4,seed_type2,partial,51,15,0.9760504229173241,0.5407675544611422,0.21518556740434963,floor_boundary
manual,4,seed_type2,present,20,11,0.7526142046963744,0.20449046896086367,0.06565789473684208,floor_boundary
manual,4,seed_type3,partial,51,15,0.9781809473104986,0.5378859941766423,0.21518556740434963,floor_boundary
manual,4,seed_type3,present,20,11,0.7522068959374497,0.19708543937506487,0.06565789473684208,floor_boundary
manual,4,seed_type4,partial,51,15,0.9789955065575598,0.5365500730922321,0.21518556740434963,floor_boundary
manual,4,seed_type4,present,20,11,0.7500650318094039,0.1963005089016921,0.06565789473684208,floor_boundary
manual,4,selected_context,partial,51,15,0.9611695011331157,0.5274222058393588,0.21518556740434963,floor_boundary
manual,4,selected_context,present,20,11,0.7374574363254405,0.1961467765693073,0.06565789473684208,floor_boundary
manual,4,selected_mixture,partial,51,15,0.9091437640742959,0.5023796127554838,0.15358999350227417,floor_boundary
manual,4,selected_mixture,present,20,11,0.7135959634834934,0.2087845830188612,0.06094298245614033,floor_boundary
manual,4,selected_person,partial,51,15,0.9616783101950687,0.5275582561339858,0.21518556740434963,floor_boundary
manual,4,selected_person,present,20,11,0.7374101286403084,0.1961467765693073,0.06565789473684208,floor_boundary
manual,4,selected_type,partial,51,15,0.9750885840194723,0.5407321408095402,0.21518556740434963,floor_boundary
manual,4,selected_type,present,20,11,0.749941493223225,0.20652412280701754,0.06565789473684208,floor_boundary
manual,6,joint_model10,partial,32,10,0.9023191372612844,0.48875966071640214,0.15013384159753643,floor_boundary
manual,6,joint_model10,present,14,10,0.756613755037138,0.21618702880997803,0.056372549019607816,floor_boundary
manual,6,joint_model25,partial,32,10,0.8940423298138409,0.48894538487051525,0.15013384159753643,floor_boundary
manual,6,joint_model25,present,14,10,0.7500578879771042,0.22476802616216776,0.056372549019607816,floor_boundary
manual,6,seed_context_t01,partial,32,10,0.92767388543182,0.503766741087198,0.1863060962900117,floor_boundary
manual,6,seed_context_t01,present,14,10,0.7752459724153571,0.21974332733063123,0.06318082788671021,floor_boundary
manual,6,seed_context_t025,partial,32,10,0.9236832687371732,0.5020685916407982,0.1863060962900117,floor_boundary
manual,6,seed_context_t025,present,14,10,0.7746248738169227,0.21988275202613555,0.06318082788671021,floor_boundary
manual,6,seed_context_t05,partial,32,10,0.9248863277811987,0.5032184663740953,0.1863060962900117,floor_boundary
manual,6,seed_context_t05,present,14,10,0.7757712723744488,0.2205278761828334,0.06318082788671021,floor_boundary
manual,6,seed_equal,partial,32,10,0.927487135590208,0.5053187496508574,0.1863060962900117,floor_boundary
manual,6,seed_equal,present,14,10,0.777812909062597,0.22154787841062348,0.06318082788671021,floor_boundary
manual,6,seed_model_uniform10,partial,32,10,0.9061282761532633,0.49196201940534046,0.15013384159753643,floor_boundary
manual,6,seed_model_uniform10,present,14,10,0.7598054745144093,0.21776377217553683,0.056372549019607816,floor_boundary
manual,6,seed_model_uniform25,partial,32,10,0.8979639900680325,0.4921634691759539,0.15013384159753643,floor_boundary
manual,6,seed_model_uniform25,present,14,10,0.7531292291180705,0.2259765017117958,0.056372549019607816,floor_boundary
manual,6,seed_person_t01,partial,32,10,0.9308827182744746,0.5042584355453836,0.1863060962900117,floor_boundary
manual,6,seed_person_t01,present,14,10,0.7771861210346398,0.21857565583894045,0.06318082788671021,floor_boundary
manual,6,seed_person_t025,partial,32,10,0.9223690154625748,0.5009444082655747,0.1863060962900117,floor_boundary
manual,6,seed_person_t025,present,14,10,0.771755961956554,0.21844090026973623,0.06318082788671021,floor_boundary
manual,6,seed_person_t05,partial,32,10,0.923687142475175,0.5023167555276309,0.1863060962900117,floor_boundary
manual,6,seed_person_t05,present,14,10,0.773692694726382,0.21954775655885264,0.06318082788671021,floor_boundary
manual,6,seed_type2,partial,32,10,0.9280510016243533,0.5053744794748384,0.1863060962900117,floor_boundary
manual,6,seed_type2,present,14,10,0.7787268568768289,0.22042280933537434,0.06318082788671021,floor_boundary
manual,6,seed_type3,partial,32,10,0.930456171445752,0.5055737758400191,0.1863060962900117,floor_boundary
manual,6,seed_type3,present,14,10,0.7795261113730106,0.218906131235563,0.06318082788671021,floor_boundary
manual,6,seed_type4,partial,32,10,0.9304331388907879,0.5053935352310439,0.1863060962900117,floor_boundary
manual,6,seed_type4,present,14,10,0.7795405471681842,0.21800485273474465,0.06318082788671021,floor_boundary
manual,6,selected_context,partial,32,10,0.9223690154625748,0.5009444082655747,0.1863060962900117,floor_boundary
manual,6,selected_context,present,14,10,0.7735143944948579,0.21884259203351344,0.06318082788671021,floor_boundary
manual,6,selected_mixture,partial,32,10,0.8940423298138409,0.48894538487051525,0.15013384159753643,floor_boundary
manual,6,selected_mixture,present,14,10,0.7500578879771042,0.22476802616216776,0.056372549019607816,floor_boundary
manual,6,selected_person,partial,32,10,0.9223690154625748,0.5009444082655747,0.1863060962900117,floor_boundary
manual,6,selected_person,present,14,10,0.771755961956554,0.21844090026973623,0.06318082788671021,floor_boundary
manual,6,selected_type,partial,32,10,0.927487135590208,0.5053187496508574,0.1863060962900117,floor_boundary
manual,6,selected_type,present,14,10,0.777812909062597,0.22154787841062348,0.06318082788671021,floor_boundary
manual,8,joint_model10,partial,32,10,0.8743929940370659,0.4717892950478354,0.11946586399711395,floor_boundary
manual,8,joint_model10,present,14,10,0.7331273451840149,0.20401172409346893,0.04092261904761901,floor_boundary
manual,8,joint_model25,partial,32,10,0.8740509816959855,0.477438782377588,0.11946586399711395,floor_boundary
manual,8,joint_model25,present,14,10,0.7337296069574016,0.21572205550465468,0.04092261904761901,floor_boundary
manual,8,seed_context_t01,partial,32,10,0.890390879347679,0.4816225454578764,0.14948395788239535,floor_boundary
manual,8,seed_context_t01,present,14,10,0.7436844214857933,0.20594397984954585,0.048611111111111084,floor_boundary
manual,8,seed_context_t025,partial,32,10,0.8896309481810103,0.48080982756097934,0.14948395788239535,floor_boundary
manual,8,seed_context_t025,present,14,10,0.7455722120353984,0.20528258310934203,0.048611111111111084,floor_boundary
manual,8,seed_context_t05,partial,32,10,0.8915010591591355,0.48211658739472874,0.14948395788239535,floor_boundary
manual,8,seed_context_t05,present,14,10,0.7472807768241146,0.20564604019852903,0.048611111111111084,floor_boundary
manual,8,seed_equal,partial,32,10,0.8945014510387246,0.4842779778814935,0.14948395788239535,floor_boundary
manual,8,seed_equal,present,14,10,0.7496972310392438,0.20637400793650792,0.048611111111111084,floor_boundary
manual,8,seed_model_uniform10,partial,32,10,0.8791197524040525,0.4752343186327561,0.11946586399711395,floor_boundary
