condition,k,cut,method,metric,images,real_stability,predicted_stability,brier,declaration_rate,false_declaration_rate,false_fraction_among_declarations
manual,8,0.2,seed_context_t025,diagnostic_stable80,46,0.4673913043478261,0.9014945652173914,0.3972061820652174,0.7934782608695652,0.358695652173913,0.4520547945205479
manual,8,0.2,seed_context_t025,diagnostic_stable_multimode80,46,0.17391304347826086,0.5733695652173914,0.41472061820652173,0.42391304347826086,0.33695652173913043,0.7948717948717948
manual,8,0.2,seed_equal,diagnostic_stable100,46,0.21739130434782608,0.7887228260869565,0.4641007133152174,0.6086956521739131,0.391304347826087,0.6428571428571429
manual,8,0.2,seed_equal,diagnostic_stable80,46,0.4673913043478261,0.9021739130434783,0.40109120244565216,0.8152173913043478,0.3804347826086957,0.4666666666666667
manual,8,0.2,seed_equal,diagnostic_stable_multimode80,46,0.17391304347826086,0.5811820652173914,0.42672596807065216,0.4891304347826087,0.391304347826087,0.8
manual,8,0.2,seed_person_t025,diagnostic_stable100,46,0.21739130434782608,0.7625679347826086,0.4330948539402174,0.532608695652174,0.32608695652173914,0.6122448979591837
manual,8,0.2,seed_person_t025,diagnostic_stable80,46,0.4673913043478261,0.9011548913043478,0.39674974524456524,0.8043478260869565,0.3695652173913043,0.4594594594594595
manual,8,0.2,seed_person_t025,diagnostic_stable_multimode80,46,0.17391304347826086,0.5686141304347826,0.4089249320652174,0.41304347826086957,0.32608695652173914,0.7894736842105263
manual,8,0.2,seed_type4,diagnostic_stable100,46,0.21739130434782608,0.7248641304347826,0.395805027173913,0.4891304347826087,0.2826086956521739,0.5777777777777777
manual,8,0.2,seed_type4,diagnostic_stable80,46,0.4673913043478261,0.8974184782608695,0.39487092391304346,0.782608695652174,0.358695652173913,0.4583333333333333
manual,8,0.2,seed_type4,diagnostic_stable_multimode80,46,0.17391304347826086,0.5383831521739131,0.37191109035326086,0.33695652173913043,0.2608695652173913,0.7741935483870968
manual,8,0.2,selected_mixture,diagnostic_stable100,46,0.21739130434782608,0.5478940217391305,0.19593877377717392,0.2608695652173913,0.05434782608695652,0.20833333333333334
manual,8,0.2,selected_mixture,diagnostic_stable80,46,0.4673913043478261,0.774796195652174,0.25852369225543476,0.5652173913043478,0.17391304347826086,0.3076923076923077
manual,8,0.2,selected_mixture,diagnostic_stable_multimode80,46,0.17391304347826086,0.47758152173913043,0.278511379076087,0.14130434782608695,0.07608695652173914,0.5384615384615384
oos_geometry,4,0.05,seed_context_t025,diagnostic_stable100,9,0.0,0.8576388888888888,0.7495659722222222,0.6111111111111112,0.6111111111111112,1.0
oos_geometry,4,0.05,seed_context_t025,diagnostic_stable80,9,0.0,0.8680555555555556,0.7661675347222222,0.6111111111111112,0.6111111111111112,1.0
oos_geometry,4,0.05,seed_context_t025,diagnostic_stable_multimode80,9,0.0,0.8680555555555556,0.7661675347222222,0.6111111111111112,0.6111111111111112,1.0
oos_geometry,4,0.05,seed_equal,diagnostic_stable100,9,0.0,0.8472222222222222,0.7323133680555556,0.6111111111111112,0.6111111111111112,1.0
oos_geometry,4,0.05,seed_equal,diagnostic_stable80,9,0.0,0.8576388888888888,0.7488064236111112,0.6111111111111112,0.6111111111111112,1.0
oos_geometry,4,0.05,seed_equal,diagnostic_stable_multimode80,9,0.0,0.8576388888888888,0.7488064236111112,0.6111111111111112,0.6111111111111112,1.0
oos_geometry,4,0.05,seed_person_t025,diagnostic_stable100,9,0.0,0.8559027777777778,0.7472330729166666,0.7222222222222222,0.7222222222222222,1.0
oos_geometry,4,0.05,seed_person_t025,diagnostic_stable80,9,0.0,0.8663194444444444,0.7642686631944444,0.7222222222222222,0.7222222222222222,1.0
oos_geometry,4,0.05,seed_person_t025,diagnostic_stable_multimode80,9,0.0,0.8663194444444444,0.7642686631944444,0.7222222222222222,0.7222222222222222,1.0
oos_geometry,4,0.05,seed_type4,diagnostic_stable100,9,0.0,0.8489583333333334,0.7304144965277778,0.6666666666666666,0.6666666666666666,1.0
oos_geometry,4,0.05,seed_type4,diagnostic_stable80,9,0.0,0.8836805555555556,0.7893337673611112,0.7777777777777778,0.7777777777777778,1.0
oos_geometry,4,0.05,seed_type4,diagnostic_stable_multimode80,9,0.0,0.8836805555555556,0.7893337673611112,0.7777777777777778,0.7777777777777778,1.0
oos_geometry,4,0.05,selected_mixture,diagnostic_stable100,9,0.0,0.4513888888888889,0.2514105902777778,0.1111111111111111,0.1111111111111111,1.0
oos_geometry,4,0.05,selected_mixture,diagnostic_stable80,9,0.0,0.6111111111111112,0.4177517361111111,0.2777777777777778,0.2777777777777778,1.0
oos_geometry,4,0.05,selected_mixture,diagnostic_stable_multimode80,9,0.0,0.6111111111111112,0.4177517361111111,0.2777777777777778,0.2777777777777778,1.0
oos_geometry,4,0.1,seed_context_t025,diagnostic_stable100,9,0.0,0.859375,0.75244140625,0.6111111111111112,0.6111111111111112,1.0
oos_geometry,4,0.1,seed_context_t025,diagnostic_stable80,9,0.05555555555555555,0.8680555555555556,0.7106119791666666,0.6111111111111112,0.5555555555555556,0.9090909090909091
oos_geometry,4,0.1,seed_context_t025,diagnostic_stable_multimode80,9,0.05555555555555555,0.7569444444444444,0.5995008680555556,0.5,0.4444444444444444,0.8888888888888888
oos_geometry,4,0.1,seed_equal,diagnostic_stable100,9,0.0,0.8489583333333334,0.7349717881944444,0.6111111111111112,0.6111111111111112,1.0
oos_geometry,4,0.1,seed_equal,diagnostic_stable80,9,0.05555555555555555,0.8576388888888888,0.6932508680555556,0.6111111111111112,0.5555555555555556,0.9090909090909091
oos_geometry,4,0.1,seed_equal,diagnostic_stable_multimode80,9,0.05555555555555555,0.7465277777777778,0.5821397569444444,0.5,0.4444444444444444,0.8888888888888888
oos_geometry,4,0.1,seed_person_t025,diagnostic_stable100,9,0.0,0.859375,0.7539605034722222,0.7222222222222222,0.7222222222222222,1.0
oos_geometry,4,0.1,seed_person_t025,diagnostic_stable80,9,0.05555555555555555,0.8663194444444444,0.7087131076388888,0.7222222222222222,0.6666666666666666,0.9230769230769231
oos_geometry,4,0.1,seed_person_t025,diagnostic_stable_multimode80,9,0.05555555555555555,0.7552083333333334,0.5976019965277778,0.6111111111111112,0.5555555555555556,0.9090909090909091
oos_geometry,4,0.1,seed_type4,diagnostic_stable100,9,0.0,0.8541666666666666,0.7396918402777778,0.6666666666666666,0.6666666666666666,1.0
oos_geometry,4,0.1,seed_type4,diagnostic_stable80,9,0.05555555555555555,0.8836805555555556,0.7337782118055556,0.7777777777777778,0.7222222222222222,0.9285714285714286
oos_geometry,4,0.1,seed_type4,diagnostic_stable_multimode80,9,0.05555555555555555,0.7708333333333334,0.6193576388888888,0.6666666666666666,0.6111111111111112,0.9166666666666666
oos_geometry,4,0.1,selected_mixture,diagnostic_stable100,9,0.0,0.5555555555555556,0.3763020833333333,0.2222222222222222,0.2222222222222222,1.0
oos_geometry,4,0.1,selected_mixture,diagnostic_stable80,9,0.05555555555555555,0.6493055555555556,0.4139539930555556,0.3333333333333333,0.2777777777777778,0.8333333333333334
oos_geometry,4,0.1,selected_mixture,diagnostic_stable_multimode80,9,0.05555555555555555,0.640625,0.3993598090277778,0.2777777777777778,0.2222222222222222,0.8
oos_geometry,4,0.2,seed_context_t025,diagnostic_stable100,9,0.0,0.8611111111111112,0.755859375,0.6111111111111112,0.6111111111111112,1.0
oos_geometry,4,0.2,seed_context_t025,diagnostic_stable80,9,0.1111111111111111,0.8680555555555556,0.6828342013888888,0.6111111111111112,0.5555555555555556,0.9090909090909091
oos_geometry,4,0.2,seed_context_t025,diagnostic_stable_multimode80,9,0.1111111111111111,0.6458333333333334,0.4606119791666667,0.3888888888888889,0.3333333333333333,0.8571428571428571
oos_geometry,4,0.2,seed_equal,diagnostic_stable100,9,0.0,0.8506944444444444,0.7383897569444444,0.6111111111111112,0.6111111111111112,1.0
oos_geometry,4,0.2,seed_equal,diagnostic_stable80,9,0.1111111111111111,0.8576388888888888,0.6724175347222222,0.6111111111111112,0.5555555555555556,0.9090909090909091
oos_geometry,4,0.2,seed_equal,diagnostic_stable_multimode80,9,0.1111111111111111,0.6354166666666666,0.4501953125,0.3888888888888889,0.3333333333333333,0.8571428571428571
oos_geometry,4,0.2,seed_person_t025,diagnostic_stable100,9,0.0,0.8611111111111112,0.7573784722222222,0.7222222222222222,0.7222222222222222,1.0
oos_geometry,4,0.2,seed_person_t025,diagnostic_stable80,9,0.1111111111111111,0.8663194444444444,0.6809353298611112,0.7222222222222222,0.6111111111111112,0.8461538461538461
oos_geometry,4,0.2,seed_person_t025,diagnostic_stable_multimode80,9,0.1111111111111111,0.6440972222222222,0.4587131076388889,0.5,0.3888888888888889,0.7777777777777778
oos_geometry,4,0.2,seed_type4,diagnostic_stable100,9,0.0,0.8663194444444444,0.7616644965277778,0.7222222222222222,0.7222222222222222,1.0
oos_geometry,4,0.2,seed_type4,diagnostic_stable80,9,0.1111111111111111,0.8836805555555556,0.7060004340277778,0.7777777777777778,0.6666666666666666,0.8571428571428571
oos_geometry,4,0.2,seed_type4,diagnostic_stable_multimode80,9,0.1111111111111111,0.6597222222222222,0.48046875,0.5555555555555556,0.4444444444444444,0.8
oos_geometry,4,0.2,selected_mixture,diagnostic_stable100,9,0.0,0.5850694444444444,0.4110785590277778,0.2222222222222222,0.2222222222222222,1.0
oos_geometry,4,0.2,selected_mixture,diagnostic_stable80,9,0.1111111111111111,0.6614583333333334,0.46142578125,0.3888888888888889,0.3888888888888889,1.0
