condition,k,method,building,images,sum_loss_delta,mean_loss_delta,without_this_building_delta
manual,2,seed_context_t025,VFuaQ6m2Qom,3,-0.001854647575616708,-0.0006182158585389027,-0.00638298278581185
manual,2,seed_context_t025,X7HyMhZNoso,3,-0.0979847156814152,-0.032661571893805065,-0.0056435207234595535
manual,2,seed_context_t025,Z6MFQCViBuw,3,-0.013319989177358549,-0.00443999639245285,-0.006294787850413836
manual,2,seed_context_t025,b8cTxDM8gDG,3,0.00684667851898102,0.0022822261729936733,-0.006449916063462601
manual,2,seed_context_t025,e9zR4mvMWw7,4,0.017635856332586908,0.004408964083146727,-0.0065835524501065435
manual,2,seed_context_t025,jh4fc5c5qoQ,1,0.00120061729928711,0.00120061729928711,-0.006309416871442759
manual,2,seed_context_t025,jtcxE69GiFV,4,-0.06320166392700022,-0.015800415981750054,-0.005956905006233774
manual,2,seed_context_t025,pRbA3pwrgk9,3,0.00955969544757912,0.00318656514919304,-0.006470785424451817
manual,2,seed_context_t025,pa4otMbVnkk,1,0.0064781640419702136,0.0064781640419702136,-0.006349398286160056
manual,2,seed_context_t025,q9vSo1VnCiC,13,-0.0005025497028512405,-3.865766945009542e-05,-0.006926165500235883
manual,2,seed_context_t025,rPc6DW4iMge,9,-0.14982858370565788,-0.016647620411739766,-0.005498498596979834
manual,2,seed_context_t025,uNb9QFRL6hY,26,-0.03625006537712966,-0.0013942332837357562,-0.007433573311719883
manual,2,seed_context_t025,wc2JMjhGNzB,11,-0.12390875205867702,-0.011264432005334274,-0.00580109555469246
manual,2,seed_context_t025,x8F5xyUWy9e,4,-0.015013409307461312,-0.003753352326865328,-0.00633045736762555
manual,2,seed_context_t025,yqstnuAEVhm,14,-0.1968716763894165,-0.014062262599244035,-0.005334207843207904
manual,2,seed_context_t025,zsNo4HB9uLZ,3,0.030881342373352494,0.010293780791117499,-0.006634798093111612
manual,2,selected_person,7y3sRwLe3Va,9,-0.07805881780101398,-0.008673201977890442,-0.006621655266693809
manual,2,selected_person,B6ByNegPMKs,9,-0.09059830791985424,-0.010066478657761582,-0.006520530346380581
manual,2,selected_person,S9hNv5qa7GM,2,-0.0009011038981754926,-0.0004505519490877463,-0.006856816541777639
manual,2,selected_person,UwV83HsGsw3,8,-0.014014481329451267,-0.0017518101661814084,-0.007081036716332759
manual,2,selected_person,VFuaQ6m2Qom,3,-0.021315453520451166,-0.007105151173483722,-0.006752527825773809
manual,2,selected_person,X7HyMhZNoso,3,-0.10848871042911723,-0.03616290347637241,-0.006081964311091762
manual,2,selected_person,Z6MFQCViBuw,3,-0.012279441141161196,-0.004093147047053732,-0.006822035613306808
manual,2,selected_person,b8cTxDM8gDG,3,0.008899436938458738,0.002966478979486246,-0.006984950060073116
manual,2,selected_person,e9zR4mvMWw7,4,0.015304029048409218,0.0038260072621023045,-0.007088744960615934
manual,2,selected_person,jh4fc5c5qoQ,1,0.003152062102929065,0.003152062102929065,-0.006835576764954359
manual,2,selected_person,jtcxE69GiFV,4,-0.03881509010171991,-0.009703772525429977,-0.006669216905188576
manual,2,selected_person,pRbA3pwrgk9,3,0.006790446710579823,0.0022634822368599408,-0.0069687270583202
manual,2,selected_person,pa4otMbVnkk,1,0.0029976107497442506,0.0029976107497442506,-0.006834406678945383
manual,2,selected_person,q9vSo1VnCiC,13,0.002659343776157841,0.00020456490585829545,-0.007515028455393368
manual,2,selected_person,rPc6DW4iMge,9,-0.14564790593610033,-0.016183100659566702,-0.006076581975281822
manual,2,selected_person,uNb9QFRL6hY,26,-0.12724096740341417,-0.004893883361669776,-0.007214047695959178
manual,2,selected_person,wc2JMjhGNzB,11,-0.10653630117135637,-0.009685118288305124,-0.006496784997538441
manual,2,selected_person,x8F5xyUWy9e,4,-0.014348118354544637,-0.003587029588636159,-0.006858883352841098
manual,2,selected_person,yqstnuAEVhm,14,-0.2026121496728701,-0.014472296405205008,-0.0058532094218334135
manual,2,selected_person,zsNo4HB9uLZ,3,0.021909848481904914,0.007303282827301638,-0.007085030148868856
manual,2,selected_context,7y3sRwLe3Va,9,-0.10585721589656988,-0.011761912877396653,-0.005230960074983199
manual,2,selected_context,B6ByNegPMKs,9,-0.09070614988524006,-0.010078461098360006,-0.005353146091203601
manual,2,selected_context,S9hNv5qa7GM,2,0.000856392222589597,0.0004281961112947985,-0.005766050819977681
manual,2,selected_context,UwV83HsGsw3,8,-0.009801737283109402,-0.0012252171603886752,-0.005957556223291018
manual,2,selected_context,VFuaQ6m2Qom,3,-0.001854647575616708,-0.0006182158585389027,-0.005789550904760538
manual,2,selected_context,X7HyMhZNoso,3,-0.0979847156814152,-0.032661571893805065,-0.005050088842408241
manual,2,selected_context,Z6MFQCViBuw,3,-0.005360389437452651,-0.0017867964791508835,-0.005762583659669492
manual,2,selected_context,b8cTxDM8gDG,3,0.03177655006247937,0.01059218335415979,-0.006048252425053585
manual,2,selected_context,e9zR4mvMWw7,4,0.04125081191211066,0.010312702978027666,-0.006168581993074398
manual,2,selected_context,jh4fc5c5qoQ,1,0.00120061729928711,0.00120061729928711,-0.005724976382528588
manual,2,selected_context,jtcxE69GiFV,4,-0.06320166392700022,-0.015800415981750054,-0.00535887287804253
manual,2,selected_context,pRbA3pwrgk9,3,0.00955969544757912,0.00318656514919304,-0.005877353543400505
manual,2,selected_context,pa4otMbVnkk,1,0.0064781640419702136,0.0064781640419702136,-0.005764957797245884
manual,2,selected_context,q9vSo1VnCiC,13,-0.0005025497028512405,-3.865766945009542e-05,-0.006283280962430295
manual,2,selected_context,rPc6DW4iMge,9,-0.14982858370565788,-0.016647620411739766,-0.004876352270071199
manual,2,selected_context,uNb9QFRL6hY,26,-0.03625006537712966,-0.0013942332837357562,-0.00671258130670427
manual,2,selected_context,wc2JMjhGNzB,11,-0.12390875205867702,-0.011264432005334274,-0.005168750107670571
manual,2,selected_context,x8F5xyUWy9e,4,-0.015013409307461312,-0.003753352326865328,-0.005732425239434305
manual,2,selected_context,yqstnuAEVhm,14,-0.1968716763894165,-0.014062262599244035,-0.004685920914328319
manual,2,selected_context,zsNo4HB9uLZ,3,0.05152306004709506,0.017174353349031685,-0.006200148655704474
manual,2,selected_type,7y3sRwLe3Va,9,0.0,0.0,0.0
manual,2,selected_type,B6ByNegPMKs,9,0.0,0.0,0.0
manual,2,selected_type,S9hNv5qa7GM,2,0.0,0.0,0.0
manual,2,selected_type,UwV83HsGsw3,8,0.0,0.0,0.0
manual,2,selected_type,VFuaQ6m2Qom,3,0.0,0.0,0.0
manual,2,selected_type,X7HyMhZNoso,3,0.0,0.0,0.0
manual,2,selected_type,Z6MFQCViBuw,3,0.0,0.0,0.0
manual,2,selected_type,b8cTxDM8gDG,3,0.0,0.0,0.0
manual,2,selected_type,e9zR4mvMWw7,4,0.0,0.0,0.0
manual,2,selected_type,jh4fc5c5qoQ,1,0.0,0.0,0.0
manual,2,selected_type,jtcxE69GiFV,4,0.0,0.0,0.0
manual,2,selected_type,pRbA3pwrgk9,3,0.0,0.0,0.0
manual,2,selected_type,pa4otMbVnkk,1,0.0,0.0,0.0
manual,2,selected_type,q9vSo1VnCiC,13,0.0,0.0,0.0
manual,2,selected_type,rPc6DW4iMge,9,0.0,0.0,0.0
manual,2,selected_type,uNb9QFRL6hY,26,0.0,0.0,0.0
manual,2,selected_type,wc2JMjhGNzB,11,0.0,0.0,0.0
manual,2,selected_type,x8F5xyUWy9e,4,0.0,0.0,0.0
manual,2,selected_type,yqstnuAEVhm,14,0.0,0.0,0.0
manual,2,selected_type,zsNo4HB9uLZ,3,0.0,0.0,0.0
manual,2,selected_mixture,7y3sRwLe3Va,9,-1.196990444687295,-0.13299893829858833,-0.1355849507781953
manual,2,selected_mixture,B6ByNegPMKs,9,-1.2474756825545275,-0.13860840917272527,-0.13517781176313698
manual,2,selected_mixture,S9hNv5qa7GM,2,-0.15183980838750655,-0.07591990419375327,-0.13631820254042754
manual,2,selected_mixture,UwV83HsGsw3,8,-1.234377844521702,-0.15429723056521275,-0.13420117197329445
manual,2,selected_mixture,VFuaQ6m2Qom,3,-0.4588720395728805,-0.1529573465242935,-0.13500501770469717
manual,2,selected_mixture,X7HyMhZNoso,3,-0.3560260605033668,-0.11867535350112228,-0.1357961406206165
manual,2,selected_mixture,Z6MFQCViBuw,3,-0.2747177774156171,-0.09157259247187237,-0.13642158895206075
manual,2,selected_mixture,b8cTxDM8gDG,3,-0.4685802907854729,-0.1561934302618243,-0.13493033884921568
manual,2,selected_mixture,e9zR4mvMWw7,4,-0.5362705268822131,-0.13406763172055328,-0.13545157995582405
manual,2,selected_mixture,jh4fc5c5qoQ,1,-0.20047819026075087,-0.20047819026075087,-0.1349170162948694
manual,2,selected_mixture,jtcxE69GiFV,4,-0.53343706992337,-0.1333592674808425,-0.13547354473845072
manual,2,selected_mixture,pRbA3pwrgk9,3,-0.19781611326079246,-0.06593870442026416,-0.13701314021479016
manual,2,selected_mixture,pa4otMbVnkk,1,-0.22082842482528475,-0.22082842482528475,-0.1347628478511987
manual,2,selected_mixture,q9vSo1VnCiC,13,-1.5341597914749237,-0.1180122916519172,-0.1372947045809049
manual,2,selected_mixture,rPc6DW4iMge,9,-1.32822504931334,-0.14758056103481557,-0.1345266071925014
manual,2,selected_mixture,uNb9QFRL6hY,26,-3.4080558915968036,-0.1310790727537232,-0.1364623219587543
manual,2,selected_mixture,wc2JMjhGNzB,11,-1.7311357971378283,-0.15737598155798438,-0.1334294142954564
manual,2,selected_mixture,x8F5xyUWy9e,4,-0.463874356483825,-0.11596858912095626,-0.13601279057906734
manual,2,selected_mixture,yqstnuAEVhm,14,-2.0030135249929,-0.14307239464235,-0.13450849425370262
manual,2,selected_mixture,zsNo4HB9uLZ,3,-0.4633496566031129,-0.15444988553437097,-0.1349705744967723
manual,4,seed_person_t025,7y3sRwLe3Va,3,-0.018321459596090384,-0.006107153198696795,-0.013841660375938028
manual,4,seed_person_t025,B6ByNegPMKs,5,-0.08036749526293208,-0.016073499052586416,-0.01332101318025673
manual,4,seed_person_t025,S9hNv5qa7GM,2,-0.0028481487485318147,-0.0014240743742659073,-0.013865307484222383
manual,4,seed_person_t025,UwV83HsGsw3,4,-0.049453894365859896,-0.012363473591464974,-0.013583589116328603
manual,4,seed_person_t025,VFuaQ6m2Qom,2,0.0011979292672579245,0.0005989646336289622,-0.013923946296045424
manual,4,seed_person_t025,X7HyMhZNoso,1,0.0020399634285024337,0.0020399634285024337,-0.01373706183697684
manual,4,seed_person_t025,b8cTxDM8gDG,2,-0.04535883563378773,-0.022679417816893865,-0.013249210572841863
manual,4,seed_person_t025,e9zR4mvMWw7,4,-0.02277604917926057,-0.005694012294815143,-0.013981765910158445
manual,4,seed_person_t025,jtcxE69GiFV,1,-0.026200035625365548,-0.026200035625365548,-0.013333633279064441
manual,4,seed_person_t025,pRbA3pwrgk9,2,0.00023767896830928503,0.00011883948415464252,-0.013910029625046168
manual,4,seed_person_t025,pa4otMbVnkk,1,0.011369420797296748,0.011369420797296748,-0.013870339799388186
manual,4,seed_person_t025,q9vSo1VnCiC,6,-0.06768422688688325,-0.011280704481147208,-0.013721079050353741
manual,4,seed_person_t025,rPc6DW4iMge,7,-0.1284137176323511,-0.018344816804621585,-0.012986572617617582
manual,4,seed_person_t025,uNb9QFRL6hY,14,-0.19056154218779175,-0.01361153872769941,-0.013491102157404993
manual,4,seed_person_t025,wc2JMjhGNzB,7,-0.1764623637632603,-0.025208909109037187,-0.012235812521822126
manual,4,seed_person_t025,x8F5xyUWy9e,1,-0.009744510321192501,-0.009744510321192501,-0.013568712211981198
manual,4,seed_person_t025,yqstnuAEVhm,9,-0.1562070784179358,-0.01735634204643731,-0.012957214302289364
manual,4,seed_context_t025,7y3sRwLe3Va,3,-0.021189737784595153,-0.007063245928198385,-0.009893801844799004
manual,4,seed_context_t025,B6ByNegPMKs,5,-0.01642876055818132,-0.0032857521116362643,-0.010265750040496154
manual,4,seed_context_t025,S9hNv5qa7GM,2,-0.003183756138250282,-0.001591878069125141,-0.010011369668009815
manual,4,seed_context_t025,UwV83HsGsw3,4,-0.032390316735306235,-0.008097579183826559,-0.00987429770888987
manual,4,seed_context_t025,VFuaQ6m2Qom,2,-0.001234908958935299,-0.0006174544794676495,-0.010039613830028873
manual,4,seed_context_t025,X7HyMhZNoso,1,-0.0013087949280790045,-0.0013087949280790045,-0.009895135261469262
manual,4,seed_context_t025,b8cTxDM8gDG,2,-0.04834911965261912,-0.02417455982630956,-0.009356799182294323
manual,4,seed_context_t025,e9zR4mvMWw7,4,-0.02097353120428458,-0.005243382801071145,-0.010044697492934969
manual,4,seed_context_t025,jtcxE69GiFV,1,-0.007506694170619221,-0.007506694170619221,-0.00980659384371869
manual,4,seed_context_t025,pRbA3pwrgk9,2,-0.0035990657354734723,-0.0017995328677367362,-0.010005350688339913
manual,4,seed_context_t025,pa4otMbVnkk,1,0.005824678295938135,0.005824678295938135,-0.009997042021812366
manual,4,seed_context_t025,q9vSo1VnCiC,6,-0.06521859064857272,-0.010869765108095453,-0.00967307188588238
manual,4,seed_context_t025,rPc6DW4iMge,7,-0.07854509441525503,-0.011220727773607862,-0.009615987012744881
manual,4,seed_context_t025,uNb9QFRL6hY,14,-0.14541794463413132,-0.010386996045295095,-0.009623689799943791
manual,4,seed_context_t025,wc2JMjhGNzB,7,-0.13864110034245591,-0.019805871477493703,-0.008676986920132367
manual,4,seed_context_t025,x8F5xyUWy9e,1,-0.008854958265645418,-0.008854958265645418,-0.009787332928075458
manual,4,seed_context_t025,yqstnuAEVhm,9,-0.10695056735446151,-0.011883396372717946,-0.009468027352846225
manual,4,selected_person,7y3sRwLe3Va,3,-0.018321459596090384,-0.006107153198696795,-0.013473967604512155
manual,4,selected_person,B6ByNegPMKs,5,-0.08036749526293208,-0.016073499052586416,-0.012942178203636136
manual,4,selected_person,S9hNv5qa7GM,2,-0.0028481487485318147,-0.0014240743742659073,-0.013502943593541815
manual,4,selected_person,UwV83HsGsw3,4,-0.049453894365859896,-0.012363473591464974,-0.013210408393090406
manual,4,selected_person,VFuaQ6m2Qom,2,0.0011979292672579245,0.0005989646336289622,-0.013561582405364855
manual,4,selected_person,X7HyMhZNoso,1,0.0020399634285024337,0.0020399634285024337,-0.013379874573305993
manual,4,selected_person,b8cTxDM8gDG,2,-0.04535883563378773,-0.022679417816893865,-0.012886846682161295
manual,4,selected_person,e9zR4mvMWw7,4,-0.02277604917926057,-0.005694012294815143,-0.013608585186920246
manual,4,selected_person,jtcxE69GiFV,1,-0.026200035625365548,-0.026200035625365548,-0.012976446015393594
manual,4,selected_person,pRbA3pwrgk9,2,0.00023767896830928503,0.00011883948415464252,-0.0135476657343656
manual,4,selected_person,pa4otMbVnkk,1,0.011369420797296748,0.011369420797296748,-0.01351315253571734
manual,4,selected_person,q9vSo1VnCiC,6,-0.04268111842992395,-0.007113519738320658,-0.013721079050353741
manual,4,selected_person,rPc6DW4iMge,7,-0.1284137176323511,-0.018344816804621585,-0.012595899047977593
manual,4,selected_person,uNb9QFRL6hY,14,-0.19056154218779175,-0.01361153872769941,-0.013052451131844304
manual,4,selected_person,wc2JMjhGNzB,7,-0.1764623637632603,-0.025208909109037187,-0.011845138952182137
manual,4,selected_person,x8F5xyUWy9e,1,-0.009744510321192501,-0.009744510321192501,-0.013211524948310351
manual,4,selected_person,yqstnuAEVhm,9,-0.1562070784179358,-0.01735634204643731,-0.012553938359435182
manual,4,selected_context,7y3sRwLe3Va,3,-0.018321459596090384,-0.006107153198696795,-0.013841660375938028
manual,4,selected_context,B6ByNegPMKs,5,-0.08036749526293208,-0.016073499052586416,-0.01332101318025673
manual,4,selected_context,S9hNv5qa7GM,2,-0.0028481487485318147,-0.0014240743742659073,-0.013865307484222383
manual,4,selected_context,UwV83HsGsw3,4,-0.049453894365859896,-0.012363473591464974,-0.013583589116328603
manual,4,selected_context,VFuaQ6m2Qom,2,0.0011979292672579245,0.0005989646336289622,-0.013923946296045424
manual,4,selected_context,X7HyMhZNoso,1,0.0020399634285024337,0.0020399634285024337,-0.01373706183697684
manual,4,selected_context,b8cTxDM8gDG,2,-0.04535883563378773,-0.022679417816893865,-0.013249210572841863
manual,4,selected_context,e9zR4mvMWw7,4,-0.02277604917926057,-0.005694012294815143,-0.013981765910158445
manual,4,selected_context,jtcxE69GiFV,1,-0.026200035625365548,-0.026200035625365548,-0.013333633279064441
manual,4,selected_context,pRbA3pwrgk9,2,0.00023767896830928503,0.00011883948415464252,-0.013910029625046168
manual,4,selected_context,pa4otMbVnkk,1,0.011369420797296748,0.011369420797296748,-0.013870339799388186
manual,4,selected_context,q9vSo1VnCiC,6,-0.06768422688688325,-0.011280704481147208,-0.013721079050353741
manual,4,selected_context,rPc6DW4iMge,7,-0.1284137176323511,-0.018344816804621585,-0.012986572617617582
manual,4,selected_context,uNb9QFRL6hY,14,-0.19056154218779175,-0.01361153872769941,-0.013491102157404993
manual,4,selected_context,wc2JMjhGNzB,7,-0.1764623637632603,-0.025208909109037187,-0.012235812521822126
manual,4,selected_context,x8F5xyUWy9e,1,-0.009744510321192501,-0.009744510321192501,-0.013568712211981198
manual,4,selected_context,yqstnuAEVhm,9,-0.1562070784179358,-0.01735634204643731,-0.012957214302289364
manual,4,selected_type,7y3sRwLe3Va,3,0.0,0.0,0.0
manual,4,selected_type,B6ByNegPMKs,5,0.0,0.0,0.0
manual,4,selected_type,S9hNv5qa7GM,2,0.0,0.0,0.0
manual,4,selected_type,UwV83HsGsw3,4,0.0,0.0,0.0
manual,4,selected_type,VFuaQ6m2Qom,2,0.0,0.0,0.0
manual,4,selected_type,X7HyMhZNoso,1,0.0,0.0,0.0
manual,4,selected_type,b8cTxDM8gDG,2,0.0,0.0,0.0
manual,4,selected_type,e9zR4mvMWw7,4,0.0,0.0,0.0
manual,4,selected_type,jtcxE69GiFV,1,0.0,0.0,0.0
manual,4,selected_type,pRbA3pwrgk9,2,0.0,0.0,0.0
manual,4,selected_type,pa4otMbVnkk,1,0.0,0.0,0.0
manual,4,selected_type,q9vSo1VnCiC,6,0.0,0.0,0.0
manual,4,selected_type,rPc6DW4iMge,7,0.0,0.0,0.0
manual,4,selected_type,uNb9QFRL6hY,14,0.0,0.0,0.0
manual,4,selected_type,wc2JMjhGNzB,7,0.0,0.0,0.0
manual,4,selected_type,x8F5xyUWy9e,1,0.0,0.0,0.0
manual,4,selected_type,yqstnuAEVhm,9,0.0,0.0,0.0
manual,4,selected_mixture,7y3sRwLe3Va,3,-0.16486844689065538,-0.0549561489635518,-0.05772394066335256
manual,4,selected_mixture,B6ByNegPMKs,5,-0.2581071007234623,-0.05162142014469247,-0.05806044411022981
manual,4,selected_mixture,S9hNv5qa7GM,2,-0.04952187518875478,-0.02476093759437739,-0.058559051258114135
manual,4,selected_mixture,UwV83HsGsw3,4,-0.2098351159083972,-0.0524587789770993,-0.057914347702839285
manual,4,selected_mixture,VFuaQ6m2Qom,2,-0.11578262686177998,-0.05789131343088999,-0.0575987505092297
manual,4,selected_mixture,X7HyMhZNoso,1,-0.04897757318767826,-0.04897757318767826,-0.05773026912587073
manual,4,selected_mixture,b8cTxDM8gDG,2,-0.18066919728987152,-0.09033459864493576,-0.05665836543056171
manual,4,selected_mixture,e9zR4mvMWw7,4,-0.25299990416373835,-0.06324997604093459,-0.05727009713186404
manual,4,selected_mixture,jtcxE69GiFV,1,-0.019352602649270745,-0.019352602649270745,-0.05815348299070512
manual,4,selected_mixture,pRbA3pwrgk9,2,-0.0324948238063788,-0.0162474119031894,-0.05880582011872828
manual,4,selected_mixture,pa4otMbVnkk,1,-0.11413932446424901,-0.11413932446424901,-0.05679938696477687
manual,4,selected_mixture,q9vSo1VnCiC,6,-0.3124133626507437,-0.05206889377512395,-0.05811820075919825
manual,4,selected_mixture,rPc6DW4iMge,7,-0.4793960384263112,-0.06848514834661588,-0.056417193337067476
manual,4,selected_mixture,uNb9QFRL6hY,14,-0.7117516094298744,-0.050839400673562456,-0.05926920706260974
manual,4,selected_mixture,wc2JMjhGNzB,7,-0.4946349353825792,-0.07066213362608274,-0.05617908557212578
manual,4,selected_mixture,x8F5xyUWy9e,1,-0.01818042615013149,-0.01818042615013149,-0.058170228369264255
manual,4,selected_mixture,yqstnuAEVhm,9,-0.6269714488247532,-0.06966349431386147,-0.05585685424473993
manual,6,seed_person_t025,7y3sRwLe3Va,1,-0.00880682966761881,-0.00880682966761881,-0.005328228308916572
manual,6,seed_person_t025,B6ByNegPMKs,3,-0.03727468969959857,-0.012424896566532858,-0.00491400962486665
manual,6,seed_person_t025,S9hNv5qa7GM,2,-0.00038040855032300813,-0.00019020427516150407,-0.005640833977694126
manual,6,seed_person_t025,UwV83HsGsw3,3,-0.004817495407482109,-0.0016058318024940361,-0.005668828096776335
manual,6,seed_person_t025,VFuaQ6m2Qom,1,-0.010139864766258389,-0.010139864766258389,-0.005298605306724581
manual,6,seed_person_t025,X7HyMhZNoso,1,-0.004389402420963084,-0.004389402420963084,-0.005426393358842254
manual,6,seed_person_t025,b8cTxDM8gDG,1,-0.004558730616784468,-0.004558730616784468,-0.0054226305100462235
manual,6,seed_person_t025,e9zR4mvMWw7,1,-0.00954022134918886,-0.00954022134918886,-0.005311930715992793
manual,6,seed_person_t025,pRbA3pwrgk9,1,0.0007813701581786958,0.0007813701581786958,-0.005541299416156516
manual,6,seed_person_t025,q9vSo1VnCiC,4,-0.025439439759249227,-0.006359859939812307,-0.005312801519276555
manual,6,seed_person_t025,rPc6DW4iMge,6,-0.06116091865083395,-0.010193486441805658,-0.0046854046229507645
manual,6,seed_person_t025,uNb9QFRL6hY,11,-0.05571668838560484,-0.00506515348960044,-0.005510297576664562
manual,6,seed_person_t025,wc2JMjhGNzB,4,-0.006744540872959559,-0.0016861352182398898,-0.005757918159426309
manual,6,seed_person_t025,x8F5xyUWy9e,1,-0.003839852058251214,-0.003839852058251214,-0.00543860558912474
manual,6,seed_person_t025,yqstnuAEVhm,6,-0.016549391521927137,-0.0027582319203211894,-0.0058006928011734345
manual,6,seed_context_t025,7y3sRwLe3Va,1,-0.005421266307237715,-0.005421266307237715,-0.003576332587318215
manual,6,seed_context_t025,B6ByNegPMKs,3,-0.012656634163343505,-0.004218878054447835,-0.003574409269144509
manual,6,seed_context_t025,S9hNv5qa7GM,2,-0.0016389072007806094,-0.0008194536003903047,-0.003743575580358563
manual,6,seed_context_t025,UwV83HsGsw3,3,-0.004292763097610286,-0.001430921032536762,-0.0037689178985801652
manual,6,seed_context_t025,VFuaQ6m2Qom,1,-0.015236667922245206,-0.015236667922245206,-0.0033582125514291595
manual,6,seed_context_t025,X7HyMhZNoso,1,-0.00409536915378883,-0.00409536915378883,-0.0036057969685059682
manual,6,seed_context_t025,b8cTxDM8gDG,1,-0.00512737077849823,-0.00512737077849823,-0.0035828635990679814
manual,6,seed_context_t025,e9zR4mvMWw7,1,-0.003952847207943311,-0.003952847207943311,-0.0036089641228580906
manual,6,seed_context_t025,pRbA3pwrgk9,1,-0.00026640820182866065,-0.00026640820182866065,-0.0036908849896606383
manual,6,seed_context_t025,q9vSo1VnCiC,4,-0.014979352606182106,-0.0037448381515455265,-0.003604211431675602
manual,6,seed_context_t025,rPc6DW4iMge,6,-0.042662449763737675,-0.007110408293956279,-0.003092344574320493
manual,6,seed_context_t025,uNb9QFRL6hY,11,-0.03218174808556151,-0.002925613462323774,-0.003833556704314168
manual,6,seed_context_t025,wc2JMjhGNzB,4,-0.010471390834944305,-0.0026178477087360763,-0.0037115438548003116
manual,6,seed_context_t025,x8F5xyUWy9e,1,-0.0027537344544246167,-0.0027537344544246167,-0.0036356110729362837
manual,6,seed_context_t025,yqstnuAEVhm,6,-0.010619322958430821,-0.0017698871597384702,-0.003893422744453164
manual,6,selected_person,7y3sRwLe3Va,1,-0.00880682966761881,-0.00880682966761881,-0.005328228308916572
manual,6,selected_person,B6ByNegPMKs,3,-0.03727468969959857,-0.012424896566532858,-0.00491400962486665
manual,6,selected_person,S9hNv5qa7GM,2,-0.00038040855032300813,-0.00019020427516150407,-0.005640833977694126
manual,6,selected_person,UwV83HsGsw3,3,-0.004817495407482109,-0.0016058318024940361,-0.005668828096776335
manual,6,selected_person,VFuaQ6m2Qom,1,-0.010139864766258389,-0.010139864766258389,-0.005298605306724581
manual,6,selected_person,X7HyMhZNoso,1,-0.004389402420963084,-0.004389402420963084,-0.005426393358842254
manual,6,selected_person,b8cTxDM8gDG,1,-0.004558730616784468,-0.004558730616784468,-0.0054226305100462235
manual,6,selected_person,e9zR4mvMWw7,1,-0.00954022134918886,-0.00954022134918886,-0.005311930715992793
manual,6,selected_person,pRbA3pwrgk9,1,0.0007813701581786958,0.0007813701581786958,-0.005541299416156516
manual,6,selected_person,q9vSo1VnCiC,4,-0.025439439759249227,-0.006359859939812307,-0.005312801519276555
manual,6,selected_person,rPc6DW4iMge,6,-0.06116091865083395,-0.010193486441805658,-0.0046854046229507645
manual,6,selected_person,uNb9QFRL6hY,11,-0.05571668838560484,-0.00506515348960044,-0.005510297576664562
