condition,k,stratum,method,baseline,metric,images,buildings,delta,ci_low,ci_high,building_macro_delta
manual,8,supported_majority,seed_type4,seed_equal,count_brier,42,14,-0.007338247147090545,-0.015680454528710055,0.005607887471155279,0.003539201547949916
manual,8,supported_majority,seed_context_t025,seed_equal,kernel_score,42,14,-0.00846455300742801,-0.012373915027210646,-0.003936609603809366,-0.006631374337354024
manual,8,supported_majority,seed_context_t025,seed_equal,count_brier,42,14,-0.006012912503248038,-0.011949462159150168,0.0014697893299601742,-0.0015979497657786122
manual,8,supported_majority,selected_mixture,seed_equal,kernel_score,42,14,-0.01505452463485987,-0.01881454890724828,-0.00873033892178854,-0.011948620046782219
manual,8,supported_majority,selected_mixture,seed_equal,count_brier,42,14,-0.0025266255446567878,-0.010017361535486638,0.008440490058731112,0.0030545869509048464
manual,8,supported_majority,seed_person_t025,seed_equal,kernel_score,42,14,-0.013439861965631619,-0.01882880251494155,-0.0056901612339660965,-0.009494116668383864
manual,8,supported_majority,seed_person_t025,seed_equal,count_brier,42,14,-0.009105049795671238,-0.017404435924913007,0.002715176155404287,-0.0013381664516873817
manual,8,supported_minority,seed_type4,seed_equal,kernel_score,34,13,0.015484155261803793,0.00567092050179666,0.0262366274157112,0.011967070004699302
manual,8,supported_minority,seed_type4,seed_equal,count_brier,34,13,0.011327925538886912,0.0021862874217320034,0.021396043784349485,0.011354382227800237
manual,8,supported_minority,seed_context_t025,seed_equal,kernel_score,34,13,0.0007846669393197977,-0.006130312378327953,0.005871533322866568,-0.0029059037041191597
manual,8,supported_minority,seed_context_t025,seed_equal,count_brier,34,13,0.0029800116138092776,-0.005672910669352415,0.008943025704493185,0.0006450076827877327
manual,8,supported_minority,selected_mixture,seed_equal,kernel_score,34,13,-0.02099041387369241,-0.03121752373534689,-0.012879039179252661,-0.02585953298638731
manual,8,supported_minority,selected_mixture,seed_equal,count_brier,34,13,-0.0027170484370535293,-0.020936438036516913,0.01112246521378007,-0.010042646808974294
manual,8,supported_minority,seed_person_t025,seed_equal,kernel_score,34,13,0.0016151543278702417,-0.01066105185655861,0.008968472798778555,-0.003207249484050247
manual,8,supported_minority,seed_person_t025,seed_equal,count_brier,34,13,0.002753998566179731,-0.01081790721413478,0.012385490102164083,0.0016616256435495523
oos_geometry,4,singleton,seed_type4,seed_equal,kernel_score,9,6,0.042594670467079356,0.0285585302759421,0.059072430392399226,0.04461801407704865
oos_geometry,4,singleton,seed_type4,seed_equal,count_brier,9,6,0.001887403770679937,-0.022317972391619267,0.03631980399408293,0.009422466904661345
oos_geometry,4,singleton,seed_context_t025,seed_equal,kernel_score,9,6,0.000326794819996929,-0.0008488277283352413,0.001811920657040944,0.00042051092897105787
oos_geometry,4,singleton,seed_context_t025,seed_equal,count_brier,9,6,-0.0020163303415776657,-0.005232139316722862,0.0024484998970761523,-0.0004983570245455371
oos_geometry,4,singleton,selected_mixture,seed_equal,kernel_score,9,6,-0.07486249582870694,-0.10915547283865745,-0.0319962745662688,-0.0718785681109713
oos_geometry,4,singleton,selected_mixture,seed_equal,count_brier,9,6,-0.12849893651235927,-0.20888214259323612,-0.07424621893809966,-0.1437294142058525
oos_geometry,4,singleton,seed_person_t025,seed_equal,kernel_score,9,6,0.010156463284243442,0.006231180730120139,0.01558426015790948,0.010924750637993511
oos_geometry,4,singleton,seed_person_t025,seed_equal,count_brier,9,6,-0.011807870596532766,-0.03045046036611419,0.009190789229511396,-0.004393686052008954
oos_geometry,4,supported_majority,seed_type4,seed_equal,kernel_score,8,6,0.04788690998841906,-0.002634772969929511,0.09834974696167259,0.05417635015359649
oos_geometry,4,supported_majority,seed_type4,seed_equal,count_brier,8,6,0.025317723592513247,-0.06007776437504803,0.11610501043427723,0.02111914581812417
oos_geometry,4,supported_majority,seed_context_t025,seed_equal,kernel_score,8,6,-0.00722034109970357,-0.018655099780092402,0.0036502776129846612,-0.004238657915213782
oos_geometry,4,supported_majority,seed_context_t025,seed_equal,count_brier,8,6,-0.005440901751087788,-0.016284389791175975,0.004560359470219496,-0.0030699082626537157
oos_geometry,4,supported_majority,selected_mixture,seed_equal,kernel_score,8,6,-0.02470299647633767,-0.05836461357352567,0.008155512485151785,-0.016767880492370185
oos_geometry,4,supported_majority,selected_mixture,seed_equal,count_brier,8,6,-0.0022791436750539303,-0.058928134981851385,0.07317772122015133,0.01677500118833521
oos_geometry,4,supported_majority,seed_person_t025,seed_equal,kernel_score,8,6,-0.015061594230432282,-0.04995911042025496,0.025327088793772688,-0.0029446825193413426
oos_geometry,4,supported_majority,seed_person_t025,seed_equal,count_brier,8,6,-0.016242783977079324,-0.05731390793410064,0.02199555217226329,-0.006359232286473071
oos_geometry,4,supported_minority,seed_type4,seed_equal,kernel_score,9,6,0.021214072290389026,-0.01148908994549783,0.05306872968067013,0.02075326255756951
oos_geometry,4,supported_minority,seed_type4,seed_equal,count_brier,9,6,-0.030663606196916597,-0.05653351846470836,0.007289897430865809,-0.023789416913214966
oos_geometry,4,supported_minority,seed_context_t025,seed_equal,kernel_score,9,6,-0.005888703606742368,-0.018023223641584422,0.00021262537242702377,-0.007341495738370661
oos_geometry,4,supported_minority,seed_context_t025,seed_equal,count_brier,9,6,-0.008802044629412293,-0.01645446058851761,-0.0003400706547070781,-0.007473658706764484
oos_geometry,4,supported_minority,selected_mixture,seed_equal,kernel_score,9,6,-0.0668473296396853,-0.09086846499316475,-0.04070182818348036,-0.0631830505549502
oos_geometry,4,supported_minority,selected_mixture,seed_equal,count_brier,9,6,-0.07702839539254686,-0.18757391283030084,0.038197590552276284,-0.047857158428251445
oos_geometry,4,supported_minority,seed_person_t025,seed_equal,kernel_score,9,6,-0.01067984860448755,-0.03235105048985604,0.008171240307594323,-0.011158075408661068
oos_geometry,4,supported_minority,seed_person_t025,seed_equal,count_brier,9,6,-0.030333302662088817,-0.05180124956109819,0.003131279634766466,-0.020135595029466307
oos_geometry,8,singleton,seed_type4,seed_equal,kernel_score,9,6,0.024237229592491243,0.014630164125162604,0.0369193522204284,0.026176063867405324
oos_geometry,8,singleton,seed_type4,seed_equal,count_brier,9,6,0.00023752396068205735,-0.022061772007364457,0.03365226607557009,0.00820111285983544
oos_geometry,8,singleton,seed_context_t025,seed_equal,kernel_score,9,6,0.000718751332761595,-0.0007631556225369464,0.0032738603391393234,0.0013427681410434673
oos_geometry,8,singleton,seed_context_t025,seed_equal,count_brier,9,6,-0.003624780587176376,-0.005341115261769033,-0.00019389849299572548,-0.002501096917651151
oos_geometry,8,singleton,selected_mixture,seed_equal,kernel_score,9,6,-0.022189079745423182,-0.03435912894749005,-0.0038130797380519577,-0.020495880799180296
oos_geometry,8,singleton,selected_mixture,seed_equal,count_brier,9,6,-0.03656361398520169,-0.06652252773934245,-0.019199502037163856,-0.04127458972957099
oos_geometry,8,singleton,seed_person_t025,seed_equal,kernel_score,9,6,0.00518553210323817,-2.523661056965665e-05,0.013497820770696426,0.007766307541308778
oos_geometry,8,singleton,seed_person_t025,seed_equal,count_brier,9,6,-0.012590670006713952,-0.027398845153112937,0.0070473256404162314,-0.004887357681001181
oos_geometry,8,supported_majority,seed_type4,seed_equal,kernel_score,8,6,0.004364478236810951,-0.024460118388960537,0.03767449502558674,0.011572799709392493
oos_geometry,8,supported_majority,seed_type4,seed_equal,count_brier,8,6,0.002471475042406584,-0.03189670408216148,0.040777054126578664,-7.044953136629377e-05
oos_geometry,8,supported_majority,seed_context_t025,seed_equal,kernel_score,8,6,-0.005251526079445623,-0.011188967658937003,0.001909474248248547,-0.0037085605784117257
oos_geometry,8,supported_majority,seed_context_t025,seed_equal,count_brier,8,6,-0.004173584065628179,-0.006955402852568531,-0.0012763341035279794,-0.0036393231953524793
oos_geometry,8,supported_majority,selected_mixture,seed_equal,kernel_score,8,6,-0.008345170646169409,-0.02254281542684924,0.005011615126087499,-0.004595037257595237
oos_geometry,8,supported_majority,selected_mixture,seed_equal,count_brier,8,6,0.013305549972330926,0.00021578580662396374,0.03898695604244965,0.01749012339854298
oos_geometry,8,supported_majority,seed_person_t025,seed_equal,kernel_score,8,6,-0.020479422220875357,-0.0414409121840172,0.010017086221947889,-0.012703873535125152
oos_geometry,8,supported_majority,seed_person_t025,seed_equal,count_brier,8,6,-0.018095682135774872,-0.0292179130022616,-0.0007724116685086633,-0.013554490190902158
oos_geometry,8,supported_minority,seed_type4,seed_equal,kernel_score,9,6,0.002719662052290856,-0.03380393232049078,0.027256132183072292,-0.0025632562986208063
oos_geometry,8,supported_minority,seed_type4,seed_equal,count_brier,9,6,-0.03167115356592333,-0.08117911995707355,-0.007025752269373563,-0.041055019403481295
oos_geometry,8,supported_minority,seed_context_t025,seed_equal,kernel_score,9,6,-0.006283206053770085,-0.0181375254555719,8.109078858864471e-05,-0.00845207580389465
oos_geometry,8,supported_minority,seed_context_t025,seed_equal,count_brier,9,6,-0.012093726250440355,-0.023502312799039516,-0.005548618582274495,-0.014082955862970398
oos_geometry,8,supported_minority,selected_mixture,seed_equal,kernel_score,9,6,-0.01979742977181742,-0.032489529635083836,-0.006173613048573022,-0.019533652605623675
oos_geometry,8,supported_minority,selected_mixture,seed_equal,count_brier,9,6,-0.026827572351075694,-0.07001658331592125,0.01630489472154329,-0.020170565794038375
oos_geometry,8,supported_minority,seed_person_t025,seed_equal,kernel_score,9,6,-0.019222158682012134,-0.04511253241285229,-0.0034043705809186442,-0.022993545799414258
oos_geometry,8,supported_minority,seed_person_t025,seed_equal,count_brier,9,6,-0.0464923004519778,-0.07564986376295559,-0.02138432694286975,-0.04884884399199329
semi,4,singleton,seed_type4,seed_equal,kernel_score,13,10,0.015355648651112523,0.0045927921241209445,0.02825134584215171,0.016559903976591517
semi,4,singleton,seed_type4,seed_equal,count_brier,13,10,-0.019046782544378672,-0.05831134010220548,0.0024886208466090407,-0.02637842085798815
semi,4,singleton,seed_context_t025,seed_equal,kernel_score,13,10,0.006405982888974666,0.00040115885303508813,0.01629545049932915,0.007996466078591714
semi,4,singleton,seed_context_t025,seed_equal,count_brier,13,10,-0.012794559899748757,-0.033959546674263937,0.0003544164952272399,-0.016440836741292517
semi,4,singleton,selected_mixture,seed_equal,kernel_score,13,10,-0.03664679925368798,-0.06574898850416018,-0.011687596640287855,-0.03732580158183914
semi,4,singleton,selected_mixture,seed_equal,count_brier,13,10,-0.04782742187200494,-0.10366737348467203,-0.006416390586141499,-0.061082857129691505
semi,4,singleton,seed_person_t025,seed_equal,kernel_score,13,10,0.016872510995379,0.005896795420577527,0.03178210101739076,0.01880862230962289
semi,4,singleton,seed_person_t025,seed_equal,count_brier,13,10,-0.015215781376651746,-0.04836206123775635,0.006194418438757649,-0.022504505663805553
semi,4,supported_majority,seed_type4,seed_equal,kernel_score,18,10,-0.0051528561880143835,-0.016449555240422162,0.005250674718657855,-0.007530162654928596
semi,4,supported_majority,seed_type4,seed_equal,count_brier,18,10,-0.010053281104572771,-0.02782664469703469,0.007168446251550655,-0.013932505806681775
semi,4,supported_majority,seed_context_t025,seed_equal,kernel_score,18,10,-0.00835250779440947,-0.014000925376635083,-0.0042385534306060655,-0.009522314842090243
semi,4,supported_majority,seed_context_t025,seed_equal,count_brier,18,10,-0.009304950263932946,-0.018299072984119983,-0.002658628394116195,-0.011982062821787943
semi,4,supported_majority,selected_mixture,seed_equal,kernel_score,18,10,-0.04235611670477718,-0.06063078310395171,-0.02864113968552679,-0.04505093949143858
semi,4,supported_majority,selected_mixture,seed_equal,count_brier,18,10,-0.01831203691778033,-0.043567435177937514,0.0025733832983548376,-0.018019758710163643
semi,4,supported_majority,seed_person_t025,seed_equal,kernel_score,18,10,-0.012956836649790719,-0.02006900770561467,-0.005348256067511616,-0.01213672950388809
semi,4,supported_majority,seed_person_t025,seed_equal,count_brier,18,10,-0.015912070450192287,-0.027496125869903965,-0.004013559160700663,-0.017847463648738824
semi,4,supported_minority,seed_type4,seed_equal,kernel_score,15,10,0.0003997420128793709,-0.025452242394825124,0.03208027196968314,0.004377662313415154
semi,4,supported_minority,seed_type4,seed_equal,count_brier,15,10,-0.008248587547656405,-0.03511100416324101,0.02853016480408952,-0.0021074835601505803
semi,4,supported_minority,seed_context_t025,seed_equal,kernel_score,15,10,-0.008327867004175189,-0.020524441353088993,0.00654126947957556,-0.0023820333271058593
semi,4,supported_minority,seed_context_t025,seed_equal,count_brier,15,10,-0.011487813518151055,-0.02763600185221369,0.008402549046223087,-0.005210003212325296
semi,4,supported_minority,selected_mixture,seed_equal,kernel_score,15,10,-0.02633821877261049,-0.07886849685297893,0.016009465630261534,-0.029731299462403722
semi,4,supported_minority,selected_mixture,seed_equal,count_brier,15,10,-0.029301806248035238,-0.08387824486391328,0.02005289502842868,-0.030013672023420857
semi,4,supported_minority,seed_person_t025,seed_equal,kernel_score,15,10,-0.0027340790205148124,-0.01763114996863781,0.01960510215219388,0.0040872705887012835
semi,4,supported_minority,seed_person_t025,seed_equal,count_brier,15,10,-0.007777039858168104,-0.029954777097176827,0.022005328429019453,-5.062865930111904e-05
semi,8,singleton,seed_type4,seed_equal,kernel_score,11,9,0.026045142068457375,0.00982021615140701,0.04378312359284758,0.028701307976474633
semi,8,singleton,seed_type4,seed_equal,count_brier,11,9,-0.018566592735612463,-0.06209728081232878,0.0128462889789433,-0.028053965784012733
semi,8,singleton,seed_context_t025,seed_equal,kernel_score,11,9,0.006538864786563342,-0.0008245078785725517,0.016902529267457056,0.007731743386832234
semi,8,singleton,seed_context_t025,seed_equal,count_brier,11,9,-0.008586382049721581,-0.021043052041871384,0.0014407335321558114,-0.010523307517404122
semi,8,singleton,selected_mixture,seed_equal,kernel_score,11,9,-0.000697249154038833,-0.022028667165953676,0.02457493816658639,0.002131721455436534
semi,8,singleton,selected_mixture,seed_equal,count_brier,11,9,-0.026679541193874324,-0.06651730891764364,0.003207214271720065,-0.03307245785179878
semi,8,singleton,seed_person_t025,seed_equal,kernel_score,11,9,0.01617956979149274,0.0015182645667413943,0.03137735468931177,0.018327227339648755
semi,8,singleton,seed_person_t025,seed_equal,count_brier,11,9,-0.008511151297535054,-0.026536050186746724,0.007301807988656891,-0.011845369199776452
semi,8,supported_majority,seed_type4,seed_equal,kernel_score,18,10,-0.014630415529161746,-0.02732573038210445,-0.004918630647305917,-0.020976861592041325
semi,8,supported_majority,seed_type4,seed_equal,count_brier,18,10,-0.015512304138479519,-0.033304831002820785,-0.0030603995937866888,-0.021378426197912765
semi,8,supported_majority,seed_context_t025,seed_equal,kernel_score,18,10,-0.009231851957675464,-0.014671585983316646,-0.00621864816614607,-0.011258467547054793
semi,8,supported_majority,seed_context_t025,seed_equal,count_brier,18,10,-0.007295045491426604,-0.013719234612598778,-0.0026819162007529376,-0.009123555372404366
semi,8,supported_majority,selected_mixture,seed_equal,kernel_score,18,10,-0.01813354597994028,-0.03577418740144028,-0.0015293297992770931,-0.020080451293077037
semi,8,supported_majority,selected_mixture,seed_equal,count_brier,18,10,-0.0023983068207832484,-0.021527479612035858,0.020277793913511352,-0.0004013945784133555
semi,8,supported_majority,seed_person_t025,seed_equal,kernel_score,18,10,-0.015013480951373698,-0.020837599215829943,-0.00966602778263388,-0.016830360217662276
semi,8,supported_majority,seed_person_t025,seed_equal,count_brier,18,10,-0.011542959643536245,-0.021204849782953315,-0.0028912864494726113,-0.013447199030145929
semi,8,supported_minority,seed_type4,seed_equal,kernel_score,15,10,-0.03200404287765593,-0.06201732560454144,0.006341945262121829,-0.02252234551546345
semi,8,supported_minority,seed_type4,seed_equal,count_brier,15,10,-0.04057186785760113,-0.07752956584248866,0.0025183417134321427,-0.028514956314439933
semi,8,supported_minority,seed_context_t025,seed_equal,kernel_score,15,10,-0.011079111099653123,-0.021591398790351237,0.002721444130474619,-0.0068232314537026665
semi,8,supported_minority,seed_context_t025,seed_equal,count_brier,15,10,-0.01655882274148875,-0.030013065826807513,-0.0005251592429552298,-0.01184157042119914
semi,8,supported_minority,selected_mixture,seed_equal,kernel_score,15,10,-0.009740504080134382,-0.049331695320908975,0.034190321770815914,-0.0051253915042388356
semi,8,supported_minority,selected_mixture,seed_equal,count_brier,15,10,-0.03420587462357105,-0.0774624866970466,0.015292766299409613,-0.029597744052362145
semi,8,supported_minority,seed_person_t025,seed_equal,kernel_score,15,10,-0.014188699277228293,-0.030775127487449736,0.0041079506429630205,-0.011065901660445559
semi,8,supported_minority,seed_person_t025,seed_equal,count_brier,15,10,-0.02105986834761737,-0.0422637588546705,0.006452291739453042,-0.01532861616830811
