condition,k,method,stratum,images,kernel,count_brier,compatible_probability,outside_candidates
oos_geometry,8,seed_equal,supported_minority,9,1.018710800636789,0.6704971340388007,0.20697200176366842,0.19567901234567897
oos_geometry,8,seed_person_t025,singleton,9,1.1718227842527904,0.9952797003636564,0.01773098012516579,0.8753968253968254
oos_geometry,8,seed_person_t025,supported_majority,8,0.790102767417293,0.20651369286422513,0.4720176648709415,0.0
oos_geometry,8,seed_person_t025,supported_minority,9,0.999488641954777,0.6240048335868229,0.23300562734691926,0.19567901234567897
oos_geometry,8,seed_type4,singleton,9,1.1908744817420434,1.0081078943310524,0.02096031082444126,0.8753968253968254
oos_geometry,8,seed_type4,supported_majority,8,0.8149466678749793,0.22708085004240658,0.4659945190750394,0.0
oos_geometry,8,seed_type4,supported_minority,9,1.0214304626890798,0.6388259804728774,0.2289673903839366,0.19567901234567897
oos_geometry,8,selected_mixture,singleton,9,1.1444481724041289,0.9713067563851686,0.015922146997809014,0.8244708994708995
oos_geometry,8,selected_mixture,supported_majority,8,0.802237018991999,0.23791492497233094,0.44186435722490736,0.0
oos_geometry,8,selected_mixture,supported_minority,9,0.9989133708649717,0.643669561687725,0.20091921034924448,0.19567901234567897
semi,4,seed_context_t025,singleton,13,1.4873499352674397,0.6641285170233282,0.06184565771452561,0.9230769230769231
semi,4,seed_context_t025,supported_majority,18,0.5262051541571737,0.13826449418051148,0.7711130928124439,0.023794934640522878
semi,4,seed_context_t025,supported_minority,15,1.2679362108660484,0.861012186481849,0.3384649579648516,0.4501984126984127
semi,4,seed_equal,singleton,13,1.4809439523784649,0.676923076923077,0.057692307692307696,0.9230769230769231
semi,4,seed_equal,supported_majority,18,0.5345576619515832,0.14756944444444445,0.7631913389137331,0.023794934640522878
semi,4,seed_equal,supported_minority,15,1.2762640778702237,0.8725,0.3317757936507937,0.4501984126984127
semi,4,seed_person_t025,singleton,13,1.497816463373844,0.6617072955464252,0.06342228485289225,0.9230769230769231
semi,4,seed_person_t025,supported_majority,18,0.5216008253017924,0.13165737399425215,0.778331653438417,0.023794934640522878
semi,4,seed_person_t025,supported_minority,15,1.2735299988497089,0.8647229601418319,0.3396350660365668,0.4501984126984127
semi,4,seed_type4,singleton,13,1.4962996010295773,0.6578762943786983,0.061686390532544384,0.9230769230769231
semi,4,seed_type4,supported_majority,18,0.5294048057635687,0.13751616333987168,0.777921436775016,0.023794934640522878
semi,4,seed_type4,supported_minority,15,1.276663819883103,0.8642514124523436,0.3410504208093494,0.4501984126984127
semi,4,selected_mixture,singleton,13,1.444297153124777,0.629095655051072,0.06805019955836218,0.9038461538461539
semi,4,selected_mixture,supported_majority,18,0.492201545246806,0.12925740752666412,0.7732928161966158,0.015114379084967322
semi,4,selected_mixture,supported_minority,15,1.249925859097613,0.8431981937519647,0.3363541481782465,0.3895238095238095
semi,8,seed_context_t025,singleton,11,1.3705509031042418,0.6126257391623997,0.07800634661571317,0.9090909090909091
semi,8,seed_context_t025,supported_majority,18,0.47140375673070994,0.09943763155375045,0.7623759627669068,0.008597883597883597
semi,8,seed_context_t025,supported_minority,15,1.24108257101326,0.8603161772585113,0.29914629964297274,0.3983333333333333
semi,8,seed_equal,singleton,11,1.3640120383176784,0.6212121212121212,0.07386363636363637,0.9090909090909091
semi,8,seed_equal,supported_majority,18,0.4806356086883855,0.10673267704517704,0.7547541145197395,0.008597883597883597
semi,8,seed_equal,supported_minority,15,1.2521616821129133,0.876875,0.2888194444444444,0.3983333333333333
semi,8,seed_person_t025,singleton,11,1.380191608109171,0.6127009699145861,0.07937179509038356,0.9090909090909091
semi,8,seed_person_t025,supported_majority,18,0.4656221277370117,0.0951897174016408,0.7696131533068181,0.008597883597883597
semi,8,seed_person_t025,supported_minority,15,1.2379729828356851,0.8558151316523827,0.30513190462942835,0.3983333333333333
semi,8,seed_type4,singleton,11,1.390057180386136,0.6026455284765088,0.08000459997274091,0.9090909090909091
semi,8,seed_type4,supported_majority,18,0.46600519315922373,0.09122037290669753,0.7748726955711981,0.008597883597883597
semi,8,seed_type4,supported_minority,15,1.2201576392352573,0.8363031321423989,0.31068989099564437,0.3983333333333333
semi,8,selected_mixture,singleton,11,1.3633147891636395,0.5945325800182469,0.0841099810110652,0.8863636363636364
semi,8,selected_mixture,supported_majority,18,0.4625020627084452,0.10433437022439379,0.7654459795447557,0.008597883597883597
semi,8,selected_mixture,supported_minority,15,1.242421178032779,0.8426691253764289,0.30970693206064326,0.3554761904761905
