code,image_id,condition,N,building,gate,comparable_n,comparable_pairs,threshold_flips,partition_changed,before_clusters,after_clusters,ARI,changed_pair_relations
e9zR4mvMWw7-03,e9zR4mvMWw7_12c84e77f6564013a032220e8f9037e8,semi,24,e9zR4mvMWw7,True,24,276,1,False,3,3,1.0,0
e9zR4mvMWw7-10,e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,semi,24,e9zR4mvMWw7,False,24,276,1,False,2,2,1.0,0
e9zR4mvMWw7-10,e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,semi,24,e9zR4mvMWw7,True,24,276,1,False,2,2,1.0,0
e9zR4mvMWw7-16,e9zR4mvMWw7_409f2a738bf54153b9b77c39e7a4ea45,semi,24,e9zR4mvMWw7,False,24,276,1,False,3,3,1.0,0
e9zR4mvMWw7-16,e9zR4mvMWw7_409f2a738bf54153b9b77c39e7a4ea45,semi,24,e9zR4mvMWw7,True,24,276,1,False,3,3,1.0,0
e9zR4mvMWw7-32,e9zR4mvMWw7_ac03b99e3f3642be80b4d24fde0af03a,semi,24,e9zR4mvMWw7,False,24,276,0,False,2,2,1.0,0
e9zR4mvMWw7-32,e9zR4mvMWw7_ac03b99e3f3642be80b4d24fde0af03a,semi,24,e9zR4mvMWw7,True,24,276,0,False,3,3,1.0,0
q9vSo1VnCiC-09,q9vSo1VnCiC_69591068e5614642b710a8fb7733bdeb,oos_geometry,24,q9vSo1VnCiC,False,24,276,0,False,12,12,1.0,0
q9vSo1VnCiC-09,q9vSo1VnCiC_69591068e5614642b710a8fb7733bdeb,oos_geometry,24,q9vSo1VnCiC,True,24,276,0,False,13,13,1.0,0
q9vSo1VnCiC-23,q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a,manual,24,q9vSo1VnCiC,False,24,276,0,False,2,2,1.0,0
q9vSo1VnCiC-23,q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a,manual,24,q9vSo1VnCiC,True,24,276,0,False,2,2,1.0,0
q9vSo1VnCiC-32,q9vSo1VnCiC_e74e843601574864a14517f990c748a0,manual,24,q9vSo1VnCiC,False,24,276,0,False,4,4,1.0,0
q9vSo1VnCiC-32,q9vSo1VnCiC_e74e843601574864a14517f990c748a0,manual,24,q9vSo1VnCiC,True,24,276,0,False,4,4,1.0,0
rPc6DW4iMge-05,rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,manual,5,rPc6DW4iMge,False,5,10,0,False,3,3,1.0,0
rPc6DW4iMge-05,rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,manual,5,rPc6DW4iMge,True,5,10,0,False,3,3,1.0,0
rPc6DW4iMge-06,rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,manual,24,rPc6DW4iMge,False,24,276,2,False,8,8,1.0,0
rPc6DW4iMge-06,rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,manual,24,rPc6DW4iMge,True,24,276,2,False,11,11,1.0,0
rPc6DW4iMge-13,rPc6DW4iMge_4350d36797324601adba7351d09602d2,manual,5,rPc6DW4iMge,False,5,10,0,False,1,1,1.0,0
rPc6DW4iMge-13,rPc6DW4iMge_4350d36797324601adba7351d09602d2,manual,5,rPc6DW4iMge,True,5,10,0,False,1,1,1.0,0
rPc6DW4iMge-15,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,manual,23,rPc6DW4iMge,False,23,253,0,False,3,3,1.0,0
rPc6DW4iMge-15,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,manual,23,rPc6DW4iMge,True,23,253,0,False,3,3,1.0,0
rPc6DW4iMge-17,rPc6DW4iMge_acbe920a0c5d4c018b1803ee9b1f331a,semi,22,rPc6DW4iMge,False,22,231,0,False,6,6,1.0,0
rPc6DW4iMge-17,rPc6DW4iMge_acbe920a0c5d4c018b1803ee9b1f331a,semi,22,rPc6DW4iMge,True,22,231,0,False,9,9,1.0,0
rPc6DW4iMge-20,rPc6DW4iMge_cc15fb105d86466faafdd633f89148de,manual,24,rPc6DW4iMge,False,24,276,0,False,2,2,1.0,0
rPc6DW4iMge-20,rPc6DW4iMge_cc15fb105d86466faafdd633f89148de,manual,24,rPc6DW4iMge,True,24,276,0,False,2,2,1.0,0
rPc6DW4iMge-22,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,manual,22,rPc6DW4iMge,False,22,231,0,False,14,14,1.0,0
rPc6DW4iMge-22,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,manual,22,rPc6DW4iMge,True,22,231,0,False,17,17,1.0,0
uNb9QFRL6hY-36,uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,manual,6,uNb9QFRL6hY,False,6,15,0,False,2,2,1.0,0
uNb9QFRL6hY-36,uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,manual,6,uNb9QFRL6hY,True,6,15,0,False,2,2,1.0,0
uNb9QFRL6hY-36,uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,semi,4,uNb9QFRL6hY,False,4,6,0,False,3,3,1.0,0
uNb9QFRL6hY-36,uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,semi,4,uNb9QFRL6hY,True,4,6,0,False,3,3,1.0,0
uNb9QFRL6hY-52,uNb9QFRL6hY_a38a8c6dced34d8bb18fb67165c099f2,oos_geometry,23,uNb9QFRL6hY,False,22,231,0,False,3,3,1.0,0
uNb9QFRL6hY-52,uNb9QFRL6hY_a38a8c6dced34d8bb18fb67165c099f2,oos_geometry,23,uNb9QFRL6hY,True,22,231,0,False,7,7,1.0,0
uNb9QFRL6hY-56,uNb9QFRL6hY_aed830f085ee4ad88ef6bed7f66f1359,semi,24,uNb9QFRL6hY,False,24,276,2,False,3,3,1.0,0
uNb9QFRL6hY-56,uNb9QFRL6hY_aed830f085ee4ad88ef6bed7f66f1359,semi,24,uNb9QFRL6hY,True,24,276,2,False,5,5,1.0,0
uNb9QFRL6hY-63,uNb9QFRL6hY_bcce4f23c12744c782c0b49b24a0331a,manual,24,uNb9QFRL6hY,False,24,276,0,False,4,4,1.0,0
uNb9QFRL6hY-63,uNb9QFRL6hY_bcce4f23c12744c782c0b49b24a0331a,manual,24,uNb9QFRL6hY,True,24,276,0,False,4,4,1.0,0
uNb9QFRL6hY-70,uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384,manual,24,uNb9QFRL6hY,False,24,276,5,True,2,3,0.8150010054293183,20
uNb9QFRL6hY-70,uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384,manual,24,uNb9QFRL6hY,True,24,276,5,False,3,3,1.0,0
wc2JMjhGNzB-30,wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,manual,6,wc2JMjhGNzB,False,6,15,0,False,1,1,1.0,0
wc2JMjhGNzB-30,wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,manual,6,wc2JMjhGNzB,True,6,15,0,False,5,5,1.0,0
wc2JMjhGNzB-30,wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,semi,4,wc2JMjhGNzB,False,4,6,0,False,1,1,1.0,0
wc2JMjhGNzB-30,wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,semi,4,wc2JMjhGNzB,True,4,6,0,False,1,1,1.0,0
wc2JMjhGNzB-59,wc2JMjhGNzB_dc4a9f470b834de1983c7e605ff06b2e,manual,24,wc2JMjhGNzB,False,24,276,0,False,3,3,1.0,0
wc2JMjhGNzB-59,wc2JMjhGNzB_dc4a9f470b834de1983c7e605ff06b2e,manual,24,wc2JMjhGNzB,True,24,276,0,False,3,3,1.0,0
wc2JMjhGNzB-60,wc2JMjhGNzB_dda6efcba51c40de8552408953719515,manual,23,wc2JMjhGNzB,False,23,253,1,False,2,2,1.0,0
wc2JMjhGNzB-60,wc2JMjhGNzB_dda6efcba51c40de8552408953719515,manual,23,wc2JMjhGNzB,True,23,253,1,False,3,3,1.0,0
wc2JMjhGNzB-67,wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,manual,5,wc2JMjhGNzB,False,5,10,0,False,2,2,1.0,0
wc2JMjhGNzB-67,wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,manual,5,wc2JMjhGNzB,True,5,10,0,False,3,3,1.0,0
wc2JMjhGNzB-67,wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,semi,4,wc2JMjhGNzB,False,4,6,0,False,1,1,1.0,0
wc2JMjhGNzB-67,wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,semi,4,wc2JMjhGNzB,True,4,6,0,False,1,1,1.0,0
yqstnuAEVhm-15,yqstnuAEVhm_66ecc07f3cda4d8ebaf84288325669f5,oos_geometry,24,yqstnuAEVhm,False,24,276,8,False,7,7,1.0,0
yqstnuAEVhm-15,yqstnuAEVhm_66ecc07f3cda4d8ebaf84288325669f5,oos_geometry,24,yqstnuAEVhm,True,24,276,8,False,7,7,1.0,0
yqstnuAEVhm-32,yqstnuAEVhm_e650c19e3eb34cc0b98374e5a23d1f65,manual,24,yqstnuAEVhm,False,23,253,1,True,10,11,0.9874422991016032,1
yqstnuAEVhm-32,yqstnuAEVhm_e650c19e3eb34cc0b98374e5a23d1f65,manual,24,yqstnuAEVhm,True,23,253,1,False,14,14,1.0,0
yqstnuAEVhm-34,yqstnuAEVhm_e9b4d8e951cb4712b3905c8f4c4dabb5,manual,24,yqstnuAEVhm,False,24,276,0,False,3,3,1.0,0
yqstnuAEVhm-34,yqstnuAEVhm_e9b4d8e951cb4712b3905c8f4c4dabb5,manual,24,yqstnuAEVhm,True,24,276,0,False,3,3,1.0,0
