code,condition,N_original,N_available,method,cut,clusters,supported,singletons,singleton_mass,largest_share,entropy_bits,sizes
uNb9QFRL6hY-45,manual,23,23,solid,0.075,3,3,0,0.0,0.5217391304347826,1.474041717473638,12;6;5
uNb9QFRL6hY-45,manual,23,23,solid,0.1,2,2,0,0.0,0.7391304347826086,0.828055725379504,17;6
uNb9QFRL6hY-45,manual,23,23,solid,0.125,1,1,0,0.0,1.0,-0.0,23
uNb9QFRL6hY-45,manual,23,23,solid,0.15,1,1,0,0.0,1.0,-0.0,23
uNb9QFRL6hY-45,manual,23,23,solid,0.2,1,1,0,0.0,1.0,-0.0,23
uNb9QFRL6hY-45,manual,23,23,linear_common,0.075,5,5,0,0.0,0.391304347826087,2.0480968704245126,9;7;3;2;2
uNb9QFRL6hY-45,manual,23,23,linear_common,0.1,5,5,0,0.0,0.391304347826087,2.0480968704245126,9;7;3;2;2
uNb9QFRL6hY-45,manual,23,23,linear_common,0.125,4,4,0,0.0,0.391304347826087,1.7490603243994,9;9;3;2
uNb9QFRL6hY-45,manual,23,23,linear_common,0.15,2,2,0,0.0,0.5217391304347826,0.9986359641585718,12;11
uNb9QFRL6hY-45,manual,23,23,linear_common,0.2,2,2,0,0.0,0.5217391304347826,0.9986359641585718,12;11
7y3sRwLe3Va-08,oos_geometry,24,22,spherical,0.075,12,5,7,0.3181818181818182,0.22727272727272727,3.3176400059662168,5;3;3;2;2;1;1;1;1;1;1;1
7y3sRwLe3Va-08,oos_geometry,24,22,spherical,0.1,9,5,4,0.18181818181818182,0.22727272727272727,2.88083816621909,5;5;3;3;2;1;1;1;1
7y3sRwLe3Va-08,oos_geometry,24,22,spherical,0.125,7,3,4,0.18181818181818182,0.45454545454545453,2.2056221220248466,10;5;3;1;1;1;1
7y3sRwLe3Va-08,oos_geometry,24,22,spherical,0.15,5,3,2,0.09090909090909091,0.5909090909090909,1.6541881272613423,13;5;2;1;1
7y3sRwLe3Va-08,oos_geometry,24,22,spherical,0.2,4,2,2,0.09090909090909091,0.5909090909090909,1.379558855444687,13;7;1;1
7y3sRwLe3Va-08,oos_geometry,24,22,solid,0.075,9,4,5,0.22727272727272727,0.22727272727272727,2.8242421435901566,5;5;4;3;1;1;1;1;1
7y3sRwLe3Va-08,oos_geometry,24,22,solid,0.1,7,3,4,0.18181818181818182,0.45454545454545453,2.2056221220248466,10;5;3;1;1;1;1
7y3sRwLe3Va-08,oos_geometry,24,22,solid,0.125,7,3,4,0.18181818181818182,0.45454545454545453,2.2056221220248466,10;5;3;1;1;1;1
7y3sRwLe3Va-08,oos_geometry,24,22,solid,0.15,4,3,1,0.045454545454545456,0.5909090909090909,1.4769092849936094,13;6;2;1
7y3sRwLe3Va-08,oos_geometry,24,22,solid,0.2,2,2,0,0.0,0.6363636363636364,0.9456603046006401,14;8
7y3sRwLe3Va-08,oos_geometry,24,22,linear_common,0.075,14,4,10,0.45454545454545453,0.22727272727272727,3.5337712560645564,5;3;2;2;1;1;1;1;1;1;1;1;1;1
7y3sRwLe3Va-08,oos_geometry,24,22,linear_common,0.1,11,4,7,0.3181818181818182,0.22727272727272727,3.0969694163174295,5;5;3;2;1;1;1;1;1;1;1
7y3sRwLe3Va-08,oos_geometry,24,22,linear_common,0.125,10,5,5,0.22727272727272727,0.22727272727272727,3.0060603254083382,5;5;3;2;2;1;1;1;1;1
7y3sRwLe3Va-08,oos_geometry,24,22,linear_common,0.15,8,4,4,0.18181818181818182,0.45454545454545453,2.4262927116736357,10;3;3;2;1;1;1;1
7y3sRwLe3Va-08,oos_geometry,24,22,linear_common,0.2,5,4,1,0.045454545454545456,0.5909090909090909,1.749636557720882,13;3;3;2;1
7y3sRwLe3Va-12,oos_geometry,23,23,spherical,0.075,6,4,2,0.08695652173913043,0.30434782608695654,2.2230137220029578,7;7;5;2;1;1
7y3sRwLe3Va-12,oos_geometry,23,23,spherical,0.1,4,3,1,0.043478260869565216,0.5217391304347826,1.5920001314822054,12;7;3;1
7y3sRwLe3Va-12,oos_geometry,23,23,spherical,0.125,3,2,1,0.043478260869565216,0.5217391304347826,1.208830175294948,12;10;1
7y3sRwLe3Va-12,oos_geometry,23,23,spherical,0.15,2,2,0,0.0,0.5652173913043478,0.9876925088958034,13;10
7y3sRwLe3Va-12,oos_geometry,23,23,spherical,0.2,2,2,0,0.0,0.5652173913043478,0.9876925088958034,13;10
7y3sRwLe3Va-12,oos_geometry,23,23,solid,0.075,4,3,1,0.043478260869565216,0.5217391304347826,1.5920001314822054,12;7;3;1
7y3sRwLe3Va-12,oos_geometry,23,23,solid,0.1,3,3,0,0.0,0.5652173913043478,1.370862465083061,13;7;3
7y3sRwLe3Va-12,oos_geometry,23,23,solid,0.125,2,2,0,0.0,0.5652173913043478,0.9876925088958034,13;10
7y3sRwLe3Va-12,oos_geometry,23,23,solid,0.15,2,2,0,0.0,0.5652173913043478,0.9876925088958034,13;10
7y3sRwLe3Va-12,oos_geometry,23,23,solid,0.2,2,2,0,0.0,0.5652173913043478,0.9876925088958034,13;10
7y3sRwLe3Va-12,oos_geometry,23,23,linear_common,0.075,8,5,3,0.13043478260869565,0.2608695652173913,2.674460868536108,6;6;3;3;2;1;1;1
7y3sRwLe3Va-12,oos_geometry,23,23,linear_common,0.1,7,6,1,0.043478260869565216,0.2608695652173913,2.587504346796978,6;6;3;3;2;2;1
7y3sRwLe3Va-12,oos_geometry,23,23,linear_common,0.125,6,5,1,0.043478260869565216,0.5217391304347826,2.065765216362195,12;3;3;2;2;1
7y3sRwLe3Va-12,oos_geometry,23,23,linear_common,0.15,5,4,1,0.043478260869565216,0.5217391304347826,1.8918521728839341,12;4;3;3;1
7y3sRwLe3Va-12,oos_geometry,23,23,linear_common,0.2,2,2,0,0.0,0.5652173913043478,0.9876925088958034,13;10
B6ByNegPMKs-11,manual,24,24,spherical,0.075,4,2,2,0.08333333333333333,0.5833333333333334,1.3640054628542206,14;8;1;1
B6ByNegPMKs-11,manual,24,24,spherical,0.1,4,2,2,0.08333333333333333,0.5833333333333334,1.3640054628542206,14;8;1;1
B6ByNegPMKs-11,manual,24,24,spherical,0.125,2,2,0,0.0,0.625,0.954434002924965,15;9
B6ByNegPMKs-11,manual,24,24,spherical,0.15,2,2,0,0.0,0.625,0.954434002924965,15;9
B6ByNegPMKs-11,manual,24,24,spherical,0.2,2,2,0,0.0,0.625,0.954434002924965,15;9
B6ByNegPMKs-11,manual,24,24,solid,0.075,4,2,2,0.08333333333333333,0.5833333333333334,1.3640054628542206,14;8;1;1
B6ByNegPMKs-11,manual,24,24,solid,0.1,3,2,1,0.041666666666666664,0.625,1.1431558784658322,15;8;1
B6ByNegPMKs-11,manual,24,24,solid,0.125,2,2,0,0.0,0.6666666666666666,0.9182958340544896,16;8
B6ByNegPMKs-11,manual,24,24,solid,0.15,2,2,0,0.0,0.6666666666666666,0.9182958340544896,16;8
B6ByNegPMKs-11,manual,24,24,solid,0.2,1,1,0,0.0,1.0,-0.0,24
B6ByNegPMKs-11,manual,24,24,linear_common,0.075,8,2,6,0.25,0.4583333333333333,2.1805778232455935,11;7;1;1;1;1;1;1
B6ByNegPMKs-11,manual,24,24,linear_common,0.1,6,3,3,0.125,0.5,1.8903360647604437,12;7;2;1;1;1
B6ByNegPMKs-11,manual,24,24,linear_common,0.125,4,3,1,0.041666666666666664,0.5416666666666666,1.497224320061398,13;8;2;1
B6ByNegPMKs-11,manual,24,24,linear_common,0.15,4,3,1,0.041666666666666664,0.5416666666666666,1.497224320061398,13;8;2;1
B6ByNegPMKs-11,manual,24,24,linear_common,0.2,3,2,1,0.041666666666666664,0.625,1.1431558784658322,15;8;1
B6ByNegPMKs-21,manual,5,5,spherical,0.075,1,1,0,0.0,1.0,-0.0,5
B6ByNegPMKs-21,manual,5,5,spherical,0.1,1,1,0,0.0,1.0,-0.0,5
B6ByNegPMKs-21,manual,5,5,spherical,0.125,1,1,0,0.0,1.0,-0.0,5
B6ByNegPMKs-21,manual,5,5,spherical,0.15,1,1,0,0.0,1.0,-0.0,5
B6ByNegPMKs-21,manual,5,5,spherical,0.2,1,1,0,0.0,1.0,-0.0,5
B6ByNegPMKs-21,manual,5,5,solid,0.075,1,1,0,0.0,1.0,-0.0,5
B6ByNegPMKs-21,manual,5,5,solid,0.1,1,1,0,0.0,1.0,-0.0,5
B6ByNegPMKs-21,manual,5,5,solid,0.125,1,1,0,0.0,1.0,-0.0,5
B6ByNegPMKs-21,manual,5,5,solid,0.15,1,1,0,0.0,1.0,-0.0,5
B6ByNegPMKs-21,manual,5,5,solid,0.2,1,1,0,0.0,1.0,-0.0,5
B6ByNegPMKs-21,manual,5,5,linear_common,0.075,2,1,1,0.2,0.8,0.7219280948873623,4;1
B6ByNegPMKs-21,manual,5,5,linear_common,0.1,1,1,0,0.0,1.0,-0.0,5
B6ByNegPMKs-21,manual,5,5,linear_common,0.125,1,1,0,0.0,1.0,-0.0,5
B6ByNegPMKs-21,manual,5,5,linear_common,0.15,1,1,0,0.0,1.0,-0.0,5
B6ByNegPMKs-21,manual,5,5,linear_common,0.2,1,1,0,0.0,1.0,-0.0,5
B6ByNegPMKs-21,semi,4,4,spherical,0.075,1,1,0,0.0,1.0,-0.0,4
B6ByNegPMKs-21,semi,4,4,spherical,0.1,1,1,0,0.0,1.0,-0.0,4
B6ByNegPMKs-21,semi,4,4,spherical,0.125,1,1,0,0.0,1.0,-0.0,4
B6ByNegPMKs-21,semi,4,4,spherical,0.15,1,1,0,0.0,1.0,-0.0,4
B6ByNegPMKs-21,semi,4,4,spherical,0.2,1,1,0,0.0,1.0,-0.0,4
B6ByNegPMKs-21,semi,4,4,solid,0.075,1,1,0,0.0,1.0,-0.0,4
B6ByNegPMKs-21,semi,4,4,solid,0.1,1,1,0,0.0,1.0,-0.0,4
B6ByNegPMKs-21,semi,4,4,solid,0.125,1,1,0,0.0,1.0,-0.0,4
B6ByNegPMKs-21,semi,4,4,solid,0.15,1,1,0,0.0,1.0,-0.0,4
B6ByNegPMKs-21,semi,4,4,solid,0.2,1,1,0,0.0,1.0,-0.0,4
B6ByNegPMKs-21,semi,4,4,linear_common,0.075,1,1,0,0.0,1.0,-0.0,4
B6ByNegPMKs-21,semi,4,4,linear_common,0.1,1,1,0,0.0,1.0,-0.0,4
B6ByNegPMKs-21,semi,4,4,linear_common,0.125,1,1,0,0.0,1.0,-0.0,4
B6ByNegPMKs-21,semi,4,4,linear_common,0.15,1,1,0,0.0,1.0,-0.0,4
B6ByNegPMKs-21,semi,4,4,linear_common,0.2,1,1,0,0.0,1.0,-0.0,4
B6ByNegPMKs-22,semi,24,24,spherical,0.075,8,4,4,0.16666666666666666,0.5416666666666666,2.21577067413792,13;3;2;2;1;1;1;1
B6ByNegPMKs-22,semi,24,24,spherical,0.1,5,5,0,0.0,0.5416666666666666,1.8824373408045867,13;4;3;2;2
B6ByNegPMKs-22,semi,24,24,spherical,0.125,4,4,0,0.0,0.6666666666666666,1.4182958340544896,16;4;2;2
B6ByNegPMKs-22,semi,24,24,spherical,0.15,4,4,0,0.0,0.6666666666666666,1.4182958340544896,16;4;2;2
B6ByNegPMKs-22,semi,24,24,spherical,0.2,2,2,0,0.0,0.8333333333333334,0.6500224216483541,20;4
B6ByNegPMKs-22,semi,24,24,solid,0.075,5,5,0,0.0,0.5416666666666666,1.8824373408045867,13;4;3;2;2
B6ByNegPMKs-22,semi,24,24,solid,0.1,4,4,0,0.0,0.6666666666666666,1.4182958340544896,16;4;2;2
B6ByNegPMKs-22,semi,24,24,solid,0.125,3,3,0,0.0,0.6666666666666666,1.188721875540867,16;6;2
B6ByNegPMKs-22,semi,24,24,solid,0.15,3,3,0,0.0,0.6666666666666666,1.188721875540867,16;6;2
B6ByNegPMKs-22,semi,24,24,solid,0.2,2,2,0,0.0,0.9166666666666666,0.41381685030363374,22;2
B6ByNegPMKs-22,semi,24,24,linear_common,0.075,9,3,6,0.25,0.5416666666666666,2.299104007471253,13;3;2;1;1;1;1;1;1
B6ByNegPMKs-22,semi,24,24,linear_common,0.1,8,4,4,0.16666666666666666,0.5416666666666666,2.2157706741379197,13;3;2;2;1;1;1;1
B6ByNegPMKs-22,semi,24,24,linear_common,0.125,8,4,4,0.16666666666666666,0.5416666666666666,2.2157706741379197,13;3;2;2;1;1;1;1
B6ByNegPMKs-22,semi,24,24,linear_common,0.15,6,4,2,0.08333333333333333,0.5833333333333334,1.8640054628542204,14;4;2;2;1;1
B6ByNegPMKs-22,semi,24,24,linear_common,0.2,5,5,0,0.0,0.5833333333333334,1.780672129520887,14;4;2;2;2
UwV83HsGsw3-06,oos_geometry,24,22,spherical,0.075,11,6,5,0.22727272727272727,0.22727272727272727,3.226730915057127,5;3;3;2;2;2;1;1;1;1;1
UwV83HsGsw3-06,oos_geometry,24,22,spherical,0.1,10,5,5,0.22727272727272727,0.22727272727272727,3.0449127332389447,5;4;3;3;2;1;1;1;1;1
UwV83HsGsw3-06,oos_geometry,24,22,spherical,0.125,7,4,3,0.13636363636363635,0.3181818181818182,2.4066470977859256,7;6;4;2;1;1;1
UwV83HsGsw3-06,oos_geometry,24,22,spherical,0.15,6,3,3,0.13636363636363635,0.45454545454545453,1.9653059184883495,10;7;2;1;1;1
UwV83HsGsw3-06,oos_geometry,24,22,spherical,0.2,6,3,3,0.13636363636363635,0.45454545454545453,1.9653059184883495,10;7;2;1;1;1
UwV83HsGsw3-06,oos_geometry,24,22,solid,0.075,11,5,6,0.2727272727272727,0.18181818181818182,3.2089873002588,4;4;3;3;2;1;1;1;1;1;1
UwV83HsGsw3-06,oos_geometry,24,22,solid,0.1,9,5,4,0.18181818181818182,0.22727272727272727,2.897407619700921,5;4;4;3;2;1;1;1;1
UwV83HsGsw3-06,oos_geometry,24,22,solid,0.125,6,3,3,0.13636363636363635,0.45454545454545453,1.9653059184883495,10;7;2;1;1;1
UwV83HsGsw3-06,oos_geometry,24,22,solid,0.15,6,3,3,0.13636363636363635,0.45454545454545453,1.9653059184883495,10;7;2;1;1;1
UwV83HsGsw3-06,oos_geometry,24,22,solid,0.2,5,3,2,0.09090909090909091,0.45454545454545453,1.7676461209612235,10;8;2;1;1
UwV83HsGsw3-06,oos_geometry,24,22,linear_common,0.075,14,5,9,0.4090909090909091,0.18181818181818182,3.606936732175321,4;3;2;2;2;1;1;1;1;1;1;1;1;1
UwV83HsGsw3-06,oos_geometry,24,22,linear_common,0.1,12,6,6,0.2727272727272727,0.18181818181818182,3.368522527728206,4;4;2;2;2;2;1;1;1;1;1;1
UwV83HsGsw3-06,oos_geometry,24,22,linear_common,0.125,8,4,4,0.18181818181818182,0.3181818181818182,2.491114850055186,7;7;2;2;1;1;1;1
UwV83HsGsw3-06,oos_geometry,24,22,linear_common,0.15,7,4,3,0.13636363636363635,0.3181818181818182,2.3658926908659366,7;7;3;2;1;1;1
UwV83HsGsw3-06,oos_geometry,24,22,linear_common,0.2,6,4,2,0.09090909090909091,0.36363636363636365,2.168232893338811,8;7;3;2;1;1
UwV83HsGsw3-08,oos_geometry,23,20,spherical,0.075,8,6,2,0.1,0.25,2.8037016960573484,5;4;3;2;2;2;1;1
UwV83HsGsw3-08,oos_geometry,23,20,spherical,0.1,6,4,2,0.1,0.3,2.3282129458410017,6;5;4;3;1;1
UwV83HsGsw3-08,oos_geometry,23,20,spherical,0.125,6,4,2,0.1,0.3,2.3282129458410017,6;5;4;3;1;1
UwV83HsGsw3-08,oos_geometry,23,20,spherical,0.15,4,3,1,0.05,0.4,1.7393538721672006,8;7;4;1
UwV83HsGsw3-08,oos_geometry,23,20,spherical,0.2,4,3,1,0.05,0.4,1.7393538721672006,8;7;4;1
UwV83HsGsw3-08,oos_geometry,23,20,solid,0.075,7,5,2,0.1,0.25,2.6037016960573487,5;4;4;3;2;1;1
UwV83HsGsw3-08,oos_geometry,23,20,solid,0.1,5,3,2,0.1,0.4,1.9464393446710153,8;6;4;1;1
UwV83HsGsw3-08,oos_geometry,23,20,solid,0.125,4,4,0,0.0,0.4,1.8464393446710154,8;6;4;2
UwV83HsGsw3-08,oos_geometry,23,20,solid,0.15,4,4,0,0.0,0.4,1.8464393446710154,8;6;4;2
UwV83HsGsw3-08,oos_geometry,23,20,solid,0.2,2,2,0,0.0,0.6,0.9709505944546686,12;8
UwV83HsGsw3-08,oos_geometry,23,20,linear_common,0.075,13,4,9,0.45,0.25,3.4414460711655215,5;2;2;2;1;1;1;1;1;1;1;1;1
UwV83HsGsw3-08,oos_geometry,23,20,linear_common,0.1,10,5,5,0.25,0.25,3.0659573209491744,5;3;3;2;2;1;1;1;1;1
UwV83HsGsw3-08,oos_geometry,23,20,linear_common,0.125,7,5,2,0.1,0.3,2.5282129458410014,6;5;3;2;2;1;1
UwV83HsGsw3-08,oos_geometry,23,20,linear_common,0.15,4,4,0,0.0,0.35,1.8812908992306925,7;7;3;3
UwV83HsGsw3-08,oos_geometry,23,20,linear_common,0.2,3,3,0,0.0,0.5,1.4406454496153462,10;7;3
UwV83HsGsw3-23,oos_geometry,24,23,spherical,0.075,7,4,3,0.13043478260869565,0.43478260869565216,2.296636697410334,10;4;4;2;1;1;1
UwV83HsGsw3-23,oos_geometry,24,23,spherical,0.1,6,3,3,0.13043478260869565,0.5217391304347826,1.95749456437641,12;4;4;1;1;1
UwV83HsGsw3-23,oos_geometry,24,23,spherical,0.125,5,2,3,0.13043478260869565,0.5217391304347826,1.6096684774198882,12;8;1;1;1
UwV83HsGsw3-23,oos_geometry,24,23,spherical,0.15,5,2,3,0.13043478260869565,0.5217391304347826,1.6096684774198882,12;8;1;1;1
UwV83HsGsw3-23,oos_geometry,24,23,spherical,0.2,3,2,1,0.043478260869565216,0.8695652173913043,0.6784070909375675,20;2;1
UwV83HsGsw3-23,oos_geometry,24,23,solid,0.075,6,3,3,0.13043478260869565,0.5217391304347826,1.95749456437641,12;4;4;1;1;1
UwV83HsGsw3-23,oos_geometry,24,23,solid,0.1,5,2,3,0.13043478260869565,0.5217391304347826,1.6096684774198882,12;8;1;1;1
UwV83HsGsw3-23,oos_geometry,24,23,solid,0.125,5,2,3,0.13043478260869565,0.5217391304347826,1.6096684774198882,12;8;1;1;1
UwV83HsGsw3-23,oos_geometry,24,23,solid,0.15,4,1,3,0.13043478260869565,0.8695652173913043,0.7653636126766978,20;1;1;1
UwV83HsGsw3-23,oos_geometry,24,23,solid,0.2,3,2,1,0.043478260869565216,0.8695652173913043,0.6784070909375675,20;2;1
UwV83HsGsw3-23,oos_geometry,24,23,linear_common,0.075,9,4,5,0.21739130434782608,0.34782608695652173,2.718789129781929,8;4;3;3;1;1;1;1;1
UwV83HsGsw3-23,oos_geometry,24,23,linear_common,0.1,8,4,4,0.17391304347826086,0.34782608695652173,2.577697282049906,8;4;4;3;1;1;1;1
UwV83HsGsw3-23,oos_geometry,24,23,linear_common,0.125,7,3,4,0.17391304347826086,0.5217391304347826,2.0985864121084328,12;4;3;1;1;1;1
UwV83HsGsw3-23,oos_geometry,24,23,linear_common,0.15,6,2,4,0.17391304347826086,0.5217391304347826,1.7987343707067043,12;7;1;1;1;1
UwV83HsGsw3-23,oos_geometry,24,23,linear_common,0.2,3,2,1,0.043478260869565216,0.8260869565217391,0.8076702057269436,19;3;1
X7HyMhZNoso-19,manual,5,5,spherical,0.075,1,1,0,0.0,1.0,-0.0,5
X7HyMhZNoso-19,manual,5,5,spherical,0.1,1,1,0,0.0,1.0,-0.0,5
X7HyMhZNoso-19,manual,5,5,spherical,0.125,1,1,0,0.0,1.0,-0.0,5
X7HyMhZNoso-19,manual,5,5,spherical,0.15,1,1,0,0.0,1.0,-0.0,5
X7HyMhZNoso-19,manual,5,5,spherical,0.2,1,1,0,0.0,1.0,-0.0,5
X7HyMhZNoso-19,manual,5,5,solid,0.075,1,1,0,0.0,1.0,-0.0,5
X7HyMhZNoso-19,manual,5,5,solid,0.1,1,1,0,0.0,1.0,-0.0,5
X7HyMhZNoso-19,manual,5,5,solid,0.125,1,1,0,0.0,1.0,-0.0,5
X7HyMhZNoso-19,manual,5,5,solid,0.15,1,1,0,0.0,1.0,-0.0,5
X7HyMhZNoso-19,manual,5,5,solid,0.2,1,1,0,0.0,1.0,-0.0,5
X7HyMhZNoso-19,manual,5,5,linear_common,0.075,2,1,1,0.2,0.8,0.7219280948873623,4;1
X7HyMhZNoso-19,manual,5,5,linear_common,0.1,1,1,0,0.0,1.0,-0.0,5
X7HyMhZNoso-19,manual,5,5,linear_common,0.125,1,1,0,0.0,1.0,-0.0,5
X7HyMhZNoso-19,manual,5,5,linear_common,0.15,1,1,0,0.0,1.0,-0.0,5
X7HyMhZNoso-19,manual,5,5,linear_common,0.2,1,1,0,0.0,1.0,-0.0,5
X7HyMhZNoso-19,semi,4,4,spherical,0.075,2,1,1,0.25,0.75,0.8112781244591328,3;1
X7HyMhZNoso-19,semi,4,4,spherical,0.1,2,1,1,0.25,0.75,0.8112781244591328,3;1
X7HyMhZNoso-19,semi,4,4,spherical,0.125,1,1,0,0.0,1.0,-0.0,4
X7HyMhZNoso-19,semi,4,4,spherical,0.15,1,1,0,0.0,1.0,-0.0,4
X7HyMhZNoso-19,semi,4,4,spherical,0.2,1,1,0,0.0,1.0,-0.0,4
X7HyMhZNoso-19,semi,4,4,solid,0.075,2,1,1,0.25,0.75,0.8112781244591328,3;1
X7HyMhZNoso-19,semi,4,4,solid,0.1,1,1,0,0.0,1.0,-0.0,4
X7HyMhZNoso-19,semi,4,4,solid,0.125,1,1,0,0.0,1.0,-0.0,4
X7HyMhZNoso-19,semi,4,4,solid,0.15,1,1,0,0.0,1.0,-0.0,4
X7HyMhZNoso-19,semi,4,4,solid,0.2,1,1,0,0.0,1.0,-0.0,4
X7HyMhZNoso-19,semi,4,4,linear_common,0.075,3,1,2,0.5,0.5,1.5,2;1;1
X7HyMhZNoso-19,semi,4,4,linear_common,0.1,2,1,1,0.25,0.75,0.8112781244591328,3;1
X7HyMhZNoso-19,semi,4,4,linear_common,0.125,1,1,0,0.0,1.0,-0.0,4
X7HyMhZNoso-19,semi,4,4,linear_common,0.15,1,1,0,0.0,1.0,-0.0,4
X7HyMhZNoso-19,semi,4,4,linear_common,0.2,1,1,0,0.0,1.0,-0.0,4
b8cTxDM8gDG-19,oos_geometry,23,23,spherical,0.075,7,5,2,0.08695652173913043,0.34782608695652173,2.490740760310775,8;4;4;3;2;1;1
b8cTxDM8gDG-19,oos_geometry,23,23,spherical,0.1,3,3,0,0.0,0.5217391304347826,1.3257847812033308,12;9;2
b8cTxDM8gDG-19,oos_geometry,23,23,spherical,0.125,3,3,0,0.0,0.5217391304347826,1.3257847812033308,12;9;2
