code,image_id,condition,N,k,local_radius,ospa_uncovered,local_uncovered,ospa_covered_but_local_uncovered,local_covered_but_ospa_uncovered
7y3sRwLe3Va-17,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,manual,5,4,12.0,0.6,0.6,0.0,0.0
7y3sRwLe3Va-18,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,6,2,6.0,0.7333333333333334,0.8666666666666666,0.1333333333333332,0.0
7y3sRwLe3Va-18,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,6,2,9.0,0.7333333333333334,0.8666666666666666,0.1333333333333332,0.0
7y3sRwLe3Va-18,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,6,2,12.0,0.7333333333333334,0.8666666666666666,0.1333333333333332,0.0
7y3sRwLe3Va-18,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,6,4,6.0,0.4666666666666666,0.7333333333333334,0.2666666666666668,0.0
7y3sRwLe3Va-18,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,6,4,9.0,0.4666666666666666,0.7333333333333334,0.2666666666666668,0.0
7y3sRwLe3Va-18,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,6,4,12.0,0.4666666666666666,0.7333333333333334,0.2666666666666668,0.0
7y3sRwLe3Va-19,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,6,2,6.0,0.39999999999999997,0.39999999999999997,0.0,0.0
7y3sRwLe3Va-19,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,6,2,9.0,0.39999999999999997,0.39999999999999997,0.0,0.0
7y3sRwLe3Va-19,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,6,2,12.0,0.39999999999999997,0.39999999999999997,0.0,0.0
7y3sRwLe3Va-19,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,6,4,6.0,0.3333333333333333,0.3333333333333333,0.0,0.0
7y3sRwLe3Va-19,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,6,4,9.0,0.3333333333333333,0.3333333333333333,0.0,0.0
7y3sRwLe3Va-19,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,6,4,12.0,0.3333333333333333,0.3333333333333333,0.0,0.0
7y3sRwLe3Va-19,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,semi,4,2,6.0,0.0,0.0,0.0,0.0
7y3sRwLe3Va-19,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,semi,4,2,9.0,0.0,0.0,0.0,0.0
7y3sRwLe3Va-19,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,semi,4,2,12.0,0.0,0.0,0.0,0.0
7y3sRwLe3Va-21,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,manual,5,2,6.0,0.5,1.0,0.5,0.0
7y3sRwLe3Va-21,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,manual,5,2,9.0,0.5,0.6333333333333333,0.1333333333333333,0.0
7y3sRwLe3Va-21,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,manual,5,2,12.0,0.5,0.36666666666666664,0.09999999999999992,0.23333333333333328
7y3sRwLe3Va-21,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,manual,5,4,6.0,0.4,1.0,0.6,0.0
7y3sRwLe3Va-21,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,manual,5,4,9.0,0.4,0.4,0.0,0.0
7y3sRwLe3Va-21,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,manual,5,4,12.0,0.4,0.2,0.0,0.2
7y3sRwLe3Va-21,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,semi,4,2,6.0,0.25,0.6666666666666666,0.41666666666666663,0.0
7y3sRwLe3Va-21,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,semi,4,2,9.0,0.25,0.25,0.25,0.25
7y3sRwLe3Va-21,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,semi,4,2,12.0,0.25,0.25,0.25,0.25
7y3sRwLe3Va-22,7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,manual,5,2,6.0,0.5,0.5,0.0,0.0
7y3sRwLe3Va-22,7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,manual,5,2,9.0,0.5,0.5,0.0,0.0
7y3sRwLe3Va-22,7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,manual,5,2,12.0,0.5,0.5,0.0,0.0
7y3sRwLe3Va-22,7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,manual,5,4,6.0,0.4,0.4,0.0,0.0
7y3sRwLe3Va-22,7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,manual,5,4,9.0,0.4,0.4,0.0,0.0
7y3sRwLe3Va-22,7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,manual,5,4,12.0,0.4,0.4,0.0,0.0
7y3sRwLe3Va-23,7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,manual,5,2,6.0,0.2,0.4666666666666666,0.2666666666666666,0.0
7y3sRwLe3Va-23,7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,manual,5,2,9.0,0.2,0.2,0.0,0.0
7y3sRwLe3Va-23,7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,manual,5,2,12.0,0.2,0.2,0.0,0.0
7y3sRwLe3Va-23,7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,manual,5,4,6.0,0.2,0.2,0.0,0.0
7y3sRwLe3Va-23,7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,manual,5,4,9.0,0.2,0.2,0.0,0.0
7y3sRwLe3Va-23,7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,manual,5,4,12.0,0.2,0.2,0.0,0.0
7y3sRwLe3Va-26,7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,manual,5,2,6.0,0.1,0.6333333333333333,0.5333333333333333,0.0
7y3sRwLe3Va-26,7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,manual,5,2,9.0,0.1,0.2,0.1,0.0
7y3sRwLe3Va-26,7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,manual,5,2,12.0,0.1,0.2,0.1,0.0
7y3sRwLe3Va-26,7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,manual,5,4,6.0,0.0,0.4,0.4,0.0
7y3sRwLe3Va-26,7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,manual,5,4,9.0,0.0,0.2,0.2,0.0
7y3sRwLe3Va-26,7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,manual,5,4,12.0,0.0,0.2,0.2,0.0
B6ByNegPMKs-10,B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,24,2,6.0,0.1948287220026351,0.5128458498023715,0.31801712779973634,0.0
B6ByNegPMKs-10,B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,24,2,9.0,0.1948287220026351,0.2951251646903821,0.10029644268774698,0.0
B6ByNegPMKs-10,B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,24,2,12.0,0.1948287220026351,0.1793478260869565,0.0037878787878787845,0.019268774703557368
B6ByNegPMKs-10,B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,24,4,6.0,0.12173442499529456,0.359566158479202,0.2378317334839074,0.0
B6ByNegPMKs-10,B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,24,4,9.0,0.12173442499529456,0.18702710333145114,0.06529267833615658,0.0
B6ByNegPMKs-10,B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,24,4,12.0,0.12173442499529456,0.09220308676830415,0.00032938076416334783,0.029860718991153765
B6ByNegPMKs-10,B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,24,8,6.0,0.0657114624505929,0.24771192541922116,0.18200046296862826,0.0
B6ByNegPMKs-10,B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,24,8,9.0,0.0657114624505929,0.11017871540822143,0.04446725295762853,0.0
B6ByNegPMKs-10,B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,24,8,12.0,0.0657114624505929,0.032114624505928856,0.0,0.03359683794466404
B6ByNegPMKs-10,B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,24,12,6.0,0.03312629399585921,0.17675983436853002,0.14363354037267081,0.0
