code,image_id,condition,method,N,omitted_worker,changed_pairs,total_pairs
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,OSPA1_6,5,W010,0,6
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,OSPA1_6,5,W027,0,6
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,OSPA1_6,5,W028,0,6
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,OSPA1_6,5,W030,0,6
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,Hausdorff_6,5,W006,0,6
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,Hausdorff_6,5,W010,0,6
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,Hausdorff_6,5,W027,0,6
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,Hausdorff_6,5,W028,0,6
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,Hausdorff_6,5,W030,0,6
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,Hausdorff_9,5,W006,0,6
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,Hausdorff_9,5,W010,0,6
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,Hausdorff_9,5,W027,0,6
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,Hausdorff_9,5,W028,0,6
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,Hausdorff_9,5,W030,0,6
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,Hausdorff_12,5,W006,0,6
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,Hausdorff_12,5,W010,0,6
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,Hausdorff_12,5,W027,0,6
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,Hausdorff_12,5,W028,0,6
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,Hausdorff_12,5,W030,0,6
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,OSPA1_6_AND_H9,5,W006,0,6
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,OSPA1_6_AND_H9,5,W010,0,6
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,OSPA1_6_AND_H9,5,W027,0,6
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,OSPA1_6_AND_H9,5,W028,0,6
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,OSPA1_6_AND_H9,5,W030,0,6
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,OSPA1_6,24,W001,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,OSPA1_6,24,W002,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,OSPA1_6,24,W006,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,OSPA1_6,24,W008,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,OSPA1_6,24,W010,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,OSPA1_6,24,W011,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,OSPA1_6,24,W012,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,OSPA1_6,24,W013,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,OSPA1_6,24,W014,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,OSPA1_6,24,W015,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,OSPA1_6,24,W017,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,OSPA1_6,24,W018,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,OSPA1_6,24,W021,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,OSPA1_6,24,W027,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,OSPA1_6,24,W028,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,OSPA1_6,24,W029,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,OSPA1_6,24,W030,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,OSPA1_6,24,W031,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,OSPA1_6,24,W032,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,OSPA1_6,24,W033,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,OSPA1_6,24,W034,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,OSPA1_6,24,W035,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,OSPA1_6,24,W036,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,OSPA1_6,24,W037,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_6,24,W001,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_6,24,W002,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_6,24,W006,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_6,24,W008,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_6,24,W010,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_6,24,W011,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_6,24,W012,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_6,24,W013,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_6,24,W014,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_6,24,W015,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_6,24,W017,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_6,24,W018,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_6,24,W021,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_6,24,W027,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_6,24,W028,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_6,24,W029,22,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_6,24,W030,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_6,24,W031,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_6,24,W032,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_6,24,W033,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_6,24,W034,22,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_6,24,W035,22,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_6,24,W036,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_6,24,W037,42,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_9,24,W001,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_9,24,W002,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_9,24,W006,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_9,24,W008,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_9,24,W010,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_9,24,W011,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_9,24,W012,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_9,24,W013,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_9,24,W014,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_9,24,W015,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_9,24,W017,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_9,24,W018,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_9,24,W021,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_9,24,W027,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_9,24,W028,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_9,24,W029,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_9,24,W030,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_9,24,W031,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_9,24,W032,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_9,24,W033,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_9,24,W034,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_9,24,W035,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_9,24,W036,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_9,24,W037,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_12,24,W001,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_12,24,W002,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_12,24,W006,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_12,24,W008,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_12,24,W010,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_12,24,W011,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_12,24,W012,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_12,24,W013,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_12,24,W014,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_12,24,W015,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_12,24,W017,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_12,24,W018,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_12,24,W021,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_12,24,W027,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_12,24,W028,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_12,24,W029,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_12,24,W030,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_12,24,W031,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_12,24,W032,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_12,24,W033,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_12,24,W034,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_12,24,W035,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_12,24,W036,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Hausdorff_12,24,W037,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,OSPA1_6_AND_H9,24,W001,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,OSPA1_6_AND_H9,24,W002,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,OSPA1_6_AND_H9,24,W006,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,OSPA1_6_AND_H9,24,W008,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,OSPA1_6_AND_H9,24,W010,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,OSPA1_6_AND_H9,24,W011,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,OSPA1_6_AND_H9,24,W012,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,OSPA1_6_AND_H9,24,W013,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,OSPA1_6_AND_H9,24,W014,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,OSPA1_6_AND_H9,24,W015,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,OSPA1_6_AND_H9,24,W017,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,OSPA1_6_AND_H9,24,W018,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,OSPA1_6_AND_H9,24,W021,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,OSPA1_6_AND_H9,24,W027,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,OSPA1_6_AND_H9,24,W028,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,OSPA1_6_AND_H9,24,W029,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,OSPA1_6_AND_H9,24,W030,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,OSPA1_6_AND_H9,24,W031,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,OSPA1_6_AND_H9,24,W032,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,OSPA1_6_AND_H9,24,W033,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,OSPA1_6_AND_H9,24,W034,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,OSPA1_6_AND_H9,24,W035,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,OSPA1_6_AND_H9,24,W036,0,253
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,OSPA1_6_AND_H9,24,W037,0,253
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,OSPA1_6,24,W001,0,253
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,OSPA1_6,24,W002,0,253
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,OSPA1_6,24,W006,0,253
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,OSPA1_6,24,W008,0,253
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,OSPA1_6,24,W010,0,253
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,OSPA1_6,24,W011,0,253
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,OSPA1_6,24,W012,0,253
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,OSPA1_6,24,W013,0,253
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,OSPA1_6,24,W014,0,253
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,OSPA1_6,24,W015,0,253
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,OSPA1_6,24,W017,0,253
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,OSPA1_6,24,W018,0,253
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,OSPA1_6,24,W021,0,253
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,OSPA1_6,24,W027,0,253
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,OSPA1_6,24,W028,0,253
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,OSPA1_6,24,W029,0,253
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,OSPA1_6,24,W030,36,253
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,OSPA1_6,24,W031,0,253
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,OSPA1_6,24,W032,0,253
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,OSPA1_6,24,W033,0,253
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,OSPA1_6,24,W034,0,253
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,OSPA1_6,24,W035,0,253
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,OSPA1_6,24,W036,0,253
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,OSPA1_6,24,W037,0,253
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,Hausdorff_6,24,W001,2,253
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,Hausdorff_6,24,W002,2,253
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,Hausdorff_6,24,W006,0,253
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,Hausdorff_6,24,W008,5,253
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,Hausdorff_6,24,W010,0,253
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,Hausdorff_6,24,W011,0,253
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,Hausdorff_6,24,W012,0,253
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,Hausdorff_6,24,W013,0,253
