image_id,condition,code,id_a,id_b,worker_a,worker_b,n_a,n_b,legacy,stable,delta,local_max_stable,cardinality_floor
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,9c8a68204bbf22bf,f25bd8df99652c2b,W001,W035,8,8,1.692300633351075,1.6923006333509907,-8.43769498715119e-14,3.7049635799121883,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,9c8a68204bbf22bf,4bfc0d70b116500c,W001,W036,8,8,2.0421016328851715,2.0421016328850983,-7.327471962526033e-14,3.2844149100599696,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,9c8a68204bbf22bf,922f49b7c63582f6,W001,W037,8,8,2.7539487459161487,2.753948745916161,1.2434497875801753e-14,4.709789334902859,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,f5958e31992e703a,59650fcf724f11bc,W002,W006,8,8,0.7753688735386317,0.7753688735390714,4.39648317751562e-13,2.5559653051456124,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,f5958e31992e703a,13d54802362fd649,W002,W008,8,8,0.7456761972538101,0.7456761972537416,-6.850076061937216e-14,1.25578809548131,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,f5958e31992e703a,84b0461c974c6f08,W002,W010,8,8,0.7785390705428542,0.7785390705424974,-3.568256801145253e-13,1.1700143123983235,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,f5958e31992e703a,b36f0dc2bb36d9b6,W002,W011,8,8,0.8671726056024711,0.8671726056024283,-4.285460875053104e-14,1.369808728597331,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,f5958e31992e703a,e43b14b1a0c01b0f,W002,W012,8,8,1.606568102272313,1.6065681022722367,-7.638334409421077e-14,2.456999139736722,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,f5958e31992e703a,a73527487e1ba30e,W002,W013,8,8,0.7753688735386317,0.7753688735390714,4.39648317751562e-13,2.5559653051456124,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,f5958e31992e703a,9bf982556e9845da,W002,W014,8,8,0.7753688735386317,0.7753688735390714,4.39648317751562e-13,2.5559653051456124,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,f5958e31992e703a,6c26d77b8fe5e104,W002,W015,8,8,0.4962830940155729,0.49628309401585924,2.8632651805082787e-13,0.8972292670411851,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,f5958e31992e703a,cbfa1db9b3b7ec4d,W002,W017,8,8,0.4962830940155729,0.49628309401585924,2.8632651805082787e-13,0.8972292670411851,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,f5958e31992e703a,b86432f92a43add3,W002,W018,8,8,3.6437069527861524e-07,0.0,-3.6437069527861524e-07,0.0,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,f5958e31992e703a,9130e3a10b708f2c,W002,W021,8,8,0.8671726056024711,0.8671726056024283,-4.285460875053104e-14,1.369808728597331,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,f5958e31992e703a,2099f09dd0969482,W002,W027,8,8,1.1082590028452908,1.1082590028452985,7.771561172376096e-15,1.872956664717826,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,f5958e31992e703a,3040d441f80810e4,W002,W028,8,8,0.7685393304798334,0.7685393304798571,2.375877272697835e-14,1.3665719778691212,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,f5958e31992e703a,be7a92e1f36d2292,W002,W029,8,8,1.763301769490374,1.7633017694901278,-2.462474668618597e-13,4.300574638159271,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,f5958e31992e703a,674ea0b8b27fa7c7,W002,W030,8,8,1.3329966535413984,1.3329966535413347,-6.372680161348399e-14,2.0803156697678675,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,f5958e31992e703a,9c964b13299f32cb,W002,W031,8,8,0.5389672609191297,0.5389672609186171,-5.125899704694348e-13,1.1943869817067625,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,f5958e31992e703a,6a317a400188cb9b,W002,W032,8,8,0.4660123606470478,0.46601236064707585,2.8033131371785203e-14,0.846275067984269,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,f5958e31992e703a,5f9c3715d22ae336,W002,W033,8,8,1.0808413207820289,1.0808413207820544,2.55351295663786e-14,2.0324864466913177,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,f5958e31992e703a,2c487c4855775399,W002,W034,8,8,1.2886031351282368,1.2886031351281448,-9.192646643896296e-14,2.363592330800922,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,f5958e31992e703a,f25bd8df99652c2b,W002,W035,8,8,1.6340772911944923,1.634077291194402,-9.037215420448774e-14,3.0249022593698602,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,f5958e31992e703a,4bfc0d70b116500c,W002,W036,8,8,0.808481335532161,0.8084813355317868,-3.7414515929867775e-13,2.118945002852306,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,f5958e31992e703a,922f49b7c63582f6,W002,W037,8,8,1.4487496669141051,1.4487496669143596,2.544631172440859e-13,2.408171109262026,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,59650fcf724f11bc,13d54802362fd649,W006,W008,8,8,1.0530662475501935,1.0530662475506476,4.54081217071689e-13,1.620981256194969,0.0
