code,image_id,building,condition,method,N,clusters,supported,singletons,singleton_mass,largest_share,sizes,compatible_pairs,compatible_pairs_split,open_triangles,total_triples
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va,oos,Hausdorff_6,24,16,5,11,0.4583333333333333,0.20833333333333334,5;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1,23,9,14,2024
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va,oos,Hausdorff_9,24,14,5,9,0.375,0.20833333333333334,5;4;2;2;2;1;1;1;1;1;1;1;1;1,27,8,8,2024
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va,oos,Hausdorff_12,24,13,4,9,0.375,0.2916666666666667,7;4;2;2;1;1;1;1;1;1;1;1;1,29,0,0,2024
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va,oos,OSPA1_6_AND_H9,24,14,5,9,0.375,0.20833333333333334,5;4;2;2;2;1;1;1;1;1;1;1;1;1,27,8,8,2024
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va,oos,OSPA1_6,24,9,6,3,0.125,0.25,6;6;3;2;2;2;1;1;1,63,27,103,2024
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va,oos,Hausdorff_6,24,14,6,8,0.3333333333333333,0.16666666666666666,4;4;2;2;2;2;1;1;1;1;1;1;1;1,17,1,4,2024
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va,oos,Hausdorff_9,24,12,5,7,0.2916666666666667,0.16666666666666666,4;4;4;3;2;1;1;1;1;1;1;1,32,10,34,2024
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va,oos,Hausdorff_12,24,10,4,6,0.25,0.3333333333333333,8;4;3;3;1;1;1;1;1;1,61,21,62,2024
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va,oos,OSPA1_6_AND_H9,24,12,5,7,0.2916666666666667,0.16666666666666666,4;4;4;3;2;1;1;1;1;1;1;1,31,9,33,2024
7y3sRwLe3Va-13,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,OSPA1_6,24,5,3,2,0.08333333333333333,0.75,18;2;2;1;1,164,9,90,2024
7y3sRwLe3Va-13,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,Hausdorff_6,24,8,3,5,0.20833333333333334,0.625,15;2;2;1;1;1;1;1,107,0,0,2024
7y3sRwLe3Va-13,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,Hausdorff_9,24,8,3,5,0.20833333333333334,0.625,15;2;2;1;1;1;1;1,127,20,132,2024
7y3sRwLe3Va-13,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,Hausdorff_12,24,6,2,4,0.16666666666666666,0.7083333333333334,17;3;1;1;1;1,184,45,90,2024
7y3sRwLe3Va-13,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,OSPA1_6_AND_H9,24,8,3,5,0.20833333333333334,0.625,15;2;2;1;1;1;1;1,125,18,104,2024
7y3sRwLe3Va-17,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va,manual,OSPA1_6,5,4,1,3,0.6,0.4,2;1;1;1,1,0,0,10
7y3sRwLe3Va-17,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va,manual,Hausdorff_6,5,4,1,3,0.6,0.4,2;1;1;1,1,0,0,10
7y3sRwLe3Va-17,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va,manual,Hausdorff_9,5,4,1,3,0.6,0.4,2;1;1;1,1,0,0,10
7y3sRwLe3Va-17,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va,manual,Hausdorff_12,5,4,1,3,0.6,0.4,2;1;1;1,1,0,0,10
7y3sRwLe3Va-17,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va,manual,OSPA1_6_AND_H9,5,4,1,3,0.6,0.4,2;1;1;1,1,0,0,10
7y3sRwLe3Va-18,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va,manual,OSPA1_6,6,4,2,2,0.3333333333333333,0.3333333333333333,2;2;1;1,2,0,0,20
7y3sRwLe3Va-18,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va,manual,Hausdorff_6,6,5,1,4,0.6666666666666666,0.3333333333333333,2;1;1;1;1,1,0,0,20
7y3sRwLe3Va-18,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va,manual,Hausdorff_9,6,5,1,4,0.6666666666666666,0.3333333333333333,2;1;1;1;1,1,0,0,20
7y3sRwLe3Va-18,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va,manual,Hausdorff_12,6,5,1,4,0.6666666666666666,0.3333333333333333,2;1;1;1;1,1,0,0,20
7y3sRwLe3Va-18,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va,manual,OSPA1_6_AND_H9,6,5,1,4,0.6666666666666666,0.3333333333333333,2;1;1;1;1,1,0,0,20
7y3sRwLe3Va-19,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,manual,OSPA1_6,6,3,1,2,0.3333333333333333,0.6666666666666666,4;1;1,6,0,0,20
7y3sRwLe3Va-19,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,manual,Hausdorff_6,6,3,1,2,0.3333333333333333,0.6666666666666666,4;1;1,6,0,0,20
7y3sRwLe3Va-19,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,manual,Hausdorff_9,6,3,1,2,0.3333333333333333,0.6666666666666666,4;1;1,6,0,0,20
7y3sRwLe3Va-19,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,manual,Hausdorff_12,6,3,1,2,0.3333333333333333,0.6666666666666666,4;1;1,6,0,0,20
7y3sRwLe3Va-19,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,manual,OSPA1_6_AND_H9,6,3,1,2,0.3333333333333333,0.6666666666666666,4;1;1,6,0,0,20
7y3sRwLe3Va-19,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,semi,OSPA1_6,4,1,1,0,0.0,1.0,4,6,0,0,4
7y3sRwLe3Va-19,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,semi,Hausdorff_6,4,1,1,0,0.0,1.0,4,6,0,0,4
7y3sRwLe3Va-19,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,semi,Hausdorff_9,4,1,1,0,0.0,1.0,4,6,0,0,4
7y3sRwLe3Va-19,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,semi,Hausdorff_12,4,1,1,0,0.0,1.0,4,6,0,0,4
7y3sRwLe3Va-19,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,semi,OSPA1_6_AND_H9,4,1,1,0,0.0,1.0,4,6,0,0,4
7y3sRwLe3Va-21,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,manual,OSPA1_6,5,3,1,2,0.4,0.6,3;1;1,3,0,0,10
7y3sRwLe3Va-21,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,manual,Hausdorff_6,5,5,0,5,1.0,0.2,1;1;1;1;1,0,0,0,10
7y3sRwLe3Va-21,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,manual,Hausdorff_9,5,4,1,3,0.6,0.4,2;1;1;1,2,1,1,10
7y3sRwLe3Va-21,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,manual,Hausdorff_12,5,3,2,1,0.2,0.4,2;2;1,4,2,2,10
7y3sRwLe3Va-21,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,manual,OSPA1_6_AND_H9,5,4,1,3,0.6,0.4,2;1;1;1,2,1,1,10
7y3sRwLe3Va-21,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,semi,OSPA1_6,4,2,1,1,0.25,0.75,3;1,3,0,0,4
7y3sRwLe3Va-21,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,semi,Hausdorff_6,4,3,1,2,0.5,0.5,2;1;1,1,0,0,4
7y3sRwLe3Va-21,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,semi,Hausdorff_9,4,2,1,1,0.25,0.75,3;1,3,0,0,4
7y3sRwLe3Va-21,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,semi,Hausdorff_12,4,2,1,1,0.25,0.75,3;1,3,0,0,4
7y3sRwLe3Va-21,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,semi,OSPA1_6_AND_H9,4,3,1,2,0.5,0.5,2;1;1,1,0,0,4
7y3sRwLe3Va-22,7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,7y3sRwLe3Va,manual,OSPA1_6,5,3,1,2,0.4,0.6,3;1;1,3,0,0,10
7y3sRwLe3Va-22,7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,7y3sRwLe3Va,manual,Hausdorff_6,5,3,1,2,0.4,0.6,3;1;1,3,0,0,10
7y3sRwLe3Va-22,7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,7y3sRwLe3Va,manual,Hausdorff_9,5,3,1,2,0.4,0.6,3;1;1,3,0,0,10
7y3sRwLe3Va-22,7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,7y3sRwLe3Va,manual,Hausdorff_12,5,3,1,2,0.4,0.6,3;1;1,3,0,0,10
7y3sRwLe3Va-22,7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,7y3sRwLe3Va,manual,OSPA1_6_AND_H9,5,3,1,2,0.4,0.6,3;1;1,3,0,0,10
7y3sRwLe3Va-23,7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,7y3sRwLe3Va,manual,OSPA1_6,5,2,1,1,0.2,0.8,4;1,6,0,0,10
7y3sRwLe3Va-23,7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,7y3sRwLe3Va,manual,Hausdorff_6,5,3,2,1,0.2,0.4,2;2;1,3,1,2,10
7y3sRwLe3Va-23,7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,7y3sRwLe3Va,manual,Hausdorff_9,5,2,1,1,0.2,0.8,4;1,6,0,0,10
7y3sRwLe3Va-23,7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,7y3sRwLe3Va,manual,Hausdorff_12,5,2,1,1,0.2,0.8,4;1,6,0,0,10
7y3sRwLe3Va-23,7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,7y3sRwLe3Va,manual,OSPA1_6_AND_H9,5,2,1,1,0.2,0.8,4;1,6,0,0,10
7y3sRwLe3Va-26,7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,7y3sRwLe3Va,manual,OSPA1_6,5,2,1,1,0.2,0.8,4;1,7,1,3,10
7y3sRwLe3Va-26,7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,7y3sRwLe3Va,manual,Hausdorff_6,5,4,1,3,0.6,0.4,2;1;1;1,2,1,1,10
7y3sRwLe3Va-26,7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,7y3sRwLe3Va,manual,Hausdorff_9,5,2,1,1,0.2,0.8,4;1,6,0,0,10
7y3sRwLe3Va-26,7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,7y3sRwLe3Va,manual,Hausdorff_12,5,2,1,1,0.2,0.8,4;1,6,0,0,10
7y3sRwLe3Va-26,7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,7y3sRwLe3Va,manual,OSPA1_6_AND_H9,5,2,1,1,0.2,0.8,4;1,6,0,0,10
B6ByNegPMKs-10,B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,OSPA1_6,24,4,4,0,0.0,0.7083333333333334,17;3;2;2,176,35,35,2024
B6ByNegPMKs-10,B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,Hausdorff_6,24,7,5,2,0.08333333333333333,0.5,12;4;2;2;2;1;1,87,12,33,2024
B6ByNegPMKs-10,B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,Hausdorff_9,24,5,4,1,0.041666666666666664,0.625,15;4;2;2;1,143,30,47,2024
B6ByNegPMKs-10,B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,Hausdorff_12,24,3,3,0,0.0,0.7083333333333334,17;5;2,177,30,60,2024
B6ByNegPMKs-10,B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,OSPA1_6_AND_H9,24,5,5,0,0.0,0.625,15;3;2;2;2,143,32,47,2024
B6ByNegPMKs-11,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,OSPA1_6,24,3,2,1,0.041666666666666664,0.625,15;8;1,133,0,0,2024
B6ByNegPMKs-11,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,Hausdorff_6,24,8,4,4,0.16666666666666666,0.4166666666666667,10;6;2;2;1;1;1;1,87,25,88,2024
B6ByNegPMKs-11,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,Hausdorff_9,24,4,3,1,0.041666666666666664,0.5416666666666666,13;8;2;1,129,22,46,2024
B6ByNegPMKs-11,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,Hausdorff_12,24,3,2,1,0.041666666666666664,0.625,15;8;1,133,0,0,2024
B6ByNegPMKs-11,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,OSPA1_6_AND_H9,24,4,3,1,0.041666666666666664,0.5416666666666666,13;8;2;1,129,22,46,2024
B6ByNegPMKs-18,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,manual,OSPA1_6,5,2,1,1,0.2,0.8,4;1,6,0,0,10
B6ByNegPMKs-18,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,manual,Hausdorff_6,5,3,1,2,0.4,0.6,3;1;1,4,1,2,10
B6ByNegPMKs-18,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,manual,Hausdorff_9,5,2,1,1,0.2,0.8,4;1,6,0,0,10
B6ByNegPMKs-18,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,manual,Hausdorff_12,5,2,1,1,0.2,0.8,4;1,6,0,0,10
B6ByNegPMKs-18,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,manual,OSPA1_6_AND_H9,5,2,1,1,0.2,0.8,4;1,6,0,0,10
B6ByNegPMKs-18,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,semi,OSPA1_6,4,1,1,0,0.0,1.0,4,6,0,0,4
B6ByNegPMKs-18,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,semi,Hausdorff_6,4,2,1,1,0.25,0.75,3;1,3,0,0,4
B6ByNegPMKs-18,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,semi,Hausdorff_9,4,1,1,0,0.0,1.0,4,6,0,0,4
B6ByNegPMKs-18,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,semi,Hausdorff_12,4,1,1,0,0.0,1.0,4,6,0,0,4
B6ByNegPMKs-18,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,semi,OSPA1_6_AND_H9,4,1,1,0,0.0,1.0,4,6,0,0,4
B6ByNegPMKs-21,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,manual,OSPA1_6,5,1,1,0,0.0,1.0,5,10,0,0,10
B6ByNegPMKs-21,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,manual,Hausdorff_6,5,2,1,1,0.2,0.8,4;1,6,0,0,10
B6ByNegPMKs-21,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,manual,Hausdorff_9,5,2,1,1,0.2,0.8,4;1,6,0,0,10
B6ByNegPMKs-21,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,manual,Hausdorff_12,5,2,1,1,0.2,0.8,4;1,8,2,4,10
B6ByNegPMKs-21,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,manual,OSPA1_6_AND_H9,5,2,1,1,0.2,0.8,4;1,6,0,0,10
B6ByNegPMKs-21,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,semi,OSPA1_6,4,2,1,1,0.25,0.75,3;1,3,0,0,4
B6ByNegPMKs-21,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,semi,Hausdorff_6,4,3,1,2,0.5,0.5,2;1;1,1,0,0,4
B6ByNegPMKs-21,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,semi,Hausdorff_9,4,3,1,2,0.5,0.5,2;1;1,2,1,1,4
B6ByNegPMKs-21,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,semi,Hausdorff_12,4,2,1,1,0.25,0.75,3;1,3,0,0,4
B6ByNegPMKs-21,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,semi,OSPA1_6_AND_H9,4,3,1,2,0.5,0.5,2;1;1,2,1,1,4
B6ByNegPMKs-22,B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,semi,OSPA1_6,24,1,1,0,0.0,1.0,24,276,0,0,2024
B6ByNegPMKs-22,B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,semi,Hausdorff_6,24,3,3,0,0.0,0.5833333333333334,14;7;3,250,135,262,2024
B6ByNegPMKs-22,B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,semi,Hausdorff_9,24,2,2,0,0.0,0.7083333333333334,17;7,275,118,22,2024
B6ByNegPMKs-22,B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,semi,Hausdorff_12,24,1,1,0,0.0,1.0,24,276,0,0,2024
B6ByNegPMKs-22,B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,semi,OSPA1_6_AND_H9,24,2,2,0,0.0,0.7083333333333334,17;7,275,118,22,2024
B6ByNegPMKs-33,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,OSPA1_6,24,4,2,2,0.08333333333333333,0.5416666666666666,13;9;1;1,236,122,143,2024
B6ByNegPMKs-33,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,Hausdorff_6,24,9,4,5,0.20833333333333334,0.3333333333333333,8;7;2;2;1;1;1;1;1,86,35,168,2024
B6ByNegPMKs-33,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,Hausdorff_9,24,4,3,1,0.041666666666666664,0.5416666666666666,13;8;2;1,216,109,433,2024
B6ByNegPMKs-33,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,Hausdorff_12,24,3,2,1,0.041666666666666664,0.625,15;8;1,246,113,125,2024
B6ByNegPMKs-33,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,OSPA1_6_AND_H9,24,5,3,2,0.08333333333333333,0.5416666666666666,13;7;2;1;1,204,104,466,2024
B6ByNegPMKs-37,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,manual,OSPA1_6,6,3,2,1,0.16666666666666666,0.5,3;2;1,4,0,0,20
B6ByNegPMKs-37,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,manual,Hausdorff_6,6,4,2,2,0.3333333333333333,0.3333333333333333,2;2;1;1,2,0,0,20
B6ByNegPMKs-37,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,manual,Hausdorff_9,6,3,2,1,0.16666666666666666,0.5,3;2;1,4,0,0,20
B6ByNegPMKs-37,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,manual,Hausdorff_12,6,3,2,1,0.16666666666666666,0.5,3;2;1,4,0,0,20
B6ByNegPMKs-37,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,manual,OSPA1_6_AND_H9,6,3,2,1,0.16666666666666666,0.5,3;2;1,4,0,0,20
B6ByNegPMKs-37,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,semi,OSPA1_6,4,2,1,1,0.25,0.75,3;1,3,0,0,4
B6ByNegPMKs-37,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,semi,Hausdorff_6,4,2,1,1,0.25,0.75,3;1,3,0,0,4
