worker_left,worker_right,co_cluster_count,comparison_count,co_cluster_rate
2,37,4,308,0.012987012987012988
2,6,124,308,0.4025974025974026
2,8,225,308,0.7305194805194806
28,29,149,308,0.4837662337662338
28,30,132,308,0.42857142857142855
28,31,121,308,0.39285714285714285
28,32,84,308,0.2727272727272727
28,33,271,308,0.8798701298701299
28,34,64,308,0.2077922077922078
28,35,110,308,0.35714285714285715
28,36,150,308,0.487012987012987
28,37,53,308,0.17207792207792208
28,6,106,308,0.34415584415584416
28,8,231,308,0.75
29,30,238,308,0.7727272727272727
29,31,221,308,0.7175324675324676
29,32,149,308,0.4837662337662338
29,33,142,308,0.461038961038961
29,34,202,308,0.6558441558441559
29,35,224,308,0.7272727272727273
29,36,200,308,0.6493506493506493
29,37,150,308,0.487012987012987
29,6,44,308,0.14285714285714285
29,8,102,308,0.33116883116883117
30,31,256,308,0.8311688311688312
30,32,193,308,0.6266233766233766
30,33,117,308,0.37987012987012986
30,34,178,308,0.577922077922078
30,35,252,308,0.8181818181818182
30,36,168,308,0.5454545454545454
30,37,168,308,0.5454545454545454
30,6,48,308,0.15584415584415584
30,8,84,308,0.2727272727272727
31,32,206,308,0.6688311688311688
31,33,113,308,0.36688311688311687
31,34,200,308,0.6493506493506493
31,35,265,308,0.8603896103896104
31,36,188,308,0.6103896103896104
31,37,195,308,0.6331168831168831
31,6,37,308,0.12012987012987013
31,8,67,308,0.21753246753246752
32,33,69,308,0.22402597402597402
32,34,178,308,0.577922077922078
32,35,203,308,0.6590909090909091
32,36,139,308,0.4512987012987013
32,37,214,308,0.6948051948051948
32,6,33,308,0.10714285714285714
32,8,40,308,0.12987012987012986
33,34,56,308,0.18181818181818182
33,35,101,308,0.32792207792207795
33,36,169,308,0.5487012987012987
33,37,39,308,0.1266233766233766
33,6,116,308,0.37662337662337664
33,8,252,308,0.8181818181818182
34,35,214,308,0.6948051948051948
34,36,175,308,0.5681818181818182
34,37,245,308,0.7954545454545454
34,6,11,308,0.03571428571428571
34,8,21,308,0.06818181818181818
35,36,186,308,0.6038961038961039
35,37,196,308,0.6363636363636364
35,6,37,308,0.12012987012987013
35,8,63,308,0.20454545454545456
36,37,149,308,0.4837662337662338
36,6,48,308,0.15584415584415584
36,8,127,308,0.41233766233766234
37,6,14,308,0.045454545454545456
37,8,9,308,0.02922077922077922
6,8,127,308,0.41233766233766234
