threshold,k,base_task_id,replicate_count,unimodal_rate,dominant_with_dissent_rate,supported_multimodal_rate,not_evaluable_rate,full_status,full_cluster_sizes,full_largest_support,full_second_support
0.9,12,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,100,0.0,0.0,1.0,0.0,,,,
0.9,12,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,100,0.0,0.0,1.0,0.0,,,,
0.9,12,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,100,0.0,0.0,1.0,0.0,,,,
0.9,12,wc2JMjhGNzB_dda6efcba51c40de8552408953719515,100,0.47,0.53,0.0,0.0,,,,
0.9,12,yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,100,0.03,0.97,0.0,0.0,,,,
0.9,12,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,100,0.0,0.0,1.0,0.0,,,,
0.9,16,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,100,0.25,0.75,0.0,0.0,,,,
0.9,16,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,100,0.08,0.38,0.54,0.0,,,,
0.9,16,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,100,0.2,0.8,0.0,0.0,,,,
0.9,16,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,100,1.0,0.0,0.0,0.0,,,,
0.9,16,uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,100,0.0,0.0,1.0,0.0,,,,
0.9,16,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,100,0.0,0.0,1.0,0.0,,,,
0.9,16,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,100,0.0,0.0,1.0,0.0,,,,
0.9,16,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,100,0.0,0.0,1.0,0.0,,,,
0.9,16,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,100,0.0,0.0,1.0,0.0,,,,
0.9,16,wc2JMjhGNzB_dda6efcba51c40de8552408953719515,100,0.22,0.78,0.0,0.0,,,,
0.9,16,yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,100,0.0,1.0,0.0,0.0,,,,
0.9,16,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,100,0.0,0.0,1.0,0.0,,,,
0.9,20,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,100,0.06,0.94,0.0,0.0,,,,
0.9,20,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,100,0.0,0.25,0.75,0.0,,,,
0.9,20,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,100,0.04,0.96,0.0,0.0,,,,
0.9,20,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,100,1.0,0.0,0.0,0.0,,,,
0.9,20,uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,100,0.0,0.0,1.0,0.0,,,,
0.9,20,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,100,0.0,0.0,1.0,0.0,,,,
0.9,20,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,100,0.0,0.0,1.0,0.0,,,,
0.9,20,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,100,0.0,0.0,1.0,0.0,,,,
0.9,20,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,100,0.0,0.0,1.0,0.0,,,,
0.9,20,wc2JMjhGNzB_dda6efcba51c40de8552408953719515,100,0.09,0.91,0.0,0.0,,,,
0.9,20,yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,100,0.0,1.0,0.0,0.0,,,,
0.9,20,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,100,0.0,0.0,1.0,0.0,,,,
0.9,22,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,1,0.0,1.0,0.0,0.0,dominant_with_dissent,21;1,21.0,1.0
0.9,22,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,1,0.0,0.0,1.0,0.0,supported_multimodal,20;2,20.0,2.0
0.9,22,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,1,0.0,1.0,0.0,0.0,dominant_with_dissent,21;1,21.0,1.0
0.9,22,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,1,1.0,0.0,0.0,0.0,unimodal,22,22.0,0.0
0.9,22,uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,1,0.0,0.0,1.0,0.0,supported_multimodal,9;6;3;1;1;1;1,9.0,6.0
0.9,22,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,1,0.0,0.0,1.0,0.0,supported_multimodal,11;8;2;1,11.0,8.0
0.9,22,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,1,0.0,0.0,1.0,0.0,supported_multimodal,5;4;4;4;3;1;1,5.0,4.0
0.9,22,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,1,0.0,0.0,1.0,0.0,supported_multimodal,5;5;5;3;3;1,5.0,5.0
0.9,22,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,1,0.0,0.0,1.0,0.0,supported_multimodal,6;5;5;4;2,6.0,5.0
0.9,22,wc2JMjhGNzB_dda6efcba51c40de8552408953719515,1,0.0,1.0,0.0,0.0,dominant_with_dissent,21;1,21.0,1.0
0.9,22,yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,1,0.0,1.0,0.0,0.0,dominant_with_dissent,18;1;1;1;1,18.0,1.0
0.9,22,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,1,0.0,0.0,1.0,0.0,supported_multimodal,13;5;4,13.0,5.0
0.925,5,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,100,0.78,0.22,0.0,0.0,,,,
0.925,5,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,100,0.59,0.39,0.02,0.0,,,,
0.925,5,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,100,0.77,0.23,0.0,0.0,,,,
0.925,5,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,100,1.0,0.0,0.0,0.0,,,,
0.925,5,uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,100,0.01,0.63,0.32,0.04,,,,
0.925,5,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,100,0.03,0.5,0.47,0.0,,,,
0.925,5,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,100,0.0,0.64,0.22,0.14,,,,
0.925,5,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,100,0.0,0.61,0.33,0.06,,,,
0.925,5,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,100,0.0,0.64,0.29,0.07,,,,
0.925,5,wc2JMjhGNzB_dda6efcba51c40de8552408953719515,100,0.73,0.2,0.0,0.07,,,,
0.925,5,yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,100,0.22,0.69,0.0,0.09,,,,
0.925,5,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,100,0.05,0.54,0.41,0.0,,,,
0.925,8,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,100,0.72,0.28,0.0,0.0,,,,
0.925,8,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,100,0.38,0.52,0.1,0.0,,,,
0.925,8,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,100,0.68,0.32,0.0,0.0,,,,
0.925,8,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,100,1.0,0.0,0.0,0.0,,,,
0.925,8,uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,100,0.0,0.22,0.78,0.0,,,,
0.925,8,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,100,0.0,0.12,0.88,0.0,,,,
0.925,8,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,100,0.0,0.14,0.86,0.0,,,,
0.925,8,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,100,0.0,0.02,0.98,0.0,,,,
0.925,8,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,100,0.0,0.03,0.87,0.1,,,,
0.925,8,wc2JMjhGNzB_dda6efcba51c40de8552408953719515,100,0.54,0.32,0.0,0.14,,,,
0.925,8,yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,100,0.05,0.81,0.0,0.14,,,,
0.925,8,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,100,0.0,0.11,0.89,0.0,,,,
0.925,12,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,100,0.5,0.5,0.0,0.0,,,,
0.925,12,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,100,0.24,0.38,0.38,0.0,,,,
0.925,12,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,100,0.46,0.54,0.0,0.0,,,,
0.925,12,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,100,1.0,0.0,0.0,0.0,,,,
0.925,12,uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,100,0.0,0.03,0.97,0.0,,,,
0.925,12,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,100,0.0,0.0,1.0,0.0,,,,
0.925,12,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,100,0.0,0.0,1.0,0.0,,,,
0.925,12,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,100,0.0,0.0,1.0,0.0,,,,
0.925,12,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,100,0.0,0.0,0.71,0.29,,,,
0.925,12,wc2JMjhGNzB_dda6efcba51c40de8552408953719515,100,0.23,0.53,0.0,0.24,,,,
0.925,12,yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,100,0.02,0.71,0.0,0.27,,,,
0.925,12,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,100,0.0,0.0,1.0,0.0,,,,
0.925,16,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,100,0.25,0.75,0.0,0.0,,,,
0.925,16,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,100,0.08,0.38,0.54,0.0,,,,
0.925,16,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,100,0.2,0.8,0.0,0.0,,,,
0.925,16,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,100,1.0,0.0,0.0,0.0,,,,
0.925,16,uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,100,0.0,0.0,1.0,0.0,,,,
0.925,16,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,100,0.0,0.0,1.0,0.0,,,,
0.925,16,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,100,0.0,0.0,1.0,0.0,,,,
0.925,16,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,100,0.0,0.0,1.0,0.0,,,,
0.925,16,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,100,0.0,0.0,0.46,0.54,,,,
0.925,16,wc2JMjhGNzB_dda6efcba51c40de8552408953719515,100,0.08,0.65,0.0,0.27,,,,
0.925,16,yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,100,0.0,0.51,0.0,0.49,,,,
0.925,16,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,100,0.0,0.0,1.0,0.0,,,,
0.925,20,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,100,0.06,0.94,0.0,0.0,,,,
0.925,20,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,100,0.0,0.25,0.75,0.0,,,,
0.925,20,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,100,0.04,0.96,0.0,0.0,,,,
0.925,20,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,100,1.0,0.0,0.0,0.0,,,,
0.925,20,uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,100,0.0,0.0,1.0,0.0,,,,
0.925,20,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,100,0.0,0.0,1.0,0.0,,,,
0.925,20,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,100,0.0,0.0,1.0,0.0,,,,
0.925,20,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,100,0.0,0.0,1.0,0.0,,,,
0.925,20,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,100,0.0,0.0,0.15,0.85,,,,
0.925,20,wc2JMjhGNzB_dda6efcba51c40de8552408953719515,100,0.01,0.87,0.0,0.12,,,,
0.925,20,yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,100,0.0,0.21,0.0,0.79,,,,
0.925,20,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,100,0.0,0.0,1.0,0.0,,,,
0.925,22,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,1,0.0,1.0,0.0,0.0,dominant_with_dissent,21;1,21.0,1.0
0.925,22,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,1,0.0,0.0,1.0,0.0,supported_multimodal,20;2,20.0,2.0
0.925,22,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,1,0.0,1.0,0.0,0.0,dominant_with_dissent,21;1,21.0,1.0
0.925,22,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,1,1.0,0.0,0.0,0.0,unimodal,22,22.0,0.0
0.925,22,uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,1,0.0,0.0,1.0,0.0,supported_multimodal,9;6;3;1;1;1;1,9.0,6.0
0.925,22,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,1,0.0,0.0,1.0,0.0,supported_multimodal,11;8;2;1,11.0,8.0
0.925,22,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,1,0.0,0.0,1.0,0.0,supported_multimodal,5;4;4;4;3;1;1,5.0,4.0
0.925,22,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,1,0.0,0.0,1.0,0.0,supported_multimodal,5;5;5;3;3;1,5.0,5.0
0.925,22,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,1,0.0,0.0,0.0,1.0,not_evaluable,,,
0.925,22,wc2JMjhGNzB_dda6efcba51c40de8552408953719515,1,0.0,1.0,0.0,0.0,dominant_with_dissent,20;1;1,20.0,1.0
0.925,22,yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,1,0.0,0.0,0.0,1.0,not_evaluable,,,
0.925,22,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,1,0.0,0.0,1.0,0.0,supported_multimodal,13;5;4,13.0,5.0
0.95,5,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,100,0.62,0.38,0.0,0.0,,,,
0.95,5,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,100,0.59,0.39,0.02,0.0,,,,
0.95,5,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,100,0.77,0.23,0.0,0.0,,,,
0.95,5,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,100,0.83,0.17,0.0,0.0,,,,
0.95,5,uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,100,0.0,0.63,0.13,0.24,,,,
0.95,5,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,100,0.03,0.5,0.47,0.0,,,,
0.95,5,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,100,0.0,0.64,0.22,0.14,,,,
0.95,5,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,100,0.0,0.63,0.29,0.08,,,,
0.95,5,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,100,0.0,0.74,0.15,0.11,,,,
0.95,5,wc2JMjhGNzB_dda6efcba51c40de8552408953719515,100,0.09,0.57,0.1,0.24,,,,
0.95,5,yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,100,0.06,0.76,0.1,0.08,,,,
0.95,5,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,100,0.02,0.57,0.37,0.04,,,,
0.95,8,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,100,0.42,0.58,0.0,0.0,,,,
0.95,8,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,100,0.38,0.52,0.1,0.0,,,,
0.95,8,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,100,0.68,0.32,0.0,0.0,,,,
0.95,8,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,100,0.6,0.4,0.0,0.0,,,,
0.95,8,uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,100,0.0,0.46,0.27,0.27,,,,
0.95,8,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,100,0.0,0.12,0.88,0.0,,,,
0.95,8,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,100,0.0,0.14,0.86,0.0,,,,
0.95,8,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,100,0.0,0.05,0.85,0.1,,,,
0.95,8,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,100,0.0,0.07,0.78,0.15,,,,
0.95,8,wc2JMjhGNzB_dda6efcba51c40de8552408953719515,100,0.01,0.2,0.47,0.32,,,,
0.95,8,yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,100,0.02,0.63,0.33,0.02,,,,
0.95,8,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,100,0.0,0.13,0.77,0.1,,,,
0.95,12,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,100,0.21,0.79,0.0,0.0,,,,
0.95,12,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,100,0.24,0.38,0.38,0.0,,,,
0.95,12,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,100,0.46,0.54,0.0,0.0,,,,
0.95,12,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,100,0.44,0.56,0.0,0.0,,,,
0.95,12,uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,100,0.0,0.17,0.39,0.44,,,,
0.95,12,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,100,0.0,0.0,1.0,0.0,,,,
0.95,12,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,100,0.0,0.0,1.0,0.0,,,,
0.95,12,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,100,0.0,0.0,0.69,0.31,,,,
0.95,12,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,100,0.0,0.0,0.76,0.24,,,,
0.95,12,wc2JMjhGNzB_dda6efcba51c40de8552408953719515,100,0.0,0.02,0.71,0.27,,,,
0.95,12,yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,100,0.02,0.45,0.53,0.0,,,,
0.95,12,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,100,0.0,0.01,0.83,0.16,,,,
0.95,16,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,100,0.04,0.96,0.0,0.0,,,,
0.95,16,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,100,0.08,0.38,0.54,0.0,,,,
0.95,16,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,100,0.2,0.8,0.0,0.0,,,,
0.95,16,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,100,0.23,0.77,0.0,0.0,,,,
0.95,16,uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,100,0.0,0.01,0.36,0.63,,,,
0.95,16,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,100,0.0,0.0,1.0,0.0,,,,
0.95,16,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,100,0.0,0.0,1.0,0.0,,,,
0.95,16,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,100,0.0,0.0,0.53,0.47,,,,
0.95,16,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,100,0.0,0.0,0.71,0.29,,,,
0.95,16,wc2JMjhGNzB_dda6efcba51c40de8552408953719515,100,0.0,0.0,0.91,0.09,,,,
0.95,16,yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,100,0.0,0.24,0.76,0.0,,,,
0.95,16,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,100,0.0,0.0,0.48,0.52,,,,
0.95,20,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,100,0.0,1.0,0.0,0.0,,,,
0.95,20,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,100,0.0,0.25,0.75,0.0,,,,
0.95,20,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,100,0.04,0.96,0.0,0.0,,,,
0.95,20,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,100,0.11,0.89,0.0,0.0,,,,
0.95,20,uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,100,0.0,0.0,0.17,0.83,,,,
0.95,20,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,100,0.0,0.0,1.0,0.0,,,,
0.95,20,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,100,0.0,0.0,1.0,0.0,,,,
0.95,20,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,100,0.0,0.0,0.25,0.75,,,,
0.95,20,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,100,0.0,0.0,0.81,0.19,,,,
0.95,20,wc2JMjhGNzB_dda6efcba51c40de8552408953719515,100,0.0,0.0,1.0,0.0,,,,
0.95,20,yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,100,0.0,0.02,0.98,0.0,,,,
0.95,20,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,100,0.0,0.0,0.08,0.92,,,,
0.95,22,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,1,0.0,1.0,0.0,0.0,dominant_with_dissent,20;1;1,20.0,1.0
0.95,22,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,1,0.0,0.0,1.0,0.0,supported_multimodal,20;2,20.0,2.0
0.95,22,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,1,0.0,1.0,0.0,0.0,dominant_with_dissent,21;1,21.0,1.0
0.95,22,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,1,0.0,1.0,0.0,0.0,dominant_with_dissent,21;1,21.0,1.0
0.95,22,uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,1,0.0,0.0,0.0,1.0,not_evaluable,,,
0.95,22,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,1,0.0,0.0,1.0,0.0,supported_multimodal,11;8;2;1,11.0,8.0
0.95,22,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,1,0.0,0.0,1.0,0.0,supported_multimodal,5;4;4;4;3;1;1,5.0,4.0
0.95,22,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,1,0.0,0.0,0.0,1.0,not_evaluable,,,
0.95,22,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,1,0.0,0.0,1.0,0.0,supported_multimodal,5;4;4;4;2;2;1,5.0,4.0
