repeat,ari,status
155,-0.026042192389219742,estimated
156,0.28142634169768277,estimated
157,,not_evaluable
158,0.1122483034820336,estimated
159,,not_evaluable
160,,not_evaluable
161,0.13404230454598573,estimated
162,0.3475117484034221,estimated
163,0.3560827392777843,estimated
164,0.3130047004941545,estimated
165,0.0578850921634149,estimated
166,,not_evaluable
167,,not_evaluable
168,0.0031479538300104933,estimated
169,,not_evaluable
170,,not_evaluable
171,,not_evaluable
172,,not_evaluable
173,0.0027170556996418426,estimated
174,,not_evaluable
175,,not_evaluable
176,,not_evaluable
177,0.19798774141320688,estimated
178,,not_evaluable
179,0.023425916773747158,estimated
180,0.039190897597977246,estimated
181,0.05450758014118736,estimated
182,,not_evaluable
183,0.4733036037121851,estimated
184,,not_evaluable
185,0.028159718402815972,estimated
186,,not_evaluable
187,-0.0686164229471316,estimated
188,-0.008242068420458394,estimated
189,,not_evaluable
190,0.11924904392165953,estimated
191,0.718501837145905,estimated
192,0.39123849469882327,estimated
193,,not_evaluable
194,0.2659925008521759,estimated
195,,not_evaluable
196,0.12781685942530105,estimated
197,0.14574331425902137,estimated
198,0.019952386350753883,estimated
199,,not_evaluable
200,0.006772009029345372,estimated
201,,not_evaluable
202,0.1433626298367766,estimated
203,,not_evaluable
204,,not_evaluable
205,,not_evaluable
206,0.09502528519346114,estimated
207,0.014293276866066702,estimated
208,0.22884087382117704,estimated
209,0.18612838868677387,estimated
210,,not_evaluable
211,0.1615180935569285,estimated
212,0.308336366945759,estimated
213,,not_evaluable
214,0.4477413104032942,estimated
215,0.7198962141762,estimated
216,0.06655749210433969,estimated
217,,not_evaluable
218,,not_evaluable
219,-0.0719731625495578,estimated
220,,not_evaluable
221,0.19421229886491206,estimated
222,,not_evaluable
223,0.005964214711729622,estimated
224,0.07361160661196338,estimated
225,-0.06499946103266142,estimated
226,,not_evaluable
227,0.11922025436823963,estimated
228,0.20531430680280477,estimated
229,0.10266501742943888,estimated
230,0.022656340307478904,estimated
231,,not_evaluable
232,0.4605465515201704,estimated
233,,not_evaluable
234,0.47482273765172456,estimated
235,-0.029954174583659326,estimated
236,0.4434273160014647,estimated
237,,not_evaluable
238,,not_evaluable
239,,not_evaluable
240,-0.10596097876468687,estimated
241,0.1324200913242009,estimated
242,,not_evaluable
243,,not_evaluable
244,0.418297514707648,estimated
245,,not_evaluable
246,,not_evaluable
247,0.29660735992927395,estimated
248,0.3181563306044634,estimated
249,0.25031913659046073,estimated
250,,not_evaluable
251,,not_evaluable
252,0.14993690489847425,estimated
253,,not_evaluable
254,,not_evaluable
255,,not_evaluable
256,,not_evaluable
257,,not_evaluable
258,-0.03317587608480721,estimated
259,,not_evaluable
260,,not_evaluable
261,,not_evaluable
262,0.042921607723790535,estimated
263,0.08736980483365356,estimated
264,,not_evaluable
265,,not_evaluable
266,0.06420210916676324,estimated
267,0.20327950932532232,estimated
268,-0.038868417924640436,estimated
269,0.16556371074479606,estimated
270,-0.04897249769962172,estimated
271,,not_evaluable
272,,not_evaluable
273,,not_evaluable
274,,not_evaluable
275,,not_evaluable
276,0.26150856309972065,estimated
277,0.0026522267653884407,estimated
278,0.18879401099543805,estimated
279,,not_evaluable
280,-0.11233845134209654,estimated
281,0.3676281676982366,estimated
282,,not_evaluable
283,-0.04296421408212815,estimated
284,0.35284609167532616,estimated
285,,not_evaluable
286,-0.07798420291467349,estimated
287,,not_evaluable
288,0.535590795278407,estimated
289,0.07571410752151678,estimated
290,0.24193361859604487,estimated
291,,not_evaluable
292,0.36381480198591387,estimated
293,0.16834260026026263,estimated
294,-0.12487665826115557,estimated
295,0.00010525207872855489,estimated
296,,not_evaluable
297,,not_evaluable
298,,not_evaluable
299,,not_evaluable
