condition,family,contrast,method,images,real_delta,predicted_delta,mae
semi,coannotation,AAB minus AA,equal,18,0.16939465966605172,0.0,0.24374331866988314
semi,coannotation,AAB minus AA,type4,18,0.16939465966605172,0.013630027657096526,0.2521094016037731
semi,coannotation,AABC minus AAB,context,18,0.0698431069958848,0.000621709689626354,0.12560939765514037
semi,coannotation,AABC minus AAB,continuous,18,0.0698431069958848,0.0037427170629923856,0.12449204629873988
semi,coannotation,AABC minus AAB,equal,18,0.0698431069958848,0.0,0.1258530521262003
semi,coannotation,AABC minus AAB,type4,18,0.0698431069958848,0.005813068465525092,0.1229276356269801
semi,coannotation,AB minus AA,context,18,0.2751422591173549,0.0023537736674447435,0.35565551507013393
semi,coannotation,AB minus AA,continuous,18,0.2751422591173549,0.007903260733774209,0.35939356515311194
semi,coannotation,AB minus AA,equal,18,0.2751422591173549,0.0,0.35380126294877257
semi,coannotation,AB minus AA,type4,18,0.2751422591173549,0.020445041485644792,0.3682511269945779
semi,coannotation,ABCD minus AABC,context,17,0.06047567175018155,0.0014019471078379581,0.09721214220375352
semi,coannotation,ABCD minus AABC,continuous,17,0.06047567175018155,0.003716853762063523,0.0984606964418636
semi,coannotation,ABCD minus AABC,equal,17,0.06047567175018155,0.0,0.09675018155410313
semi,coannotation,ABCD minus AABC,type4,17,0.06047567175018155,0.006742293285657455,0.09964302966228132
semi,profile,AAB minus AA,context,18,0.06030926378148598,0.030628931605372143,0.1922706029992858
semi,profile,AAB minus AA,continuous,18,0.06030926378148598,0.027052469960829533,0.19285705299290382
semi,profile,AAB minus AA,equal,18,0.06030926378148598,0.0,0.1787277280332836
semi,profile,AAB minus AA,type4,18,0.06030926378148598,0.02053276856036865,0.19272244615115908
semi,profile,AABC minus AAB,context,18,0.027245002939447403,0.01665535691421231,0.12619502936896637
semi,profile,AABC minus AAB,continuous,18,0.027245002939447403,0.01429399856283565,0.12543218666147743
semi,profile,AABC minus AAB,equal,18,0.027245002939447403,0.0,0.11766607877718988
semi,profile,AABC minus AAB,type4,18,0.027245002939447403,0.0072051408206632896,0.12185459499055745
semi,profile,AB minus AA,context,18,0.09943528693528693,0.049609745953416495,0.2939876436549717
semi,profile,AB minus AA,continuous,18,0.09943528693528693,0.04404283085253788,0.29488168427691247
semi,profile,AB minus AA,equal,18,0.09943528693528693,0.0,0.2712691629358296
semi,profile,AB minus AA,type4,18,0.09943528693528693,0.03079915284055297,0.2943655119037769
semi,profile,ABCD minus AABC,context,18,0.02068168457057346,0.012521340988415354,0.12188596386892356
semi,profile,ABCD minus AABC,continuous,18,0.02068168457057346,0.011312098613397957,0.12126997484704446
semi,profile,ABCD minus AABC,equal,18,0.02068168457057346,0.0,0.112727139116028
semi,profile,ABCD minus AABC,type4,18,0.02068168457057346,0.005968602030655113,0.11962264713397813
