condition,family,contrast,method,baseline,metric,images,buildings,delta,ci_low,ci_high,building_macro_delta
oos_geometry,coannotation,AAB minus AA,type4,equal,abs_delta_error,9,6,0.02143427986949967,0.010703247393632046,0.03269241299810865,0.022420526142050895
oos_geometry,coannotation,AABC minus AAB,continuous,equal,abs_delta_error,9,6,0.00023871085187987152,-0.0016231323365437738,0.001182218237092423,-0.0002680719251479514
oos_geometry,coannotation,AABC minus AAB,context,equal,abs_delta_error,9,6,7.44164773074662e-05,-0.0001881780580868963,0.0002501686835546845,2.3013743316813017e-05
oos_geometry,coannotation,AABC minus AAB,type4,equal,abs_delta_error,9,6,0.0007855282283853791,-0.006245048008786834,0.00458701495391058,-0.0005411028760616583
oos_geometry,coannotation,AB minus AA,continuous,equal,abs_delta_error,9,6,0.010617620823848675,0.007312582308715847,0.015709849556440985,0.011872091201695039
oos_geometry,coannotation,AB minus AA,context,equal,abs_delta_error,9,6,0.0025251632144582307,0.0010953114744267135,0.0044846248405406176,0.003103696726057835
oos_geometry,coannotation,AB minus AA,type4,equal,abs_delta_error,9,6,0.03215141980424949,0.016054871090448015,0.049038619497162976,0.03363078921307631
oos_geometry,coannotation,ABCD minus AABC,continuous,equal,abs_delta_error,5,4,0.0030233420055166943,0.002010589249928084,0.00455208462247465,0.003214589298849761
oos_geometry,coannotation,ABCD minus AABC,context,equal,abs_delta_error,5,4,0.0010766694201745012,0.0003482817914690459,0.0027690417387431117,0.0012615350703876263
oos_geometry,coannotation,ABCD minus AABC,type4,equal,abs_delta_error,5,4,0.006278913476633269,0.0035153034808598077,0.007860764098538843,0.0061222029344282225
oos_geometry,profile,AAB minus AA,continuous,equal,abs_delta_error,9,6,0.02255380522269843,0.00988725521917488,0.03320109332833206,0.02158576743853442
oos_geometry,profile,AAB minus AA,context,equal,abs_delta_error,9,6,0.02402623967596092,0.01000962208691011,0.034467463594475646,0.021917210488255182
oos_geometry,profile,AAB minus AA,type4,equal,abs_delta_error,9,6,0.02149318522371776,0.008472770707736879,0.030581430075548997,0.016911634051587552
oos_geometry,profile,AABC minus AAB,continuous,equal,abs_delta_error,9,6,0.007787664176300169,0.0020049295228594267,0.012920532561097278,0.0076071252067002595
oos_geometry,profile,AABC minus AAB,context,equal,abs_delta_error,9,6,0.009529680835907856,0.0035903934076047736,0.0153044955370772,0.009651703627634617
oos_geometry,profile,AABC minus AAB,type4,equal,abs_delta_error,9,6,0.005660062765965138,0.0007279722580884865,0.009711493569738158,0.005233158823307813
oos_geometry,profile,AB minus AA,continuous,equal,abs_delta_error,9,6,0.04327991124729585,0.025378349708892276,0.05983114263220458,0.0440901241266782
oos_geometry,profile,AB minus AA,context,equal,abs_delta_error,9,6,0.04761009774562814,0.030147919073641734,0.06342257832678283,0.04758392376827708
oos_geometry,profile,AB minus AA,type4,equal,abs_delta_error,9,6,0.03504861156137469,0.017355626962323446,0.04771391357772485,0.029415735679683832
oos_geometry,profile,ABCD minus AABC,continuous,equal,abs_delta_error,9,6,0.008266490368076973,0.00386518154349472,0.01148865401341997,0.007990572205298085
oos_geometry,profile,ABCD minus AABC,context,equal,abs_delta_error,9,6,0.0095319002716183,0.004148588206492741,0.013370781811410224,0.009354275484482736
oos_geometry,profile,ABCD minus AABC,type4,equal,abs_delta_error,9,6,0.005562110044787568,0.0013547632012656083,0.009689573760321464,0.003983442784321916
semi,coannotation,AAB minus AA,continuous,equal,abs_delta_error,18,10,0.0032415149032173785,-0.00034169566840126076,0.0068679088382892625,0.00297796658168511
semi,coannotation,AAB minus AA,context,equal,abs_delta_error,18,10,0.0011262587109718144,-0.00031091289066876394,0.0026823926555556202,0.0010854673247627628
semi,coannotation,AAB minus AA,type4,equal,abs_delta_error,18,10,0.008366082933889957,0.0021243810285887415,0.015689354761572703,0.008070085172802442
semi,coannotation,AABC minus AAB,continuous,equal,abs_delta_error,18,10,-0.0013610058274604068,-0.004530994885958433,0.0021568943711071003,0.00016833598352178746
semi,coannotation,AABC minus AAB,context,equal,abs_delta_error,18,10,-0.00024365447105989047,-0.0009136222441938252,0.0010711646133276186,0.0003751535400514103
semi,coannotation,AABC minus AAB,type4,equal,abs_delta_error,18,10,-0.002925416499220177,-0.006705445691549909,0.0008867992530443693,-0.0019752832535551547
semi,coannotation,AB minus AA,continuous,equal,abs_delta_error,18,10,0.00559230220433942,-9.565748805324347e-05,0.01133395035614667,0.0050715929440920925
semi,coannotation,AB minus AA,context,equal,abs_delta_error,18,10,0.0018542521213613795,-0.00045172564731484234,0.004381757270513836,0.0018152424040259155
semi,coannotation,AB minus AA,type4,equal,abs_delta_error,18,10,0.014449864045805366,0.005991588372871102,0.02548625406194967,0.014919278646777636
semi,coannotation,ABCD minus AABC,continuous,equal,abs_delta_error,17,10,0.0017105148877604706,-0.000758314313792619,0.005152884468032012,0.002118608447934259
semi,coannotation,ABCD minus AABC,context,equal,abs_delta_error,17,10,0.0004619606496503856,-0.0006436926352994442,0.0022133090413989777,0.000768978594251996
semi,coannotation,ABCD minus AABC,type4,equal,abs_delta_error,17,10,0.002892848108178182,-0.0006964765124127277,0.00818180871555185,0.0035408212700760765
semi,profile,AAB minus AA,continuous,equal,abs_delta_error,18,10,0.014129324959620234,0.002352016334319522,0.027276187466095742,0.015167475413640465
semi,profile,AAB minus AA,context,equal,abs_delta_error,18,10,0.013542874966002214,-0.0007510000534520899,0.031747090902379045,0.016794808816043248
semi,profile,AAB minus AA,type4,equal,abs_delta_error,18,10,0.013994718117875504,0.007497784730566224,0.02136052950924664,0.014298034803530466
semi,profile,AABC minus AAB,continuous,equal,abs_delta_error,18,10,0.007766107884287523,0.0011474008145191457,0.014426250225409635,0.008448675650430398
semi,profile,AABC minus AAB,context,equal,abs_delta_error,18,10,0.008528950591776496,0.001458207111178696,0.017640560420036908,0.00983055521458692
semi,profile,AABC minus AAB,type4,equal,abs_delta_error,18,10,0.004188516213367566,-0.0006558271438383084,0.008185678872855132,0.003968431062366302
semi,profile,AB minus AA,continuous,equal,abs_delta_error,18,10,0.023612521341082913,0.004219164443038203,0.046891626350191194,0.027000059015722305
semi,profile,AB minus AA,context,equal,abs_delta_error,18,10,0.022718480719142113,8.448731449164637e-05,0.05328835067864485,0.028070560696456838
semi,profile,AB minus AA,type4,equal,abs_delta_error,18,10,0.023096348967947298,0.012949585354821927,0.0363839932900037,0.0247624382223399
semi,profile,ABCD minus AABC,continuous,equal,abs_delta_error,18,10,0.008542835731016454,0.003408035938761905,0.015330944285831642,0.00980393241601829
semi,profile,ABCD minus AABC,context,equal,abs_delta_error,18,10,0.00915882475289556,0.004046102187269213,0.015849774187445227,0.010131185149365297
semi,profile,ABCD minus AABC,type4,equal,abs_delta_error,18,10,0.006895508017950129,0.0034015324463930103,0.011498442497979228,0.00786706822911929
