condition,information,people,comparison,metric,linear_identity_by_definition,n_images,n_buildings,heterogeneous_mean,matched_marginal_pure_mean,difference,CI_low,CI_high
manual,QSB,2,AB_minus_half_AA_half_BB,mean_median_reference_error,True,92,16,0.123617380997,0.123617380997,0,0,0
manual,QSB,2,AB_minus_half_AA_half_BB,mean_total_active_seconds,True,89,18,451.69357127,451.69357127,0,0,0
manual,QSB,2,AB_minus_half_AA_half_BB,mean_point_disagreement,False,99,18,0.452396375246,0.424422294877,0.0279740803693,-0.00962792215599,0.0754383653754
manual,QSB,2,AB_minus_half_AA_half_BB,mean_same_point_geometry_dispersion,False,65,16,0.105340711553,0.0956180611115,0.00972265044137,0.0037000941056,0.0198831272392
manual,QSB,2,AB_minus_half_AA_half_BB,mean_observed_population_coverage,False,99,18,0.334814054706,0.35588165696,-0.0210676022544,-0.0425293639763,-0.00414632700426
manual,QT,2,AB_minus_half_AA_half_BB,mean_median_reference_error,True,86,18,0.124953435388,0.124953435388,0,0,0
manual,QT,2,AB_minus_half_AA_half_BB,mean_total_active_seconds,True,86,19,448.544531405,448.544531405,0,0,0
manual,QT,2,AB_minus_half_AA_half_BB,mean_point_disagreement,False,92,19,0.399209414603,0.373598658197,0.0256107564052,-0.002311764134,0.049739502185
manual,QT,2,AB_minus_half_AA_half_BB,mean_same_point_geometry_dispersion,False,70,16,0.114073807365,0.0969291283224,0.017144679043,0.00154438536393,0.0401466430514
manual,QT,2,AB_minus_half_AA_half_BB,mean_observed_population_coverage,False,92,19,0.356401903577,0.368848900406,-0.0124469968294,-0.0362265810753,0.018918206361
manual,QTB,2,AB_minus_half_AA_half_BB,mean_median_reference_error,True,99,18,0.120193741225,0.120193741225,0,0,0
manual,QTB,2,AB_minus_half_AA_half_BB,mean_total_active_seconds,True,101,19,453.896403844,453.896403844,0,0,0
manual,QTB,2,AB_minus_half_AA_half_BB,mean_point_disagreement,False,103,19,0.380858064535,0.376451541986,0.00440652254972,-0.0151093922903,0.0266000490601
manual,QTB,2,AB_minus_half_AA_half_BB,mean_same_point_geometry_dispersion,False,79,17,0.089506298224,0.0886094759692,0.00089682225472,-0.00454159618398,0.00633497282084
manual,QTB,2,AB_minus_half_AA_half_BB,mean_observed_population_coverage,False,103,19,0.40103560339,0.407830833363,-0.00679522997207,-0.0221542952608,0.00819167779103
manual,QTS,2,AB_minus_half_AA_half_BB,mean_median_reference_error,True,83,16,0.130707838937,0.130707838937,0,0,0
manual,QTS,2,AB_minus_half_AA_half_BB,mean_total_active_seconds,True,84,17,476.103086563,476.103086563,0,0,0
manual,QTS,2,AB_minus_half_AA_half_BB,mean_point_disagreement,False,88,17,0.393584288187,0.368031368884,0.0255529193029,-0.0105432431278,0.053015413151
manual,QTS,2,AB_minus_half_AA_half_BB,mean_same_point_geometry_dispersion,False,66,16,0.105955936854,0.0959471799825,0.0100087568718,-0.000708520171448,0.0208184091135
manual,QTS,2,AB_minus_half_AA_half_BB,mean_observed_population_coverage,False,88,17,0.373011803855,0.388465512382,-0.0154537085265,-0.0327931224045,0.00506647390926
manual,QTSB,2,AB_minus_half_AA_half_BB,mean_median_reference_error,True,97,18,0.116971427998,0.116971427998,0,0,0
manual,QTSB,2,AB_minus_half_AA_half_BB,mean_total_active_seconds,True,99,19,441.377313539,441.377313539,0,0,0
manual,QTSB,2,AB_minus_half_AA_half_BB,mean_point_disagreement,False,103,19,0.373247343272,0.373693296994,-0.000445953722711,-0.0202754570885,0.017675171153
manual,QTSB,2,AB_minus_half_AA_half_BB,mean_same_point_geometry_dispersion,False,78,17,0.0908850333687,0.0891229320235,0.00176210134527,-0.00385485007406,0.0073427132843
manual,QTSB,2,AB_minus_half_AA_half_BB,mean_observed_population_coverage,False,103,19,0.411671249054,0.416842354284,-0.0051711052302,-0.0168613193919,0.00853830124041
manual,S,2,AB_minus_half_AA_half_BB,mean_median_reference_error,True,77,16,0.116212841623,0.116212841623,0,0,0
manual,S,2,AB_minus_half_AA_half_BB,mean_total_active_seconds,True,75,18,531.573588405,531.573588405,0,0,0
manual,S,2,AB_minus_half_AA_half_BB,mean_point_disagreement,False,83,18,0.424333492255,0.389272429952,0.0350610623028,-0.00392318141423,0.092394898384
manual,S,2,AB_minus_half_AA_half_BB,mean_same_point_geometry_dispersion,False,62,16,0.0912517745219,0.0888220922573,0.00242968226455,-0.00482196083622,0.0102948334209
manual,S,2,AB_minus_half_AA_half_BB,mean_observed_population_coverage,False,83,18,0.372545466002,0.388843035292,-0.0162975692894,-0.0439232151379,0.00542769399784
manual,SB,2,AB_minus_half_AA_half_BB,mean_median_reference_error,True,77,16,0.126959885495,0.126959885495,0,0,0
manual,SB,2,AB_minus_half_AA_half_BB,mean_total_active_seconds,True,73,18,440.307797333,440.307797333,0,0,0
manual,SB,2,AB_minus_half_AA_half_BB,mean_point_disagreement,False,83,18,0.409120851256,0.38582210646,0.0232987447957,-0.0163679968996,0.0666262524679
manual,SB,2,AB_minus_half_AA_half_BB,mean_same_point_geometry_dispersion,False,59,16,0.10987405194,0.0967762995287,0.0130977524113,-0.000153124361527,0.0366155546215
manual,SB,2,AB_minus_half_AA_half_BB,mean_observed_population_coverage,False,83,18,0.353737974963,0.370584081198,-0.0168461062355,-0.038296362624,0.00376668283149
manual,T,2,AB_minus_half_AA_half_BB,mean_median_reference_error,True,84,17,0.120739536162,0.120739536162,0,0,0
manual,T,2,AB_minus_half_AA_half_BB,mean_total_active_seconds,True,86,19,406.272959728,406.272959728,0,0,0
manual,T,2,AB_minus_half_AA_half_BB,mean_point_disagreement,False,89,19,0.395871996293,0.363480152806,0.0323918434873,-0.0133973270415,0.0770648049651
manual,T,2,AB_minus_half_AA_half_BB,mean_same_point_geometry_dispersion,False,67,17,0.101173836308,0.0904822906224,0.0106915456857,0.0026007519673,0.0214068593147
manual,T,2,AB_minus_half_AA_half_BB,mean_observed_population_coverage,False,89,19,0.378582260718,0.388686571229,-0.0101043105109,-0.0331997982714,0.0191191843625
manual,TB,2,AB_minus_half_AA_half_BB,mean_median_reference_error,True,85,17,0.121709927933,0.121709927933,0,0,0
manual,TB,2,AB_minus_half_AA_half_BB,mean_total_active_seconds,True,86,19,458.149940886,458.149940886,0,0,0
manual,TB,2,AB_minus_half_AA_half_BB,mean_point_disagreement,False,91,19,0.389941433211,0.374538388961,0.0154030442492,-0.0269510086225,0.0530743203436
manual,TB,2,AB_minus_half_AA_half_BB,mean_same_point_geometry_dispersion,False,67,17,0.0982905324136,0.0964028070537,0.0018877253599,-0.00243761118487,0.00577145600375
manual,TB,2,AB_minus_half_AA_half_BB,mean_observed_population_coverage,False,91,19,0.391227143958,0.396669139767,-0.00544199580976,-0.018974834814,0.0142055127815
manual,TS,2,AB_minus_half_AA_half_BB,mean_median_reference_error,True,75,15,0.128515898845,0.128515898845,0,0,0
manual,TS,2,AB_minus_half_AA_half_BB,mean_total_active_seconds,True,76,17,451.401797581,451.401797581,0,0,0
manual,TS,2,AB_minus_half_AA_half_BB,mean_point_disagreement,False,80,17,0.401370788303,0.394879322067,0.00649146623577,-0.0118209438647,0.0188909367665
manual,TS,2,AB_minus_half_AA_half_BB,mean_same_point_geometry_dispersion,False,60,15,0.0940563495626,0.0882005240775,0.00585582548503,0.00149766101526,0.0116546139684
manual,TS,2,AB_minus_half_AA_half_BB,mean_observed_population_coverage,False,80,17,0.383609341154,0.388920990435,-0.00531164928104,-0.0164041229843,0.00358918493707
manual,TSB,2,AB_minus_half_AA_half_BB,mean_median_reference_error,True,90,16,0.125827269327,0.125827269327,0,0,0
manual,TSB,2,AB_minus_half_AA_half_BB,mean_total_active_seconds,True,88,18,400.336216877,400.336216876,0,0,0
manual,TSB,2,AB_minus_half_AA_half_BB,mean_point_disagreement,False,94,18,0.390846146564,0.347341104522,0.0435050420422,-0.00184453268166,0.0846563588832
manual,TSB,2,AB_minus_half_AA_half_BB,mean_same_point_geometry_dispersion,False,69,17,0.1042397155,0.0953721829055,0.00886753259485,-0.00203028578406,0.0202665060283
manual,TSB,2,AB_minus_half_AA_half_BB,mean_observed_population_coverage,False,94,18,0.376568221891,0.392361428403,-0.0157932065124,-0.0373932826753,0.0142244274423
manual,quality_time_edit,2,AB_minus_half_AA_half_BB,mean_median_reference_error,True,79,18,0.11445691637,0.11445691637,0,0,0
manual,quality_time_edit,2,AB_minus_half_AA_half_BB,mean_total_active_seconds,True,78,19,402.521933484,402.521933484,0,0,0
manual,quality_time_edit,2,AB_minus_half_AA_half_BB,mean_point_disagreement,False,82,19,0.337870245127,0.322180009774,0.0156902353532,-0.0106943384495,0.0451824867757
manual,quality_time_edit,2,AB_minus_half_AA_half_BB,mean_same_point_geometry_dispersion,False,69,18,0.100126479539,0.0863422136433,0.013784265896,0.00669899456601,0.0222459857967
manual,quality_time_edit,2,AB_minus_half_AA_half_BB,mean_observed_population_coverage,False,82,19,0.426891184723,0.430983291433,-0.00409210671064,-0.0297585826709,0.0192310331988
semi,B,2,AB_minus_half_AA_half_BB,mean_median_reference_error,True,19,10,0.0556934422185,0.0556934422184,0,0,0
semi,B,2,AB_minus_half_AA_half_BB,mean_total_active_seconds,True,19,10,274.962931367,274.962931367,0,0,0
semi,B,2,AB_minus_half_AA_half_BB,mean_point_disagreement,False,19,10,0.289662584261,0.214962761154,0.0746998231069,0.0206299035192,0.140554619722
semi,B,2,AB_minus_half_AA_half_BB,mean_same_point_geometry_dispersion,False,19,10,0.0506764862141,0.0433106042597,0.00736588195442,0.000955397359799,0.0145897793044
semi,B,2,AB_minus_half_AA_half_BB,mean_observed_population_coverage,False,19,10,0.527603054149,0.553210856515,-0.0256078023663,-0.0491503598742,-0.00363528193307
semi,Q,2,AB_minus_half_AA_half_BB,mean_median_reference_error,True,22,11,0.0524224981962,0.0524224981962,0,0,0
semi,Q,2,AB_minus_half_AA_half_BB,mean_total_active_seconds,True,22,11,307.025884124,307.025884124,0,0,0
semi,Q,2,AB_minus_half_AA_half_BB,mean_point_disagreement,False,22,11,0.209659376571,0.21069190957,-0.0010325329985,-0.00946375041241,0.00582054048806
semi,Q,2,AB_minus_half_AA_half_BB,mean_same_point_geometry_dispersion,False,20,11,0.0540291765113,0.0438180295055,0.0102111470058,0.00490893997803,0.0202167165213
semi,Q,2,AB_minus_half_AA_half_BB,mean_observed_population_coverage,False,22,11,0.58328864932,0.595184937096,-0.0118962877758,-0.0284863809931,0.000109400339573
semi,QB,2,AB_minus_half_AA_half_BB,mean_median_reference_error,True,28,11,0.0660216938842,0.0660216938842,0,0,0
semi,QB,2,AB_minus_half_AA_half_BB,mean_total_active_seconds,True,24,11,425.477556471,425.477556471,0,0,0
semi,QB,2,AB_minus_half_AA_half_BB,mean_point_disagreement,False,28,11,0.285912698413,0.258638583639,0.0272741147741,0.00492364695491,0.0828798076923
semi,QB,2,AB_minus_half_AA_half_BB,mean_same_point_geometry_dispersion,False,21,10,0.0895068166669,0.0630295846275,0.0264772320394,0.0150707833793,0.0432075684367
semi,QB,2,AB_minus_half_AA_half_BB,mean_observed_population_coverage,False,28,11,0.462581849834,0.503063185449,-0.0404813356143,-0.070393715453,-0.0175683368958
semi,QS,2,AB_minus_half_AA_half_BB,mean_median_reference_error,True,19,11,0.0741586050412,0.0741586050412,0,0,0
semi,QS,2,AB_minus_half_AA_half_BB,mean_total_active_seconds,True,19,11,386.177542452,386.177542452,0,0,0
semi,QS,2,AB_minus_half_AA_half_BB,mean_point_disagreement,False,19,11,0.242589478081,0.217899204927,0.0246902731545,-0.0173907119779,0.0958020927668
semi,QS,2,AB_minus_half_AA_half_BB,mean_same_point_geometry_dispersion,False,17,9,0.0726164229364,0.0557764985482,0.0168399243882,0.00339112832203,0.0460073317724
semi,QS,2,AB_minus_half_AA_half_BB,mean_observed_population_coverage,False,19,11,0.512583353189,0.540141602829,-0.0275582496401,-0.0706512020649,-0.000242140873204
semi,QSB,2,AB_minus_half_AA_half_BB,mean_median_reference_error,True,29,12,0.0650856824302,0.0650856824302,0,0,0
semi,QSB,2,AB_minus_half_AA_half_BB,mean_total_active_seconds,True,24,12,430.047100122,430.047100122,0,0,0
semi,QSB,2,AB_minus_half_AA_half_BB,mean_point_disagreement,False,29,12,0.293643549374,0.268469253307,0.0251742960668,0.00316918127341,0.0784787650442
semi,QSB,2,AB_minus_half_AA_half_BB,mean_same_point_geometry_dispersion,False,21,10,0.0862466631547,0.0627392662585,0.0235073968962,0.010021296321,0.0421058359819
semi,QSB,2,AB_minus_half_AA_half_BB,mean_observed_population_coverage,False,29,12,0.464941872031,0.500559964471,-0.0356180924399,-0.0640751876322,-0.0133153003367
semi,QT,2,AB_minus_half_AA_half_BB,mean_median_reference_error,True,28,11,0.0626053420429,0.0626053420428,0,0,0
semi,QT,2,AB_minus_half_AA_half_BB,mean_total_active_seconds,True,25,11,362.721785992,362.721785992,0,0,0
semi,QT,2,AB_minus_half_AA_half_BB,mean_point_disagreement,False,28,11,0.309303855575,0.315148585658,-0.00584473008323,-0.0390462919063,0.0189014852822
semi,QT,2,AB_minus_half_AA_half_BB,mean_same_point_geometry_dispersion,False,21,10,0.0729921370538,0.0585155555123,0.0144765815415,0.00340281584846,0.0332094274878
semi,QT,2,AB_minus_half_AA_half_BB,mean_observed_population_coverage,False,28,11,0.482003182237,0.484564374739,-0.00256119250145,-0.0197867653182,0.0151060807187
semi,QTB,2,AB_minus_half_AA_half_BB,mean_median_reference_error,True,27,11,0.0538005348755,0.0538005348756,0,0,0
semi,QTB,2,AB_minus_half_AA_half_BB,mean_total_active_seconds,True,27,11,404.578321576,404.578321576,0,0,0
semi,QTB,2,AB_minus_half_AA_half_BB,mean_point_disagreement,False,27,11,0.243473296251,0.243949825894,-0.000476529643278,-0.0267822470405,0.0169810910706
semi,QTB,2,AB_minus_half_AA_half_BB,mean_same_point_geometry_dispersion,False,22,11,0.0591735719842,0.0512979322852,0.00787563969902,0.00436198563725,0.0127211480415
semi,QTB,2,AB_minus_half_AA_half_BB,mean_observed_population_coverage,False,27,11,0.530463383719,0.561648802251,-0.0311854185319,-0.0605790507392,-0.00208353740529
semi,QTS,2,AB_minus_half_AA_half_BB,mean_median_reference_error,True,30,11,0.0543852074272,0.0543852074272,0,0,0
semi,QTS,2,AB_minus_half_AA_half_BB,mean_total_active_seconds,True,29,11,418.692184157,418.692184157,0,0,0
semi,QTS,2,AB_minus_half_AA_half_BB,mean_point_disagreement,False,30,11,0.239283872693,0.243048248048,-0.00376437535532,-0.0282306270653,0.0103093245298
semi,QTS,2,AB_minus_half_AA_half_BB,mean_same_point_geometry_dispersion,False,24,11,0.0663189358262,0.0569651484233,0.00935378740287,-0.00167830545398,0.0288906854023
semi,QTS,2,AB_minus_half_AA_half_BB,mean_observed_population_coverage,False,30,11,0.548236993802,0.542615544346,0.00562144945591,-0.00900535666405,0.020280661975
semi,QTSB,2,AB_minus_half_AA_half_BB,mean_median_reference_error,True,28,11,0.0526681512451,0.0526681512451,0,0,0
semi,QTSB,2,AB_minus_half_AA_half_BB,mean_total_active_seconds,True,28,11,402.429662698,402.429662698,0,0,0
semi,QTSB,2,AB_minus_half_AA_half_BB,mean_point_disagreement,False,28,11,0.253952991453,0.253999869178,-4.68777255536e-05,-0.0248043567097,0.0166007181223
semi,QTSB,2,AB_minus_half_AA_half_BB,mean_same_point_geometry_dispersion,False,22,11,0.0599334445793,0.0522736531021,0.00765979147725,0.00386620415844,0.0128333308254
semi,QTSB,2,AB_minus_half_AA_half_BB,mean_observed_population_coverage,False,28,11,0.5371613326,0.557327999884,-0.0201666672843,-0.0425073714252,0.00660762983186
semi,S,2,AB_minus_half_AA_half_BB,mean_median_reference_error,True,23,10,0.0603440837736,0.0603440837736,0,0,0
semi,S,2,AB_minus_half_AA_half_BB,mean_total_active_seconds,True,15,9,278.300253374,278.300253374,0,0,0
semi,S,2,AB_minus_half_AA_half_BB,mean_point_disagreement,False,23,10,0.234852506592,0.230015966744,0.004836539848,-0.00839727721719,0.0148868955889
semi,S,2,AB_minus_half_AA_half_BB,mean_same_point_geometry_dispersion,False,19,10,0.0783639533263,0.0678157033485,0.0105482499779,0.00214961823196,0.0183417718503
semi,S,2,AB_minus_half_AA_half_BB,mean_observed_population_coverage,False,23,10,0.496536193712,0.52112158881,-0.0245853950975,-0.0498266140366,0.0075578363876
semi,SB,2,AB_minus_half_AA_half_BB,mean_median_reference_error,True,25,10,0.0629978736497,0.0629978736497,0,0,0
semi,SB,2,AB_minus_half_AA_half_BB,mean_total_active_seconds,True,21,10,427.80867565,427.80867565,0,0,0
semi,SB,2,AB_minus_half_AA_half_BB,mean_point_disagreement,False,25,10,0.257873015873,0.250765616908,0.00710739896498,0.00163105039487,0.0123732272547
semi,SB,2,AB_minus_half_AA_half_BB,mean_same_point_geometry_dispersion,False,21,10,0.0836442636044,0.0600557565153,0.0235885070891,0.0108401627828,0.0405251297093
semi,SB,2,AB_minus_half_AA_half_BB,mean_observed_population_coverage,False,25,10,0.499677995716,0.516681595242,-0.0170035995261,-0.0341198430269,0.00519188371169
semi,T,2,AB_minus_half_AA_half_BB,mean_median_reference_error,True,28,11,0.0680052884481,0.0680052884481,0,0,0
semi,T,2,AB_minus_half_AA_half_BB,mean_total_active_seconds,True,26,11,396.776574814,396.776574814,0,0,0
semi,T,2,AB_minus_half_AA_half_BB,mean_point_disagreement,False,28,11,0.259653293135,0.267444559409,-0.00779126627336,-0.0334625251642,0.00647046842054
semi,T,2,AB_minus_half_AA_half_BB,mean_same_point_geometry_dispersion,False,23,10,0.0694187899646,0.0693586416797,6.01482849065e-05,-0.00760174304082,0.00766641577236
semi,T,2,AB_minus_half_AA_half_BB,mean_observed_population_coverage,False,28,11,0.464888153456,0.457243307719,0.00764484573692,-0.0130062596532,0.0328299204102
semi,TB,2,AB_minus_half_AA_half_BB,mean_median_reference_error,True,30,11,0.0636946188105,0.0636946188105,0,0,0
semi,TB,2,AB_minus_half_AA_half_BB,mean_total_active_seconds,True,28,11,442.636828747,442.636828747,0,0,0
semi,TB,2,AB_minus_half_AA_half_BB,mean_point_disagreement,False,30,11,0.278295454545,0.292947330447,-0.0146518759019,-0.0606631891036,0.0170185432127
semi,TB,2,AB_minus_half_AA_half_BB,mean_same_point_geometry_dispersion,False,23,10,0.0663929678536,0.0660653822451,0.000327585608515,-0.00702223425057,0.0081358233922
semi,TB,2,AB_minus_half_AA_half_BB,mean_observed_population_coverage,False,30,11,0.46845659446,0.465229834578,0.00322675988194,-0.0284215867062,0.0362956546376
semi,TS,2,AB_minus_half_AA_half_BB,mean_median_reference_error,True,31,10,0.0622137223496,0.0622137223497,0,0,0
semi,TS,2,AB_minus_half_AA_half_BB,mean_total_active_seconds,True,27,10,298.271399177,298.271399177,0,0,0
semi,TS,2,AB_minus_half_AA_half_BB,mean_point_disagreement,False,31,10,0.270061243742,0.274162217711,-0.00410097396898,-0.00874347002519,0.00109580703086
semi,TS,2,AB_minus_half_AA_half_BB,mean_same_point_geometry_dispersion,False,23,10,0.0690523034048,0.0729476604856,-0.00389535708079,-0.0106970439433,0.000930564906256
semi,TS,2,AB_minus_half_AA_half_BB,mean_observed_population_coverage,False,31,10,0.490948445582,0.480854187027,0.0100942585555,-0.00586757097114,0.0264686576622
semi,TSB,2,AB_minus_half_AA_half_BB,mean_median_reference_error,True,28,10,0.0565273121407,0.0565273121407,0,0,0
semi,TSB,2,AB_minus_half_AA_half_BB,mean_total_active_seconds,True,25,10,286.45925974,286.45925974,0,0,0
semi,TSB,2,AB_minus_half_AA_half_BB,mean_point_disagreement,False,28,10,0.26618531931,0.249289797504,0.0168955218062,0.00178292445105,0.0348365982695
semi,TSB,2,AB_minus_half_AA_half_BB,mean_same_point_geometry_dispersion,False,22,10,0.068636686273,0.0634478914889,0.00518879478417,-0.00427946194946,0.0147123416559
semi,TSB,2,AB_minus_half_AA_half_BB,mean_observed_population_coverage,False,28,10,0.49922612936,0.503736270879,-0.0045101415187,-0.0200644237205,0.0144020200341
semi,quality_time_edit,2,AB_minus_half_AA_half_BB,mean_median_reference_error,True,22,10,0.0561845878687,0.0561845878687,0,0,0
semi,quality_time_edit,2,AB_minus_half_AA_half_BB,mean_total_active_seconds,True,22,10,290.106336088,290.106336088,0,0,0
semi,quality_time_edit,2,AB_minus_half_AA_half_BB,mean_point_disagreement,False,22,10,0.233568166283,0.224078612775,0.00948955350868,-0.000738402253247,0.0178340513366
semi,quality_time_edit,2,AB_minus_half_AA_half_BB,mean_same_point_geometry_dispersion,False,20,10,0.0595477305724,0.0450377918168,0.0145099387556,0.00643373490086,0.0266810742481
semi,quality_time_edit,2,AB_minus_half_AA_half_BB,mean_observed_population_coverage,False,22,10,0.561068801598,0.569164534771,-0.00809573317265,-0.0258283445765,0.010839926954
