support,information,k,attempted_repetitions,evaluated,median_ARI,mean_ARI,median_common_workers
primary_6rows_3buildings,QS,0,100,0,,,0
primary_6rows_3buildings,QSB,0,100,0,,,0
primary_6rows_3buildings,QT,2,100,100,0.352615825669,0.316202874723,21
primary_6rows_3buildings,QT,3,100,100,0.403938515528,0.417803876614,21
primary_6rows_3buildings,QT,4,100,100,0.361475938523,0.355257241029,21
primary_6rows_3buildings,QT,5,100,100,0.318946558953,0.328097341027,21
primary_6rows_3buildings,QT,6,100,100,0.311016949037,0.316090629587,21
primary_6rows_3buildings,QT,7,100,100,0.297357512745,0.300443674274,21
primary_6rows_3buildings,QT,8,100,100,0.254544649871,0.262613572242,21
primary_6rows_3buildings,QT,9,100,100,0.209673610078,0.219780930987,21
primary_6rows_3buildings,QT,10,100,100,0.188888538275,0.191588479676,21
primary_6rows_3buildings,QT,11,100,77,0.121621621622,0.147046532466,21
primary_6rows_3buildings,QTB,0,100,0,,,1
primary_6rows_3buildings,QTB,2,100,95,0.00817438692098,0.116295068882,21
primary_6rows_3buildings,QTB,3,100,94,0.234516373276,0.232189731148,21
primary_6rows_3buildings,QTB,4,100,91,0.269085929476,0.292766997823,21
primary_6rows_3buildings,QTB,5,100,88,0.377453903355,0.372903323924,21
primary_6rows_3buildings,QTB,6,100,84,0.34355285019,0.351094169347,21
primary_6rows_3buildings,QTB,7,100,83,0.310606060606,0.321784965546,21
primary_6rows_3buildings,QTB,8,100,79,0.286060606061,0.284430168861,21
primary_6rows_3buildings,QTB,9,100,74,0.2790225436,0.274382113826,21
primary_6rows_3buildings,QTB,10,100,71,0.247883655307,0.27260337269,21
primary_6rows_3buildings,QTB,11,100,45,0.238252267106,0.252136327096,22
primary_6rows_3buildings,QTS,0,100,0,,,0
primary_6rows_3buildings,QTSB,0,100,0,,,0
primary_6rows_3buildings,S,0,100,0,,,0
primary_6rows_3buildings,SB,0,100,0,,,0
primary_6rows_3buildings,T,2,100,100,0.809264305177,0.753653544275,21
primary_6rows_3buildings,T,3,100,100,0.533990135961,0.554376418201,21
primary_6rows_3buildings,T,4,100,100,0.473063359793,0.502781755524,21
primary_6rows_3buildings,T,5,100,100,0.447982323724,0.464122240557,21
primary_6rows_3buildings,T,6,100,100,0.404014945156,0.403903061999,21
primary_6rows_3buildings,T,7,100,100,0.384735532359,0.392365680933,21
primary_6rows_3buildings,T,8,100,100,0.349535506633,0.373029048335,21
primary_6rows_3buildings,T,9,100,100,0.307713919345,0.316699926499,21
primary_6rows_3buildings,T,10,100,100,0.259728742566,0.278555959554,21
primary_6rows_3buildings,T,11,100,80,0.223317684289,0.227229357146,21
primary_6rows_3buildings,TB,0,100,0,,,1
primary_6rows_3buildings,TB,2,100,95,0.635761589404,0.561085585598,21
primary_6rows_3buildings,TB,3,100,94,0.414475987102,0.45193239868,21
primary_6rows_3buildings,TB,4,100,91,0.52365521711,0.539285727718,21
primary_6rows_3buildings,TB,5,100,88,0.471655698449,0.479813848862,21
primary_6rows_3buildings,TB,6,100,84,0.37459255668,0.416948519475,21
primary_6rows_3buildings,TB,7,100,83,0.388961892247,0.411841797101,21
primary_6rows_3buildings,TB,8,100,79,0.3798389192,0.380875209668,21
primary_6rows_3buildings,TB,9,100,74,0.340087415956,0.344503012022,21
primary_6rows_3buildings,TB,10,100,71,0.28101349128,0.298441248681,21
primary_6rows_3buildings,TB,11,100,47,0.207194610398,0.232995122804,22
primary_6rows_3buildings,TS,0,100,0,,,0
primary_6rows_3buildings,TSB,0,100,0,,,0
primary_6rows_3buildings,quality_time_edit,0,100,0,,,0
primary_6rows_3buildings,quality_time_edit,2,100,97,0.0877659574468,0.121667935779,21
primary_6rows_3buildings,quality_time_edit,3,100,97,0.149842563438,0.180054997361,21
primary_6rows_3buildings,quality_time_edit,4,100,95,0.241264559068,0.266625095772,21
primary_6rows_3buildings,quality_time_edit,5,100,93,0.29064473491,0.30387912726,21
primary_6rows_3buildings,quality_time_edit,6,100,91,0.288321167883,0.306716343248,21
primary_6rows_3buildings,quality_time_edit,7,100,90,0.269704938492,0.293663485786,21
primary_6rows_3buildings,quality_time_edit,8,100,89,0.258373205742,0.288533466278,21
primary_6rows_3buildings,quality_time_edit,9,100,86,0.289340101523,0.303829476033,21
primary_6rows_3buildings,quality_time_edit,10,100,81,0.320434487441,0.325673523774,21
primary_6rows_3buildings,quality_time_edit,11,100,55,0.365210222589,0.353835068941,22
sensitivity_3rows_2buildings,B,2,100,100,-0.0889331536704,-0.0604642551076,24
sensitivity_3rows_2buildings,B,3,100,100,0.399818487273,0.417880742062,24
sensitivity_3rows_2buildings,B,4,100,100,0.269807124988,0.291790120342,24
sensitivity_3rows_2buildings,B,5,100,100,0.220610331649,0.232992103338,24
sensitivity_3rows_2buildings,B,6,100,100,0.177486936487,0.1841150996,24
sensitivity_3rows_2buildings,B,7,100,100,0.147034975135,0.149728003152,24
sensitivity_3rows_2buildings,B,8,100,99,0.130314035463,0.128493169079,24
sensitivity_3rows_2buildings,B,9,100,99,0.101992031873,0.107209884795,24
sensitivity_3rows_2buildings,B,10,100,99,0.0921052631579,0.0986951786131,24
sensitivity_3rows_2buildings,B,11,100,98,0.0786320742446,0.0904818272983,24
sensitivity_3rows_2buildings,B,12,100,98,0.0749934392739,0.0812395431013,24
sensitivity_3rows_2buildings,Q,2,100,100,0.176756517897,0.225578858432,24
sensitivity_3rows_2buildings,Q,3,100,100,0.119849309079,0.136160459738,24
sensitivity_3rows_2buildings,Q,4,100,100,0.128423232485,0.135028398376,24
sensitivity_3rows_2buildings,Q,5,100,100,0.0900890213483,0.105661275025,24
sensitivity_3rows_2buildings,Q,6,100,100,0.0687088143022,0.0802882610509,24
sensitivity_3rows_2buildings,Q,7,100,100,0.054630991836,0.0724839069452,24
sensitivity_3rows_2buildings,Q,8,100,100,0.0470560361793,0.0638644586326,24
sensitivity_3rows_2buildings,Q,9,100,100,0.0467690034819,0.0585686438378,24
sensitivity_3rows_2buildings,Q,10,100,100,0.0412886842897,0.0484654415435,24
sensitivity_3rows_2buildings,Q,11,100,100,0.031624737007,0.0416822981076,24
sensitivity_3rows_2buildings,Q,12,100,100,0.0272424017791,0.0364472456749,24
sensitivity_3rows_2buildings,QB,2,100,100,0.0753768844221,0.178209725869,24
sensitivity_3rows_2buildings,QB,3,100,100,0.194591501641,0.220934711989,24
sensitivity_3rows_2buildings,QB,4,100,100,0.430559117489,0.416493593283,24
sensitivity_3rows_2buildings,QB,5,100,100,0.330048537463,0.323768009085,24
sensitivity_3rows_2buildings,QB,6,100,100,0.261916950045,0.26561293399,24
sensitivity_3rows_2buildings,QB,7,100,100,0.202469104594,0.204769380491,24
sensitivity_3rows_2buildings,QB,8,100,99,0.167795175624,0.167182959611,24
sensitivity_3rows_2buildings,QB,9,100,99,0.128879537086,0.136169748453,24
sensitivity_3rows_2buildings,QB,10,100,99,0.100205902539,0.106992515818,24
sensitivity_3rows_2buildings,QB,11,100,98,0.0808678679549,0.0881504414567,24
sensitivity_3rows_2buildings,QB,12,100,98,0.0768591696682,0.0830506411433,24
sensitivity_3rows_2buildings,QS,0,100,0,,,0
sensitivity_3rows_2buildings,QS,2,100,72,0.0781931465732,0.12053883429,24
sensitivity_3rows_2buildings,QS,3,100,72,0.150961286911,0.156925811803,24
sensitivity_3rows_2buildings,QS,4,100,72,0.114674081854,0.122802467727,24
sensitivity_3rows_2buildings,QS,5,100,72,0.135295196732,0.148567686935,24
sensitivity_3rows_2buildings,QS,6,100,72,0.127351594622,0.137534018202,24
sensitivity_3rows_2buildings,QS,7,100,72,0.126015787696,0.134711324822,24
sensitivity_3rows_2buildings,QS,8,100,72,0.107422028859,0.120323321199,24
sensitivity_3rows_2buildings,QS,9,100,72,0.10540419486,0.11144176868,24
sensitivity_3rows_2buildings,QS,10,100,72,0.0930974118894,0.100368114376,24
sensitivity_3rows_2buildings,QS,11,100,72,0.0854719662917,0.0944581936272,24
sensitivity_3rows_2buildings,QS,12,100,72,0.0906549520767,0.0992566681979,24
sensitivity_3rows_2buildings,QSB,0,100,0,,,0
sensitivity_3rows_2buildings,QSB,2,100,72,0.0118807680068,0.0913238061349,24
sensitivity_3rows_2buildings,QSB,3,100,72,0.113192966884,0.136699998903,24
sensitivity_3rows_2buildings,QSB,4,100,72,0.150176485388,0.168190108088,24
sensitivity_3rows_2buildings,QSB,5,100,72,0.188014223968,0.203201275638,24
sensitivity_3rows_2buildings,QSB,6,100,72,0.179079095893,0.201844749358,24
sensitivity_3rows_2buildings,QSB,7,100,72,0.19265044524,0.217125913006,24
sensitivity_3rows_2buildings,QSB,8,100,71,0.180646791309,0.191329825178,24
sensitivity_3rows_2buildings,QSB,9,100,71,0.152783591461,0.171563670047,24
sensitivity_3rows_2buildings,QSB,10,100,71,0.145833333333,0.150122200065,24
sensitivity_3rows_2buildings,QSB,11,100,70,0.117647058824,0.122791212689,24
sensitivity_3rows_2buildings,QSB,12,100,70,0.0958230958231,0.100188015864,24
sensitivity_3rows_2buildings,QT,2,100,100,0.290167175366,0.265386782359,23
sensitivity_3rows_2buildings,QT,3,100,100,0.374568192902,0.383205600924,23
sensitivity_3rows_2buildings,QT,4,100,100,0.322435155315,0.321307734253,23
sensitivity_3rows_2buildings,QT,5,100,100,0.291419105632,0.302708930569,23
sensitivity_3rows_2buildings,QT,6,100,100,0.279076227874,0.292084486058,23
sensitivity_3rows_2buildings,QT,7,100,100,0.270597301461,0.280452727314,23
sensitivity_3rows_2buildings,QT,8,100,100,0.245070110013,0.246002532236,23
sensitivity_3rows_2buildings,QT,9,100,100,0.199967108099,0.210539782374,23
sensitivity_3rows_2buildings,QT,10,100,100,0.166059611295,0.177628318446,23
sensitivity_3rows_2buildings,QT,11,100,100,0.146903353605,0.149793270085,23
sensitivity_3rows_2buildings,QTB,2,100,100,0.00449198932745,0.10749558646,23
sensitivity_3rows_2buildings,QTB,3,100,100,0.253762327146,0.259185096212,23
sensitivity_3rows_2buildings,QTB,4,100,100,0.268744807051,0.293072889716,23
sensitivity_3rows_2buildings,QTB,5,100,100,0.348294898621,0.371181655894,23
sensitivity_3rows_2buildings,QTB,6,100,100,0.339852419744,0.348376816663,23
sensitivity_3rows_2buildings,QTB,7,100,100,0.314822247522,0.330841308357,23
sensitivity_3rows_2buildings,QTB,8,100,99,0.290779604515,0.303882112498,23
sensitivity_3rows_2buildings,QTB,9,100,99,0.287438641667,0.292923369756,23
sensitivity_3rows_2buildings,QTB,10,100,99,0.26359832636,0.279595754641,23
sensitivity_3rows_2buildings,QTB,11,100,98,0.250904704463,0.261133152414,23
sensitivity_3rows_2buildings,QTS,0,100,0,,,0
sensitivity_3rows_2buildings,QTS,2,100,72,0.0506566604128,0.135335215593,23
sensitivity_3rows_2buildings,QTS,3,100,72,0.259948404178,0.271445658723,23
sensitivity_3rows_2buildings,QTS,4,100,72,0.257810923805,0.261797068285,23
sensitivity_3rows_2buildings,QTS,5,100,72,0.303624220171,0.287390958708,23
sensitivity_3rows_2buildings,QTS,6,100,72,0.311957918407,0.321940587492,23
sensitivity_3rows_2buildings,QTS,7,100,72,0.294742859144,0.297324921927,23
sensitivity_3rows_2buildings,QTS,8,100,72,0.273596509197,0.282056834118,23
sensitivity_3rows_2buildings,QTS,9,100,72,0.246466392921,0.261761606584,23
sensitivity_3rows_2buildings,QTS,10,100,72,0.229984457611,0.244046070817,23
sensitivity_3rows_2buildings,QTS,11,100,72,0.169811320755,0.200012167964,23
sensitivity_3rows_2buildings,QTSB,0,100,0,,,0
sensitivity_3rows_2buildings,QTSB,2,100,72,0.0031894934334,0.0917691600458,23
sensitivity_3rows_2buildings,QTSB,3,100,72,0.240623010083,0.240671041645,23
sensitivity_3rows_2buildings,QTSB,4,100,72,0.255388809599,0.257190962399,23
sensitivity_3rows_2buildings,QTSB,5,100,72,0.232361733622,0.256617574894,23
sensitivity_3rows_2buildings,QTSB,6,100,72,0.238972045506,0.249350172413,23
sensitivity_3rows_2buildings,QTSB,7,100,72,0.254764363342,0.257881817851,23
sensitivity_3rows_2buildings,QTSB,8,100,71,0.221179005695,0.238560669221,23
sensitivity_3rows_2buildings,QTSB,9,100,71,0.19512195122,0.227090871671,23
sensitivity_3rows_2buildings,QTSB,10,100,71,0.205480971929,0.239332153714,23
sensitivity_3rows_2buildings,QTSB,11,100,70,0.199019263245,0.231708201021,23
sensitivity_3rows_2buildings,S,0,100,0,,,0
sensitivity_3rows_2buildings,S,2,100,72,0.00703549728174,0.0510091271379,24
sensitivity_3rows_2buildings,S,3,100,72,0.144535979998,0.185965854402,24
sensitivity_3rows_2buildings,S,4,100,72,0.130436962974,0.128626264847,24
sensitivity_3rows_2buildings,S,5,100,72,0.124523094064,0.138156166995,24
sensitivity_3rows_2buildings,S,6,100,72,0.149166850422,0.13885961192,24
sensitivity_3rows_2buildings,S,7,100,72,0.123038723924,0.13381735419,24
sensitivity_3rows_2buildings,S,8,100,72,0.113904812291,0.122346143043,24
sensitivity_3rows_2buildings,S,9,100,72,0.115591113666,0.130707280956,24
sensitivity_3rows_2buildings,S,10,100,72,0.10281221651,0.124319725559,24
sensitivity_3rows_2buildings,S,11,100,72,0.104096598719,0.1210293468,24
sensitivity_3rows_2buildings,S,12,100,72,0.102768298509,0.106800641917,24
sensitivity_3rows_2buildings,SB,0,100,0,,,0
sensitivity_3rows_2buildings,SB,2,100,72,-0.0787143325681,-0.000989328515987,24
sensitivity_3rows_2buildings,SB,3,100,72,0.162819352785,0.152667815346,24
sensitivity_3rows_2buildings,SB,4,100,72,0.177865944411,0.204409094699,24
sensitivity_3rows_2buildings,SB,5,100,72,0.221754263271,0.236381221722,24
sensitivity_3rows_2buildings,SB,6,100,72,0.222218799355,0.224636648702,24
sensitivity_3rows_2buildings,SB,7,100,72,0.214284220441,0.207325557047,24
sensitivity_3rows_2buildings,SB,8,100,71,0.19494409334,0.201087720985,24
sensitivity_3rows_2buildings,SB,9,100,71,0.178937974119,0.184092550359,24
sensitivity_3rows_2buildings,SB,10,100,71,0.180887372014,0.18162053941,24
sensitivity_3rows_2buildings,SB,11,100,70,0.150028668295,0.151871522445,24
sensitivity_3rows_2buildings,SB,12,100,70,0.144742103159,0.148406806682,24
sensitivity_3rows_2buildings,T,2,100,100,0.667584308328,0.65851357058,23
sensitivity_3rows_2buildings,T,3,100,100,0.466909839312,0.485221458875,23
sensitivity_3rows_2buildings,T,4,100,100,0.420026663895,0.447590994605,23
sensitivity_3rows_2buildings,T,5,100,100,0.438376189822,0.450776045108,23
sensitivity_3rows_2buildings,T,6,100,100,0.372066755036,0.382571272254,23
sensitivity_3rows_2buildings,T,7,100,100,0.348985923773,0.365504411943,23
sensitivity_3rows_2buildings,T,8,100,100,0.337951200573,0.352762711601,23
sensitivity_3rows_2buildings,T,9,100,100,0.292717717977,0.30218178053,23
sensitivity_3rows_2buildings,T,10,100,100,0.26357510964,0.263284342737,23
sensitivity_3rows_2buildings,T,11,100,100,0.222550515083,0.227018144051,23
sensitivity_3rows_2buildings,TB,2,100,100,0.398880536232,0.429986522167,23
sensitivity_3rows_2buildings,TB,3,100,100,0.329187058611,0.334309351642,23
sensitivity_3rows_2buildings,TB,4,100,100,0.435354251851,0.471364373212,23
sensitivity_3rows_2buildings,TB,5,100,100,0.41999953511,0.4336041842,23
sensitivity_3rows_2buildings,TB,6,100,100,0.369634517044,0.395408220702,23
sensitivity_3rows_2buildings,TB,7,100,100,0.375844533249,0.379284280231,23
sensitivity_3rows_2buildings,TB,8,100,99,0.348709385654,0.357741783215,23
sensitivity_3rows_2buildings,TB,9,100,99,0.315175097276,0.321653067892,23
sensitivity_3rows_2buildings,TB,10,100,99,0.264668483197,0.27814980954,23
sensitivity_3rows_2buildings,TB,11,100,98,0.232003788538,0.233876928675,23
sensitivity_3rows_2buildings,TS,0,100,0,,,0
sensitivity_3rows_2buildings,TS,2,100,72,0.398485891259,0.413556423658,23
sensitivity_3rows_2buildings,TS,3,100,72,0.403400004589,0.392180302329,23
sensitivity_3rows_2buildings,TS,4,100,72,0.411496506293,0.403350677076,23
sensitivity_3rows_2buildings,TS,5,100,72,0.323281898362,0.332597210881,23
sensitivity_3rows_2buildings,TS,6,100,72,0.298957126304,0.324336679102,23
sensitivity_3rows_2buildings,TS,7,100,72,0.299604078211,0.312234712581,23
sensitivity_3rows_2buildings,TS,8,100,72,0.31283355117,0.310218769322,23
sensitivity_3rows_2buildings,TS,9,100,72,0.282608695652,0.3069539747,23
sensitivity_3rows_2buildings,TS,10,100,72,0.261941150909,0.27453706602,23
sensitivity_3rows_2buildings,TS,11,100,72,0.23268227587,0.23805752842,23
sensitivity_3rows_2buildings,TSB,0,100,0,,,0
sensitivity_3rows_2buildings,TSB,2,100,72,0.398278758302,0.387213357412,23
sensitivity_3rows_2buildings,TSB,3,100,72,0.241914800766,0.29387216515,23
sensitivity_3rows_2buildings,TSB,4,100,72,0.301280739023,0.326048973539,23
sensitivity_3rows_2buildings,TSB,5,100,72,0.312824571578,0.339622353472,23
sensitivity_3rows_2buildings,TSB,6,100,72,0.275574349891,0.285162847758,23
sensitivity_3rows_2buildings,TSB,7,100,72,0.262052388293,0.272320676408,23
sensitivity_3rows_2buildings,TSB,8,100,71,0.265874890343,0.264300670707,23
sensitivity_3rows_2buildings,TSB,9,100,71,0.245570952464,0.255839514264,23
sensitivity_3rows_2buildings,TSB,10,100,71,0.243902439024,0.250264792143,23
sensitivity_3rows_2buildings,TSB,11,100,70,0.192111591574,0.216668158186,23
sensitivity_3rows_2buildings,quality_time_edit,2,100,100,0.11472131967,0.148573179828,23
sensitivity_3rows_2buildings,quality_time_edit,3,100,100,0.185242229067,0.21030974306,23
sensitivity_3rows_2buildings,quality_time_edit,4,100,100,0.256115297438,0.280721979317,23
sensitivity_3rows_2buildings,quality_time_edit,5,100,100,0.289786531385,0.320344452636,23
sensitivity_3rows_2buildings,quality_time_edit,6,100,100,0.295013932531,0.306506997059,23
sensitivity_3rows_2buildings,quality_time_edit,7,100,100,0.263440204101,0.2795072063,23
sensitivity_3rows_2buildings,quality_time_edit,8,100,99,0.260006157635,0.271949187357,23
sensitivity_3rows_2buildings,quality_time_edit,9,100,99,0.27817403709,0.278952883199,23
sensitivity_3rows_2buildings,quality_time_edit,10,100,99,0.289824561404,0.300707809945,23
sensitivity_3rows_2buildings,quality_time_edit,11,100,98,0.31729255678,0.320658326543,23
