condition,information,metric,human_scene,n,groups,delta,lo,hi
manual,T,mode_entropy,开放复合空间,2,1,-0.1703125,,
manual,T,mode_entropy,无法判断,1,1,0.123456790123,,
manual,T,mode_entropy,起居与休闲,4,3,-0.118306817466,-0.272727272727,0.147022649969
manual,T,mode_entropy,通行与连接,15,9,0.0819998330661,0.00447685264625,0.189494736445
manual,T,same_topology_median_d,储藏与家务辅助,2,2,-0.000347708031845,-0.00115083286504,0.00045541680135
manual,T,same_topology_median_d,卧室,7,5,0.00623819309368,-3.18407908288e-05,0.0138225190205
manual,T,same_topology_median_d,卫浴,20,8,0.00174164116559,-0.00394061363727,0.00693645213174
manual,T,same_topology_median_d,厨房与用餐,4,4,-0.0143996839844,-0.0684920145736,0.0217993160017
manual,T,same_topology_median_d,复合／待定,3,3,0.0913492534706,-0.000869159627807,0.275700068008
manual,T,same_topology_median_d,工作与学习,1,1,-0.00357708599688,,
manual,T,same_topology_median_d,开放复合空间,0,0,,,
manual,T,same_topology_median_d,无法判断,1,1,-0.011532376815,,
manual,T,same_topology_median_d,起居与休闲,3,3,0.00192476054681,-0.0116723700987,0.0190326773462
manual,T,same_topology_median_d,通行与连接,15,9,0.0209080015264,0.00935938785403,0.0316010825289
manual,T,topology_disagreement,储藏与家务辅助,2,2,0,0,0
manual,T,topology_disagreement,卧室,9,7,-0.0490177077479,-0.137755102041,0.0076727769585
manual,T,topology_disagreement,卫浴,21,8,0.0218521785857,-0.0123390285685,0.0636915294183
manual,T,topology_disagreement,厨房与用餐,4,4,0,0,0
manual,T,topology_disagreement,复合／待定,3,3,-0.00970739137407,-0.0291221741222,0
manual,T,topology_disagreement,工作与学习,1,1,0.111899211899,,
manual,T,topology_disagreement,开放复合空间,2,1,-0.209375,,
manual,T,topology_disagreement,无法判断,1,1,0.123456790123,,
manual,T,topology_disagreement,起居与休闲,4,3,-0.035006223384,-0.124897536877,0.109770180217
manual,T,topology_disagreement,通行与连接,15,9,0.00274638546213,-0.0124212717331,0.0238364223843
semi,B,fixed_future_cov,储藏与家务辅助,1,1,0.0395928091835,,
semi,B,fixed_future_cov,卧室,7,4,-0.0275887278512,-0.119899425287,-0.000415171468738
semi,B,fixed_future_cov,卫浴,1,1,-0.0101107226107,,
semi,B,fixed_future_cov,厨房与用餐,1,1,-0.213020295838,,
semi,B,fixed_future_cov,复合／待定,3,3,-0.0335921110647,-0.0789732142857,-7.27387498892e-17
semi,B,fixed_future_cov,工作与学习,1,1,-0.0553617216117,,
semi,B,fixed_future_cov,起居与休闲,1,1,-0.0563721001221,,
semi,B,fixed_future_cov,通行与连接,3,3,-0.049645021564,-0.212236721612,0.0548806042885
semi,B,mode_entropy,储藏与家务辅助,1,1,-0.0425601039636,,
semi,B,mode_entropy,卧室,7,4,0.0656848234328,0.0130604288499,0.256435269208
semi,B,mode_entropy,卫浴,1,1,0.0612122599623,,
semi,B,mode_entropy,厨房与用餐,1,1,0.614275885793,,
semi,B,mode_entropy,复合／待定,3,3,0.0997430497541,0,0.272172619048
semi,B,mode_entropy,工作与学习,1,1,0.137393162393,,
semi,B,mode_entropy,起居与休闲,1,1,0.0824277574278,,
semi,B,mode_entropy,通行与连接,3,3,0.102449740805,-0.0651510721248,0.377217643468
semi,B,same_topology_median_d,储藏与家务辅助,1,1,-0.000636624821526,,
semi,B,same_topology_median_d,卧室,7,4,0.00815435851101,0.00507943205585,0.0110049378039
semi,B,same_topology_median_d,卫浴,1,1,0.00900270212442,,
semi,B,same_topology_median_d,厨房与用餐,1,1,-0.0203528927902,,
