worker_id,admission_status,r_u_0,r_u_0_basis,geometry_quality_summary,scope_quality_summary,blind_trust_summary,completion_summary,active_time_source_tier,fallback_watch,undercoverage_watch,duplicate_copy_watch,c1_priority_note
28,pass_with_watch,0.795008,p1_proxy_scope_geometry_not_formal_r_u,alignment_available=47;undercoverage_high=2;undercoverage_medium=2,correct_in_scope=34;false_positive=13;false_negative=5,semi_issue_review_sidecar_ready_not_scored_in_screening,complete;observed=57/57,active_log_primary,False,True,False,undercoverage_watch
29,pass_with_watch,0.717483,p1_proxy_scope_geometry_not_formal_r_u,alignment_available=47;undercoverage_high=2;undercoverage_medium=3,correct_in_scope=27;false_positive=20;false_negative=6,semi_issue_review_sidecar_ready_not_scored_in_screening,complete;observed=57/57,active_log_primary,False,True,False,undercoverage_watch
30,pass,0.649362,p1_proxy_scope_geometry_not_formal_r_u,alignment_available=47;undercoverage_high=0;undercoverage_medium=2,correct_in_scope=16;false_positive=31;false_negative=3,semi_issue_review_sidecar_ready_not_scored_in_screening,complete;observed=57/57,mixed_or_partial_active_time,False,False,False,standard_C1_entry
31,pass_with_watch,0.914324,p1_proxy_scope_geometry_not_formal_r_u,alignment_available=47;undercoverage_high=0;undercoverage_medium=1,correct_in_scope=47;false_positive=0;false_negative=9,semi_issue_review_sidecar_ready_not_scored_in_screening,complete;observed=57/57,lead_time_fallback_sensitivity_only,True,False,False,fallback_watch
32,pass_with_watch,0.843404,p1_proxy_scope_geometry_not_formal_r_u,alignment_available=47;undercoverage_high=2;undercoverage_medium=1,correct_in_scope=37;false_positive=10;false_negative=3,semi_issue_review_sidecar_ready_not_scored_in_screening,complete;observed=57/57,active_log_primary,False,True,False,undercoverage_watch
33,pass_with_watch,0.853945,p1_proxy_scope_geometry_not_formal_r_u,alignment_available=47;undercoverage_high=0;undercoverage_medium=2,correct_in_scope=35;false_positive=12;false_negative=1,semi_issue_review_sidecar_ready_not_scored_in_screening,complete;observed=57/57,active_log_primary,False,False,True,copy_audit_watch
34,pass_with_watch,0.870007,p1_proxy_scope_geometry_not_formal_r_u,alignment_available=47;undercoverage_high=1;undercoverage_medium=1,correct_in_scope=44;false_positive=3;false_negative=10,semi_issue_review_sidecar_ready_not_scored_in_screening,complete;observed=57/57,lead_time_fallback_sensitivity_only,True,True,True,fallback_watch;undercoverage_watch;duplicate_audit_watch
35,pass_with_watch,0.837323,p1_proxy_scope_geometry_not_formal_r_u,alignment_available=47;undercoverage_high=4;undercoverage_medium=3,correct_in_scope=38;false_positive=9;false_negative=1,semi_issue_review_sidecar_ready_not_scored_in_screening,complete;observed=57/57,lead_time_fallback_sensitivity_only,True,True,False,fallback_watch;undercoverage_watch
36,pass_with_watch,0.914894,p1_proxy_scope_geometry_not_formal_r_u,alignment_available=47;undercoverage_high=2;undercoverage_medium=0,correct_in_scope=41;false_positive=6;false_negative=0,semi_issue_review_sidecar_ready_not_scored_in_screening,complete;observed=57/57,mixed_or_partial_active_time,False,False,True,duplicate_audit_watch;manual_override_resolved_final_annotation_4595
37,pass_with_watch,0.751227,p1_proxy_scope_geometry_not_formal_r_u,alignment_available=47;undercoverage_high=1;undercoverage_medium=5,correct_in_scope=30;false_positive=17;false_negative=5,semi_issue_review_sidecar_ready_not_scored_in_screening,complete;observed=57/57,active_log_primary,False,True,False,undercoverage_watch
