TRANSFER manual tier_primary rows 2911
TRANSFER manual cdf_early7 rows 7708
TRANSFER manual cdf_observed_by19 rows 12505
TRANSFER manual late_new_geometry rows 29473
TRANSFER manual half_tv rows 46441
TRANSFER manual singleton_mass rows 67878
TRANSFER manual within_mode_median rows 84026
TRANSFER semi tier_primary rows 84313
TRANSFER semi cdf_early7 rows 85707
TRANSFER semi cdf_observed_by19 rows 87101
TRANSFER semi late_new_geometry rows 91734
TRANSFER semi half_tv rows 96367
TRANSFER semi singleton_mass rows 101123
TRANSFER semi within_mode_median rows 105633
condition             target                    design                           method subset  images  buildings  rooms  image_loss  building_macro_loss  room_macro_loss  accuracy
   manual         cdf_early7 same_scene_cross_building                 source_frequency    all      39         14      0    0.423462             0.439408              NaN       NaN
   manual  cdf_observed_by19  same_building_diagnostic dinov3__block12__panorama_global    all      37         10      0    0.331892             0.309857              NaN       NaN
   manual  cdf_observed_by19  same_building_diagnostic  dinov3__block3__panorama_global    all      37         10      0    0.276216             0.279000              NaN       NaN
   manual  cdf_observed_by19  same_building_diagnostic            dinov3__cls__panorama    all      37         10      0    0.327297             0.306914              NaN       NaN
   manual  cdf_observed_by19  same_building_diagnostic                 source_frequency    all      37         10      0    0.311622             0.301829              NaN       NaN
   manual  cdf_observed_by19  same_main_cross_building dinov3__block12__panorama_global    all      37         14      0    0.330270             0.352714              NaN       NaN
   manual  cdf_observed_by19  same_main_cross_building  dinov3__block3__panorama_global    all      37         14      0    0.317027             0.352548              NaN       NaN
   manual  cdf_observed_by19  same_main_cross_building            dinov3__cls__panorama    all      37         14      0    0.344865             0.369595              NaN       NaN
   manual  cdf_observed_by19  same_main_cross_building                 source_frequency    all      37         14      0    0.308919             0.337667              NaN       NaN
   manual  cdf_observed_by19                 same_room dinov3__block12__panorama_global    all       4          2      2    0.570000             0.570000         0.570000       NaN
   manual  cdf_observed_by19                 same_room  dinov3__block3__panorama_global    all       4          2      2    0.570000             0.570000         0.570000       NaN
   manual  cdf_observed_by19                 same_room            dinov3__cls__panorama    all       4          2      2    0.570000             0.570000         0.570000       NaN
   manual  cdf_observed_by19                 same_room                 source_frequency    all       4          2      2    0.570000             0.570000         0.570000       NaN
   manual  cdf_observed_by19 same_scene_cross_building dinov3__block12__panorama_global    all      39         14      0    0.349487             0.386179              NaN       NaN
   manual  cdf_observed_by19 same_scene_cross_building  dinov3__block3__panorama_global    all      39         14      0    0.317949             0.319980              NaN       NaN
   manual  cdf_observed_by19 same_scene_cross_building            dinov3__cls__panorama    all      39         14      0    0.391026             0.413628              NaN       NaN
   manual  cdf_observed_by19 same_scene_cross_building                 source_frequency    all      39         14      0    0.316538             0.340135              NaN       NaN
   manual            half_tv  same_building_diagnostic dinov3__block12__panorama_global    all     131         18      0    0.172322             0.174715              NaN       NaN
   manual            half_tv  same_building_diagnostic  dinov3__block3__panorama_global    all     131         18      0    0.177105             0.176255              NaN       NaN
   manual            half_tv  same_building_diagnostic            dinov3__cls__panorama    all     131         18      0    0.168221             0.167681              NaN       NaN
   manual            half_tv  same_building_diagnostic                 source_frequency    all     131         18      0    0.129993             0.131190              NaN       NaN
   manual            half_tv  same_main_cross_building dinov3__block12__panorama_global    all     133         20      0    0.172491             0.151822              NaN       NaN
   manual            half_tv  same_main_cross_building  dinov3__block3__panorama_global    all     133         20      0    0.152311             0.141216              NaN       NaN
   manual            half_tv  same_main_cross_building            dinov3__cls__panorama    all     133         20      0    0.146829             0.131887              NaN       NaN
   manual            half_tv  same_main_cross_building                 source_frequency    all     133         20      0    0.124396             0.121606              NaN       NaN
   manual            half_tv                 same_room dinov3__block12__panorama_global    all      24          7     10    0.097786             0.111556         0.099993       NaN
   manual            half_tv                 same_room  dinov3__block3__panorama_global    all      24          7     10    0.099147             0.112514         0.101126       NaN
   manual            half_tv                 same_room            dinov3__cls__panorama    all      24          7     10    0.099286             0.112413         0.100893       NaN
   manual            half_tv                 same_room                 source_frequency    all      24          7     10    0.095854             0.108905         0.098794       NaN
   manual            half_tv same_scene_cross_building dinov3__block12__panorama_global    all     126         19      0    0.175800             0.169683              NaN       NaN
   manual            half_tv same_scene_cross_building  dinov3__block3__panorama_global    all     126         19      0    0.163552             0.154294              NaN       NaN
   manual            half_tv same_scene_cross_building            dinov3__cls__panorama    all     126         19      0    0.160880             0.157010              NaN       NaN
   manual            half_tv same_scene_cross_building                 source_frequency    all     126         19      0    0.123406             0.117258              NaN       NaN
   manual  late_new_geometry  same_building_diagnostic dinov3__block12__panorama_global    all     131         18      0    0.302097             0.296163              NaN       NaN
   manual  late_new_geometry  same_building_diagnostic  dinov3__block3__panorama_global    all     131         18      0    0.325150             0.314020              NaN       NaN
   manual  late_new_geometry  same_building_diagnostic            dinov3__cls__panorama    all     131         18      0    0.292300             0.280955              NaN       NaN
   manual  late_new_geometry  same_building_diagnostic                 source_frequency    all     131         18      0    0.232279             0.224943              NaN       NaN
   manual  late_new_geometry  same_main_cross_building dinov3__block12__panorama_global    all     133         20      0    0.295787             0.261930              NaN       NaN
   manual  late_new_geometry  same_main_cross_building  dinov3__block3__panorama_global    all     133         20      0    0.276736             0.234555              NaN       NaN
   manual  late_new_geometry  same_main_cross_building            dinov3__cls__panorama    all     133         20      0    0.264598             0.243491              NaN       NaN
   manual  late_new_geometry  same_main_cross_building                 source_frequency    all     133         20      0    0.220459             0.224162              NaN       NaN
   manual  late_new_geometry                 same_room dinov3__block12__panorama_global    all      24          7     10    0.277778             0.322187         0.270257       NaN
   manual  late_new_geometry                 same_room  dinov3__block3__panorama_global    all      24          7     10    0.282917             0.326694         0.276090       NaN
   manual  late_new_geometry                 same_room            dinov3__cls__panorama    all      24          7     10    0.290000             0.329171         0.277590       NaN
   manual  late_new_geometry                 same_room                 source_frequency    all      24          7     10    0.246389             0.289964         0.246424       NaN
   manual  late_new_geometry same_scene_cross_building dinov3__block12__panorama_global    all     126         19      0    0.297312             0.260967              NaN       NaN
   manual  late_new_geometry same_scene_cross_building  dinov3__block3__panorama_global    all     126         19      0    0.295298             0.266170              NaN       NaN
   manual  late_new_geometry same_scene_cross_building            dinov3__cls__panorama    all     126         19      0    0.267743             0.247440              NaN       NaN
   manual  late_new_geometry same_scene_cross_building                 source_frequency    all     126         19      0    0.226636             0.212927              NaN       NaN
   manual     singleton_mass  same_building_diagnostic dinov3__block12__panorama_global    all     165         21      0    0.332173             0.319420              NaN       NaN
   manual     singleton_mass  same_building_diagnostic  dinov3__block3__panorama_global    all     165         21      0    0.328437             0.307691              NaN       NaN
   manual     singleton_mass  same_building_diagnostic            dinov3__cls__panorama    all     165         21      0    0.322220             0.303021              NaN       NaN
   manual     singleton_mass  same_building_diagnostic                 source_frequency    all     165         21      0    0.247262             0.239491              NaN       NaN
   manual     singleton_mass  same_main_cross_building dinov3__block12__panorama_global    all     166         22      0    0.330422             0.320616              NaN       NaN
   manual     singleton_mass  same_main_cross_building  dinov3__block3__panorama_global    all     166         22      0    0.353903             0.322914              NaN       NaN
   manual     singleton_mass  same_main_cross_building            dinov3__cls__panorama    all     166         22      0    0.304523             0.314465              NaN       NaN
   manual     singleton_mass  same_main_cross_building                 source_frequency    all     166         22      0    0.251153             0.252166              NaN       NaN
   manual     singleton_mass                 same_room dinov3__block12__panorama_global    all      33         11     14    0.320757             0.350353         0.316533       NaN
   manual     singleton_mass                 same_room  dinov3__block3__panorama_global    all      33         11     14    0.323604             0.352566         0.319762       NaN
   manual     singleton_mass                 same_room            dinov3__cls__panorama    all      33         11     14    0.328838             0.354393         0.321295       NaN
   manual     singleton_mass                 same_room                 source_frequency    all      33         11     14    0.317727             0.351060         0.314351       NaN
   manual     singleton_mass same_scene_cross_building dinov3__block12__panorama_global    all     159         22      0    0.343214             0.330850              NaN       NaN
   manual     singleton_mass same_scene_cross_building  dinov3__block3__panorama_global    all     159         22      0    0.365856             0.329685              NaN       NaN
   manual     singleton_mass same_scene_cross_building            dinov3__cls__panorama    all     159         22      0    0.300621             0.317666              NaN       NaN
   manual     singleton_mass same_scene_cross_building                 source_frequency    all     159         22      0    0.253329             0.256073              NaN       NaN
   manual       tier_primary  same_building_diagnostic dinov3__block12__panorama_global    all      22          8      0    0.454545             0.562500              NaN  0.545455
   manual       tier_primary  same_building_diagnostic  dinov3__block3__panorama_global    all      22          8      0    0.500000             0.583333              NaN  0.500000
   manual       tier_primary  same_building_diagnostic            dinov3__cls__panorama    all      22          8      0    0.500000             0.583333              NaN  0.500000
   manual       tier_primary  same_building_diagnostic                 source_frequency    all      22          8      0    0.522424             0.586667              NaN  0.318182
   manual       tier_primary  same_main_cross_building dinov3__block12__panorama_global    all      24         12      0    0.479167             0.506944              NaN  0.458333
   manual       tier_primary  same_main_cross_building  dinov3__block3__panorama_global    all      24         12      0    0.437500             0.444444              NaN  0.541667
   manual       tier_primary  same_main_cross_building            dinov3__cls__panorama    all      24         12      0    0.479167             0.527778              NaN  0.500000
   manual       tier_primary  same_main_cross_building                 source_frequency    all      24         12      0    0.241898             0.252731              NaN  0.625000
   manual       tier_primary same_scene_cross_building dinov3__block12__panorama_global    all      25         12      0    0.460000             0.479167              NaN  0.480000
   manual       tier_primary same_scene_cross_building  dinov3__block3__panorama_global    all      25         12      0    0.340000             0.250000              NaN  0.640000
   manual       tier_primary same_scene_cross_building            dinov3__cls__panorama    all      25         12      0    0.420000             0.437500              NaN  0.560000
   manual       tier_primary same_scene_cross_building                 source_frequency    all      25         12      0    0.242783             0.250586              NaN  0.600000
   manual within_mode_median  same_building_diagnostic dinov3__block12__panorama_global    all     125         18      0    0.025337             0.025312              NaN       NaN
   manual within_mode_median  same_building_diagnostic  dinov3__block3__panorama_global    all     125         18      0    0.022760             0.023926              NaN       NaN
   manual within_mode_median  same_building_diagnostic            dinov3__cls__panorama    all     125         18      0    0.024430             0.025400              NaN       NaN
   manual within_mode_median  same_building_diagnostic                 source_frequency    all     125         18      0    0.015988             0.017481              NaN       NaN
   manual within_mode_median  same_main_cross_building dinov3__block12__panorama_global    all     126         19      0    0.020872             0.021064              NaN       NaN
   manual within_mode_median  same_main_cross_building  dinov3__block3__panorama_global    all     126         19      0    0.020066             0.019040              NaN       NaN
   manual within_mode_median  same_main_cross_building            dinov3__cls__panorama    all     126         19      0    0.019184             0.018393              NaN       NaN
   manual within_mode_median  same_main_cross_building                 source_frequency    all     126         19      0    0.015224             0.015166              NaN       NaN
   manual within_mode_median                 same_room dinov3__block12__panorama_global    all      23          7     10    0.028977             0.031708         0.027275       NaN
   manual within_mode_median                 same_room  dinov3__block3__panorama_global    all      23          7     10    0.026671             0.030385         0.025843       NaN
   manual within_mode_median                 same_room            dinov3__cls__panorama    all      23          7     10    0.028580             0.031491         0.027047       NaN
   manual within_mode_median                 same_room                 source_frequency    all      23          7     10    0.023229             0.028499         0.023863       NaN
   manual within_mode_median same_scene_cross_building dinov3__block12__panorama_global    all     120         19      0    0.020057             0.019055              NaN       NaN
   manual within_mode_median same_scene_cross_building  dinov3__block3__panorama_global    all     120         19      0    0.020632             0.020670              NaN       NaN
   manual within_mode_median same_scene_cross_building            dinov3__cls__panorama    all     120         19      0    0.019608             0.017697              NaN       NaN
   manual within_mode_median same_scene_cross_building                 source_frequency    all     120         19      0    0.014925             0.014921              NaN       NaN
     semi         cdf_early7  same_building_diagnostic dinov3__block12__panorama_global    all      12          3      0    0.291667             0.331111              NaN       NaN
     semi         cdf_early7  same_building_diagnostic  dinov3__block3__panorama_global    all      12          3      0    0.333333             0.373333              NaN       NaN
     semi         cdf_early7  same_building_diagnostic            dinov3__cls__panorama    all      12          3      0    0.216667             0.244444              NaN       NaN
     semi         cdf_early7  same_building_diagnostic                 source_frequency    all      12          3      0    0.279167             0.294444              NaN       NaN
     semi         cdf_early7  same_main_cross_building dinov3__block12__panorama_global    all      10          5      0    0.630000             0.636667              NaN       NaN
     semi         cdf_early7  same_main_cross_building  dinov3__block3__panorama_global    all      10          5      0    0.520000             0.581667              NaN       NaN
     semi         cdf_early7  same_main_cross_building            dinov3__cls__panorama    all      10          5      0    0.420000             0.381667              NaN       NaN
     semi         cdf_early7  same_main_cross_building                 source_frequency    all      10          5      0    0.420000             0.381667              NaN       NaN
     semi         cdf_early7 same_scene_cross_building dinov3__block12__panorama_global    all      12          5      0    0.458333             0.469333              NaN       NaN
     semi         cdf_early7 same_scene_cross_building  dinov3__block3__panorama_global    all      12          5      0    0.316667             0.372000              NaN       NaN
     semi         cdf_early7 same_scene_cross_building            dinov3__cls__panorama    all      12          5      0    0.283333             0.196000              NaN       NaN
     semi         cdf_early7 same_scene_cross_building                 source_frequency    all      12          5      0    0.258333             0.184000              NaN       NaN
     semi  cdf_observed_by19  same_building_diagnostic dinov3__block12__panorama_global    all      12          3      0    0.465000             0.417111              NaN       NaN
     semi  cdf_observed_by19  same_building_diagnostic  dinov3__block3__panorama_global    all      12          3      0    0.433333             0.425722              NaN       NaN
     semi  cdf_observed_by19  same_building_diagnostic            dinov3__cls__panorama    all      12          3      0    0.234167             0.225167              NaN       NaN
     semi  cdf_observed_by19  same_building_diagnostic                 source_frequency    all      12          3      0    0.304167             0.296833              NaN       NaN
     semi  cdf_observed_by19  same_main_cross_building dinov3__block12__panorama_global    all      10          5      0    0.538000             0.582667              NaN       NaN
     semi  cdf_observed_by19  same_main_cross_building  dinov3__block3__panorama_global    all      10          5      0    0.549000             0.592833              NaN       NaN
     semi  cdf_observed_by19  same_main_cross_building            dinov3__cls__panorama    all      10          5      0    0.518000             0.517500              NaN       NaN
     semi  cdf_observed_by19  same_main_cross_building                 source_frequency    all      10          5      0    0.507000             0.523500              NaN       NaN
     semi  cdf_observed_by19 same_scene_cross_building dinov3__block12__panorama_global    all      12          5      0    0.347500             0.356400              NaN       NaN
     semi  cdf_observed_by19 same_scene_cross_building  dinov3__block3__panorama_global    all      12          5      0    0.365000             0.360267              NaN       NaN
     semi  cdf_observed_by19 same_scene_cross_building            dinov3__cls__panorama    all      12          5      0    0.375833             0.386267              NaN       NaN
     semi  cdf_observed_by19 same_scene_cross_building                 source_frequency    all      12          5      0    0.348333             0.345867              NaN       NaN
     semi            half_tv  same_building_diagnostic dinov3__block12__panorama_global    all      40         10      0    0.136255             0.146060              NaN       NaN
     semi            half_tv  same_building_diagnostic  dinov3__block3__panorama_global    all      40         10      0    0.136248             0.142656              NaN       NaN
     semi            half_tv  same_building_diagnostic            dinov3__cls__panorama    all      40         10      0    0.133544             0.137160              NaN       NaN
     semi            half_tv  same_building_diagnostic                 source_frequency    all      40         10      0    0.096380             0.110206              NaN       NaN
     semi            half_tv  same_main_cross_building dinov3__block12__panorama_global    all      36         12      0    0.174651             0.168289              NaN       NaN
     semi            half_tv  same_main_cross_building  dinov3__block3__panorama_global    all      36         12      0    0.143610             0.144020              NaN       NaN
     semi            half_tv  same_main_cross_building            dinov3__cls__panorama    all      36         12      0    0.183104             0.161272              NaN       NaN
     semi            half_tv  same_main_cross_building                 source_frequency    all      36         12      0    0.139312             0.123038              NaN       NaN
     semi            half_tv same_scene_cross_building dinov3__block12__panorama_global    all      37         12      0    0.137297             0.126900              NaN       NaN
     semi            half_tv same_scene_cross_building  dinov3__block3__panorama_global    all      37         12      0    0.130015             0.128187              NaN       NaN
     semi            half_tv same_scene_cross_building            dinov3__cls__panorama    all      37         12      0    0.136181             0.115195              NaN       NaN
     semi            half_tv same_scene_cross_building                 source_frequency    all      37         12      0    0.134901             0.110257              NaN       NaN
     semi  late_new_geometry  same_building_diagnostic dinov3__block12__panorama_global    all      40         10      0    0.209271             0.228705              NaN       NaN
     semi  late_new_geometry  same_building_diagnostic  dinov3__block3__panorama_global    all      40         10      0    0.218437             0.230613              NaN       NaN
     semi  late_new_geometry  same_building_diagnostic            dinov3__cls__panorama    all      40         10      0    0.206167             0.213208              NaN       NaN
     semi  late_new_geometry  same_building_diagnostic                 source_frequency    all      40         10      0    0.172625             0.179795              NaN       NaN
     semi  late_new_geometry  same_main_cross_building dinov3__block12__panorama_global    all      36         12      0    0.278491             0.255660              NaN       NaN
     semi  late_new_geometry  same_main_cross_building  dinov3__block3__panorama_global    all      36         12      0    0.234901             0.218838              NaN       NaN
     semi  late_new_geometry  same_main_cross_building            dinov3__cls__panorama    all      36         12      0    0.310343             0.276301              NaN       NaN
     semi  late_new_geometry  same_main_cross_building                 source_frequency    all      36         12      0    0.221306             0.195530              NaN       NaN
     semi  late_new_geometry same_scene_cross_building dinov3__block12__panorama_global    all      37         12      0    0.218847             0.207890              NaN       NaN
     semi  late_new_geometry same_scene_cross_building  dinov3__block3__panorama_global    all      37         12      0    0.228329             0.232167              NaN       NaN
     semi  late_new_geometry same_scene_cross_building            dinov3__cls__panorama    all      37         12      0    0.202181             0.196166              NaN       NaN
     semi  late_new_geometry same_scene_cross_building                 source_frequency    all      37         12      0    0.217079             0.195283              NaN       NaN
     semi     singleton_mass  same_building_diagnostic dinov3__block12__panorama_global    all      41         10      0    0.222853             0.213469              NaN       NaN
     semi     singleton_mass  same_building_diagnostic  dinov3__block3__panorama_global    all      41         10      0    0.212142             0.204831              NaN       NaN
     semi     singleton_mass  same_building_diagnostic            dinov3__cls__panorama    all      41         10      0    0.209500             0.193205              NaN       NaN
     semi     singleton_mass  same_building_diagnostic                 source_frequency    all      41         10      0    0.153327             0.150310              NaN       NaN
     semi     singleton_mass  same_main_cross_building dinov3__block12__panorama_global    all      37         12      0    0.249907             0.223586              NaN       NaN
     semi     singleton_mass  same_main_cross_building  dinov3__block3__panorama_global    all      37         12      0    0.218624             0.210258              NaN       NaN
     semi     singleton_mass  same_main_cross_building            dinov3__cls__panorama    all      37         12      0    0.269805             0.228060              NaN       NaN
     semi     singleton_mass  same_main_cross_building                 source_frequency    all      37         12      0    0.211308             0.184621              NaN       NaN
     semi     singleton_mass same_scene_cross_building dinov3__block12__panorama_global    all      38         12      0    0.199394             0.183079              NaN       NaN
     semi     singleton_mass same_scene_cross_building  dinov3__block3__panorama_global    all      38         12      0    0.209263             0.219924              NaN       NaN
     semi     singleton_mass same_scene_cross_building            dinov3__cls__panorama    all      38         12      0    0.196829             0.176352              NaN       NaN
     semi     singleton_mass same_scene_cross_building                 source_frequency    all      38         12      0    0.208252             0.180799              NaN       NaN
     semi       tier_primary  same_building_diagnostic dinov3__block12__panorama_global    all       4          2      0    0.750000             0.750000              NaN  0.000000
     semi       tier_primary  same_building_diagnostic  dinov3__block3__panorama_global    all       4          2      0    0.750000             0.750000              NaN  0.000000
     semi       tier_primary  same_building_diagnostic            dinov3__cls__panorama    all       4          2      0    0.750000             0.750000              NaN  0.000000
     semi       tier_primary  same_building_diagnostic                 source_frequency    all       4          2      0    0.750000             0.750000              NaN  0.000000
     semi       tier_primary  same_main_cross_building dinov3__block12__panorama_global    all       3          2      0    0.666667             0.625000              NaN  0.000000
     semi       tier_primary  same_main_cross_building  dinov3__block3__panorama_global    all       3          2      0    0.666667             0.625000              NaN  0.000000
     semi       tier_primary  same_main_cross_building            dinov3__cls__panorama    all       3          2      0    0.666667             0.625000              NaN  0.000000
     semi       tier_primary  same_main_cross_building                 source_frequency    all       3          2      0    0.708333             0.687500              NaN  0.000000
     semi within_mode_median  same_building_diagnostic dinov3__block12__panorama_global    all      39         10      0    0.025011             0.028769              NaN       NaN
     semi within_mode_median  same_building_diagnostic  dinov3__block3__panorama_global    all      39         10      0    0.024186             0.028070              NaN       NaN
     semi within_mode_median  same_building_diagnostic            dinov3__cls__panorama    all      39         10      0    0.028415             0.031814              NaN       NaN
     semi within_mode_median  same_building_diagnostic                 source_frequency    all      39         10      0    0.022508             0.027767              NaN       NaN
     semi within_mode_median  same_main_cross_building dinov3__block12__panorama_global    all      35         12      0    0.019905             0.020939              NaN       NaN
     semi within_mode_median  same_main_cross_building  dinov3__block3__panorama_global    all      35         12      0    0.019786             0.020292              NaN       NaN
     semi within_mode_median  same_main_cross_building            dinov3__cls__panorama    all      35         12      0    0.019112             0.018167              NaN       NaN
     semi within_mode_median  same_main_cross_building                 source_frequency    all      35         12      0    0.016109             0.015439              NaN       NaN
     semi within_mode_median same_scene_cross_building dinov3__block12__panorama_global    all      36         12      0    0.023949             0.027188              NaN       NaN
     semi within_mode_median same_scene_cross_building  dinov3__block3__panorama_global    all      36         12      0    0.026162             0.027495              NaN       NaN
     semi within_mode_median same_scene_cross_building            dinov3__cls__panorama    all      36         12      0    0.021610             0.022765              NaN       NaN
     semi within_mode_median same_scene_cross_building                 source_frequency    all      36         12      0    0.019534             0.020441              NaN       NaN
