field,scene,value,n,n_buildings,simple,medium,hard
position_entrance,通行与连接,0,2,1,2,0,0
position_entrance,通行与连接,1,1,1,1,0,0
position_window,储藏与家务辅助,0,2,1,2,0,0
position_window,卧室,0,33,6,23,10,0
position_window,卫浴,0,20,3,0,6,14
position_window,卫浴,1,2,1,0,0,2
position_window,厨房与用餐,0,12,3,9,3,0
position_window,厨房与用餐,1,1,1,1,0,0
position_window,复合／待定,0,4,2,4,0,0
position_window,工作与学习,0,7,1,6,1,0
position_window,开放复合空间,0,4,1,0,4,0
position_window,无法判断,0,1,1,1,0,0
position_window,起居与休闲,0,17,2,0,17,0
position_window,通行与连接,0,3,1,3,0,0
position_edge,储藏与家务辅助,0,2,1,2,0,0
position_edge,卧室,0,32,6,22,10,0
position_edge,卧室,1,1,1,1,0,0
position_edge,卫浴,0,22,3,0,6,16
position_edge,厨房与用餐,0,11,3,9,2,0
position_edge,厨房与用餐,1,2,2,1,1,0
position_edge,复合／待定,0,4,2,4,0,0
position_edge,工作与学习,0,7,1,6,1,0
position_edge,开放复合空间,0,4,1,0,4,0
position_edge,无法判断,0,1,1,1,0,0
position_edge,起居与休闲,0,15,2,0,15,0
position_edge,起居与休闲,1,2,1,0,2,0
position_edge,通行与连接,0,3,1,3,0,0
position_stair_landing,储藏与家务辅助,0,2,1,2,0,0
position_stair_landing,卧室,0,33,6,23,10,0
position_stair_landing,卫浴,0,22,3,0,6,16
position_stair_landing,厨房与用餐,0,13,3,10,3,0
position_stair_landing,复合／待定,0,4,2,4,0,0
position_stair_landing,工作与学习,0,7,1,6,1,0
position_stair_landing,开放复合空间,0,4,1,0,4,0
position_stair_landing,无法判断,0,1,1,1,0,0
position_stair_landing,起居与休闲,0,16,2,0,16,0
position_stair_landing,起居与休闲,1,1,1,0,1,0
position_stair_landing,通行与连接,0,3,1,3,0,0
position_shower_interior,储藏与家务辅助,0,2,1,2,0,0
position_shower_interior,卧室,0,33,6,23,10,0
position_shower_interior,卫浴,0,21,3,0,5,16
position_shower_interior,卫浴,1,1,1,0,1,0
position_shower_interior,厨房与用餐,0,13,3,10,3,0
position_shower_interior,复合／待定,0,4,2,4,0,0
position_shower_interior,工作与学习,0,7,1,6,1,0
position_shower_interior,开放复合空间,0,4,1,0,4,0
position_shower_interior,无法判断,0,1,1,1,0,0
position_shower_interior,起居与休闲,0,17,2,0,17,0
position_shower_interior,通行与连接,0,3,1,3,0,0
position_bath_tub,储藏与家务辅助,0,2,1,2,0,0
position_bath_tub,卧室,0,33,6,23,10,0
position_bath_tub,卫浴,0,13,3,0,3,10
position_bath_tub,卫浴,1,9,3,0,3,6
position_bath_tub,厨房与用餐,0,13,3,10,3,0
position_bath_tub,复合／待定,0,4,2,4,0,0
position_bath_tub,工作与学习,0,7,1,6,1,0
position_bath_tub,开放复合空间,0,4,1,0,4,0
position_bath_tub,无法判断,0,1,1,1,0,0
position_bath_tub,起居与休闲,0,17,2,0,17,0
position_bath_tub,通行与连接,0,3,1,3,0,0
position_washing,储藏与家务辅助,0,2,1,2,0,0
position_washing,卧室,0,33,6,23,10,0
position_washing,卫浴,0,14,3,0,3,11
position_washing,卫浴,1,8,3,0,3,5
position_washing,厨房与用餐,0,13,3,10,3,0
position_washing,复合／待定,0,4,2,4,0,0
position_washing,工作与学习,0,7,1,6,1,0
position_washing,开放复合空间,0,4,1,0,4,0
position_washing,无法判断,0,1,1,1,0,0
position_washing,起居与休闲,0,17,2,0,17,0
position_washing,通行与连接,0,3,1,3,0,0
position_mirrored,储藏与家务辅助,0,2,1,2,0,0
position_mirrored,卧室,0,32,6,22,10,0
position_mirrored,卧室,1,1,1,1,0,0
position_mirrored,卫浴,0,21,3,0,5,16
position_mirrored,卫浴,1,1,1,0,1,0
position_mirrored,厨房与用餐,0,13,3,10,3,0
position_mirrored,复合／待定,0,4,2,4,0,0
position_mirrored,工作与学习,0,7,1,6,1,0
position_mirrored,开放复合空间,0,4,1,0,4,0
position_mirrored,无法判断,0,1,1,1,0,0
position_mirrored,起居与休闲,0,17,2,0,17,0
position_mirrored,通行与连接,0,3,1,3,0,0
position_glass,储藏与家务辅助,0,2,1,2,0,0
position_glass,卧室,0,33,6,23,10,0
position_glass,卫浴,0,22,3,0,6,16
position_glass,厨房与用餐,0,12,3,9,3,0
position_glass,厨房与用餐,1,1,1,1,0,0
position_glass,复合／待定,0,4,2,4,0,0
position_glass,工作与学习,0,7,1,6,1,0
position_glass,开放复合空间,0,4,1,0,4,0
position_glass,无法判断,0,1,1,1,0,0
position_glass,起居与休闲,0,17,2,0,17,0
position_glass,通行与连接,0,3,1,3,0,0
position_fireplace,储藏与家务辅助,0,2,1,2,0,0
position_fireplace,卧室,0,33,6,23,10,0
position_fireplace,卫浴,0,22,3,0,6,16
position_fireplace,厨房与用餐,0,13,3,10,3,0
position_fireplace,复合／待定,0,4,2,4,0,0
position_fireplace,工作与学习,0,7,1,6,1,0
position_fireplace,开放复合空间,1,4,1,0,4,0
position_fireplace,无法判断,0,1,1,1,0,0
position_fireplace,起居与休闲,0,15,2,0,15,0
position_fireplace,起居与休闲,1,2,2,0,2,0
position_fireplace,通行与连接,0,3,1,3,0,0
position_empty,储藏与家务辅助,0,2,1,2,0,0
position_empty,卧室,0,33,6,23,10,0
position_empty,卫浴,0,22,3,0,6,16
position_empty,厨房与用餐,0,13,3,10,3,0
position_empty,复合／待定,0,1,1,1,0,0
position_empty,复合／待定,1,3,1,3,0,0
position_empty,工作与学习,0,7,1,6,1,0
position_empty,开放复合空间,0,4,1,0,4,0
position_empty,无法判断,1,1,1,1,0,0
position_empty,起居与休闲,0,17,2,0,17,0
position_empty,通行与连接,0,3,1,3,0,0
position_shared_focus,储藏与家务辅助,0,2,1,2,0,0
position_shared_focus,卧室,0,31,6,22,9,0
position_shared_focus,卧室,1,2,1,1,1,0
position_shared_focus,卫浴,0,19,3,0,5,14
position_shared_focus,卫浴,1,3,1,0,1,2
position_shared_focus,厨房与用餐,0,13,3,10,3,0
position_shared_focus,复合／待定,0,4,2,4,0,0
position_shared_focus,工作与学习,0,7,1,6,1,0
position_shared_focus,开放复合空间,0,4,1,0,4,0
position_shared_focus,无法判断,0,1,1,1,0,0
position_shared_focus,起居与休闲,0,17,2,0,17,0
position_shared_focus,通行与连接,0,3,1,3,0,0
