scene,label,field,n_images,n_buildings,median,q25,q75
卧室,中等,hohonet_vs_bi_enclosed,10,2,0.0385939395447,0.0331762898982,0.0502702751357
卧室,中等,hohonet_vs_bi_extended,10,2,0.039215915587,0.0309879192673,0.0501591028855
卧室,中等,hohonet_vs_ulayout,10,2,0.0344310289245,0.0263171971878,0.0497841819424
卧室,中等,bi_enclosed_vs_bi_extended,10,2,0.000638773604242,0.0003950416776,0.00088680606301
卧室,中等,bi_enclosed_vs_ulayout,10,2,0.0271843489707,0.0228600130916,0.034099103054
卧室,中等,bi_extended_vs_ulayout,10,2,0.0269840305061,0.0229734646356,0.0343123186558
卧室,中等,bi_height_disagreement,10,2,0.776051474735,0.733178017661,0.798834905028
卧室,中等,hohonet_warning_phases,10,2,0,0,0
卧室,中等,da3_confidence_median,10,2,2.52662050724,2.10411289334,2.79928803444
卧室,中等,da3_confidence_face_variation,10,2,1.0230898227,0.725377190099,1.33526099547
卧室,中等,da3_log_shape_spread_median,10,2,1.01339058578,0.754551410675,1.04536271096
卧室,中等,da3_log_shape_face_variation,10,2,0.485364231689,0.450121432861,0.586115835623
卧室,简单,hohonet_rotation,23,5,0.00301269807304,0.00278369193213,0.00343373256293
卧室,简单,bi_enclosed_rotation,23,5,0.00170985707957,0.00130039591577,0.00200811527417
卧室,简单,bi_extended_rotation,23,5,0.00169302515844,0.00131484071656,0.00206223790084
卧室,简单,ulayout_rotation,23,5,0.000564092807955,0.000521147930638,0.000658358691891
卧室,简单,hohonet_points,23,5,8,8,8
卧室,简单,hohonet_topology_change,23,5,0,0,0
卧室,简单,hohonet_post_displacement,23,5,0.310610429134,0.268790605761,0.34134478593
卧室,简单,bi_enclosed_points,23,5,8,8,8
卧室,简单,bi_enclosed_topology_change,23,5,0,0,0
卧室,简单,bi_enclosed_post_displacement,23,5,0.298856071568,0.269069459408,0.326237535027
卧室,简单,bi_extended_points,23,5,8,8,8
卧室,简单,bi_extended_topology_change,23,5,0,0,0
卧室,简单,bi_extended_post_displacement,23,5,0.286217302086,0.266508672839,0.326511205808
卧室,简单,hohonet_vs_bi_enclosed,23,5,0.0204771543723,0.0157125145293,0.0257806347888
卧室,简单,hohonet_vs_bi_extended,23,5,0.0205790834518,0.0157000521778,0.02580885003
卧室,简单,hohonet_vs_ulayout,23,5,0.0231420651646,0.0192391244232,0.0335199611588
卧室,简单,bi_enclosed_vs_bi_extended,23,5,0.000458461063454,0.000336346308626,0.000617687127194
卧室,简单,bi_enclosed_vs_ulayout,23,5,0.0156000807234,0.0113834457502,0.0213797486695
卧室,简单,bi_extended_vs_ulayout,23,5,0.0155045413883,0.0114713752564,0.0210432541904
卧室,简单,bi_height_disagreement,23,5,0.655363567173,0.570987286046,0.80510266684
卧室,简单,hohonet_warning_phases,23,5,0,0,0
卧室,简单,da3_confidence_median,23,5,2.4450571537,2.18452486396,3.17604655028
卧室,简单,da3_confidence_face_variation,23,5,0.991464301838,0.790223246441,1.332506098
卧室,简单,da3_log_shape_spread_median,23,5,0.883136570454,0.732041507959,1.0388225615
卧室,简单,da3_log_shape_face_variation,23,5,0.468927423123,0.391151973084,0.544450273302
卫浴,中等,hohonet_rotation,6,2,0.00299890295981,0.00278770637263,0.00332257063541
卫浴,中等,bi_enclosed_rotation,6,2,0.00138357988745,0.000951281392503,0.00161016188493
卫浴,中等,bi_extended_rotation,6,2,0.00138678019571,0.000936179569676,0.00162963152967
卫浴,中等,ulayout_rotation,6,2,0.000860438985301,0.000802079569959,0.00101160408169
卫浴,中等,hohonet_points,6,2,10,8,15
卫浴,中等,hohonet_topology_change,6,2,0,0,0
卫浴,中等,hohonet_post_displacement,6,2,0.226373150926,0.212991878958,0.254480908471
卫浴,中等,bi_enclosed_points,6,2,8,8,12.125
卫浴,中等,bi_enclosed_topology_change,6,2,0,0,0.75
卫浴,中等,bi_enclosed_post_displacement,6,2,0.217916323259,0.211750467969,0.252880027035
卫浴,中等,bi_extended_points,6,2,8,8,12.125
卫浴,中等,bi_extended_topology_change,6,2,0,0,0.75
卫浴,中等,bi_extended_post_displacement,6,2,0.217767768295,0.210926433014,0.261906147735
卫浴,中等,hohonet_vs_bi_enclosed,6,2,0.0250469604177,0.0202562077389,0.0291341642518
卫浴,中等,hohonet_vs_bi_extended,6,2,0.0245335847328,0.0196921179514,0.0289924605024
卫浴,中等,hohonet_vs_ulayout,6,2,0.0254920744027,0.0173116757159,0.0329095094798
卫浴,中等,bi_enclosed_vs_bi_extended,6,2,0.000528621549462,0.000352498187174,0.000989680106691
卫浴,中等,bi_enclosed_vs_ulayout,6,2,0.017215040258,0.0167462781678,0.0228613748694
卫浴,中等,bi_extended_vs_ulayout,6,2,0.017426861813,0.0163036634364,0.0229798683216
卫浴,中等,bi_height_disagreement,6,2,1.21790505759,0.881777534262,1.24456996936
卫浴,中等,hohonet_warning_phases,6,2,0,0,0
卫浴,中等,da3_confidence_median,6,2,1.74746209383,1.62780943513,2.14576801658
卫浴,中等,da3_confidence_face_variation,6,2,0.790227570739,0.640979138116,0.965813506863
卫浴,中等,da3_log_shape_spread_median,6,2,0.810452744365,0.577695369721,0.889171905816
卫浴,中等,da3_log_shape_face_variation,6,2,0.427410567691,0.278838241933,0.43817733103
卫浴,困难,hohonet_rotation,16,3,0.00380146191527,0.00345299073171,0.00444481136317
卫浴,困难,bi_enclosed_rotation,16,3,0.00178173370065,0.00114797864911,0.00191932544755
卫浴,困难,bi_extended_rotation,16,3,0.00191644112789,0.00127303115191,0.0022178235512
卫浴,困难,ulayout_rotation,16,3,0.00106001219367,0.000704950293407,0.00217688862694
卫浴,困难,hohonet_points,16,3,17.5,15,21
卫浴,困难,hohonet_topology_change,16,3,0,0,0
卫浴,困难,hohonet_post_displacement,16,3,0.213934982311,0.157777412927,0.275736130325
卫浴,困难,bi_enclosed_points,16,3,16,13.125,16.625
卫浴,困难,bi_enclosed_topology_change,16,3,0,0,1
卫浴,困难,bi_enclosed_post_displacement,16,3,0.245361581787,0.184520186767,0.327283983281
卫浴,困难,bi_extended_points,16,3,16,15,16.125
卫浴,困难,bi_extended_topology_change,16,3,0,0,1
卫浴,困难,bi_extended_post_displacement,16,3,0.23696810112,0.19062344857,0.32589354634
卫浴,困难,hohonet_vs_bi_enclosed,16,3,0.0334678123977,0.0223986975719,0.0758008858025
卫浴,困难,hohonet_vs_bi_extended,16,3,0.0327034112804,0.0241620992601,0.0677450427569
卫浴,困难,hohonet_vs_ulayout,16,3,0.0361951554652,0.024340042575,0.0770194894058
卫浴,困难,bi_enclosed_vs_bi_extended,16,3,0.00131669333137,0.00090771204143,0.00424420900817
卫浴,困难,bi_enclosed_vs_ulayout,16,3,0.02476429699,0.0197579840772,0.0589738106882
卫浴,困难,bi_extended_vs_ulayout,16,3,0.0239613603591,0.0192135024349,0.0516407974719
卫浴,困难,bi_height_disagreement,16,3,1.31099924259,1.05396481231,1.34957205691
卫浴,困难,hohonet_warning_phases,16,3,0,0,0
卫浴,困难,da3_confidence_median,16,3,2.00664874911,1.76581707597,2.40541288257
卫浴,困难,da3_confidence_face_variation,16,3,0.82487340755,0.634056550656,0.990052566398
卫浴,困难,da3_log_shape_spread_median,16,3,0.898872077465,0.774168014527,1.0562530756
卫浴,困难,da3_log_shape_face_variation,16,3,0.378535629104,0.322162006578,0.541680841014
厨房与用餐,中等,hohonet_rotation,3,1,0.00275724088406,0.00272548970652,0.00286029156846
厨房与用餐,中等,bi_enclosed_rotation,3,1,0.00125148961917,0.00122180779841,0.00136476854769
厨房与用餐,中等,bi_extended_rotation,3,1,0.00128195857324,0.00124372918007,0.00138881504284
厨房与用餐,中等,ulayout_rotation,3,1,0.000714499870236,0.000612868369749,0.000784261331131
厨房与用餐,中等,hohonet_points,3,1,12,12,12
厨房与用餐,中等,hohonet_topology_change,3,1,0,0,0
厨房与用餐,中等,hohonet_post_displacement,3,1,0.213114948072,0.204528146794,0.229940010185
厨房与用餐,中等,bi_enclosed_points,3,1,12,12,12.5
厨房与用餐,中等,bi_enclosed_topology_change,3,1,0,0,0.5
厨房与用餐,中等,bi_enclosed_post_displacement,3,1,0.195291723661,0.156278814882,0.2166378579
厨房与用餐,中等,bi_extended_points,3,1,12,12,12.25
厨房与用餐,中等,bi_extended_topology_change,3,1,0,0,0.5
厨房与用餐,中等,bi_extended_post_displacement,3,1,0.196673581194,0.157475916307,0.217236454924
厨房与用餐,中等,hohonet_vs_bi_enclosed,3,1,0.0266119106751,0.0256194257847,0.0320083809541
厨房与用餐,中等,hohonet_vs_bi_extended,3,1,0.026822846996,0.0259086543799,0.0320831478401
厨房与用餐,中等,hohonet_vs_ulayout,3,1,0.0331653418656,0.0282747372688,0.0362587847565
厨房与用餐,中等,bi_enclosed_vs_bi_extended,3,1,0.000388078945075,0.00037558614517,0.000559432157921
厨房与用餐,中等,bi_enclosed_vs_ulayout,3,1,0.0114500790423,0.0103110618905,0.0128119756965
厨房与用餐,中等,bi_extended_vs_ulayout,3,1,0.0111974165833,0.0104623340262,0.0126409723616
厨房与用餐,中等,bi_height_disagreement,3,1,1.46046606079,1.43970999308,1.46277818643
厨房与用餐,中等,hohonet_warning_phases,3,1,0,0,0
厨房与用餐,中等,da3_confidence_median,3,1,2.61142385006,2.49508780241,2.77180159092
厨房与用餐,中等,da3_confidence_face_variation,3,1,1.10232681453,0.852757015662,1.43478470613
厨房与用餐,中等,da3_log_shape_spread_median,3,1,0.774584591389,0.604687854648,0.813330501318
厨房与用餐,中等,da3_log_shape_face_variation,3,1,0.383172853149,0.241454555095,0.383869779606
厨房与用餐,简单,hohonet_rotation,10,3,0.0038042688912,0.00292504903388,0.00576990629941
厨房与用餐,简单,bi_enclosed_rotation,10,3,0.00146983887866,0.00138070175118,0.00210721626008
厨房与用餐,简单,bi_extended_rotation,10,3,0.00152988990914,0.00135903741626,0.00215782229282
厨房与用餐,简单,ulayout_rotation,10,3,0.000724049999202,0.00054845159994,0.000966344315275
厨房与用餐,简单,hohonet_points,10,3,8,8,8
厨房与用餐,简单,hohonet_topology_change,10,3,0,0,0
厨房与用餐,简单,hohonet_post_displacement,10,3,0.289595688033,0.276265561887,0.30947217088
厨房与用餐,简单,bi_enclosed_points,10,3,8,8,8
厨房与用餐,简单,bi_enclosed_topology_change,10,3,0,0,0
厨房与用餐,简单,bi_enclosed_post_displacement,10,3,0.283669551988,0.254749604719,0.301212918015
厨房与用餐,简单,bi_extended_points,10,3,8,8,8.75
厨房与用餐,简单,bi_extended_topology_change,10,3,0,0,0
厨房与用餐,简单,bi_extended_post_displacement,10,3,0.284071630867,0.255187432068,0.302046534559
厨房与用餐,简单,hohonet_vs_bi_enclosed,10,3,0.0294007471275,0.0221767132443,0.054958852588
厨房与用餐,简单,hohonet_vs_bi_extended,10,3,0.028826384008,0.0224432777831,0.0545763368619
厨房与用餐,简单,hohonet_vs_ulayout,10,3,0.0274983804373,0.0230667567559,0.046273183637
厨房与用餐,简单,bi_enclosed_vs_bi_extended,10,3,0.000549677284261,0.000381185720968,0.000815038495068
厨房与用餐,简单,bi_enclosed_vs_ulayout,10,3,0.0215448604133,0.0133732830551,0.0518750741612
厨房与用餐,简单,bi_extended_vs_ulayout,10,3,0.0210997065101,0.0132861193874,0.0517856715047
厨房与用餐,简单,bi_height_disagreement,10,3,1.43249360658,1.33867151384,4.17228637263
厨房与用餐,简单,hohonet_warning_phases,10,3,0,0,0
厨房与用餐,简单,da3_confidence_median,10,3,2.03330928087,1.85882203281,2.50745052099
厨房与用餐,简单,da3_confidence_face_variation,10,3,0.579928045521,0.502168301312,0.973429522683
厨房与用餐,简单,da3_log_shape_spread_median,10,3,0.69297143817,0.544653955847,0.913204945624
厨房与用餐,简单,da3_log_shape_face_variation,10,3,0.464706810972,0.408286398041,0.50270537359
复合／待定,简单,hohonet_rotation,4,2,0.00245714073326,0.0023760438268,0.00250330242633
复合／待定,简单,bi_enclosed_rotation,4,2,0.00154807214412,0.00143192713263,0.00163655221323
复合／待定,简单,bi_extended_rotation,4,2,0.0015308617863,0.00143791400466,0.00163037732393
复合／待定,简单,ulayout_rotation,4,2,0.000359141956116,0.000330654259499,0.000437535255158
复合／待定,简单,hohonet_points,4,2,8,8,8
复合／待定,简单,hohonet_topology_change,4,2,0,0,0
复合／待定,简单,hohonet_post_displacement,4,2,0.271771040364,0.266701793143,0.285899119355
复合／待定,简单,bi_enclosed_points,4,2,8,8,8
复合／待定,简单,bi_enclosed_topology_change,4,2,0,0,0
复合／待定,简单,bi_enclosed_post_displacement,4,2,0.264214334669,0.260217535587,0.27359039353
复合／待定,简单,bi_extended_points,4,2,8,8,8
复合／待定,简单,bi_extended_topology_change,4,2,0,0,0
复合／待定,简单,bi_extended_post_displacement,4,2,0.264494142889,0.260652918467,0.273505226678
复合／待定,简单,hohonet_vs_bi_enclosed,4,2,0.0119805635458,0.0108472030222,0.0175830498241
复合／待定,简单,hohonet_vs_bi_extended,4,2,0.0119559028935,0.010922059078,0.0177670613466
复合／待定,简单,hohonet_vs_ulayout,4,2,0.0123728812835,0.0114542364758,0.0159514817601
复合／待定,简单,bi_enclosed_vs_bi_extended,4,2,0.000346623851135,0.000192772660463,0.000658347835196
复合／待定,简单,bi_enclosed_vs_ulayout,4,2,0.00762156388753,0.00680627091544,0.0105766685768
复合／待定,简单,bi_extended_vs_ulayout,4,2,0.00763986614176,0.0067452275763,0.0108225564153
复合／待定,简单,bi_height_disagreement,4,2,1.49674415402,1.25952833891,1.53476145956
复合／待定,简单,hohonet_warning_phases,4,2,0,0,0
复合／待定,简单,da3_confidence_median,4,2,2.1703722477,2.05006730556,2.28390279412
复合／待定,简单,da3_confidence_face_variation,4,2,1.49068212212,1.33400194875,1.63248865754
复合／待定,简单,da3_log_shape_spread_median,4,2,1.18917651474,1.07919412851,1.20124961436
复合／待定,简单,da3_log_shape_face_variation,4,2,0.46927864734,0.329684435827,0.638666564051
工作与学习,中等,hohonet_rotation,1,1,0.00349875117295,0.00349875117295,0.00349875117295
工作与学习,中等,bi_enclosed_rotation,1,1,0.00141460741683,0.00141460741683,0.00141460741683
工作与学习,中等,bi_extended_rotation,1,1,0.00137916924893,0.00137916924893,0.00137916924893
工作与学习,中等,ulayout_rotation,1,1,0.000655987185554,0.000655987185554,0.000655987185554
工作与学习,中等,hohonet_points,1,1,8,8,8
工作与学习,中等,hohonet_topology_change,1,1,0,0,0
工作与学习,中等,hohonet_post_displacement,1,1,0.345065007052,0.345065007052,0.345065007052
工作与学习,中等,bi_enclosed_points,1,1,8,8,8
工作与学习,中等,bi_enclosed_topology_change,1,1,0,0,0
工作与学习,中等,bi_enclosed_post_displacement,1,1,0.374111504687,0.374111504687,0.374111504687
工作与学习,中等,bi_extended_points,1,1,8,8,8
工作与学习,中等,bi_extended_topology_change,1,1,0,0,0
工作与学习,中等,bi_extended_post_displacement,1,1,0.374434845594,0.374434845594,0.374434845594
工作与学习,中等,hohonet_vs_bi_enclosed,1,1,0.0403571924733,0.0403571924733,0.0403571924733
工作与学习,中等,hohonet_vs_bi_extended,1,1,0.0405759782152,0.0405759782152,0.0405759782152
工作与学习,中等,hohonet_vs_ulayout,1,1,0.0339312733777,0.0339312733777,0.0339312733777
工作与学习,中等,bi_enclosed_vs_bi_extended,1,1,0.00035760551299,0.00035760551299,0.00035760551299
工作与学习,中等,bi_enclosed_vs_ulayout,1,1,0.0297121296161,0.0297121296161,0.0297121296161
工作与学习,中等,bi_extended_vs_ulayout,1,1,0.0299356269879,0.0299356269879,0.0299356269879
工作与学习,中等,bi_height_disagreement,1,1,0.980201784521,0.980201784521,0.980201784521
工作与学习,中等,hohonet_warning_phases,1,1,0,0,0
工作与学习,中等,da3_confidence_median,1,1,1.8334172368,1.8334172368,1.8334172368
工作与学习,中等,da3_confidence_face_variation,1,1,0.679343731893,0.679343731893,0.679343731893
工作与学习,中等,da3_log_shape_spread_median,1,1,1.13452202082,1.13452202082,1.13452202082
工作与学习,中等,da3_log_shape_face_variation,1,1,0.503689982376,0.503689982376,0.503689982376
工作与学习,简单,hohonet_rotation,6,1,0.0029210373226,0.00267575303847,0.0030585622368
工作与学习,简单,bi_enclosed_rotation,6,1,0.00208159490011,0.00165354297934,0.00233052802338
工作与学习,简单,bi_extended_rotation,6,1,0.00189254398779,0.00153684747829,0.00223470010538
工作与学习,简单,ulayout_rotation,6,1,0.000805727944397,0.000657565431589,0.000915684114741
工作与学习,简单,hohonet_points,6,1,8,8,8
工作与学习,简单,hohonet_topology_change,6,1,0,0,0
工作与学习,简单,hohonet_post_displacement,6,1,0.292637207753,0.26782362575,0.354839863414
工作与学习,简单,bi_enclosed_points,6,1,8,8,8
工作与学习,简单,bi_enclosed_topology_change,6,1,0,0,0
工作与学习,简单,bi_enclosed_post_displacement,6,1,0.276463151042,0.265349573688,0.334667300363
工作与学习,简单,bi_extended_points,6,1,8,8,8
工作与学习,简单,bi_extended_topology_change,6,1,0,0,0
工作与学习,简单,bi_extended_post_displacement,6,1,0.276818726473,0.266314007374,0.334060203423
工作与学习,简单,hohonet_vs_bi_enclosed,6,1,0.0419715735601,0.028882625013,0.0549890762287
工作与学习,简单,hohonet_vs_bi_extended,6,1,0.0421517712649,0.0289052097923,0.0551617551204
工作与学习,简单,hohonet_vs_ulayout,6,1,0.0269754703783,0.0216497445745,0.0323594134826
工作与学习,简单,bi_enclosed_vs_bi_extended,6,1,0.000714657279811,0.000447329296921,0.00106712074713
工作与学习,简单,bi_enclosed_vs_ulayout,6,1,0.0305617701623,0.0251890700266,0.0464419955763
工作与学习,简单,bi_extended_vs_ulayout,6,1,0.0307742287409,0.0252110861515,0.04585825466
工作与学习,简单,bi_height_disagreement,6,1,1.01208552159,0.987114547751,1.04756424483
工作与学习,简单,hohonet_warning_phases,6,1,0,0,0
工作与学习,简单,da3_confidence_median,6,1,2.37016487121,1.99612626433,2.62028720975
工作与学习,简单,da3_confidence_face_variation,6,1,0.736394710502,0.693206440811,0.832871910869
工作与学习,简单,da3_log_shape_spread_median,6,1,0.739830330014,0.615405492485,1.11913822591
工作与学习,简单,da3_log_shape_face_variation,6,1,0.342181229744,0.312328413763,0.446580775239
开放复合空间,中等,hohonet_rotation,4,1,0.00352180744876,0.00289022559123,0.00416675380652
开放复合空间,中等,bi_enclosed_rotation,4,1,0.00136450258239,0.00117936402194,0.001450057829
开放复合空间,中等,bi_extended_rotation,4,1,0.00143817238841,0.00123161349948,0.00149898785745
开放复合空间,中等,ulayout_rotation,4,1,0.000580891805101,0.000502604189104,0.000659412039346
开放复合空间,中等,hohonet_points,4,1,10,8,12.25
开放复合空间,中等,hohonet_topology_change,4,1,0,0,0.25
开放复合空间,中等,hohonet_post_displacement,4,1,0.261196987242,0.211147044955,0.318389273333
开放复合空间,中等,bi_enclosed_points,4,1,12.5,8,17.25
开放复合空间,中等,bi_enclosed_topology_change,4,1,0,0,0.25
开放复合空间,中等,bi_enclosed_post_displacement,4,1,0.24704432302,0.183824954854,0.316188247966
开放复合空间,中等,bi_extended_points,4,1,12.5,8,17.375
开放复合空间,中等,bi_extended_topology_change,4,1,0.5,0,1
开放复合空间,中等,bi_extended_post_displacement,4,1,0.24730270937,0.183388470719,0.316278746785
开放复合空间,中等,hohonet_vs_bi_enclosed,4,1,0.0192122743423,0.0172752289443,0.0210657629521
开放复合空间,中等,hohonet_vs_bi_extended,4,1,0.0191725821928,0.0170364444944,0.0211150578907
开放复合空间,中等,hohonet_vs_ulayout,4,1,0.0150710450516,0.0120373171013,0.0178368621161
开放复合空间,中等,bi_enclosed_vs_bi_extended,4,1,0.000463812733073,0.000378700015431,0.000790630304368
开放复合空间,中等,bi_enclosed_vs_ulayout,4,1,0.0162456750728,0.0158745143103,0.0170789588005
开放复合空间,中等,bi_extended_vs_ulayout,4,1,0.0160709387213,0.0157897734113,0.0166858060359
开放复合空间,中等,bi_height_disagreement,4,1,0.956352828071,0.938621521927,0.975733265281
开放复合空间,中等,hohonet_warning_phases,4,1,0,0,0
开放复合空间,中等,da3_confidence_median,4,1,2.61892622709,2.4662091136,2.93062746525
开放复合空间,中等,da3_confidence_face_variation,4,1,1.3322709213,1.12779239639,1.46199474623
开放复合空间,中等,da3_log_shape_spread_median,4,1,0.720746949315,0.618353607133,0.787969999015
开放复合空间,中等,da3_log_shape_face_variation,4,1,0.441243656137,0.373653712261,0.512939750904
无法判断,简单,hohonet_rotation,1,1,0.00225035537731,0.00225035537731,0.00225035537731
无法判断,简单,bi_enclosed_rotation,1,1,0.00124199688218,0.00124199688218,0.00124199688218
无法判断,简单,bi_extended_rotation,1,1,0.00126838644208,0.00126838644208,0.00126838644208
无法判断,简单,ulayout_rotation,1,1,0.000355038602495,0.000355038602495,0.000355038602495
无法判断,简单,hohonet_points,1,1,8,8,8
无法判断,简单,hohonet_topology_change,1,1,0,0,0
无法判断,简单,hohonet_post_displacement,1,1,0.269299620045,0.269299620045,0.269299620045
无法判断,简单,bi_enclosed_points,1,1,8,8,8
无法判断,简单,bi_enclosed_topology_change,1,1,0,0,0
无法判断,简单,bi_enclosed_post_displacement,1,1,0.258045504957,0.258045504957,0.258045504957
无法判断,简单,bi_extended_points,1,1,8,8,8
无法判断,简单,bi_extended_topology_change,1,1,0,0,0
无法判断,简单,bi_extended_post_displacement,1,1,0.257957749805,0.257957749805,0.257957749805
无法判断,简单,hohonet_vs_bi_enclosed,1,1,0.00827430564321,0.00827430564321,0.00827430564321
无法判断,简单,hohonet_vs_bi_extended,1,1,0.00827761417404,0.00827761417404,0.00827761417404
无法判断,简单,hohonet_vs_ulayout,1,1,0.00904853343655,0.00904853343655,0.00904853343655
无法判断,简单,bi_enclosed_vs_bi_extended,1,1,0.000197229602369,0.000197229602369,0.000197229602369
无法判断,简单,bi_enclosed_vs_ulayout,1,1,0.00685209436133,0.00685209436133,0.00685209436133
无法判断,简单,bi_extended_vs_ulayout,1,1,0.00687816939754,0.00687816939754,0.00687816939754
无法判断,简单,bi_height_disagreement,1,1,1.5080922544,1.5080922544,1.5080922544
无法判断,简单,hohonet_warning_phases,1,1,0,0,0
无法判断,简单,da3_confidence_median,1,1,2.5384567976,2.5384567976,2.5384567976
无法判断,简单,da3_confidence_face_variation,1,1,1.64149579862,1.64149579862,1.64149579862
无法判断,简单,da3_log_shape_spread_median,1,1,1.00853797793,1.00853797793,1.00853797793
无法判断,简单,da3_log_shape_face_variation,1,1,0.472469836714,0.472469836714,0.472469836714
起居与休闲,中等,hohonet_rotation,17,2,0.00357610694643,0.00327071942906,0.00437867683491
起居与休闲,中等,bi_enclosed_rotation,17,2,0.00162432578289,0.0014264322463,0.00176128788621
起居与休闲,中等,bi_extended_rotation,17,2,0.00164258225451,0.0014198306396,0.00173201178142
起居与休闲,中等,ulayout_rotation,17,2,0.000791463671218,0.000646437807737,0.000981879499589
起居与休闲,中等,hohonet_points,17,2,12,8,12
起居与休闲,中等,hohonet_topology_change,17,2,0,0,0
起居与休闲,中等,hohonet_post_displacement,17,2,0.299821746548,0.203350548776,0.328135955771
起居与休闲,中等,bi_enclosed_points,17,2,8,8,12
起居与休闲,中等,bi_enclosed_topology_change,17,2,0,0,0
起居与休闲,中等,bi_enclosed_post_displacement,17,2,0.305659071317,0.251793630159,0.361710987729
起居与休闲,中等,bi_extended_points,17,2,8,8,12
起居与休闲,中等,bi_extended_topology_change,17,2,0,0,0
起居与休闲,中等,bi_extended_post_displacement,17,2,0.306198947887,0.252570288748,0.361519210399
起居与休闲,中等,hohonet_vs_bi_enclosed,17,2,0.0330670739124,0.019078954574,0.0410326847137
起居与休闲,中等,hohonet_vs_bi_extended,17,2,0.03311535222,0.0185903662435,0.0411694339397
起居与休闲,中等,hohonet_vs_ulayout,17,2,0.0331952720275,0.0209370502899,0.0471926168165
起居与休闲,中等,bi_enclosed_vs_bi_extended,17,2,0.000614710679773,0.00044487357665,0.000878459256499
起居与休闲,中等,bi_enclosed_vs_ulayout,17,2,0.0191015527742,0.0139471040924,0.0300922394187
起居与休闲,中等,bi_extended_vs_ulayout,17,2,0.0190628661896,0.0146679810366,0.0296697698089
起居与休闲,中等,bi_height_disagreement,17,2,1.89874917641,1.8558977358,1.99245407805
起居与休闲,中等,hohonet_warning_phases,17,2,0,0,0
起居与休闲,中等,da3_confidence_median,17,2,1.90299141407,1.80457615852,2.18032681942
起居与休闲,中等,da3_confidence_face_variation,17,2,0.490186549123,0.374330589286,0.634593784406
起居与休闲,中等,da3_log_shape_spread_median,17,2,0.8744982481,0.809386581182,1.03175547719
