replicate,method,features,k,ari,n_workers
13,diagonal_Gaussian_mixture,peer_corner_time,3,0.03871901574090827,22
14,imposed_rank_strata,corner_pair_count,2,0.39807162534435264,23
14,imposed_rank_strata,corner_pair_count,3,0.19724025974025974,23
14,imposed_rank_strata,log_active_time,2,0.6528925619834711,22
14,imposed_rank_strata,log_active_time,3,0.5080745341614907,22
14,diagonal_Gaussian_mixture,peer_corner_time,2,0.040498442367601244,22
14,diagonal_Gaussian_mixture,peer_corner_time,3,-0.07911392405063292,22
15,imposed_rank_strata,corner_pair_count,2,0.1921487603305785,23
15,imposed_rank_strata,corner_pair_count,3,0.06655844155844155,23
15,imposed_rank_strata,log_active_time,2,0.6528925619834711,22
15,imposed_rank_strata,log_active_time,3,0.3440993788819876,22
15,diagonal_Gaussian_mixture,peer_corner_time,2,-0.03773584905660377,22
15,diagonal_Gaussian_mixture,peer_corner_time,3,-0.014349564808280405,22
16,imposed_rank_strata,corner_pair_count,2,0.1921487603305785,23
16,imposed_rank_strata,corner_pair_count,3,0.02922077922077922,23
16,imposed_rank_strata,log_active_time,2,1.0,22
16,imposed_rank_strata,log_active_time,3,0.5080745341614907,22
16,diagonal_Gaussian_mixture,peer_corner_time,2,0.0297029702970297,22
16,diagonal_Gaussian_mixture,peer_corner_time,3,0.043478260869565216,22
17,imposed_rank_strata,corner_pair_count,2,0.1921487603305785,23
17,imposed_rank_strata,corner_pair_count,3,0.1038961038961039,23
17,imposed_rank_strata,log_active_time,2,1.0,22
17,imposed_rank_strata,log_active_time,3,0.5080745341614907,22
17,diagonal_Gaussian_mixture,peer_corner_time,2,-0.047619047619047616,22
17,diagonal_Gaussian_mixture,peer_corner_time,3,-0.0011208249271463797,22
18,imposed_rank_strata,corner_pair_count,2,0.1921487603305785,23
18,imposed_rank_strata,corner_pair_count,3,0.1038961038961039,23
18,imposed_rank_strata,log_active_time,2,1.0,22
18,imposed_rank_strata,log_active_time,3,0.5080745341614907,22
18,diagonal_Gaussian_mixture,peer_corner_time,2,-0.08998988877654196,22
18,diagonal_Gaussian_mixture,peer_corner_time,3,-0.12975699220541037,22
19,imposed_rank_strata,corner_pair_count,2,0.1921487603305785,23
19,imposed_rank_strata,corner_pair_count,3,0.1038961038961039,23
19,imposed_rank_strata,log_active_time,2,0.6528925619834711,22
19,imposed_rank_strata,log_active_time,3,0.3440993788819876,22
19,diagonal_Gaussian_mixture,peer_corner_time,2,0.031446540880503145,22
19,diagonal_Gaussian_mixture,peer_corner_time,3,0.029411764705882353,22
20,imposed_rank_strata,corner_pair_count,2,-0.029614325068870524,23
20,imposed_rank_strata,corner_pair_count,3,0.02922077922077922,23
20,imposed_rank_strata,log_active_time,2,1.0,22
20,imposed_rank_strata,log_active_time,3,0.22111801242236026,22
20,diagonal_Gaussian_mixture,peer_corner_time,2,0.01910828025477707,22
20,diagonal_Gaussian_mixture,peer_corner_time,3,-0.02815270490320246,22
21,imposed_rank_strata,corner_pair_count,2,0.39807162534435264,23
21,imposed_rank_strata,corner_pair_count,3,0.38392857142857145,23
21,imposed_rank_strata,log_active_time,2,1.0,22
21,imposed_rank_strata,log_active_time,3,0.3440993788819876,22
21,diagonal_Gaussian_mixture,peer_corner_time,2,0.04234527687296417,22
21,diagonal_Gaussian_mixture,peer_corner_time,3,0.08572922111866178,22
22,imposed_rank_strata,corner_pair_count,2,0.39807162534435264,23
22,imposed_rank_strata,corner_pair_count,3,0.02922077922077922,23
22,imposed_rank_strata,log_active_time,2,1.0,22
22,imposed_rank_strata,log_active_time,3,0.7540372670807454,22
22,diagonal_Gaussian_mixture,peer_corner_time,2,0.09126671911880409,22
22,diagonal_Gaussian_mixture,peer_corner_time,3,0.04734713300023793,22
23,imposed_rank_strata,corner_pair_count,2,0.1921487603305785,23
23,imposed_rank_strata,corner_pair_count,3,0.3092532467532468,23
23,imposed_rank_strata,log_active_time,2,1.0,22
23,imposed_rank_strata,log_active_time,3,0.3440993788819876,22
23,diagonal_Gaussian_mixture,peer_corner_time,2,-0.08848167539267016,22
23,diagonal_Gaussian_mixture,peer_corner_time,3,0.04686376197145777,22
24,imposed_rank_strata,corner_pair_count,2,0.1921487603305785,23
24,imposed_rank_strata,corner_pair_count,3,0.06655844155844155,23
24,imposed_rank_strata,log_active_time,2,1.0,22
24,imposed_rank_strata,log_active_time,3,0.5080745341614907,22
24,diagonal_Gaussian_mixture,peer_corner_time,2,-0.06451612903225806,22
24,diagonal_Gaussian_mixture,peer_corner_time,3,-0.0487136989262809,22
25,imposed_rank_strata,corner_pair_count,2,0.39807162534435264,23
25,imposed_rank_strata,corner_pair_count,3,0.19724025974025974,23
25,imposed_rank_strata,log_active_time,2,1.0,22
25,imposed_rank_strata,log_active_time,3,0.7540372670807454,22
25,diagonal_Gaussian_mixture,peer_corner_time,2,0.06779661016949153,22
25,diagonal_Gaussian_mixture,peer_corner_time,3,0.00423634336677815,22
26,imposed_rank_strata,corner_pair_count,2,0.39807162534435264,23
26,imposed_rank_strata,corner_pair_count,3,0.1038961038961039,23
26,imposed_rank_strata,log_active_time,2,1.0,22
26,imposed_rank_strata,log_active_time,3,0.7540372670807454,22
26,diagonal_Gaussian_mixture,peer_corner_time,2,0.0064516129032258064,22
26,diagonal_Gaussian_mixture,peer_corner_time,3,0.042323083023901364,22
27,imposed_rank_strata,corner_pair_count,2,0.39807162534435264,23
27,imposed_rank_strata,corner_pair_count,3,0.08522727272727272,23
27,imposed_rank_strata,log_active_time,2,0.3752066115702479,22
27,imposed_rank_strata,log_active_time,3,0.22111801242236026,22
27,diagonal_Gaussian_mixture,peer_corner_time,2,-0.04251986125097908,22
27,diagonal_Gaussian_mixture,peer_corner_time,3,-0.06459278461870814,22
28,imposed_rank_strata,corner_pair_count,2,0.1921487603305785,23
28,imposed_rank_strata,corner_pair_count,3,0.1038961038961039,23
28,imposed_rank_strata,log_active_time,2,0.6528925619834711,22
28,imposed_rank_strata,log_active_time,3,0.5080745341614907,22
28,diagonal_Gaussian_mixture,peer_corner_time,2,-0.013157894736842105,22
28,diagonal_Gaussian_mixture,peer_corner_time,3,-0.057849622294414656,22
29,imposed_rank_strata,corner_pair_count,2,0.39807162534435264,23
29,imposed_rank_strata,corner_pair_count,3,0.1038961038961039,23
29,imposed_rank_strata,log_active_time,2,0.6528925619834711,22
29,imposed_rank_strata,log_active_time,3,0.3440993788819876,22
29,diagonal_Gaussian_mixture,peer_corner_time,2,-0.1001849050260548,22
29,diagonal_Gaussian_mixture,peer_corner_time,3,-0.02642865422510722,22
30,imposed_rank_strata,corner_pair_count,2,0.39807162534435264,23
30,imposed_rank_strata,corner_pair_count,3,0.1038961038961039,23
30,imposed_rank_strata,log_active_time,2,0.6528925619834711,22
30,imposed_rank_strata,log_active_time,3,0.3440993788819876,22
30,diagonal_Gaussian_mixture,peer_corner_time,2,0.08839779005524862,22
30,diagonal_Gaussian_mixture,peer_corner_time,3,0.02966432474629196,22
31,imposed_rank_strata,corner_pair_count,2,0.1921487603305785,23
31,imposed_rank_strata,corner_pair_count,3,0.19724025974025974,23
31,imposed_rank_strata,log_active_time,2,0.6528925619834711,22
31,imposed_rank_strata,log_active_time,3,0.5080745341614907,22
31,diagonal_Gaussian_mixture,peer_corner_time,2,-0.012588512981904013,22
31,diagonal_Gaussian_mixture,peer_corner_time,3,-0.010687132405680677,22
32,imposed_rank_strata,corner_pair_count,2,0.1921487603305785,23
32,imposed_rank_strata,corner_pair_count,3,0.2159090909090909,23
32,imposed_rank_strata,log_active_time,2,0.6528925619834711,22
32,imposed_rank_strata,log_active_time,3,0.5080745341614907,22
32,diagonal_Gaussian_mixture,peer_corner_time,2,-0.034482758620689655,22
32,diagonal_Gaussian_mixture,peer_corner_time,3,-0.02666666666666667,22
33,imposed_rank_strata,corner_pair_count,2,0.6673553719008265,23
33,imposed_rank_strata,corner_pair_count,3,0.19724025974025974,23
33,imposed_rank_strata,log_active_time,2,1.0,22
33,imposed_rank_strata,log_active_time,3,0.7540372670807454,22
33,diagonal_Gaussian_mixture,peer_corner_time,2,0.16981132075471697,22
33,diagonal_Gaussian_mixture,peer_corner_time,3,0.24987822698490014,22
34,imposed_rank_strata,corner_pair_count,2,0.049586776859504134,23
34,imposed_rank_strata,corner_pair_count,3,0.1038961038961039,23
34,imposed_rank_strata,log_active_time,2,1.0,22
34,imposed_rank_strata,log_active_time,3,0.3440993788819876,22
34,diagonal_Gaussian_mixture,peer_corner_time,2,0.0,22
34,diagonal_Gaussian_mixture,peer_corner_time,3,0.22897196261682243,22
35,imposed_rank_strata,corner_pair_count,2,0.39807162534435264,23
35,imposed_rank_strata,corner_pair_count,3,0.19724025974025974,23
35,imposed_rank_strata,log_active_time,2,1.0,22
35,imposed_rank_strata,log_active_time,3,0.36459627329192545,22
35,diagonal_Gaussian_mixture,peer_corner_time,2,-0.034482758620689655,22
35,diagonal_Gaussian_mixture,peer_corner_time,3,0.0899188876013905,22
36,imposed_rank_strata,corner_pair_count,2,0.049586776859504134,23
36,imposed_rank_strata,corner_pair_count,3,0.02922077922077922,23
36,imposed_rank_strata,log_active_time,2,1.0,22
36,imposed_rank_strata,log_active_time,3,0.5080745341614907,22
36,diagonal_Gaussian_mixture,peer_corner_time,2,-0.03991596638655462,22
36,diagonal_Gaussian_mixture,peer_corner_time,3,-0.04085310904175428,22
37,imposed_rank_strata,corner_pair_count,2,0.049586776859504134,23
37,imposed_rank_strata,corner_pair_count,3,0.3092532467532468,23
37,imposed_rank_strata,log_active_time,2,0.6528925619834711,22
37,imposed_rank_strata,log_active_time,3,0.5080745341614907,22
37,diagonal_Gaussian_mixture,peer_corner_time,2,0.25259792166266987,22
37,diagonal_Gaussian_mixture,peer_corner_time,3,0.18600989653621233,22
38,imposed_rank_strata,corner_pair_count,2,0.1921487603305785,23
38,imposed_rank_strata,corner_pair_count,3,0.19724025974025974,23
38,imposed_rank_strata,log_active_time,2,1.0,22
38,imposed_rank_strata,log_active_time,3,0.3440993788819876,22
38,diagonal_Gaussian_mixture,peer_corner_time,2,-0.04392156862745098,22
38,diagonal_Gaussian_mixture,peer_corner_time,3,0.0704403479860499,22
39,imposed_rank_strata,corner_pair_count,2,0.1921487603305785,23
39,imposed_rank_strata,corner_pair_count,3,0.17857142857142858,23
39,imposed_rank_strata,log_active_time,2,1.0,22
39,imposed_rank_strata,log_active_time,3,0.36459627329192545,22
39,diagonal_Gaussian_mixture,peer_corner_time,2,-0.03913630229419703,22
39,diagonal_Gaussian_mixture,peer_corner_time,3,-0.008110300081103,22
40,imposed_rank_strata,corner_pair_count,2,0.39807162534435264,23
40,imposed_rank_strata,corner_pair_count,3,0.19724025974025974,23
40,imposed_rank_strata,log_active_time,2,0.6528925619834711,22
40,imposed_rank_strata,log_active_time,3,0.7540372670807454,22
40,diagonal_Gaussian_mixture,peer_corner_time,2,0.033617212012550426,22
40,diagonal_Gaussian_mixture,peer_corner_time,3,0.0682800345721694,22
41,imposed_rank_strata,corner_pair_count,2,0.1921487603305785,23
41,imposed_rank_strata,corner_pair_count,3,0.06655844155844155,23
41,imposed_rank_strata,log_active_time,2,1.0,22
41,imposed_rank_strata,log_active_time,3,0.7540372670807454,22
41,diagonal_Gaussian_mixture,peer_corner_time,2,0.09533400469956362,22
41,diagonal_Gaussian_mixture,peer_corner_time,3,0.07606719511308269,22
42,imposed_rank_strata,corner_pair_count,2,0.6673553719008265,23
42,imposed_rank_strata,corner_pair_count,3,0.5332792207792207,23
42,imposed_rank_strata,log_active_time,2,1.0,22
42,imposed_rank_strata,log_active_time,3,0.5080745341614907,22
42,diagonal_Gaussian_mixture,peer_corner_time,2,-0.032171581769437,22
42,diagonal_Gaussian_mixture,peer_corner_time,3,0.3848714321378048,22
43,imposed_rank_strata,corner_pair_count,2,0.1921487603305785,23
43,imposed_rank_strata,corner_pair_count,3,0.1038961038961039,23
43,imposed_rank_strata,log_active_time,2,1.0,22
43,imposed_rank_strata,log_active_time,3,0.5900621118012422,22
43,diagonal_Gaussian_mixture,peer_corner_time,2,-0.039603960396039604,22
43,diagonal_Gaussian_mixture,peer_corner_time,3,0.010782289515944024,22
44,imposed_rank_strata,corner_pair_count,2,-0.029614325068870524,23
44,imposed_rank_strata,corner_pair_count,3,-0.026785714285714284,23
44,imposed_rank_strata,log_active_time,2,1.0,22
44,imposed_rank_strata,log_active_time,3,0.5080745341614907,22
44,diagonal_Gaussian_mixture,peer_corner_time,2,-0.047619047619047616,22
44,diagonal_Gaussian_mixture,peer_corner_time,3,-0.06883542141230069,22
45,imposed_rank_strata,corner_pair_count,2,0.1921487603305785,23
45,imposed_rank_strata,corner_pair_count,3,0.1599025974025974,23
45,imposed_rank_strata,log_active_time,2,1.0,22
45,imposed_rank_strata,log_active_time,3,0.7540372670807454,22
45,diagonal_Gaussian_mixture,peer_corner_time,2,0.031446540880503145,22
45,diagonal_Gaussian_mixture,peer_corner_time,3,0.05826106293084279,22
46,imposed_rank_strata,corner_pair_count,2,0.39807162534435264,23
46,imposed_rank_strata,corner_pair_count,3,0.19724025974025974,23
46,imposed_rank_strata,log_active_time,2,1.0,22
46,imposed_rank_strata,log_active_time,3,0.7540372670807454,22
46,diagonal_Gaussian_mixture,peer_corner_time,2,0.16981132075471697,22
46,diagonal_Gaussian_mixture,peer_corner_time,3,0.07496395963479097,22
47,imposed_rank_strata,corner_pair_count,2,0.39807162534435264,23
47,imposed_rank_strata,corner_pair_count,3,0.2532467532467532,23
47,imposed_rank_strata,log_active_time,2,1.0,22
47,imposed_rank_strata,log_active_time,3,0.36459627329192545,22
47,diagonal_Gaussian_mixture,peer_corner_time,2,-0.02877697841726619,22
47,diagonal_Gaussian_mixture,peer_corner_time,3,0.11789976133651552,22
48,imposed_rank_strata,corner_pair_count,2,0.049586776859504134,23
48,imposed_rank_strata,corner_pair_count,3,0.14123376623376624,23
48,imposed_rank_strata,log_active_time,2,0.3752066115702479,22
48,imposed_rank_strata,log_active_time,3,0.36459627329192545,22
48,diagonal_Gaussian_mixture,peer_corner_time,2,-0.047619047619047616,22
48,diagonal_Gaussian_mixture,peer_corner_time,3,0.040079226377723404,22
49,imposed_rank_strata,corner_pair_count,2,0.39807162534435264,23
49,imposed_rank_strata,corner_pair_count,3,0.19724025974025974,23
49,imposed_rank_strata,log_active_time,2,1.0,22
49,imposed_rank_strata,log_active_time,3,0.36459627329192545,22
49,diagonal_Gaussian_mixture,peer_corner_time,2,0.02531645569620253,22
49,diagonal_Gaussian_mixture,peer_corner_time,3,0.2522501184272856,22
50,imposed_rank_strata,corner_pair_count,2,0.39807162534435264,23
50,imposed_rank_strata,corner_pair_count,3,0.1599025974025974,23
50,imposed_rank_strata,log_active_time,2,0.6528925619834711,22
50,imposed_rank_strata,log_active_time,3,0.7540372670807454,22
50,diagonal_Gaussian_mixture,peer_corner_time,2,0.20481927710843373,22
50,diagonal_Gaussian_mixture,peer_corner_time,3,0.23793047956227872,22
51,imposed_rank_strata,corner_pair_count,2,-0.029614325068870524,23
51,imposed_rank_strata,corner_pair_count,3,0.02922077922077922,23
51,imposed_rank_strata,log_active_time,2,1.0,22
51,imposed_rank_strata,log_active_time,3,0.5900621118012422,22
51,diagonal_Gaussian_mixture,peer_corner_time,2,0.005901881224640354,22
51,diagonal_Gaussian_mixture,peer_corner_time,3,-0.009555555555555555,22
52,imposed_rank_strata,corner_pair_count,2,0.1921487603305785,23
52,imposed_rank_strata,corner_pair_count,3,0.1599025974025974,23
52,imposed_rank_strata,log_active_time,2,0.6528925619834711,22
52,imposed_rank_strata,log_active_time,3,0.5080745341614907,22
52,diagonal_Gaussian_mixture,peer_corner_time,2,-0.06091370558375635,22
52,diagonal_Gaussian_mixture,peer_corner_time,3,-0.0487136989262809,22
53,imposed_rank_strata,corner_pair_count,2,0.1921487603305785,23
53,imposed_rank_strata,corner_pair_count,3,0.19724025974025974,23
53,imposed_rank_strata,log_active_time,2,0.6528925619834711,22
53,imposed_rank_strata,log_active_time,3,0.5080745341614907,22
53,diagonal_Gaussian_mixture,peer_corner_time,2,0.20481927710843373,22
53,diagonal_Gaussian_mixture,peer_corner_time,3,0.02239150507848569,22
54,imposed_rank_strata,corner_pair_count,2,0.39807162534435264,23
54,imposed_rank_strata,corner_pair_count,3,0.08522727272727272,23
54,imposed_rank_strata,log_active_time,2,1.0,22
54,imposed_rank_strata,log_active_time,3,0.5080745341614907,22
54,diagonal_Gaussian_mixture,peer_corner_time,2,0.08921933085501858,22
54,diagonal_Gaussian_mixture,peer_corner_time,3,-0.01654306902452938,22
55,imposed_rank_strata,corner_pair_count,2,0.1921487603305785,23
55,imposed_rank_strata,corner_pair_count,3,0.1599025974025974,23
55,imposed_rank_strata,log_active_time,2,0.3752066115702479,22
55,imposed_rank_strata,log_active_time,3,0.36459627329192545,22
55,diagonal_Gaussian_mixture,peer_corner_time,2,-0.047619047619047616,22
55,diagonal_Gaussian_mixture,peer_corner_time,3,-0.08311275807305453,22
56,imposed_rank_strata,corner_pair_count,2,0.39807162534435264,23
56,imposed_rank_strata,corner_pair_count,3,0.19724025974025974,23
56,imposed_rank_strata,log_active_time,2,1.0,22
56,imposed_rank_strata,log_active_time,3,0.5080745341614907,22
56,diagonal_Gaussian_mixture,peer_corner_time,2,-0.047619047619047616,22
56,diagonal_Gaussian_mixture,peer_corner_time,3,0.17914252607184242,22
57,imposed_rank_strata,corner_pair_count,2,0.1921487603305785,23
57,imposed_rank_strata,corner_pair_count,3,0.1038961038961039,23
57,imposed_rank_strata,log_active_time,2,1.0,22
57,imposed_rank_strata,log_active_time,3,0.7540372670807454,22
57,diagonal_Gaussian_mixture,peer_corner_time,2,0.06572295247724974,22
57,diagonal_Gaussian_mixture,peer_corner_time,3,0.08085585585585586,22
58,imposed_rank_strata,corner_pair_count,2,0.1921487603305785,23
58,imposed_rank_strata,corner_pair_count,3,0.19724025974025974,23
58,imposed_rank_strata,log_active_time,2,1.0,22
58,imposed_rank_strata,log_active_time,3,0.7540372670807454,22
58,diagonal_Gaussian_mixture,peer_corner_time,2,0.031446540880503145,22
58,diagonal_Gaussian_mixture,peer_corner_time,3,0.09715242881072027,22
59,imposed_rank_strata,corner_pair_count,2,0.39807162534435264,23
59,imposed_rank_strata,corner_pair_count,3,0.010551948051948052,23
59,imposed_rank_strata,log_active_time,2,1.0,22
59,imposed_rank_strata,log_active_time,3,0.7540372670807454,22
59,diagonal_Gaussian_mixture,peer_corner_time,2,0.040498442367601244,22
59,diagonal_Gaussian_mixture,peer_corner_time,3,-0.0890967813787727,22
60,imposed_rank_strata,corner_pair_count,2,0.1921487603305785,23
60,imposed_rank_strata,corner_pair_count,3,0.06655844155844155,23
60,imposed_rank_strata,log_active_time,2,0.3752066115702479,22
60,imposed_rank_strata,log_active_time,3,0.26211180124223604,22
60,diagonal_Gaussian_mixture,peer_corner_time,2,-0.04054054054054054,22
60,diagonal_Gaussian_mixture,peer_corner_time,3,0.038104965430546825,22
61,imposed_rank_strata,corner_pair_count,2,0.049586776859504134,23
61,imposed_rank_strata,corner_pair_count,3,0.1038961038961039,23
61,imposed_rank_strata,log_active_time,2,1.0,22
61,imposed_rank_strata,log_active_time,3,0.5080745341614907,22
61,diagonal_Gaussian_mixture,peer_corner_time,2,-0.06451612903225806,22
61,diagonal_Gaussian_mixture,peer_corner_time,3,-0.08697889861039629,22
62,imposed_rank_strata,corner_pair_count,2,-0.029614325068870524,23
62,imposed_rank_strata,corner_pair_count,3,0.06655844155844155,23
62,imposed_rank_strata,log_active_time,2,1.0,22
62,imposed_rank_strata,log_active_time,3,0.7540372670807454,22
62,diagonal_Gaussian_mixture,peer_corner_time,2,0.03663985701519214,22
62,diagonal_Gaussian_mixture,peer_corner_time,3,0.001466615206483983,22
63,imposed_rank_strata,corner_pair_count,2,0.39807162534435264,23
63,imposed_rank_strata,corner_pair_count,3,0.1599025974025974,23
63,imposed_rank_strata,log_active_time,2,1.0,22
63,imposed_rank_strata,log_active_time,3,0.5080745341614907,22
63,diagonal_Gaussian_mixture,peer_corner_time,2,0.02531645569620253,22
63,diagonal_Gaussian_mixture,peer_corner_time,3,-0.033693077125559356,22
64,imposed_rank_strata,corner_pair_count,2,0.1921487603305785,23
64,imposed_rank_strata,corner_pair_count,3,0.1599025974025974,23
64,imposed_rank_strata,log_active_time,2,1.0,22
64,imposed_rank_strata,log_active_time,3,0.7540372670807454,22
64,diagonal_Gaussian_mixture,peer_corner_time,2,0.03663985701519214,22
64,diagonal_Gaussian_mixture,peer_corner_time,3,-0.09983885145033694,22
65,imposed_rank_strata,corner_pair_count,2,0.049586776859504134,23
65,imposed_rank_strata,corner_pair_count,3,0.06655844155844155,23
65,imposed_rank_strata,log_active_time,2,1.0,22
65,imposed_rank_strata,log_active_time,3,0.5080745341614907,22
65,diagonal_Gaussian_mixture,peer_corner_time,2,0.25259792166266987,22
65,diagonal_Gaussian_mixture,peer_corner_time,3,0.056827309236947794,22
66,imposed_rank_strata,corner_pair_count,2,0.049586776859504134,23
66,imposed_rank_strata,corner_pair_count,3,0.2159090909090909,23
66,imposed_rank_strata,log_active_time,2,1.0,22
66,imposed_rank_strata,log_active_time,3,0.5080745341614907,22
66,diagonal_Gaussian_mixture,peer_corner_time,2,0.10204081632653061,22
66,diagonal_Gaussian_mixture,peer_corner_time,3,0.08755760368663594,22
67,imposed_rank_strata,corner_pair_count,2,0.049586776859504134,23
67,imposed_rank_strata,corner_pair_count,3,0.19724025974025974,23
67,imposed_rank_strata,log_active_time,2,1.0,22
67,imposed_rank_strata,log_active_time,3,0.5080745341614907,22
67,diagonal_Gaussian_mixture,peer_corner_time,2,-0.008056394763343404,22
67,diagonal_Gaussian_mixture,peer_corner_time,3,0.06118762700383834,22
68,imposed_rank_strata,corner_pair_count,2,0.39807162534435264,23
68,imposed_rank_strata,corner_pair_count,3,0.19724025974025974,23
68,imposed_rank_strata,log_active_time,2,0.6528925619834711,22
68,imposed_rank_strata,log_active_time,3,0.5080745341614907,22
68,diagonal_Gaussian_mixture,peer_corner_time,2,-0.0387409200968523,22
68,diagonal_Gaussian_mixture,peer_corner_time,3,0.1293759512937595,22
69,imposed_rank_strata,corner_pair_count,2,-0.029614325068870524,23
