variant,replicate,metric,n_workers,rank_rho
all_calculation_valid,113,corner_pair_count,23,0.5079051383399209
all_calculation_valid,113,log_active_time,22,0.8802936194240545
all_calculation_valid,114,peer_distance_mean,23,0.25889328063241107
all_calculation_valid,114,corner_pair_count,23,0.6245059288537549
all_calculation_valid,114,log_active_time,22,0.9435347261434219
all_calculation_valid,115,peer_distance_mean,23,0.33992094861660077
all_calculation_valid,115,corner_pair_count,23,0.674901185770751
all_calculation_valid,115,log_active_time,22,0.9265951439864484
all_calculation_valid,116,peer_distance_mean,23,0.07707509881422926
all_calculation_valid,116,corner_pair_count,23,0.5523715415019763
all_calculation_valid,116,log_active_time,22,0.8385093167701864
all_calculation_valid,117,peer_distance_mean,23,0.03260869565217391
all_calculation_valid,117,corner_pair_count,23,0.6610671936758893
all_calculation_valid,117,log_active_time,22,0.9333709768492378
all_calculation_valid,118,peer_distance_mean,23,0.3567193675889328
all_calculation_valid,118,corner_pair_count,23,0.8320158102766799
all_calculation_valid,118,log_active_time,22,0.9638622247317901
all_calculation_valid,119,peer_distance_mean,23,0.22035573122529645
all_calculation_valid,119,corner_pair_count,23,0.7737154150197629
all_calculation_valid,119,log_active_time,22,0.9706380575945794
all_calculation_valid,120,peer_distance_mean,23,0.02964426877470356
all_calculation_valid,120,corner_pair_count,23,0.633399209486166
all_calculation_valid,120,log_active_time,22,0.9062676453980804
all_calculation_valid,121,peer_distance_mean,23,0.15217391304347824
all_calculation_valid,121,corner_pair_count,23,0.6640316205533596
all_calculation_valid,121,log_active_time,22,0.9695087521174479
all_calculation_valid,122,peer_distance_mean,23,0.11660079051383401
all_calculation_valid,122,corner_pair_count,23,0.8053359683794467
all_calculation_valid,122,log_active_time,22,0.9480519480519483
all_calculation_valid,123,peer_distance_mean,23,0.2065217391304348
all_calculation_valid,123,corner_pair_count,23,0.5306324110671937
all_calculation_valid,123,log_active_time,22,0.9254658385093169
all_calculation_valid,124,peer_distance_mean,23,0.34288537549407117
all_calculation_valid,124,corner_pair_count,23,0.7677865612648223
all_calculation_valid,124,log_active_time,22,0.935629587803501
all_calculation_valid,125,peer_distance_mean,23,0.23715415019762848
all_calculation_valid,125,corner_pair_count,23,0.8260869565217392
all_calculation_valid,125,log_active_time,22,0.9683794466403164
all_calculation_valid,126,peer_distance_mean,23,0.21343873517786563
all_calculation_valid,126,corner_pair_count,23,0.83300395256917
all_calculation_valid,126,log_active_time,22,0.9130434782608697
all_calculation_valid,127,peer_distance_mean,23,0.4871541501976285
all_calculation_valid,127,corner_pair_count,23,0.7460474308300395
all_calculation_valid,127,log_active_time,22,0.9378881987577641
all_calculation_valid,128,peer_distance_mean,23,0.575098814229249
all_calculation_valid,128,corner_pair_count,23,0.5098814229249012
all_calculation_valid,128,log_active_time,22,0.9457933370976851
all_calculation_valid,129,peer_distance_mean,23,0.2183794466403162
all_calculation_valid,129,corner_pair_count,23,0.782608695652174
all_calculation_valid,129,log_active_time,22,0.9311123658949747
all_calculation_valid,130,peer_distance_mean,23,0.044466403162055336
all_calculation_valid,130,corner_pair_count,23,0.6166007905138341
all_calculation_valid,130,log_active_time,22,0.9435347261434219
all_calculation_valid,131,peer_distance_mean,23,0.05138339920948617
all_calculation_valid,131,corner_pair_count,23,0.5454545454545454
all_calculation_valid,131,log_active_time,22,0.9503105590062113
all_calculation_valid,132,peer_distance_mean,23,0.34683794466403167
all_calculation_valid,132,corner_pair_count,23,0.4634387351778656
all_calculation_valid,132,log_active_time,22,0.7933370976849238
all_calculation_valid,133,peer_distance_mean,23,-0.05434782608695652
all_calculation_valid,133,corner_pair_count,23,0.5237154150197628
all_calculation_valid,133,log_active_time,22,0.8181818181818183
all_calculation_valid,134,peer_distance_mean,23,0.17094861660079053
all_calculation_valid,134,corner_pair_count,23,0.790513833992095
all_calculation_valid,134,log_active_time,22,0.961603613777527
all_calculation_valid,135,peer_distance_mean,23,0.20454545454545459
all_calculation_valid,135,corner_pair_count,23,0.7371541501976284
all_calculation_valid,135,log_active_time,22,0.9649915302089217
all_calculation_valid,136,peer_distance_mean,23,0.2233201581027668
all_calculation_valid,136,corner_pair_count,23,0.8033596837944664
all_calculation_valid,136,log_active_time,22,0.9649915302089217
all_calculation_valid,137,peer_distance_mean,23,0.044466403162055336
all_calculation_valid,137,corner_pair_count,23,0.6590909090909092
all_calculation_valid,137,log_active_time,22,0.935629587803501
all_calculation_valid,138,peer_distance_mean,23,0.21047430830039524
all_calculation_valid,138,corner_pair_count,23,0.5118577075098815
all_calculation_valid,138,log_active_time,22,0.9265951439864484
all_calculation_valid,139,peer_distance_mean,23,0.06324110671936758
all_calculation_valid,139,corner_pair_count,23,0.7203557312252966
all_calculation_valid,139,log_active_time,22,0.9288537549407117
all_calculation_valid,140,peer_distance_mean,23,0.18675889328063244
all_calculation_valid,140,corner_pair_count,23,0.6699604743083005
all_calculation_valid,140,log_active_time,22,0.9017504234895539
all_calculation_valid,141,peer_distance_mean,23,0.3577075098814229
