selector,condition,target,heldout_building,algorithm,feature,inner_MAE,pca,parameter,inner_images,dimensions,candidate_count
current_prespecified_all,manual,owner_valid_active_seconds,yqstnuAEVhm,knn,C_bilayout_fc_local16,66.889017341,32,5,173,16384,29
current_prespecified_all,manual,owner_valid_active_seconds,yqstnuAEVhm,ridge,C_hohonet_encoder_stage4_global,69.4455629055,32,100,173,1024,29
current_prespecified_all,manual,owner_valid_active_seconds,zsNo4HB9uLZ,knn,C_ulayout_compressed_local16,65.0303867403,32,5,181,32768,29
current_prespecified_all,manual,owner_valid_active_seconds,zsNo4HB9uLZ,ridge,C_hohonet_encoder_stage4_global,67.4878720264,32,100,181,1024,29
current_prespecified_all,manual,point_count_disagreement,2t7WUuJeko7,knn,C_hohonet_shared_global,0.244217259168,16,3,164,512,29
current_prespecified_all,manual,point_count_disagreement,2t7WUuJeko7,ridge,C_hohonet_compressed_global,0.232589070988,32,100,164,2048,29
current_prespecified_all,manual,point_count_disagreement,7y3sRwLe3Va,knn,C_hohonet_shared_global,0.256237953824,32,3,157,512,29
current_prespecified_all,manual,point_count_disagreement,7y3sRwLe3Va,ridge,C_hohonet_compressed_global,0.23829195869,32,100,157,2048,29
current_prespecified_all,manual,point_count_disagreement,B6ByNegPMKs,knn,C_hohonet_shared_global,0.247783006394,16,5,157,512,29
current_prespecified_all,manual,point_count_disagreement,B6ByNegPMKs,ridge,C_hohonet_compressed_global,0.238455245318,32,100,157,2048,29
current_prespecified_all,manual,point_count_disagreement,S9hNv5qa7GM,knn,C_hohonet_shared_global,0.24645153236,16,3,159,512,29
current_prespecified_all,manual,point_count_disagreement,S9hNv5qa7GM,ridge,C_hohonet_compressed_global,0.234257988617,32,100,159,2048,29
current_prespecified_all,manual,point_count_disagreement,UwV83HsGsw3,knn,C_hohonet_shared_global,0.234262285454,32,3,158,512,29
current_prespecified_all,manual,point_count_disagreement,UwV83HsGsw3,ridge,C_hohonet_compressed_global,0.225697763225,32,100,158,2048,29
current_prespecified_all,manual,point_count_disagreement,VFuaQ6m2Qom,knn,C_hohonet_shared_global,0.241735804034,32,3,161,512,29
current_prespecified_all,manual,point_count_disagreement,VFuaQ6m2Qom,ridge,C_hohonet_compressed_global,0.228705501913,32,100,161,2048,29
current_prespecified_all,manual,point_count_disagreement,VLzqgDo317F,knn,C_hohonet_shared_global,0.244453717904,16,3,165,512,29
current_prespecified_all,manual,point_count_disagreement,VLzqgDo317F,ridge,C_hohonet_compressed_global,0.23114653608,32,100,165,2048,29
current_prespecified_all,manual,point_count_disagreement,X7HyMhZNoso,knn,C_hohonet_shared_global,0.247008645509,32,5,163,512,29
current_prespecified_all,manual,point_count_disagreement,X7HyMhZNoso,ridge,C_hohonet_compressed_global,0.234060530067,32,100,163,2048,29
current_prespecified_all,manual,point_count_disagreement,Z6MFQCViBuw,knn,C_hohonet_shared_global,0.239788883999,16,3,163,512,29
current_prespecified_all,manual,point_count_disagreement,Z6MFQCViBuw,ridge,C_hohonet_compressed_global,0.229175839499,32,100,163,2048,29
current_prespecified_all,manual,point_count_disagreement,b8cTxDM8gDG,knn,C_hohonet_shared_global,0.236816099324,32,3,163,512,29
current_prespecified_all,manual,point_count_disagreement,b8cTxDM8gDG,ridge,C_hohonet_compressed_global,0.23478126603,32,100,163,2048,29
current_prespecified_all,manual,point_count_disagreement,e9zR4mvMWw7,knn,C_hohonet_shared_global,0.240456125009,16,3,162,512,29
current_prespecified_all,manual,point_count_disagreement,e9zR4mvMWw7,ridge,C_hohonet_compressed_global,0.234525625531,32,100,162,2048,29
current_prespecified_all,manual,point_count_disagreement,jh4fc5c5qoQ,knn,C_hohonet_shared_global,0.228079333159,16,3,160,512,29
current_prespecified_all,manual,point_count_disagreement,jh4fc5c5qoQ,ridge,C_hohonet_compressed_global,0.226565153096,32,100,160,2048,29
current_prespecified_all,manual,point_count_disagreement,jtcxE69GiFV,knn,C_hohonet_shared_global,0.234461721454,16,3,157,512,29
current_prespecified_all,manual,point_count_disagreement,jtcxE69GiFV,ridge,C_hohonet_compressed_global,0.219952967893,32,100,157,2048,29
current_prespecified_all,manual,point_count_disagreement,pRbA3pwrgk9,knn,C_hohonet_shared_global,0.2481458991,16,3,157,512,29
current_prespecified_all,manual,point_count_disagreement,pRbA3pwrgk9,ridge,C_hohonet_compressed_global,0.240679987725,32,100,157,2048,29
current_prespecified_all,manual,point_count_disagreement,pa4otMbVnkk,knn,C_hohonet_shared_global,0.240321286472,16,3,161,512,29
current_prespecified_all,manual,point_count_disagreement,pa4otMbVnkk,ridge,C_hohonet_compressed_global,0.231698428652,16,100,161,2048,29
current_prespecified_all,manual,point_count_disagreement,q9vSo1VnCiC,knn,C_hohonet_shared_global,0.248456885009,32,5,152,512,29
current_prespecified_all,manual,point_count_disagreement,q9vSo1VnCiC,ridge,C_hohonet_compressed_global,0.233253999515,16,100,152,2048,29
current_prespecified_all,manual,point_count_disagreement,rPc6DW4iMge,knn,C_hohonet_shared_global,0.250279479304,16,3,157,512,29
current_prespecified_all,manual,point_count_disagreement,rPc6DW4iMge,ridge,C_hohonet_compressed_global,0.239528829435,16,100,157,2048,29
current_prespecified_all,manual,point_count_disagreement,uNb9QFRL6hY,knn,C_hohonet_shared_global,0.256055357353,32,3,140,512,29
current_prespecified_all,manual,point_count_disagreement,uNb9QFRL6hY,ridge,C_hohonet_compressed_global,0.251191703104,16,100,140,2048,29
current_prespecified_all,manual,point_count_disagreement,wc2JMjhGNzB,knn,C_hohonet_shared_global,0.243279347092,32,3,155,512,29
current_prespecified_all,manual,point_count_disagreement,wc2JMjhGNzB,ridge,C_hohonet_compressed_global,0.215110866498,32,10,155,2048,29
current_prespecified_all,manual,point_count_disagreement,x8F5xyUWy9e,knn,C_hohonet_shared_global,0.2393569692,16,3,162,512,29
current_prespecified_all,manual,point_count_disagreement,x8F5xyUWy9e,ridge,C_hohonet_compressed_global,0.226623171549,32,100,162,2048,29
current_prespecified_all,manual,point_count_disagreement,yqstnuAEVhm,knn,C_hohonet_shared_global,0.250372042764,32,5,152,512,29
current_prespecified_all,manual,point_count_disagreement,yqstnuAEVhm,ridge,C_hohonet_compressed_global,0.236830399971,32,100,152,2048,29
current_prespecified_all,manual,point_count_disagreement,zsNo4HB9uLZ,knn,C_hohonet_shared_global,0.244993914531,16,3,161,512,29
current_prespecified_all,manual,point_count_disagreement,zsNo4HB9uLZ,ridge,C_hohonet_compressed_global,0.227812014692,32,100,161,2048,29
current_prespecified_all,manual,reference_geometry_error,2t7WUuJeko7,knn,C_bilayout_fg_enclosed_global,0.0528127217329,16,5,158,1024,29
current_prespecified_all,manual,reference_geometry_error,2t7WUuJeko7,ridge,C_bilayout_fg_enclosed_global,0.0494062067661,32,100,158,1024,29
current_prespecified_all,manual,reference_geometry_error,7y3sRwLe3Va,knn,C_bilayout_fg_extended_global,0.0515513442533,32,5,152,1024,29
current_prespecified_all,manual,reference_geometry_error,7y3sRwLe3Va,ridge,C_bilayout_fg_enclosed_global,0.0484971140643,32,100,152,1024,29
current_prespecified_all,manual,reference_geometry_error,B6ByNegPMKs,knn,C_bilayout_fg_extended_global,0.0500995529834,32,5,152,1024,29
current_prespecified_all,manual,reference_geometry_error,B6ByNegPMKs,ridge,C_bilayout_fg_enclosed_local16,0.0470449395264,32,100,152,16384,29
current_prespecified_all,manual,reference_geometry_error,S9hNv5qa7GM,knn,C_bilayout_fg_enclosed_global,0.0498161959172,32,5,154,1024,29
current_prespecified_all,manual,reference_geometry_error,S9hNv5qa7GM,ridge,C_bilayout_fg_enclosed_global,0.0458675713463,16,100,154,1024,29
current_prespecified_all,manual,reference_geometry_error,UwV83HsGsw3,knn,C_bilayout_fg_enclosed_global,0.0516198970357,32,3,153,1024,29
current_prespecified_all,manual,reference_geometry_error,UwV83HsGsw3,ridge,C_bilayout_fg_enclosed_global,0.0482554511738,32,100,153,1024,29
current_prespecified_all,manual,reference_geometry_error,VFuaQ6m2Qom,knn,C_bilayout_fg_enclosed_global,0.0515989573248,16,5,159,1024,29
current_prespecified_all,manual,reference_geometry_error,VFuaQ6m2Qom,ridge,C_bilayout_fg_enclosed_global,0.0482899456885,32,100,159,1024,29
current_prespecified_all,manual,reference_geometry_error,VLzqgDo317F,knn,C_bilayout_fg_enclosed_global,0.052201115349,16,5,160,1024,29
current_prespecified_all,manual,reference_geometry_error,VLzqgDo317F,ridge,C_bilayout_fg_enclosed_global,0.0489048273115,32,100,160,1024,29
current_prespecified_all,manual,reference_geometry_error,X7HyMhZNoso,knn,C_bilayout_fg_extended_global,0.0512392147671,32,5,158,1024,29
current_prespecified_all,manual,reference_geometry_error,X7HyMhZNoso,ridge,C_bilayout_fg_enclosed_global,0.0481408016187,32,100,158,1024,29
current_prespecified_all,manual,reference_geometry_error,Z6MFQCViBuw,knn,C_bilayout_fg_enclosed_global,0.0510861055917,32,5,158,1024,29
current_prespecified_all,manual,reference_geometry_error,Z6MFQCViBuw,ridge,C_bilayout_fg_enclosed_global,0.0474041538469,32,100,158,1024,29
current_prespecified_all,manual,reference_geometry_error,b8cTxDM8gDG,knn,C_bilayout_fg_extended_global,0.0502114920892,16,5,158,1024,29
current_prespecified_all,manual,reference_geometry_error,b8cTxDM8gDG,ridge,C_bilayout_fg_enclosed_global,0.0475501972572,32,100,158,1024,29
current_prespecified_all,manual,reference_geometry_error,e9zR4mvMWw7,knn,C_bilayout_fg_enclosed_global,0.0512276718072,32,5,157,1024,29
current_prespecified_all,manual,reference_geometry_error,e9zR4mvMWw7,ridge,C_bilayout_fg_enclosed_global,0.0492419560653,32,100,157,1024,29
current_prespecified_all,manual,reference_geometry_error,jh4fc5c5qoQ,knn,C_bilayout_fg_extended_global,0.0509998644203,32,5,159,1024,29
current_prespecified_all,manual,reference_geometry_error,jh4fc5c5qoQ,ridge,C_bilayout_fg_enclosed_global,0.0470186332975,32,100,159,1024,29
current_prespecified_all,manual,reference_geometry_error,jtcxE69GiFV,knn,C_bilayout_fg_enclosed_global,0.0536012610076,16,5,149,1024,29
current_prespecified_all,manual,reference_geometry_error,jtcxE69GiFV,ridge,C_bilayout_fg_enclosed_global,0.0508474724275,16,100,149,1024,29
current_prespecified_all,manual,reference_geometry_error,pRbA3pwrgk9,knn,C_bilayout_fg_enclosed_global,0.0527468534398,16,5,154,1024,29
current_prespecified_all,manual,reference_geometry_error,pRbA3pwrgk9,ridge,C_bilayout_fg_enclosed_global,0.0497521729971,16,100,154,1024,29
current_prespecified_all,manual,reference_geometry_error,pa4otMbVnkk,knn,C_bilayout_fg_enclosed_global,0.0536294475042,32,5,153,1024,29
current_prespecified_all,manual,reference_geometry_error,pa4otMbVnkk,ridge,C_bilayout_fg_enclosed_global,0.0498093413621,16,100,153,1024,29
current_prespecified_all,manual,reference_geometry_error,q9vSo1VnCiC,knn,C_ulayout_transformer_global,0.0507490940736,16,5,147,2048,29
current_prespecified_all,manual,reference_geometry_error,q9vSo1VnCiC,ridge,C_bilayout_fg_enclosed_global,0.0469061092372,32,100,147,1024,29
current_prespecified_all,manual,reference_geometry_error,rPc6DW4iMge,knn,C_bilayout_fg_enclosed_global,0.05365288258,16,5,152,1024,29
current_prespecified_all,manual,reference_geometry_error,rPc6DW4iMge,ridge,C_bilayout_fg_enclosed_global,0.0509341431987,32,100,152,1024,29
current_prespecified_all,manual,reference_geometry_error,uNb9QFRL6hY,knn,C_bilayout_fg_extended_global,0.0502163998748,16,5,136,1024,29
current_prespecified_all,manual,reference_geometry_error,uNb9QFRL6hY,ridge,C_bilayout_fg_enclosed_global,0.0478842598816,32,100,136,1024,29
current_prespecified_all,manual,reference_geometry_error,wc2JMjhGNzB,knn,C_bilayout_fg_extended_global,0.0499407205061,32,5,150,1024,29
current_prespecified_all,manual,reference_geometry_error,wc2JMjhGNzB,ridge,C_bilayout_fg_enclosed_global,0.047631241659,32,100,150,1024,29
current_prespecified_all,manual,reference_geometry_error,x8F5xyUWy9e,knn,C_bilayout_fg_extended_global,0.051826524831,32,5,157,1024,29
current_prespecified_all,manual,reference_geometry_error,x8F5xyUWy9e,ridge,C_bilayout_fg_enclosed_global,0.0490360085151,32,100,157,1024,29
current_prespecified_all,manual,reference_geometry_error,yqstnuAEVhm,knn,C_bilayout_fg_extended_global,0.0501935263818,32,5,147,1024,29
current_prespecified_all,manual,reference_geometry_error,yqstnuAEVhm,ridge,C_bilayout_fg_enclosed_global,0.0469308982822,32,100,147,1024,29
current_prespecified_all,manual,reference_geometry_error,zsNo4HB9uLZ,knn,C_bilayout_fg_enclosed_global,0.051345001198,16,5,158,1024,29
current_prespecified_all,manual,reference_geometry_error,zsNo4HB9uLZ,ridge,C_bilayout_fg_enclosed_global,0.0489420223331,32,100,158,1024,29
current_prespecified_all,manual,scope_entropy,2t7WUuJeko7,knn,C_hohonet_encoder_stage4_global,0.35074191792,32,5,184,1024,29
current_prespecified_all,manual,scope_entropy,2t7WUuJeko7,ridge,C_hohonet_refined_global,0.357993556393,32,100,184,2048,29
current_prespecified_all,manual,scope_entropy,7y3sRwLe3Va,knn,C_hohonet_encoder_stage4_global,0.341965335631,16,5,178,1024,29
current_prespecified_all,manual,scope_entropy,7y3sRwLe3Va,ridge,C_hohonet_compressed_global,0.353488059308,32,100,178,2048,29
current_prespecified_all,manual,scope_entropy,B6ByNegPMKs,knn,C_hohonet_encoder_stage4_global,0.346916199068,32,5,178,1024,29
current_prespecified_all,manual,scope_entropy,B6ByNegPMKs,ridge,C_hohonet_refined_global,0.353154358793,32,0.1,178,2048,29
current_prespecified_all,manual,scope_entropy,S9hNv5qa7GM,knn,C_hohonet_encoder_stage4_global,0.358553969971,32,5,177,1024,29
current_prespecified_all,manual,scope_entropy,S9hNv5qa7GM,ridge,C_hohonet_refined_global,0.360806991444,32,100,177,2048,29
current_prespecified_all,manual,scope_entropy,UwV83HsGsw3,knn,C_hohonet_encoder_stage4_global,0.330147832325,16,5,179,1024,29
current_prespecified_all,manual,scope_entropy,UwV83HsGsw3,ridge,C_hohonet_refined_global,0.345223508533,32,100,179,2048,29
current_prespecified_all,manual,scope_entropy,VFuaQ6m2Qom,knn,C_hohonet_encoder_stage4_global,0.354505573662,32,5,182,1024,29
current_prespecified_all,manual,scope_entropy,VFuaQ6m2Qom,ridge,C_hohonet_encoder_stage4_global,0.366684496896,16,100,182,1024,29
current_prespecified_all,manual,scope_entropy,VLzqgDo317F,knn,C_hohonet_encoder_stage4_global,0.353139870514,16,3,186,1024,29
current_prespecified_all,manual,scope_entropy,VLzqgDo317F,ridge,C_hohonet_refined_global,0.354664392042,32,100,186,2048,29
current_prespecified_all,manual,scope_entropy,X7HyMhZNoso,knn,C_hohonet_encoder_stage4_global,0.355033385682,16,3,184,1024,29
current_prespecified_all,manual,scope_entropy,X7HyMhZNoso,ridge,C_hohonet_refined_global,0.357443348449,32,100,184,2048,29
current_prespecified_all,manual,scope_entropy,Z6MFQCViBuw,knn,C_hohonet_encoder_stage4_global,0.346330542497,32,3,184,1024,29
current_prespecified_all,manual,scope_entropy,Z6MFQCViBuw,ridge,C_hohonet_compressed_global,0.358275588325,32,100,184,2048,29
current_prespecified_all,manual,scope_entropy,b8cTxDM8gDG,knn,C_hohonet_encoder_stage4_global,0.349368818441,32,5,184,1024,29
current_prespecified_all,manual,scope_entropy,b8cTxDM8gDG,ridge,C_hohonet_encoder_stage4_global,0.35674628028,16,100,184,1024,29
current_prespecified_all,manual,scope_entropy,e9zR4mvMWw7,knn,C_hohonet_encoder_stage4_global,0.34215345676,32,5,183,1024,29
current_prespecified_all,manual,scope_entropy,e9zR4mvMWw7,ridge,C_hohonet_refined_global,0.353559422031,32,100,183,2048,29
current_prespecified_all,manual,scope_entropy,jh4fc5c5qoQ,knn,C_hohonet_encoder_stage4_global,0.338868549582,32,5,180,1024,29
current_prespecified_all,manual,scope_entropy,jh4fc5c5qoQ,ridge,C_hohonet_refined_global,0.355584421985,32,100,180,2048,29
current_prespecified_all,manual,scope_entropy,jtcxE69GiFV,knn,C_hohonet_encoder_stage4_global,0.36085844584,32,5,171,1024,29
current_prespecified_all,manual,scope_entropy,jtcxE69GiFV,ridge,C_hohonet_compressed_global,0.352892684314,32,100,171,2048,29
current_prespecified_all,manual,scope_entropy,pRbA3pwrgk9,knn,C_hohonet_encoder_stage4_global,0.362442065737,32,3,176,1024,29
current_prespecified_all,manual,scope_entropy,pRbA3pwrgk9,ridge,C_bilayout_fg_enclosed_global,0.368126664891,32,100,176,1024,29
current_prespecified_all,manual,scope_entropy,pa4otMbVnkk,knn,C_hohonet_encoder_stage4_global,0.357555058075,32,5,176,1024,29
current_prespecified_all,manual,scope_entropy,pa4otMbVnkk,ridge,C_hohonet_refined_global,0.36451681105,32,100,176,2048,29
current_prespecified_all,manual,scope_entropy,q9vSo1VnCiC,knn,C_hohonet_encoder_stage4_global,0.358227002867,32,5,173,1024,29
current_prespecified_all,manual,scope_entropy,q9vSo1VnCiC,ridge,C_hohonet_refined_global,0.346858499,32,0.1,173,2048,29
current_prespecified_all,manual,scope_entropy,rPc6DW4iMge,knn,C_hohonet_encoder_stage4_global,0.359070678639,16,5,178,1024,29
current_prespecified_all,manual,scope_entropy,rPc6DW4iMge,ridge,C_hohonet_refined_global,0.363383718153,32,100,178,2048,29
current_prespecified_all,manual,scope_entropy,uNb9QFRL6hY,knn,C_hohonet_encoder_stage4_global,0.355171723164,32,5,161,1024,29
current_prespecified_all,manual,scope_entropy,uNb9QFRL6hY,ridge,C_hohonet_compressed_global,0.353531285465,16,100,161,2048,29
current_prespecified_all,manual,scope_entropy,wc2JMjhGNzB,knn,C_hohonet_encoder_stage4_global,0.345745266062,32,5,176,1024,29
current_prespecified_all,manual,scope_entropy,wc2JMjhGNzB,ridge,C_hohonet_refined_global,0.365153719613,32,100,176,2048,29
current_prespecified_all,manual,scope_entropy,x8F5xyUWy9e,knn,C_hohonet_encoder_stage4_global,0.351167021327,16,5,183,1024,29
current_prespecified_all,manual,scope_entropy,x8F5xyUWy9e,ridge,C_hohonet_compressed_global,0.348657599447,32,100,183,2048,29
current_prespecified_all,manual,scope_entropy,yqstnuAEVhm,knn,C_hohonet_encoder_stage4_global,0.333893522527,32,5,173,1024,29
current_prespecified_all,manual,scope_entropy,yqstnuAEVhm,ridge,C_hohonet_refined_global,0.335057083045,32,10,173,2048,29
current_prespecified_all,manual,scope_entropy,zsNo4HB9uLZ,knn,C_hohonet_encoder_stage4_global,0.351835651688,32,5,181,1024,29
current_prespecified_all,manual,scope_entropy,zsNo4HB9uLZ,ridge,C_hohonet_refined_global,0.356284129403,32,100,181,2048,29
current_prespecified_all,manual,scope_non_normal_rate,2t7WUuJeko7,knn,C_ulayout_transformer_global,0.172897200468,32,5,184,2048,29
current_prespecified_all,manual,scope_non_normal_rate,2t7WUuJeko7,ridge,C_hohonet_compressed_global,0.178311634952,16,100,184,2048,29
current_prespecified_all,manual,scope_non_normal_rate,7y3sRwLe3Va,knn,C_ulayout_transformer_global,0.172291274106,32,5,178,2048,29
current_prespecified_all,manual,scope_non_normal_rate,7y3sRwLe3Va,ridge,C_hohonet_compressed_global,0.177597444515,16,100,178,2048,29
current_prespecified_all,manual,scope_non_normal_rate,B6ByNegPMKs,knn,C_ulayout_transformer_global,0.175094563473,32,5,178,2048,29
current_prespecified_all,manual,scope_non_normal_rate,B6ByNegPMKs,ridge,C_bilayout_fg_enclosed_global,0.168959112407,16,100,178,1024,29
current_prespecified_all,manual,scope_non_normal_rate,S9hNv5qa7GM,knn,C_ulayout_transformer_global,0.175608660561,16,5,177,2048,29
current_prespecified_all,manual,scope_non_normal_rate,S9hNv5qa7GM,ridge,C_hohonet_compressed_global,0.178391260682,16,100,177,2048,29
current_prespecified_all,manual,scope_non_normal_rate,UwV83HsGsw3,knn,C_ulayout_transformer_global,0.167102374591,16,5,179,2048,29
current_prespecified_all,manual,scope_non_normal_rate,UwV83HsGsw3,ridge,C_hohonet_compressed_global,0.174167961486,16,100,179,2048,29
current_prespecified_all,manual,scope_non_normal_rate,VFuaQ6m2Qom,knn,C_ulayout_transformer_global,0.173156951744,16,5,182,2048,29
current_prespecified_all,manual,scope_non_normal_rate,VFuaQ6m2Qom,ridge,C_hohonet_compressed_global,0.176328456187,16,100,182,2048,29
current_prespecified_all,manual,scope_non_normal_rate,VLzqgDo317F,knn,C_ulayout_transformer_global,0.172282330417,32,5,186,2048,29
current_prespecified_all,manual,scope_non_normal_rate,VLzqgDo317F,ridge,C_hohonet_encoder_stage4_global,0.17556960669,16,100,186,1024,29
current_prespecified_all,manual,scope_non_normal_rate,X7HyMhZNoso,knn,C_ulayout_transformer_global,0.174203404897,32,5,184,2048,29
current_prespecified_all,manual,scope_non_normal_rate,X7HyMhZNoso,ridge,C_hohonet_compressed_global,0.175996804601,16,100,184,2048,29
current_prespecified_all,manual,scope_non_normal_rate,Z6MFQCViBuw,knn,C_ulayout_transformer_global,0.172651341255,16,5,184,2048,29
current_prespecified_all,manual,scope_non_normal_rate,Z6MFQCViBuw,ridge,C_hohonet_compressed_global,0.176473937932,16,100,184,2048,29
current_prespecified_all,manual,scope_non_normal_rate,b8cTxDM8gDG,knn,C_ulayout_transformer_global,0.170369295166,16,5,184,2048,29
current_prespecified_all,manual,scope_non_normal_rate,b8cTxDM8gDG,ridge,C_hohonet_compressed_global,0.177544822639,16,100,184,2048,29
current_prespecified_all,manual,scope_non_normal_rate,e9zR4mvMWw7,knn,C_ulayout_transformer_global,0.173501114392,32,5,183,2048,29
current_prespecified_all,manual,scope_non_normal_rate,e9zR4mvMWw7,ridge,C_hohonet_compressed_global,0.177608923132,16,0.1,183,2048,29
current_prespecified_all,manual,scope_non_normal_rate,jh4fc5c5qoQ,knn,C_ulayout_transformer_local16,0.165477455717,32,5,180,32768,29
current_prespecified_all,manual,scope_non_normal_rate,jh4fc5c5qoQ,ridge,C_hohonet_compressed_global,0.16822616992,16,100,180,2048,29
