time_metric,time_value_seconds,within_stage_mode_percentile,stage,condition,base_task_id,building_id,worker_id,annotation_id,canonical_annotation_id,active_time_lane,lead_time_lane,active_time_source,active_time_source_file,timing_status,active_to_lead_ratio,assignment_provenance,worker_status_class,source_artifact,model_lane,status,outcome,term,log_scale_estimate,standard_error,ci_lower,ci_upper,multiplicative_ratio_exp_beta,p_value,n_rows,worker_count,task_count,building_count,covariance,formula,interpretation
lead_time,5378.835999999999,1.0,C1,semi,wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,wc2JMjhGNzB,27,5816,b5e0d24f44539999b6ed,formal_frozen,label_studio_elapsed_observed,c1_task_worker_active_time_v1,,eligible,1.0266161675128227,original_assignment,historical_retained,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_canonical_annotations.csv,,,,,,,,,,,,,,,,,
lead_time,4721.928,0.9985163204747775,C1,manual,uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,uNb9QFRL6hY,36,6013,b93da0bbe5ffb848a0c6,formal_frozen,label_studio_elapsed_observed,c1_task_worker_active_time_v1,,eligible,0.9294932070120511,original_assignment,observed_worker,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_canonical_annotations.csv,,,,,,,,,,,,,,,,,
lead_time,4555.191,0.9987163029525032,P1,manual,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC,36,4611,680d9cdf96eaadf7,formal_frozen,label_studio_elapsed_observed,log,active_times_2026-06-27.jsonl,project+task+annotator,0.879875289532316,not_recorded,observed_worker,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,,,,,,,,,,,,,,,,,
lead_time,4239.655,0.9970326409495549,C1,manual,uNb9QFRL6hY_6115ed700b5144cfa3443346381cb7cd,uNb9QFRL6hY,27,5783,4f5e2f801a33ddacfbff,formal_frozen,label_studio_elapsed_observed,c1_task_worker_active_time_v1,,eligible,0.47645386240153975,original_assignment,historical_retained,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_canonical_annotations.csv,,,,,,,,,,,,,,,,,
lead_time,3992.564,0.9974326059050064,P1,manual,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,36,4529,1b8adc7d1227c62b,formal_frozen,label_studio_elapsed_observed,log,active_times_2026-06-21.jsonl;active_times_2026-06-23.jsonl;active_times_2026-06-24.jsonl;active_times_2026-06-26.jsonl;active_times_2026-06-28.jsonl,project+task+annotator,0.863354976902061,not_recorded,observed_worker,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,,,,,,,,,,,,,,,,,
lead_time,3393.647,1.0,C2-A-RP-B2,manual,jtcxE69GiFV_c90412ad99334d3aa7a1ec74d8e543a1,jtcxE69GiFV,36,6801,f9644fa62fdb22170582,formal_frozen,label_studio_elapsed_observed,log,active_times_2026-08-11.jsonl,auxiliary_available,1.0236774773569555,not_recorded,observed_worker,analysis_results/c2a_rp_block2_reestimate_20260814_v1/c2a_rp_block2_canonical_submissions.csv,,,,,,,,,,,,,,,,,
lead_time,3078.136,0.9961489088575096,P1,manual,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,rPc6DW4iMge,33,4362,c61e2afdd2d8efd8,formal_frozen,label_studio_elapsed_observed,log,active_times_2026-06-21.jsonl,project+task+annotator,0.49607944548259075,not_recorded,observed_worker,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,,,,,,,,,,,,,,,,,
lead_time,3047.55,1.0,C2-A-RP-B1,manual,zsNo4HB9uLZ_4c0aab63a4434cf4878e6f5b3ce9a70b,zsNo4HB9uLZ,2,6779,682625e3d592552bf5a1,formal_frozen,label_studio_elapsed_observed,log,active_times_2026-08-09.jsonl,auxiliary_mixed_or_legacy,0.09548653836688487,not_recorded,observed_worker,analysis_results/c2a_rp_block1_reestimate_20260810_v1/c2a_rp_block1_canonical_submissions.csv,,,,,,,,,,,,,,,,,
lead_time,2689.264,0.9955489614243324,C1,manual,uNb9QFRL6hY_f7944295a76541b186e6a557ebdbba14,uNb9QFRL6hY,27,5797,8b7b26806cebb06ceb87,formal_frozen,label_studio_elapsed_observed,c1_task_worker_active_time_v1,,eligible,0.37593929045270374,original_assignment,historical_retained,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_canonical_annotations.csv,,,,,,,,,,,,,,,,,
lead_time,2679.944,0.9948652118100129,P1,manual,yqstnuAEVhm_e650c19e3eb34cc0b98374e5a23d1f65,yqstnuAEVhm,36,4675,d2e973b350e6241e,formal_frozen,label_studio_elapsed_observed,log,active_times_2026-06-27.jsonl,project+task+annotator,0.835838360801569,not_recorded,observed_worker,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,,,,,,,,,,,,,,,,,
