record_type,analysis_model,effect_size,n_pairs,target_power,required_N,n_tasks,MDE_80,MDE_90
MDE,fixed_roster,,9,,,80,0.010589926707326504,0.012252853089786492
MDE,fixed_roster,,9,,,100,0.009471918397729033,0.010959284970832373
MDE,fixed_roster,,9,,,120,0.008646638948807302,0.010004412654420394
MDE,fixed_roster,,9,,,150,0.007733788986572181,0.008948218708097245
MDE,fixed_roster,,9,,,200,0.006697657729879818,0.007749384719831385
MDE,fixed_roster,,10,,,50,0.013395315459759636,0.01549876943966277
MDE,fixed_roster,,10,,,80,0.010589926707326504,0.012252853089786492
MDE,fixed_roster,,10,,,100,0.009471918397729033,0.010959284970832373
MDE,fixed_roster,,10,,,120,0.008646638948807302,0.010004412654420394
MDE,fixed_roster,,10,,,150,0.007733788986572181,0.008948218708097245
MDE,fixed_roster,,10,,,200,0.006697657729879818,0.007749384719831385
MDE,fixed_roster,,12,,,50,0.013395315459759636,0.01549876943966277
MDE,fixed_roster,,12,,,80,0.010589926707326504,0.012252853089786492
MDE,fixed_roster,,12,,,100,0.009471918397729033,0.010959284970832373
MDE,fixed_roster,,12,,,120,0.008646638948807302,0.010004412654420394
MDE,fixed_roster,,12,,,150,0.007733788986572181,0.008948218708097245
MDE,fixed_roster,,12,,,200,0.006697657729879818,0.007749384719831385
required_N,worker_generalized,0.01,5,0.8,>200,,,
required_N,worker_generalized,0.01,7,0.8,>200,,,
required_N,worker_generalized,0.01,8,0.8,>200,,,
required_N,worker_generalized,0.01,9,0.8,>200,,,
required_N,worker_generalized,0.01,10,0.8,>200,,,
required_N,worker_generalized,0.01,12,0.8,>200,,,
required_N,worker_generalized,0.015,5,0.8,>200,,,
required_N,worker_generalized,0.015,7,0.8,>200,,,
required_N,worker_generalized,0.015,8,0.8,>200,,,
required_N,worker_generalized,0.015,9,0.8,>200,,,
required_N,worker_generalized,0.015,10,0.8,>200,,,
required_N,worker_generalized,0.015,12,0.8,>200,,,
required_N,worker_generalized,0.02,5,0.8,>200,,,
required_N,worker_generalized,0.02,7,0.8,>200,,,
required_N,worker_generalized,0.02,8,0.8,200,,,
required_N,worker_generalized,0.02,9,0.8,100,,,
required_N,worker_generalized,0.02,10,0.8,80,,,
required_N,worker_generalized,0.02,12,0.8,50,,,
required_N,worker_generalized,0.025,5,0.8,>200,,,
required_N,worker_generalized,0.025,7,0.8,50,,,
required_N,worker_generalized,0.025,8,0.8,50,,,
required_N,worker_generalized,0.025,9,0.8,50,,,
required_N,worker_generalized,0.025,10,0.8,50,,,
required_N,worker_generalized,0.025,12,0.8,50,,,
required_N,worker_generalized,0.03,5,0.8,100,,,
required_N,worker_generalized,0.03,7,0.8,50,,,
required_N,worker_generalized,0.03,8,0.8,50,,,
required_N,worker_generalized,0.03,9,0.8,50,,,
required_N,worker_generalized,0.03,10,0.8,50,,,
required_N,worker_generalized,0.03,12,0.8,50,,,
required_N,worker_generalized,0.04,5,0.8,50,,,
required_N,worker_generalized,0.04,7,0.8,50,,,
required_N,worker_generalized,0.04,8,0.8,50,,,
required_N,worker_generalized,0.04,9,0.8,50,,,
required_N,worker_generalized,0.04,10,0.8,50,,,
required_N,worker_generalized,0.04,12,0.8,50,,,
MDE,worker_generalized,,5,,,50,0.022414649975989617,0.025934401701267543
MDE,worker_generalized,,5,,,80,0.02117985341465301,0.024505706179572984
MDE,worker_generalized,,5,,,100,0.020751933477137528,0.02401059037060895
MDE,worker_generalized,,5,,,120,0.02046168235072024,0.023674761378640986
MDE,worker_generalized,,5,,,150,0.020167254305036447,0.02333409956964276
MDE,worker_generalized,,5,,,200,0.019868463649367712,0.022988390094054307
MDE,worker_generalized,,7,,,50,0.019997063462122266,0.023137183816296546
MDE,worker_generalized,,7,,,80,0.0186024784431592,0.021523608403470534
MDE,worker_generalized,,7,,,100,0.018113772566794452,0.020958161495979677
MDE,worker_generalized,,7,,,120,0.01778050781568935,0.0205725644896784
MDE,worker_generalized,,7,,,150,0.017440876118074607,0.020179600741154134
MDE,worker_generalized,,7,,,200,0.017094497984680924,0.019778831170289113
MDE,worker_generalized,,8,,,50,0.019179172983897787,0.022190860753806746
MDE,worker_generalized,,8,,,80,0.017720336719891417,0.02050294478243779
MDE,worker_generalized,,8,,,100,0.017206594254520115,0.019908529813557573
MDE,worker_generalized,,8,,,120,0.01685540232156799,0.019502190536647986
MDE,worker_generalized,,8,,,150,0.016496735707531792,0.019087202836406754
MDE,worker_generalized,,8,,,200,0.016130095802145427,0.018662989806259495
MDE,worker_generalized,,9,,,50,0.01851807822937532,0.021425954902287665
MDE,worker_generalized,,9,,,80,0.017002613870500078,0.019672518578761528
MDE,worker_generalized,,9,,,100,0.016466494186762225,0.01905221251764044
MDE,worker_generalized,,9,,,120,0.016099165580392948,0.0186272026404328
MDE,worker_generalized,,9,,,150,0.015723257740275838,0.018192266340347988
MDE,worker_generalized,,9,,,200,0.015338139898611533,0.017746673800703335
MDE,worker_generalized,,10,,,50,0.017971701568845838,0.020793781220809368
MDE,worker_generalized,,10,,,80,0.01640584391001308,0.01898203838410767
MDE,worker_generalized,,10,,,100,0.015849550995945143,0.018338391308982214
MDE,worker_generalized,,10,,,120,0.015467577973144362,0.01789643741619449
MDE,worker_generalized,,10,,,150,0.015075930151653517,0.0174432895000392
MDE,worker_generalized,,10,,,200,0.014673832884416078,0.01697805127135001
MDE,worker_generalized,,12,,,50,0.01711947169848542,0.01980772648324167
MDE,worker_generalized,,12,,,80,0.015467577973144363,0.017896437416194493
MDE,worker_generalized,,12,,,100,0.014876240140863991,0.01721224235180831
MDE,worker_generalized,,12,,,120,0.014468594344679378,0.016740584313810418
MDE,worker_generalized,,12,,,150,0.014049125378226328,0.016255246524067457
MDE,worker_generalized,,12,,,200,0.013616740633329183,0.015754964803153918
