assumption_set_id,variance_source,effect_size,n_tasks,n_workers,n_pairs,n_buildings,analysis_model,power,simulation_replicates,seed
central,empirical_A2_minus_A0_paired_delta,0.025,70,5,,9,paired_task_delta_building_cluster_simulation,0.995,1000,20333318
central,empirical_A2_minus_A0_paired_delta,0.03,70,5,,9,paired_task_delta_building_cluster_simulation,1.0,1000,20333818
central,empirical_A2_minus_A0_paired_delta,0.005,80,5,,10,paired_task_delta_building_cluster_simulation,0.193,1000,20341318
central,empirical_A2_minus_A0_paired_delta,0.01,80,5,,10,paired_task_delta_building_cluster_simulation,0.527,1000,20341818
central,empirical_A2_minus_A0_paired_delta,0.015,80,5,,10,paired_task_delta_building_cluster_simulation,0.852,1000,20342318
central,empirical_A2_minus_A0_paired_delta,0.02,80,5,,10,paired_task_delta_building_cluster_simulation,0.986,1000,20342818
central,empirical_A2_minus_A0_paired_delta,0.025,80,5,,10,paired_task_delta_building_cluster_simulation,0.999,1000,20343318
central,empirical_A2_minus_A0_paired_delta,0.03,80,5,,10,paired_task_delta_building_cluster_simulation,1.0,1000,20343818
central,empirical_A2_minus_A0_paired_delta,0.005,100,5,,12,paired_task_delta_building_cluster_simulation,0.2,1000,20361318
central,empirical_A2_minus_A0_paired_delta,0.01,100,5,,12,paired_task_delta_building_cluster_simulation,0.622,1000,20361818
central,empirical_A2_minus_A0_paired_delta,0.015,100,5,,12,paired_task_delta_building_cluster_simulation,0.921,1000,20362318
central,empirical_A2_minus_A0_paired_delta,0.02,100,5,,12,paired_task_delta_building_cluster_simulation,0.996,1000,20362818
central,empirical_A2_minus_A0_paired_delta,0.025,100,5,,12,paired_task_delta_building_cluster_simulation,1.0,1000,20363318
central,empirical_A2_minus_A0_paired_delta,0.03,100,5,,12,paired_task_delta_building_cluster_simulation,1.0,1000,20363818
pessimistic,empirical_A2_minus_A0_paired_delta,0.005,40,5,,5,paired_task_delta_building_cluster_simulation,0.074,1000,20301319
pessimistic,empirical_A2_minus_A0_paired_delta,0.01,40,5,,5,paired_task_delta_building_cluster_simulation,0.13,1000,20301819
pessimistic,empirical_A2_minus_A0_paired_delta,0.015,40,5,,5,paired_task_delta_building_cluster_simulation,0.266,1000,20302319
pessimistic,empirical_A2_minus_A0_paired_delta,0.02,40,5,,5,paired_task_delta_building_cluster_simulation,0.432,1000,20302819
pessimistic,empirical_A2_minus_A0_paired_delta,0.025,40,5,,5,paired_task_delta_building_cluster_simulation,0.628,1000,20303319
pessimistic,empirical_A2_minus_A0_paired_delta,0.03,40,5,,5,paired_task_delta_building_cluster_simulation,0.702,1000,20303819
pessimistic,empirical_A2_minus_A0_paired_delta,0.005,50,5,,6,paired_task_delta_building_cluster_simulation,0.082,1000,20311319
pessimistic,empirical_A2_minus_A0_paired_delta,0.01,50,5,,6,paired_task_delta_building_cluster_simulation,0.169,1000,20311819
pessimistic,empirical_A2_minus_A0_paired_delta,0.015,50,5,,6,paired_task_delta_building_cluster_simulation,0.344,1000,20312319
pessimistic,empirical_A2_minus_A0_paired_delta,0.02,50,5,,6,paired_task_delta_building_cluster_simulation,0.536,1000,20312819
pessimistic,empirical_A2_minus_A0_paired_delta,0.025,50,5,,6,paired_task_delta_building_cluster_simulation,0.725,1000,20313319
pessimistic,empirical_A2_minus_A0_paired_delta,0.03,50,5,,6,paired_task_delta_building_cluster_simulation,0.852,1000,20313819
pessimistic,empirical_A2_minus_A0_paired_delta,0.005,60,5,,8,paired_task_delta_building_cluster_simulation,0.091,1000,20321319
pessimistic,empirical_A2_minus_A0_paired_delta,0.01,60,5,,8,paired_task_delta_building_cluster_simulation,0.23,1000,20321819
pessimistic,empirical_A2_minus_A0_paired_delta,0.015,60,5,,8,paired_task_delta_building_cluster_simulation,0.426,1000,20322319
pessimistic,empirical_A2_minus_A0_paired_delta,0.02,60,5,,8,paired_task_delta_building_cluster_simulation,0.691,1000,20322819
pessimistic,empirical_A2_minus_A0_paired_delta,0.025,60,5,,8,paired_task_delta_building_cluster_simulation,0.868,1000,20323319
pessimistic,empirical_A2_minus_A0_paired_delta,0.03,60,5,,8,paired_task_delta_building_cluster_simulation,0.949,1000,20323819
pessimistic,empirical_A2_minus_A0_paired_delta,0.005,70,5,,9,paired_task_delta_building_cluster_simulation,0.099,1000,20331319
pessimistic,empirical_A2_minus_A0_paired_delta,0.01,70,5,,9,paired_task_delta_building_cluster_simulation,0.276,1000,20331819
pessimistic,empirical_A2_minus_A0_paired_delta,0.015,70,5,,9,paired_task_delta_building_cluster_simulation,0.499,1000,20332319
pessimistic,empirical_A2_minus_A0_paired_delta,0.02,70,5,,9,paired_task_delta_building_cluster_simulation,0.736,1000,20332819
pessimistic,empirical_A2_minus_A0_paired_delta,0.025,70,5,,9,paired_task_delta_building_cluster_simulation,0.908,1000,20333319
pessimistic,empirical_A2_minus_A0_paired_delta,0.03,70,5,,9,paired_task_delta_building_cluster_simulation,0.976,1000,20333819
pessimistic,empirical_A2_minus_A0_paired_delta,0.005,80,5,,10,paired_task_delta_building_cluster_simulation,0.11,1000,20341319
pessimistic,empirical_A2_minus_A0_paired_delta,0.01,80,5,,10,paired_task_delta_building_cluster_simulation,0.299,1000,20341819
pessimistic,empirical_A2_minus_A0_paired_delta,0.015,80,5,,10,paired_task_delta_building_cluster_simulation,0.598,1000,20342319
pessimistic,empirical_A2_minus_A0_paired_delta,0.02,80,5,,10,paired_task_delta_building_cluster_simulation,0.799,1000,20342819
pessimistic,empirical_A2_minus_A0_paired_delta,0.025,80,5,,10,paired_task_delta_building_cluster_simulation,0.951,1000,20343319
pessimistic,empirical_A2_minus_A0_paired_delta,0.03,80,5,,10,paired_task_delta_building_cluster_simulation,0.99,1000,20343819
pessimistic,empirical_A2_minus_A0_paired_delta,0.005,100,5,,12,paired_task_delta_building_cluster_simulation,0.14,1000,20361319
pessimistic,empirical_A2_minus_A0_paired_delta,0.01,100,5,,12,paired_task_delta_building_cluster_simulation,0.374,1000,20361819
pessimistic,empirical_A2_minus_A0_paired_delta,0.015,100,5,,12,paired_task_delta_building_cluster_simulation,0.658,1000,20362319
pessimistic,empirical_A2_minus_A0_paired_delta,0.02,100,5,,12,paired_task_delta_building_cluster_simulation,0.89,1000,20362819
pessimistic,empirical_A2_minus_A0_paired_delta,0.025,100,5,,12,paired_task_delta_building_cluster_simulation,0.986,1000,20363319
pessimistic,empirical_A2_minus_A0_paired_delta,0.03,100,5,,12,paired_task_delta_building_cluster_simulation,0.997,1000,20363819
