assumption_set_id,variance_source,effect_size,n_tasks,n_workers,n_pairs,n_buildings,analysis_model,power,simulation_replicates,seed
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.025,100,16,8,10,fixed_pair_effects_clustered_simulation,0.997,1000,20363397
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.03,100,16,8,10,fixed_pair_effects_clustered_simulation,0.999,1000,20363897
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.04,100,16,8,10,fixed_pair_effects_clustered_simulation,1.0,1000,20364897
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.01,100,18,9,10,fixed_pair_effects_clustered_simulation,0.558,1000,20361907
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.015,100,18,9,10,fixed_pair_effects_clustered_simulation,0.904,1000,20362407
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.02,100,18,9,10,fixed_pair_effects_clustered_simulation,0.983,1000,20362907
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.025,100,18,9,10,fixed_pair_effects_clustered_simulation,0.999,1000,20363407
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.03,100,18,9,10,fixed_pair_effects_clustered_simulation,1.0,1000,20363907
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.04,100,18,9,10,fixed_pair_effects_clustered_simulation,1.0,1000,20364907
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.01,100,20,10,10,fixed_pair_effects_clustered_simulation,0.61,1000,20361917
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.015,100,20,10,10,fixed_pair_effects_clustered_simulation,0.913,1000,20362417
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.02,100,20,10,10,fixed_pair_effects_clustered_simulation,0.987,1000,20362917
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.025,100,20,10,10,fixed_pair_effects_clustered_simulation,1.0,1000,20363417
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.03,100,20,10,10,fixed_pair_effects_clustered_simulation,1.0,1000,20363917
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.04,100,20,10,10,fixed_pair_effects_clustered_simulation,1.0,1000,20364917
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.01,100,24,12,10,fixed_pair_effects_clustered_simulation,0.655,1000,20361937
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.015,100,24,12,10,fixed_pair_effects_clustered_simulation,0.916,1000,20362437
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.02,100,24,12,10,fixed_pair_effects_clustered_simulation,0.998,1000,20362937
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.025,100,24,12,10,fixed_pair_effects_clustered_simulation,1.0,1000,20363437
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.03,100,24,12,10,fixed_pair_effects_clustered_simulation,1.0,1000,20363937
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.04,100,24,12,10,fixed_pair_effects_clustered_simulation,1.0,1000,20364937
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.01,120,10,5,12,fixed_pair_effects_clustered_simulation,0.409,1000,20381867
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.015,120,10,5,12,fixed_pair_effects_clustered_simulation,0.704,1000,20382367
