image_id,comparison_status,raw_sequence_equal,ordered_cycle_equal,declared_manifest_status,legacy_linear_gap,legacy_linear_gap_zero,legacy_metric,interpretation
X7HyMhZNoso_0e0c08b705704f80b5f31c2bd3a40583,comparable,True,True,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,comparable,False,False,ok,0.001451217381,False,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
X7HyMhZNoso_29a5eef6980d4798bcc58e4c96e198cc,comparable,False,False,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,comparable,True,True,ok,0.0,True,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
X7HyMhZNoso_2fa0da1a66e04428b315cb93b72143d5,comparable,True,True,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
X7HyMhZNoso_3cafb1bfb9084df995fff71810d7693f,comparable,False,False,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
X7HyMhZNoso_84cc1504051f4b1c9492dfab5dce84f9,comparable,True,True,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,comparable,False,False,ok,0.00099209961,False,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
X7HyMhZNoso_a60fbec046b04e5bb256d4a665219f35,comparable,False,False,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
X7HyMhZNoso_a830b673f439458aa54a716194d972b7,comparable,False,False,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
X7HyMhZNoso_b1e740fa45384144b55ef6675440756b,comparable,False,False,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
X7HyMhZNoso_b6bb4e844c5b43ad92904f258660bcaf,comparable,True,True,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,comparable,False,False,ok,0.002742731761,False,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
