task_id,condition,annotator_id,active_time,iou,iou_manual,iou_corner,rmse_px,layout_2d_iou,layout_3d_iou,layout_depth_rmse,layout_delta1,layout_used,layout_gate_reason,pointwise_rmse_px,pointwise_rmse_used,pointwise_best_shift,pointwise_gate_reason,boundary_mse,boundary_rmse_px,pred_n_points,pred_n_pairs,pred_pair_coverage,pred_odd_points,ann_n_points,ann_n_pairs,ann_pair_coverage,ann_odd_points,pairing_warning,pairing_failure_reason,boundary_method_used,consensus_uid,iou_to_consensus,consensus_uid_loo,iou_to_consensus_loo,iou_to_others_median,quality,scope,difficulty,model_issue,tool_issue,scope_missing,is_oos,is_occlusion,is_fail,is_residual,is_normal,n_corners,has_manual_poly,task_scope_n_total,task_scope_n_in_scope,task_scope_n_oos,task_scope_n_unknown,task_scope_oos_rate,task_scope_unknown_rate,task_scope_majority,task_scope_is_mixed,task_scope_has_unknown
475,semi,2,1622.9589999999998,0.4937043604887164,,0.4937043604887164,102.07304014241649,0.2767825825575233,0.2617167530943909,0.7755314111709595,0.27149200439453125,True,,102.07302456452439,True,0,,10237.287109375,101.17947968523558,8,4,1.0,False,8,4,1.0,False,False,,connect,2,1.0,4,0.8105500936508179,0.8105500936508179,fail;low_quality;normal;occlusion;residual,normal,occlusion;low_quality;residual,fail,,False,False,True,True,True,True,8,False,4,4,0,0,0.0,0.0,in_scope,False,False
475,semi,3,82.489,0.4897527954083675,,0.4897527954083675,108.45972054648831,0.2102711946316955,0.1914050119942491,0.7747442722320557,0.2638225555419922,True,,108.38021271344923,True,0,,9649.126953125,98.22996972983856,8,4,1.0,False,8,4,1.0,False,False,,connect,2,0.9617724418640137,4,0.7958537340164185,0.7958537340164185,fail;low_texture;normal;occlusion;residual,normal,occlusion;low_texture;residual,fail,,False,False,True,True,True,True,8,False,4,4,0,0,0.0,0.0,in_scope,False,False
475,semi,4,32.645,0.516576165983464,,0.516576165983464,87.92156859532722,0.18167563464936237,0.16560189257350813,0.8973497152328491,0.20719146728515625,True,,87.70383345295546,True,0,,12458.8046875,111.6190157970406,8,4,1.0,False,8,4,1.0,False,False,,connect,2,0.8105500936508179,2,0.8105500936508179,0.7958537340164185,fail;normal,normal,,fail,,False,False,False,True,False,True,8,False,4,4,0,0,0.0,0.0,in_scope,False,False
476,semi,1,65.168,0.9494358524342081,1.0,0.9494358524342081,9.579954961596567,,,,,False,out_of_scope,9.520464889331002,True,0,,74.80182647705078,8.648804916117069,16,8,1.0,False,16,8,1.0,False,False,,connect,,,,,,oos_split_level,oos_split_level,,,,False,True,False,False,False,False,16,True,4,0,4,0,1.0,0.0,oos,False,False
476,semi,2,1665.756,0.9435030593246246,1.0,0.9435030593246246,13.739778931358211,,,,,False,out_of_scope,,False,,odd_points,966.0552368164062,31.081429130855714,16,8,1.0,False,15,7,0.9333333333333333,True,True,,connect,,,,,,oos_split_level;residual,oos_split_level,residual,,,False,True,False,False,True,False,15,True,4,0,4,0,1.0,0.0,oos,False,False
476,semi,3,155.877,0.9578051563154847,,0.9578051563154847,6.847734796529933,,,,,False,out_of_scope,6.537634836122945,True,0,,34.63317108154297,5.8849954189908225,16,8,1.0,False,16,8,1.0,False,False,,connect,,,,,,corner_drift;low_quality;oos_split_level;residual,oos_split_level,low_quality;residual,corner_drift,,False,True,False,False,True,False,16,False,4,0,4,0,1.0,0.0,oos,False,False
476,semi,4,238.492,1.0,1.0,1.0,0.0,,,,,False,out_of_scope,0.0,True,0,,0.0,0.0,16,8,1.0,False,16,8,1.0,False,False,,connect,,,,,,oos_split_level,oos_split_level,,,,False,True,False,False,False,False,16,True,4,0,4,0,1.0,0.0,oos,False,False
477,semi,1,45.89,0.9830066561719312,1.0,0.9830066561719312,0.0,,,,,False,n_pairs_mismatch,,False,,n_pairs_mismatch,59.13178253173828,7.68971927522314,12,6,1.0,False,8,4,1.0,False,False,,connect,,,,,,corner_duplicate;normal,normal,,corner_duplicate,,False,False,False,False,False,True,8,True,4,3,0,1,0.0,0.25,in_scope,False,True
477,semi,2,66.32,0.9830066561719312,1.0,0.9830066561719312,4.922805022350893,,,,,False,scope_missing,,False,,n_pairs_mismatch,12.325292587280273,3.5107396068749206,12,6,1.0,False,8,4,1.0,False,False,,connect,,,,,,normal,,,,,True,,False,False,False,,8,True,4,3,0,1,0.0,0.25,in_scope,False,True
477,semi,3,105.164,0.9683685948860179,,0.9683685948860179,8.480510104196863,,,,,False,n_pairs_mismatch,,False,,n_pairs_mismatch,107.66678619384766,10.376260703830049,12,6,1.0,False,8,4,1.0,False,False,,connect,,,,,,corner_duplicate;low_texture;normal;occlusion;residual,normal,occlusion;low_texture;residual,corner_duplicate,,False,False,True,False,True,True,8,False,4,3,0,1,0.0,0.25,in_scope,False,True
477,semi,4,11.018,1.0,1.0,1.0,12.810226163675667,0.9737734143951712,0.9645318634334362,0.03763289004564285,0.9966087341308594,True,,12.665317329681221,True,0,,16.85123062133789,4.105025045153548,12,6,1.0,False,12,6,1.0,False,False,,connect,,,,,,normal,normal,,,,False,False,False,False,False,True,12,True,4,3,0,1,0.0,0.25,in_scope,False,True
479,semi,1,14.294,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,True,,0.0,True,0,,0.0,0.0,8,4,1.0,False,8,4,1.0,False,False,,connect,,,,,,normal,normal,,,,False,False,False,False,False,True,8,True,4,3,0,1,0.0,0.25,in_scope,False,True
479,semi,2,3.13,1.0,1.0,1.0,0.0,,,,,False,scope_missing,0.0,True,0,,0.0,0.0,8,4,1.0,False,8,4,1.0,False,False,,connect,,,,,,normal,,,,,True,,False,False,False,,8,True,4,3,0,1,0.0,0.25,in_scope,False,True
479,semi,3,15.603,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,True,,0.0,True,0,,0.0,0.0,8,4,1.0,False,8,4,1.0,False,False,,connect,,,,,,normal,normal,,,,False,False,False,False,False,True,8,True,4,3,0,1,0.0,0.25,in_scope,False,True
479,semi,4,32.612,0.9211248221283117,1.0,0.9211248221283117,21.185900099457196,,,,,False,low_coverage,,False,,low_coverage,15114.87890625,122.94258377897383,8,4,1.0,False,8,3,0.75,False,True,,connect,,,,,,normal,normal,,,,False,False,False,False,False,True,8,True,4,3,0,1,0.0,0.25,in_scope,False,True
480,semi,1,9.869,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,True,,0.0,True,0,,0.0,0.0,8,4,1.0,False,8,4,1.0,False,False,,connect,,,,,,normal,normal,,,,False,False,False,False,False,True,8,True,4,3,0,1,0.0,0.25,in_scope,False,True
480,semi,2,11.456,1.0,1.0,1.0,0.0,,,,,False,scope_missing,0.0,True,0,,0.0,0.0,8,4,1.0,False,8,4,1.0,False,False,,connect,,,,,,normal,,,,,True,,False,False,False,,8,True,4,3,0,1,0.0,0.25,in_scope,False,True
480,semi,3,159.591,1.0,1.0,1.0,2.5600000000000023,0.9739825679343299,0.9739825679343302,0.025953641161322594,1.0,True,,2.55999754622461,True,0,,1.2029836177825928,1.0968060985345554,8,4,1.0,False,8,4,1.0,False,False,,connect,,,,,,corner_drift;normal,normal,,corner_drift,,False,False,False,False,False,True,8,True,4,3,0,1,0.0,0.25,in_scope,False,True
