image_id,code,condition,building,N_observed,N_geometry,N_unavailable,development_image,method,omitted_worker,ARI,changed_pairs,total_pairs
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,A0_legacy,W013,1.0,0,253
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,A0_legacy,W014,1.0,0,253
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,A0_legacy,W015,1.0,0,253
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,A0_legacy,W017,1.0,0,253
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,A0_legacy,W018,1.0,0,253
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,A0_legacy,W021,1.0,0,253
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,A0_legacy,W027,1.0,0,253
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,A0_legacy,W028,1.0,0,253
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,A0_legacy,W029,1.0,0,253
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,A0_legacy,W030,1.0,0,253
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,A0_legacy,W031,1.0,0,253
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,A0_legacy,W032,1.0,0,253
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,A0_legacy,W033,1.0,0,253
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,A0_legacy,W034,1.0,0,253
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,A0_legacy,W035,1.0,0,253
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,A0_legacy,W036,1.0,0,253
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,A0_legacy,W037,1.0,0,253
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,A1_mask,W001,1.0,0,253
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,A1_mask,W002,1.0,0,253
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,A1_mask,W006,1.0,0,253
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,A1_mask,W008,1.0,0,253
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,A1_mask,W010,1.0,0,253
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,A1_mask,W011,1.0,0,253
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,A1_mask,W012,1.0,0,253
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,A1_mask,W013,1.0,0,253
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,A1_mask,W014,1.0,0,253
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,A1_mask,W015,1.0,0,253
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,A1_mask,W017,1.0,0,253
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,A1_mask,W018,1.0,0,253
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,A1_mask,W021,1.0,0,253
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,A1_mask,W027,1.0,0,253
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,A1_mask,W028,1.0,0,253
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,A1_mask,W029,1.0,0,253
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,A1_mask,W030,1.0,0,253
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,A1_mask,W031,1.0,0,253
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,A1_mask,W032,1.0,0,253
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,A1_mask,W033,1.0,0,253
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,A1_mask,W034,1.0,0,253
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,A1_mask,W035,1.0,0,253
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,A1_mask,W036,1.0,0,253
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,A1_mask,W037,1.0,0,253
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,A3_cyclic,W001,1.0,0,253
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,A3_cyclic,W002,1.0,0,253
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,A3_cyclic,W006,1.0,0,253
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,A3_cyclic,W008,1.0,0,253
