image_id,code,condition,building,N_observed,N_geometry,N_unavailable,development_image,N_spherical,method,cut,clusters,supported,singletons,singleton_mass,largest_share,entropy_bits,sizes
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va-03,manual,7y3sRwLe3Va,5,5,0,False,5,spherical,0.15,1,1,0,0.0,1.0,-0.0,5
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va-03,manual,7y3sRwLe3Va,5,5,0,False,5,solid_angle,0.075,2,1,1,0.2,0.8,0.7219280948873623,4;1
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va-03,manual,7y3sRwLe3Va,5,5,0,False,5,solid_angle,0.1,1,1,0,0.0,1.0,-0.0,5
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va-03,manual,7y3sRwLe3Va,5,5,0,False,5,solid_angle,0.125,1,1,0,0.0,1.0,-0.0,5
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va-03,manual,7y3sRwLe3Va,5,5,0,False,5,solid_angle,0.15,1,1,0,0.0,1.0,-0.0,5
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,24,linear_common,0.075,1,1,0,0.0,1.0,-0.0,24
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,24,linear_common,0.1,1,1,0,0.0,1.0,-0.0,24
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,24,linear_common,0.125,1,1,0,0.0,1.0,-0.0,24
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,24,linear_common,0.15,1,1,0,0.0,1.0,-0.0,24
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,24,spherical,0.075,1,1,0,0.0,1.0,-0.0,24
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,24,spherical,0.1,1,1,0,0.0,1.0,-0.0,24
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,24,spherical,0.125,1,1,0,0.0,1.0,-0.0,24
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,24,spherical,0.15,1,1,0,0.0,1.0,-0.0,24
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,24,solid_angle,0.075,1,1,0,0.0,1.0,-0.0,24
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,24,solid_angle,0.1,1,1,0,0.0,1.0,-0.0,24
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,24,solid_angle,0.125,1,1,0,0.0,1.0,-0.0,24
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,24,solid_angle,0.15,1,1,0,0.0,1.0,-0.0,24
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va-08,oos,7y3sRwLe3Va,24,24,0,True,22,linear_common,0.075,14,4,10,0.45454545454545453,0.22727272727272727,3.5337712560645564,5;3;2;2;1;1;1;1;1;1;1;1;1;1
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va-08,oos,7y3sRwLe3Va,24,24,0,True,22,linear_common,0.1,11,4,7,0.3181818181818182,0.22727272727272727,3.0969694163174295,5;5;3;2;1;1;1;1;1;1;1
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va-08,oos,7y3sRwLe3Va,24,24,0,True,22,linear_common,0.125,10,5,5,0.22727272727272727,0.22727272727272727,3.0060603254083382,5;5;3;2;2;1;1;1;1;1
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va-08,oos,7y3sRwLe3Va,24,24,0,True,22,linear_common,0.15,8,4,4,0.18181818181818182,0.45454545454545453,2.4262927116736357,10;3;3;2;1;1;1;1
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va-08,oos,7y3sRwLe3Va,24,24,0,True,22,spherical,0.075,12,5,7,0.3181818181818182,0.22727272727272727,3.3176400059662168,5;3;3;2;2;1;1;1;1;1;1;1
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va-08,oos,7y3sRwLe3Va,24,24,0,True,22,spherical,0.1,9,5,4,0.18181818181818182,0.22727272727272727,2.88083816621909,5;5;3;3;2;1;1;1;1
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va-08,oos,7y3sRwLe3Va,24,24,0,True,22,spherical,0.125,7,3,4,0.18181818181818182,0.45454545454545453,2.2056221220248466,10;5;3;1;1;1;1
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va-08,oos,7y3sRwLe3Va,24,24,0,True,22,spherical,0.15,5,3,2,0.09090909090909091,0.5909090909090909,1.6541881272613423,13;5;2;1;1
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va-08,oos,7y3sRwLe3Va,24,24,0,True,22,solid_angle,0.075,9,4,5,0.22727272727272727,0.22727272727272727,2.8242421435901566,5;5;4;3;1;1;1;1;1
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va-08,oos,7y3sRwLe3Va,24,24,0,True,22,solid_angle,0.1,7,3,4,0.18181818181818182,0.45454545454545453,2.2056221220248466,10;5;3;1;1;1;1
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va-08,oos,7y3sRwLe3Va,24,24,0,True,22,solid_angle,0.125,7,3,4,0.18181818181818182,0.45454545454545453,2.2056221220248466,10;5;3;1;1;1;1
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va-08,oos,7y3sRwLe3Va,24,24,0,True,22,solid_angle,0.15,4,3,1,0.045454545454545456,0.5909090909090909,1.4769092849936094,13;6;2;1
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va-12,oos,7y3sRwLe3Va,24,23,1,True,23,linear_common,0.075,8,5,3,0.13043478260869565,0.2608695652173913,2.674460868536108,6;6;3;3;2;1;1;1
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va-12,oos,7y3sRwLe3Va,24,23,1,True,23,linear_common,0.1,7,6,1,0.043478260869565216,0.2608695652173913,2.587504346796978,6;6;3;3;2;2;1
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va-12,oos,7y3sRwLe3Va,24,23,1,True,23,linear_common,0.125,6,5,1,0.043478260869565216,0.5217391304347826,2.065765216362195,12;3;3;2;2;1
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va-12,oos,7y3sRwLe3Va,24,23,1,True,23,linear_common,0.15,5,4,1,0.043478260869565216,0.5217391304347826,1.8918521728839341,12;4;3;3;1
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va-12,oos,7y3sRwLe3Va,24,23,1,True,23,spherical,0.075,6,4,2,0.08695652173913043,0.30434782608695654,2.2230137220029578,7;7;5;2;1;1
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va-12,oos,7y3sRwLe3Va,24,23,1,True,23,spherical,0.1,4,3,1,0.043478260869565216,0.5217391304347826,1.5920001314822054,12;7;3;1
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va-12,oos,7y3sRwLe3Va,24,23,1,True,23,spherical,0.125,3,2,1,0.043478260869565216,0.5217391304347826,1.208830175294948,12;10;1
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va-12,oos,7y3sRwLe3Va,24,23,1,True,23,spherical,0.15,2,2,0,0.0,0.5652173913043478,0.9876925088958034,13;10
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va-12,oos,7y3sRwLe3Va,24,23,1,True,23,solid_angle,0.075,4,3,1,0.043478260869565216,0.5217391304347826,1.5920001314822054,12;7;3;1
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va-12,oos,7y3sRwLe3Va,24,23,1,True,23,solid_angle,0.1,3,3,0,0.0,0.5652173913043478,1.370862465083061,13;7;3
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va-12,oos,7y3sRwLe3Va,24,23,1,True,23,solid_angle,0.125,2,2,0,0.0,0.5652173913043478,0.9876925088958034,13;10
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va-12,oos,7y3sRwLe3Va,24,23,1,True,23,solid_angle,0.15,2,2,0,0.0,0.5652173913043478,0.9876925088958034,13;10
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va-13,semi,7y3sRwLe3Va,24,24,0,False,24,linear_common,0.075,7,2,5,0.20833333333333334,0.6666666666666666,1.7201755214643453,16;3;1;1;1;1;1
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va-13,semi,7y3sRwLe3Va,24,24,0,False,24,linear_common,0.1,6,1,5,0.20833333333333334,0.7916666666666666,1.2220198859116511,19;1;1;1;1;1
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va-13,semi,7y3sRwLe3Va,24,24,0,False,24,linear_common,0.125,6,1,5,0.20833333333333334,0.7916666666666666,1.2220198859116511,19;1;1;1;1;1
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va-13,semi,7y3sRwLe3Va,24,24,0,False,24,linear_common,0.15,5,1,4,0.16666666666666666,0.8333333333333334,0.9833557549816874,20;1;1;1;1
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va-13,semi,7y3sRwLe3Va,24,24,0,False,24,spherical,0.075,6,4,2,0.08333333333333333,0.625,1.778368899209021,15;3;2;2;1;1
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va-13,semi,7y3sRwLe3Va,24,24,0,False,24,spherical,0.1,5,3,2,0.08333333333333333,0.625,1.5760875253642985,15;5;2;1;1
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va-13,semi,7y3sRwLe3Va,24,24,0,False,24,spherical,0.125,5,3,2,0.08333333333333333,0.625,1.5760875253642985,15;5;2;1;1
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va-13,semi,7y3sRwLe3Va,24,24,0,False,24,spherical,0.15,3,2,1,0.041666666666666664,0.875,0.6583514224564075,21;2;1
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va-13,semi,7y3sRwLe3Va,24,24,0,False,24,solid_angle,0.075,5,3,2,0.08333333333333333,0.625,1.5760875253642985,15;5;2;1;1
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va-13,semi,7y3sRwLe3Va,24,24,0,False,24,solid_angle,0.1,4,2,2,0.08333333333333333,0.7083333333333334,1.2059413017339653,17;5;1;1
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va-13,semi,7y3sRwLe3Va,24,24,0,False,24,solid_angle,0.125,3,2,1,0.041666666666666664,0.7083333333333334,1.0434356963218767,17;6;1
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va-13,semi,7y3sRwLe3Va,24,24,0,False,24,solid_angle,0.15,3,2,1,0.041666666666666664,0.7083333333333334,1.0434356963218767,17;6;1
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va-17,manual,7y3sRwLe3Va,5,5,0,False,5,linear_common,0.075,4,1,3,0.6,0.4,1.9219280948873623,2;1;1;1
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va-17,manual,7y3sRwLe3Va,5,5,0,False,5,linear_common,0.1,4,1,3,0.6,0.4,1.9219280948873623,2;1;1;1
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va-17,manual,7y3sRwLe3Va,5,5,0,False,5,linear_common,0.125,4,1,3,0.6,0.4,1.9219280948873623,2;1;1;1
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va-17,manual,7y3sRwLe3Va,5,5,0,False,5,linear_common,0.15,4,1,3,0.6,0.4,1.9219280948873623,2;1;1;1
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va-17,manual,7y3sRwLe3Va,5,5,0,False,5,spherical,0.075,3,2,1,0.2,0.4,1.5219280948873621,2;2;1
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va-17,manual,7y3sRwLe3Va,5,5,0,False,5,spherical,0.1,3,2,1,0.2,0.4,1.5219280948873621,2;2;1
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va-17,manual,7y3sRwLe3Va,5,5,0,False,5,spherical,0.125,3,2,1,0.2,0.4,1.5219280948873621,2;2;1
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va-17,manual,7y3sRwLe3Va,5,5,0,False,5,spherical,0.15,3,2,1,0.2,0.4,1.5219280948873621,2;2;1
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va-17,manual,7y3sRwLe3Va,5,5,0,False,5,solid_angle,0.075,3,2,1,0.2,0.4,1.5219280948873621,2;2;1
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va-17,manual,7y3sRwLe3Va,5,5,0,False,5,solid_angle,0.1,3,2,1,0.2,0.4,1.5219280948873621,2;2;1
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va-17,manual,7y3sRwLe3Va,5,5,0,False,5,solid_angle,0.125,3,2,1,0.2,0.4,1.5219280948873621,2;2;1
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va-17,manual,7y3sRwLe3Va,5,5,0,False,5,solid_angle,0.15,2,2,0,0.0,0.6,0.9709505944546686,3;2
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va-18,manual,7y3sRwLe3Va,6,6,0,False,5,linear_common,0.075,5,0,5,1.0,0.2,2.321928094887362,1;1;1;1;1
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va-18,manual,7y3sRwLe3Va,6,6,0,False,5,linear_common,0.1,4,1,3,0.6,0.4,1.9219280948873623,2;1;1;1
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va-18,manual,7y3sRwLe3Va,6,6,0,False,5,linear_common,0.125,4,1,3,0.6,0.4,1.9219280948873623,2;1;1;1
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va-18,manual,7y3sRwLe3Va,6,6,0,False,5,linear_common,0.15,4,1,3,0.6,0.4,1.9219280948873623,2;1;1;1
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va-18,manual,7y3sRwLe3Va,6,6,0,False,5,spherical,0.075,4,1,3,0.6,0.4,1.9219280948873623,2;1;1;1
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va-18,manual,7y3sRwLe3Va,6,6,0,False,5,spherical,0.1,4,1,3,0.6,0.4,1.9219280948873623,2;1;1;1
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va-18,manual,7y3sRwLe3Va,6,6,0,False,5,spherical,0.125,3,2,1,0.2,0.4,1.5219280948873621,2;2;1
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va-18,manual,7y3sRwLe3Va,6,6,0,False,5,spherical,0.15,3,2,1,0.2,0.4,1.5219280948873621,2;2;1
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va-18,manual,7y3sRwLe3Va,6,6,0,False,5,solid_angle,0.075,4,1,3,0.6,0.4,1.9219280948873623,2;1;1;1
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va-18,manual,7y3sRwLe3Va,6,6,0,False,5,solid_angle,0.1,4,1,3,0.6,0.4,1.9219280948873623,2;1;1;1
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va-18,manual,7y3sRwLe3Va,6,6,0,False,5,solid_angle,0.125,3,2,1,0.2,0.4,1.5219280948873621,2;2;1
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va-18,manual,7y3sRwLe3Va,6,6,0,False,5,solid_angle,0.15,2,1,1,0.2,0.8,0.7219280948873623,4;1
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va-19,manual,7y3sRwLe3Va,6,6,0,False,6,linear_common,0.075,2,2,0,0.0,0.6666666666666666,0.9182958340544896,4;2
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va-19,manual,7y3sRwLe3Va,6,6,0,False,6,linear_common,0.1,2,2,0,0.0,0.6666666666666666,0.9182958340544896,4;2
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va-19,manual,7y3sRwLe3Va,6,6,0,False,6,linear_common,0.125,2,2,0,0.0,0.6666666666666666,0.9182958340544896,4;2
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va-19,manual,7y3sRwLe3Va,6,6,0,False,6,linear_common,0.15,2,2,0,0.0,0.6666666666666666,0.9182958340544896,4;2
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va-19,manual,7y3sRwLe3Va,6,6,0,False,6,spherical,0.075,1,1,0,0.0,1.0,-0.0,6
