image_id,building_id,method,replicate,human_count,synthetic_count,corner_count_tv,human_to_sim_nearest_deg,sim_to_human_nearest_deg,symmetric_coverage_deg,human_diversity_deg,synthetic_diversity_deg,diversity_absolute_error_deg,basic_parse_failure_rate,geometry_issue_rate
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,worker_conservative,2,24,50,0.9166666666666666,6.954887826427516,5.085992767735885,6.0204402970817,7.176667608978428,2.4023115101159345,4.774356098862493,0.0,0.0
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,worker_conservative,0,23,50,0.0434782608695652,1.9066420687397854,1.5362804083832062,1.7214612385614958,2.7321125488865334,2.256687175208979,0.4754253736775542,0.0,0.0
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,worker_conservative,1,23,50,0.0434782608695652,1.9397271735697945,1.6676788968525862,1.8037030352111905,2.7321125488865334,2.423471939825036,0.30864060906149726,0.0,0.0
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,worker_conservative,2,23,50,0.0434782608695652,1.853415015216994,1.6654481960407688,1.7594316056288815,2.7321125488865334,2.4920428470837193,0.24006970180281417,0.0,0.0
UwV83HsGsw3_fcd79f4b6a6642e99227caffb51bf407,UwV83HsGsw3,worker_conservative,0,24,50,0.41666666666666663,8.085331961761003,2.6006224049585267,5.342977183359765,6.417934586618765,2.679790879876619,3.738143706742146,0.0,0.0
UwV83HsGsw3_fcd79f4b6a6642e99227caffb51bf407,UwV83HsGsw3,worker_conservative,1,24,50,0.41666666666666663,8.168452837186045,2.626997984415288,5.397725410800667,6.417934586618765,2.7796687195451053,3.6382658670736596,0.0,0.0
UwV83HsGsw3_fcd79f4b6a6642e99227caffb51bf407,UwV83HsGsw3,worker_conservative,2,24,50,0.41666666666666663,8.113437192486849,2.554907313825042,5.334172253155946,6.417934586618765,2.635771400728808,3.782163185889957,0.0,0.0
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom,worker_conservative,0,19,50,0.5263157894736843,4.691489332644869,2.679017571852811,3.6852534522488396,4.29053129400861,0.6122173511705684,3.6783139428380416,0.0,0.0
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom,worker_conservative,1,19,50,0.5263157894736843,4.691489332644869,2.638822568585855,3.665155950615362,4.29053129400861,0.5806699150452459,3.709861378963364,0.0,0.0
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom,worker_conservative,2,19,50,0.5263157894736843,4.691489332644869,2.648871319402594,3.6701803260237313,4.29053129400861,0.6003870562202701,3.6901442377883398,0.0,0.0
X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,X7HyMhZNoso,worker_conservative,0,24,50,0.0,1.4935107648599077,1.7284469204907955,1.6109788426753515,2.0034493924856163,2.5217548391091826,0.5183054466235664,0.0,0.0
X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,X7HyMhZNoso,worker_conservative,1,24,50,0.0,1.5174806285391398,1.7131259167773094,1.6153032726582246,2.0034493924856163,2.31361493379672,0.3101655413111035,0.0,0.0
X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,X7HyMhZNoso,worker_conservative,2,24,50,0.0,1.5017211848904026,1.6660210498445465,1.5838711173674747,2.0034493924856163,2.4066151598505754,0.4031657673649591,0.0,0.0
b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,b8cTxDM8gDG,worker_conservative,0,24,50,1.0,17.883619349757087,7.338894573452425,12.611256961604756,13.53758553713005,1.7214753211368203,11.81611021599323,0.0,0.0
b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,b8cTxDM8gDG,worker_conservative,1,24,50,1.0,17.883619349757087,7.3579478128508455,12.620783581303966,13.53758553713005,1.8178848225486715,11.719700714581379,0.0,0.0
b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,b8cTxDM8gDG,worker_conservative,2,24,50,1.0,17.883619349757087,7.532115145499496,12.707867247628291,13.53758553713005,1.8870528787010405,11.650532658429011,0.0,0.0
b8cTxDM8gDG_f63819c407e64c2897b703080766cb60,b8cTxDM8gDG,worker_conservative,0,23,50,0.0,2.987939774627086,2.5376489186590354,2.7627943466430605,3.6790808954235645,2.4878574643229108,1.1912234311006538,0.0,0.0
b8cTxDM8gDG_f63819c407e64c2897b703080766cb60,b8cTxDM8gDG,worker_conservative,1,23,50,0.0,3.0565770626941644,2.381362890873143,2.7189699767836535,3.6790808954235645,2.309241185740316,1.3698397096832484,0.0,0.0
b8cTxDM8gDG_f63819c407e64c2897b703080766cb60,b8cTxDM8gDG,worker_conservative,2,23,50,0.0,3.1220285754949515,2.5936396866423435,2.8578341310686475,3.6790808954235645,2.639110459794775,1.0399704356287893,0.0,0.0
e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,e9zR4mvMWw7,worker_conservative,0,24,50,0.5416666666666667,4.92073250476411,2.310865906311784,3.6157992055379466,6.994904206516824,2.670429360964514,4.324474845552309,0.0,0.0
e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,e9zR4mvMWw7,worker_conservative,1,24,50,0.5416666666666667,4.920528212718304,2.399735810537111,3.6601320116277076,6.994904206516824,2.747877753545308,4.247026452971516,0.0,0.0
e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,e9zR4mvMWw7,worker_conservative,2,24,50,0.5416666666666667,4.974506656430907,2.52255395172273,3.7485303040768185,6.994904206516824,2.8789402183889146,4.115963988127909,0.0,0.0
pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494,pRbA3pwrgk9,worker_conservative,0,20,50,0.95,17.849669039620046,12.314819540758393,15.08224429018922,23.128758504700745,1.9429618970952458,21.1857966076055,0.0,0.0
pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494,pRbA3pwrgk9,worker_conservative,1,20,50,0.95,17.849669039620046,12.421634373403938,15.135651706511993,23.128758504700745,1.8361155815145693,21.292642923186175,0.0,0.0
pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494,pRbA3pwrgk9,worker_conservative,2,20,50,0.95,17.849669039620046,12.44123435414783,15.145451696883939,23.128758504700745,1.8438429475042841,21.28491555719646,0.0,0.0
q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e,q9vSo1VnCiC,worker_conservative,0,24,50,0.0,1.4118530678425618,1.6220961503137932,1.5169746090781775,2.262188376128247,2.4512880128135195,0.18909963668527263,0.0,0.0
q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e,q9vSo1VnCiC,worker_conservative,1,24,50,0.0,1.3759721857592595,1.422106249873349,1.3990392178163042,2.262188376128247,2.116200485855702,0.14598789027254488,0.0,0.0
q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e,q9vSo1VnCiC,worker_conservative,2,24,50,0.0,1.4776484818724331,1.5646080177522952,1.5211282498123642,2.262188376128247,2.1764954894752715,0.08569288665297536,0.0,0.0
q9vSo1VnCiC_69591068e5614642b710a8fb7733bdeb,q9vSo1VnCiC,worker_conservative,0,24,50,0.9166666666666667,7.994484920068824,6.424061490329982,7.209273205199403,7.004571940648136,2.8655998995797303,4.138972041068405,0.0,0.0
q9vSo1VnCiC_69591068e5614642b710a8fb7733bdeb,q9vSo1VnCiC,worker_conservative,1,24,50,0.9166666666666667,7.891449551071813,6.462194446291072,7.176821998681442,7.004571940648136,2.876705563322418,4.127866377325718,0.0,0.0
q9vSo1VnCiC_69591068e5614642b710a8fb7733bdeb,q9vSo1VnCiC,worker_conservative,2,24,50,0.9166666666666667,7.881769674514899,6.420267505517403,7.151018590016151,7.004571940648136,2.8473291916960752,4.1572427489520605,0.0,0.0
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC,worker_conservative,0,24,50,0.9166666666666666,9.468596284218185,6.171884779886287,7.820240532052235,10.591628387690786,2.7688620477188928,7.822766339971894,0.0,0.0
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC,worker_conservative,1,24,50,0.9166666666666666,9.459972215295588,6.156557184836048,7.808264700065818,10.591628387690786,2.5687712271527396,8.022857160538047,0.0,0.0
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC,worker_conservative,2,24,50,0.9166666666666666,9.458450767870021,6.127443476484444,7.792947122177233,10.591628387690786,2.576948481612119,8.014679906078667,0.0,0.0
q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a,q9vSo1VnCiC,worker_conservative,0,24,50,0.0,2.0579313373001944,1.8149160711426373,1.9364237042214159,2.656910693229693,2.3369925065277806,0.3199181867019125,0.0,0.0
q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a,q9vSo1VnCiC,worker_conservative,1,24,50,0.0,1.9908142567291078,1.9260925663392918,1.9584534115341998,2.656910693229693,2.5028981268133,0.15401256641639316,0.0,0.0
q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a,q9vSo1VnCiC,worker_conservative,2,24,50,0.0,1.970949058557857,1.7040136743166852,1.8374813664372711,2.656910693229693,2.1221406903186644,0.5347700029110287,0.0,0.0
q9vSo1VnCiC_e74e843601574864a14517f990c748a0,q9vSo1VnCiC,worker_conservative,0,24,50,0.9583333333333334,9.346075263748906,8.2777780563163,8.811926660032604,5.793131375600593,2.4744957440648094,3.3186356315357837,0.0,0.0
q9vSo1VnCiC_e74e843601574864a14517f990c748a0,q9vSo1VnCiC,worker_conservative,1,24,50,0.9583333333333334,9.282749668332436,8.192487795817552,8.737618732074994,5.793131375600593,2.3631887275300185,3.4299426480705746,0.0,0.0
q9vSo1VnCiC_e74e843601574864a14517f990c748a0,q9vSo1VnCiC,worker_conservative,2,24,50,0.9583333333333334,9.281579104550632,8.276462937925617,8.779021021238124,5.793131375600593,2.4003594338332768,3.3927719417673163,0.0,0.0
rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,rPc6DW4iMge,worker_conservative,0,23,50,0.08695652173913046,1.8352193396803365,1.497761691414682,1.6664905155475092,2.4835171007898738,1.8734221112740699,0.6100949895158039,0.0,0.0
rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,rPc6DW4iMge,worker_conservative,1,23,50,0.08695652173913046,1.8102230725967101,1.5733668828457044,1.6917949777212073,2.4835171007898738,2.063269200923519,0.4202478998663546,0.0,0.0
